gene_id	TCGA-A7-A0CE-01A-11R-A00Z-07	gene_id	TCGA-A7-A0CE-11A-21R-A089-07
?|100133144	11.0789	removed	removed
?|10357	130.289	?|10357	78.9238
?|10431	1272.9892	?|10431	978.4127
?|155060	219.0016	?|155060	219.0476
removed	removed	?|390284	6.3492
removed	removed	?|553137	8.8889
?|57714	1396.0505	?|57714	243.1746
?|645851	23.3918	?|645851	6.9841
?|652919	17.9405	removed	removed
?|653553	99.3305	?|653553	170.4762
removed	removed	?|729884	9.2063
?|8225	197.3049	?|8225	608.5714
removed	removed	?|90288	55.873
A1BG	43.0714	A1BG	154.473
A2LD1	138.5134	A2LD1	119.581
A2ML1	12.5434	A2ML1	16.8254
A2M	9467.7956	A2M	40198.2063
A4GALT	114.925	A4GALT	627.3016
AAAS	697.6862	AAAS	780
AACS	845.4954	AACS	1132.0635
removed	removed	AADACL3	5.0794
removed	removed	AADAC	19.6825
AADAT	200.356	AADAT	58.7302
AAGAB	1318.4168	AAGAB	1448.8889
AAK1	905.1615	AAK1	966.9841
AAMP	919.3999	AAMP	2770.7937
AARS2	625.3954	AARS2	485.0413
AARSD1	550.8941	AARSD1	692.6984
AARS	4755.6573	AARS	3063.1746
AASDHPPT	652.5977	AASDHPPT	655.5016
AASDH	240.3594	AASDH	314.9206
AASS	125.4344	AASS	592.6984
AATF	2056.4455	AATF	1138.7302
AATK	35.5962	AATK	91.746
ABAT	289.5161	ABAT	1226.3492
removed	removed	ABCA10	164.127
ABCA11P	68.955	ABCA11P	151.2349
ABCA12	20.6797	ABCA12	194.9206
ABCA13	8.4753	ABCA13	8.5714
ABCA17P	15.2555	ABCA17P	11.1111
ABCA1	743.4189	ABCA1	719.9524
ABCA2	779.7271	ABCA2	1164.7619
ABCA3	873.6334	ABCA3	1494.9206
ABCA4	15.2555	ABCA4	153.6508
ABCA5	352.5723	ABCA5	626.6667
ABCA6	19.3237	ABCA6	335.5556
ABCA7	170.8619	ABCA7	387.9365
ABCA8	380.7102	ABCA8	773.3333
removed	removed	ABCA9	396.1905
ABCB10	657.6829	ABCB10	256.1905
ABCB1	36.9523	ABCB1	468.254
ABCB4	7.1192	ABCB4	21.9048
removed	removed	ABCB5	96.8254
ABCB6	212.9943	ABCB6	442.2286
ABCB7	666.8362	ABCB7	519.0476
ABCB8	763.7935	ABCB8	571.1111
ABCB9	97.7574	ABCB9	103.9873
ABCC10	384.4394	ABCC10	365.3968
removed	removed	ABCC11	439.0476
ABCC1	2390.0331	ABCC1	923.4921
ABCC2	22.3748	ABCC2	9.2063
ABCC3	152.2163	ABCC3	644.7619
ABCC4	68.8194	ABCC4	138.0952
ABCC5	797.3557	ABCC5	739.6825
removed	removed	ABCC6P1	6.3492
ABCC6P2	26.7819	ABCC6P2	22.8571
ABCC6	109.1618	ABCC6	141.5873
ABCC8	10.1704	ABCC8	307.3016
ABCC9	138.9948	ABCC9	268.254
ABCD1	504.4495	ABCD1	243.8095
removed	removed	ABCD2	26.3492
ABCD3	3143.6562	ABCD3	3005.7143
ABCD4	347.8261	ABCD4	790.1587
ABCE1	3650.1398	ABCE1	1261.2698
ABCF1	2435.1216	ABCF1	1614.2857
ABCF2	2424.6123	ABCF2	1416.1905
ABCF3	1884.9055	ABCF3	1116.8254
ABCG1	509.8737	ABCG1	507.619
ABCG2	33.2232	ABCG2	229.2063
ABCG4	5.0852	ABCG4	5.0794
ABHD10	462.7511	ABHD10	646.9841
ABHD11	1092.635	ABHD11	685.0794
ABHD12	1046.5294	ABHD12	1099.3651
ABHD13	465.4632	ABHD13	498.0952
ABHD14A	113.5689	ABHD14A	320.3175
ABHD14B	597.6778	ABHD14B	2236.1905
ABHD15	296.6353	ABHD15	360.3175
ABHD1	13.5605	ABHD1	26.3492
ABHD2	2632.4265	ABHD2	2079.3651
ABHD3	519.027	ABHD3	341.5873
ABHD4	334.9436	ABHD4	870.4762
ABHD5	796.3387	ABHD5	916.5079
ABHD6	101.7035	ABHD6	172.0635
ABHD8	319.6881	ABHD8	332.0635
ABI1	1304.5173	ABI1	1177.0317
ABI2	1438.427	ABI2	1523.1746
ABI3BP	32.2061	ABI3BP	1075.5556
ABI3	90.1771	ABI3	350.1587
ABL1	1964.9123	ABL1	2372.0635
ABL2	1753.7079	ABL2	942.2222
ABLIM1	5226.5446	ABLIM1	3618.4127
ABLIM2	93.5673	ABLIM2	135.2381
ABLIM3	89.1601	ABLIM3	1340.3175
ABO	14.9165	ABO	61.5873
ABP1	5.7632	ABP1	13.3333
ABR	3150.0975	ABR	2407.9365
ABT1	691.584	ABT1	648.5714
ABTB1	202.39	ABTB1	701.2698
ABTB2	445.8005	ABTB2	68.254
ACAA1	693.9571	ACAA1	1996.1905
ACAA2	2612.7638	ACAA2	1571.1111
ACACA	2626.6633	ACACA	1986.9841
ACACB	478.3456	ACACB	1132.381
ACAD10	641.0713	ACAD10	546.9841
ACAD11	262.7341	ACAD11	514.5873
ACAD8	410.2043	ACAD8	703.1746
ACAD9	1061.4222	ACAD9	902.5333
ACADL	40.6814	ACADL	33.9683
ACADM	2065.9378	ACADM	1023.8095
ACADSB	967.8786	ACADSB	2791.746
ACADS	248.4956	ACADS	824.4444
ACADVL	5586.2022	ACADVL	8942.1492
ACAN	168.8279	ACAN	61.5873
ACAP1	28.138	ACAP1	146.6667
ACAP2	740.0627	ACAP2	899.3651
ACAP3	590.2568	ACAP3	502.2603
ACAT1	1616.7472	ACAT1	1388.254
ACAT2	1090.7365	ACAT2	432.9524
ACBD3	1962.8782	ACBD3	1048.8889
ACBD4	109.1618	ACBD4	361.2698
ACBD5	840.0712	ACBD5	621.9048
ACBD6	1045.5123	ACBD6	534.6032
ACBD7	106.4497	ACBD7	33.6508
removed	removed	ACCN1	8.254
ACCN2	81.7018	ACCN2	130.4762
ACCN3	10.8484	ACCN3	7.9365
ACCS	173.574	ACCS	608.254
ACD	433.9351	ACD	453.6508
ACE2	76.9557	ACE2	11.1111
ACER2	23.3918	ACER2	96.1905
ACER3	350.8772	ACER3	297.7778
ACE	312.9079	ACE	506.6667
ACHE	8.1363	ACHE	22.5397
ACIN1	2916.8574	ACIN1	3377.1429
ACLY	4599.7118	ACLY	3405.7143
removed	removed	ACMSD	26.3492
ACN9	11.1874	ACN9	176.1905
ACO1	485.4649	ACO1	1349.8413
ACO2	3603.5291	ACO2	2553.8571
ACOT11	80.9391	ACOT11	48.8889
ACOT13	779.961	ACOT13	631.0794
ACOT1	327.4854	ACOT1	672.6984
ACOT2	249.8517	ACOT2	391.4286
ACOT4	67.4633	ACOT4	203.4921
ACOT7	1146.5378	ACOT7	461.5873
ACOT8	165.5869	ACOT8	294.5111
ACOT9	428.1719	ACOT9	415.873
ACOX1	1322.9664	ACOX1	1376.7968
ACOX2	16.6116	ACOX2	332.381
ACOX3	291.8891	ACOX3	654.2857
ACP1	1873.0401	ACP1	1268.254
ACP2	1545.8937	ACP2	1187.3016
ACP5	540.0458	ACP5	1320.9524
ACP6	112.5519	ACP6	205.0794
ACPL2	433.2571	ACPL2	488.254
ACPP	6.7802	ACPP	36.5079
ACRBP	11.8654	ACRBP	24.7619
ACRC	11.5264	ACRC	26.9841
ACR	6.7802	removed	removed
ACSBG1	6.7802	ACSBG1	13.3333
removed	removed	ACSBG2	7.619
ACSF2	1338.4185	ACSF2	1588.5714
ACSF3	392.9147	ACSF3	472.381
ACSL1	1049.5805	ACSL1	2680.9524
ACSL3	1590.9823	ACSL3	3615.873
ACSL4	1002.7968	ACSL4	1052.6984
ACSL5	511.9078	ACSL5	857.7778
ACSL6	18.3066	ACSL6	5.7143
removed	removed	ACSM1	34.9206
removed	removed	ACSM2A	5.3968
ACSM3	32.7553	ACSM3	186.9556
removed	removed	ACSM5	97.4603
ACSS1	198.6609	ACSS1	1026.9841
ACSS2	418.6795	ACSS2	1106.0317
ACSS3	382.4053	ACSS3	246.0317
ACTA1	117.9761	ACTA1	6.6667
ACTA2	4348.7685	ACTA2	44140.0794
ACTBL2	41.6984	removed	removed
ACTB	136067.1243	ACTB	82066.6667
ACTC1	16.9506	ACTC1	17.4603
ACTG1	67119.5864	ACTG1	56108.5714
ACTG2	429.5279	ACTG2	8744.127
ACTL6A	2234.7657	ACTL6A	701.2698
ACTL8	5.0852	removed	removed
ACTN1	9805.2377	ACTN1	10773.9683
ACTN4	10913.2706	ACTN4	11032.9556
ACTR10	867.5311	ACTR10	1279.3651
ACTR1A	2892.7875	ACTR1A	2555.5556
ACTR1B	603.78	ACTR1B	1724.127
ACTR2	5763.5393	ACTR2	3920
ACTR3B	2216.459	ACTR3B	272.381
ACTR3C	36.2743	ACTR3C	44.127
ACTR3	3322.3155	ACTR3	2692.6984
ACTR5	147.8091	ACTR5	219.6825
ACTR6	567.8447	ACTR6	592.0635
ACTR8	494.2792	ACTR8	415.5556
ACVR1B	1167.2176	ACVR1B	1079.3651
ACVR1C	14.9165	ACVR1C	57.7778
ACVR1	518.688	ACVR1	1210.1587
ACVR2A	189.1686	ACVR2A	447.9365
ACVR2B	372.913	ACVR2B	295.5556
ACVRL1	348.5041	ACVRL1	940.9524
ACY1	373.93	ACY1	846.3492
removed	removed	ACY3	25.7143
ACYP1	132.5536	ACYP1	88.5714
ACYP2	195.2708	ACYP2	166.3492
ADAL	267.1413	ADAL	217.7778
ADAM10	1975.0826	ADAM10	1403.8095
ADAM11	19.3237	ADAM11	19.3651
ADAM12	503.7715	ADAM12	930.1587
ADAM15	8231.9247	ADAM15	2717.8444
ADAM17	1301.1272	ADAM17	700
ADAM19	158.3185	ADAM19	99.0476
ADAM21	13.8995	ADAM21	11.1111
ADAM22	69.1584	ADAM22	30.1587
ADAM23	8.1363	ADAM23	28.8889
ADAM28	25.4259	ADAM28	246.0317
ADAM32	68.4804	ADAM32	14.9206
ADAM33	15.9336	ADAM33	828.7016
ADAM6	15846.9057	ADAM6	73280.473
ADAM8	383.4223	ADAM8	117.4603
ADAM9	1577.0828	ADAM9	1595.2381
ADAMDEC1	37.2913	ADAMDEC1	11.4286
ADAMTS10	145.097	ADAMTS10	128.5714
ADAMTS12	86.448	ADAMTS12	47.9365
ADAMTS13	55.2589	ADAMTS13	129.5238
ADAMTS14	35.5962	ADAMTS14	39.0476
ADAMTS15	54.2419	ADAMTS15	382.8571
ADAMTS16	8.4753	ADAMTS16	98.0952
ADAMTS17	51.1908	ADAMTS17	89.8413
ADAMTS18	6.4412	ADAMTS18	24.127
ADAMTS1	645.4784	ADAMTS1	3596.8254
ADAMTS2	161.7086	ADAMTS2	567.3016
ADAMTS3	98.6524	ADAMTS3	102.2222
ADAMTS4	725.4852	ADAMTS4	235.873
ADAMTS5	238.6643	ADAMTS5	1400.9524
ADAMTS6	61.7001	ADAMTS6	35.5556
ADAMTS7	125.0953	ADAMTS7	69.5238
ADAMTS8	31.5281	ADAMTS8	492.381
ADAMTS9	516.654	ADAMTS9	752.381
ADAMTSL1	191.8807	ADAMTSL1	154.9206
ADAMTSL2	107.4667	ADAMTSL2	68.5714
ADAMTSL3	159.6745	ADAMTSL3	72.0635
