gene_id	TCGA-A7-A0CH-01A-21R-A00Z-07	gene_id	TCGA-A7-A0CH-11A-32R-A089-07
?|100133144	5.9183	removed	removed
?|10357	76.7412	?|10357	53.638
?|10431	985.2152	?|10431	970.7569
?|155060	103.3626	?|155060	136.1542
removed	removed	?|390284	10.9074
?|57714	833.8785	?|57714	178.6554
?|645851	12.2116	?|645851	10.1551
?|652919	125.9322	removed	removed
?|653553	102.4903	?|653553	318.9469
removed	removed	?|729884	66.9488
?|8225	415.1947	?|8225	663.4697
?|90288	126.9135	?|90288	42.5012
A1BG	94.7577	A1BG	109.3484
A2LD1	95.7041	A2LD1	111.9699
removed	removed	A2ML1	19.5581
A2M	5353.4476	A2M	32634.9299
A4GALT	119.0632	A4GALT	924.1185
AAAS	693.445	AAAS	815.7969
AACS	906.712	AACS	2177.7151
removed	removed	AADACL2	5.6417
removed	removed	AADACL3	34.9788
removed	removed	AADAC	101.9276
AADAT	24.8593	AADAT	250.8698
AAGAB	2307.9942	AAGAB	1077.9502
AAK1	1248.6371	AAK1	828.5849
AAMP	2417.8987	AAMP	2588.0583
AARS2	491.0768	AARS2	349.5477
AARSD1	563.4786	AARSD1	574.33
AARS	1684.766	AARS	3213.9163
AASDHPPT	1179.2926	AASDHPPT	662.3413
AASDH	459.6799	AASDH	256.1354
AASS	310.5238	AASS	347.5317
AATF	1085.0888	AATF	1040.7146
AATK	6.1058	AATK	43.6483
ABAT	3163.6792	ABAT	619.464
removed	removed	ABCA10	244.0997
ABCA11P	179.4191	ABCA11P	93.1453
ABCA12	297.8761	ABCA12	280.583
ABCA17P	22.6787	ABCA17P	6.7701
removed	removed	ABCA1	1714.2793
ABCA2	1025.3391	ABCA2	1581.5703
ABCA3	3265.7334	ABCA3	1934.7438
ABCA4	29.2206	ABCA4	39.8684
ABCA5	101.618	ABCA5	602.5388
ABCA6	44.9213	ABCA6	524.3065
ABCA7	297.4399	ABCA7	479.5487
ABCA8	5.6697	ABCA8	1976.8688
ABCA9	18.7535	ABCA9	1042.5952
ABCB10	741.4192	ABCB10	325.717
ABCB1	27.4761	ABCB1	152.7033
ABCB4	32.7097	ABCB4	22.9431
removed	removed	ABCB5	136.5303
