gene_id	TCGA-A7-A0D9-01A-31R-A056-07	gene_id	TCGA-A7-A0D9-11A-53R-A089-07
?|100133144	26.8176	removed	removed
?|100134869	13.5282	removed	removed
?|10357	125.9778	?|10357	87.5764
?|10431	971.1816	?|10431	770.3666
?|155060	499.7942	?|155060	109.9796
?|553137	93.0424	removed	removed
?|57714	360.2305	?|57714	816.7006
?|645851	14.8209	removed	removed
?|652919	28.555	removed	removed
?|653553	930.8357	?|653553	102.3422
?|729884	34.9938	?|729884	18.8391
?|8225	579.6624	?|8225	465.8859
?|90288	5.7637	?|90288	44.2974
A1BG	74.5163	A1BG	15.7841
A2LD1	96.6447	A2LD1	105.5041
A2ML1	25.1132	A2ML1	22.9124
A2M	11410.8522	A2M	44700.9521
A4GALT	274.1869	A4GALT	542.7699
removed	removed	A4GNT	19.3483
AAAS	669.4113	AAAS	595.723
AACS	1374.6398	AACS	710.7943
removed	removed	AADACL2	7.6375
removed	removed	AADACL3	6.11
AADAC	6.9988	AADAC	619.1446
AADAT	72.0461	AADAT	78.9206
AAGAB	10598.6002	AAGAB	673.6253
AAK1	641.4162	AAK1	1032.0774
AAMP	2510.0865	AAMP	1977.5967
AARS2	342.499	AARS2	225.555
AARSD1	438.0403	AARSD1	478.6151
AARS	3158.0897	AARS	3248.4725
AASDHPPT	1326.8835	AASDHPPT	599.2872
AASDH	358.1721	AASDH	315.1731
AASS	752.1614	AASS	664.4603
AATF	990.9428	AATF	1019.8574
AATK	17.2911	AATK	30.0407
ABAT	1929.189	ABAT	224.5418
ABCA10	16.056	ABCA10	244.3992
ABCA11P	142.1737	ABCA11P	89.2159
ABCA12	10.704	removed	removed
ABCA13	26.3483	ABCA13	9.6741
ABCA17P	6.9988	removed	removed
ABCA1	487.4393	ABCA1	3383.7984
ABCA2	1865.3767	ABCA2	1626.2729
ABCA3	1587.8963	ABCA3	933.8086
ABCA4	12.7625	ABCA4	7.6375
ABCA5	314.5327	ABCA5	943.9919
ABCA6	72.4578	ABCA6	1182.7902
ABCA7	407.9868	ABCA7	205.7026
ABCA8	145.3273	ABCA8	5814.664
ABCA9	104.1581	ABCA9	2514.7658
ABCB10	484.9732	ABCB10	374.7454
removed	removed	ABCB11	18.8391
ABCB1	39.9341	ABCB1	206.2118
ABCB4	29.6418	ABCB4	64.1548
ABCB5	7.8221	ABCB5	56.0081
ABCB6	555.0679	ABCB6	715.3106
ABCB7	351.1733	ABCB7	606.9246
ABCB8	1090.5723	ABCB8	391.5479
ABCB9	465.6937	ABCB9	48.2841
ABCC10	553.7258	ABCC10	216.9043
ABCC11	50.2264	removed	removed
ABCC13	23.4664	removed	removed
ABCC1	1204.1993	ABCC1	1453.666
ABCC2	14.8209	ABCC2	46.334
ABCC3	77.3981	ABCC3	199.5927
ABCC4	81.9267	ABCC4	113.5438
ABCC5	2187.7316	ABCC5	592.1589
removed	removed	ABCC6P1	12.7291
ABCC6P2	13.9975	ABCC6P2	70.7739
ABCC6	33.7587	ABCC6	704.6843
ABCC8	74.928	ABCC8	5.0916
ABCC9	242.4866	ABCC9	3597.7597
ABCD1	687.9374	ABCD1	565.6823
ABCD2	9.8806	ABCD2	1258.1466
ABCD3	3296.0066	ABCD3	1147.1487
ABCD4	360.2305	ABCD4	661.4053
ABCE1	1972.0049	ABCE1	1162.4236
ABCF1	1825.0309	ABCF1	1554.9898
ABCF2	1810.6217	ABCF2	1101.3238
ABCF3	1295.1832	ABCF3	942.9735
ABCG1	1207.4928	ABCG1	281.5682
ABCG2	90.9839	ABCG2	146.1303
ABHD10	829.9712	ABHD10	674.1344
ABHD11	1633.5941	ABHD11	150.7128
removed	removed	ABHD12B	22.9124
ABHD12	985.5908	ABHD12	1044.2974
ABHD13	349.9382	ABHD13	382.3829
ABHD14A	145.8954	ABHD14A	391.9196
ABHD14B	1680.527	ABHD14B	3557.5356
ABHD15	457.8016	ABHD15	1525.4582
ABHD1	39.1107	ABHD1	41.7515
ABHD2	4771.9226	ABHD2	2742.8717
ABHD3	493.2071	ABHD3	272.9124
ABHD4	991.3545	ABHD4	2185.8452
ABHD5	956.7723	ABHD5	1917.0061
ABHD6	156.443	ABHD6	552.9532
ABHD8	337.9992	ABHD8	134.9287
ABI1	1459.4483	ABI1	1145.112
ABI2	1470.9757	ABI2	648.167
ABI3BP	134.2116	ABI3BP	5065.1731
ABI3	81.515	ABI3	150.7128
ABL1	1519.9671	ABL1	2913.442
ABL2	1049.8147	ABL2	1094.1955
ABLIM1	1428.1597	ABLIM1	10234.7251
ABLIM2	278.3038	ABLIM2	117.1079
ABLIM3	1512.1449	ABLIM3	3578.4114
ABO	48.5797	ABO	16.8024
ABP1	401.3998	ABP1	16.8024
ABR	3541.7867	ABR	1561.609
ABT1	405.5167	ABT1	419.0428
ABTB1	527.7892	ABTB1	817.2098
ABTB2	130.9181	ABTB2	97.7597
ACAA1	1081.515	ACAA1	1522.4033
ACAA2	722.1079	ACAA2	4564.664
ACACA	1141.6221	ACACA	3095.723
ACACB	1510.0865	ACACB	15134.9287
ACAD10	745.986	ACAD10	631.3646
ACAD11	478.7649	ACAD11	1608.4521
ACAD8	547.5504	ACAD8	456.2118
ACAD9	1058.872	ACAD9	1304.4756
ACADL	8.6455	ACADL	680.2444
ACADM	925.8954	ACADM	2004.0733
ACADSB	1578.4273	ACADSB	1428.7169
ACADS	223.9605	ACADS	1576.3747
ACADVL	2485.7925	ACADVL	7975.0255
ACAN	67.1058	ACAN	6.11
ACAP1	12.3508	ACAP1	38.6965
ACAP2	1293.1247	ACAP2	1550.4073
ACAP3	885.5496	ACAP3	429.2261
ACAT1	1987.2375	ACAT1	3866.0896
ACAT2	456.8506	ACAT2	337.9124
ACBD3	1474.2692	ACBD3	1124.2363
ACBD4	383.697	ACBD4	359.9796
ACBD5	1268.4232	ACBD5	1163.9511
ACBD6	466.4471	ACBD6	368.6354
ACBD7	25.9366	ACBD7	8.6558
ACCN1	12.3508	removed	removed
ACCN2	275.422	ACCN2	79.4297
ACCN3	16.8794	ACCN3	10.1833
ACCS	334.2939	ACCS	335.5397
