gene_id	TCGA-A7-A0DB-01A-11R-A00Z-07	gene_id	TCGA-A7-A0DB-11A-33R-A089-07
?|100134869	5.2457	removed	removed
?|10357	82.6286	?|10357	61.2165
?|10431	1071.367	?|10431	696.3918
?|155060	122.6171	?|155060	106.1856
?|390284	9.9626	?|390284	12.3711
?|57714	554.4592	?|57714	716.4948
?|645851	5.3645	?|645851	12.8866
?|652919	16.5763	?|652919	29.8969
?|653553	203.0846	?|653553	135.0515
removed	removed	?|729884	10.8247
?|8225	494.3002	?|8225	470.6186
?|90288	96.9442	?|90288	9.2784
A1BG	302.9294	A1BG	19.0722
A2LD1	108.7537	A2LD1	153.567
removed	removed	A2ML1	9.7938
A2M	12326.7286	A2M	41867.0567
A4GALT	162.0845	A4GALT	648.4536
AAAS	752.5625	AAAS	557.2165
AACSL	8.4299	removed	removed
AACS	928.8246	AACS	1265.4639
removed	removed	AADACL2	20.6186
AADAC	11.1122	AADAC	371.6495
AADAT	17.243	AADAT	56.1856
AAGAB	1921.64	AAGAB	807.732
AAK1	1053.3576	AAK1	1192.268
AAMP	2431.2674	AAMP	1855.1546
AARS2	443.7168	AARS2	251.5464
AARSD1	513.4591	AARSD1	402.0619
AARS	1824.6959	AARS	2707.732
AASDHPPT	1005.0771	AASDHPPT	679.8969
AASDH	311.9073	AASDH	250
AASS	307.3091	AASS	759.7938
AATF	1063.3202	AATF	960.8247
AATK	19.9253	AATK	33.701
ABAT	2811.3804	ABAT	264.433
ABCA10	26.0561	ABCA10	321.134
ABCA11P	132.756	ABCA11P	78.433
ABCA12	368.6177	removed	removed
ABCA17P	21.8412	removed	removed
ABCA1	934.5569	ABCA1	7357.8763
ABCA2	1381.3584	ABCA2	979.3814
ABCA3	2374.5569	ABCA3	801.5464
ABCA4	42.1496	ABCA4	24.7423
ABCA5	103.8414	ABCA5	737.6289
ABCA6	164.7667	ABCA6	1309.7938
ABCA7	434.9076	ABCA7	241.2371
ABCA8	247.9165	ABCA8	4790.2062
ABCA9	189.6733	ABCA9	2755.1546
ABCB10	544.4966	ABCB10	492.268
removed	removed	ABCB11	30.9278
ABCB1	60.9254	ABCB1	141.7526
ABCB4	27.972	ABCB4	13.9175
ABCB5	6.514	ABCB5	80.4124
ABCB6	384.9373	ABCB6	849.3711
ABCB7	549.8611	ABCB7	543.8144
ABCB8	1143.4045	ABCB8	411.8557
ABCB9	108.064	ABCB9	37.2268
ABCC10	298.496	ABCC10	273.1959
ABCC11	450.2347	removed	removed
ABCC1	951.4321	ABCC1	2343.299
ABCC2	6.8972	ABCC2	58.7629
ABCC3	387.7766	ABCC3	234.0206
ABCC4	113.804	ABCC4	229.3814
ABCC5	1448.0314	ABCC5	1163.4021
ABCC6P1	20.3085	ABCC6P1	30.4124
ABCC6P2	38.3178	ABCC6P2	11.8557
ABCC6	163.234	ABCC6	208.7629
ABCC8	167.0658	removed	removed
ABCC9	227.608	ABCC9	3332.9897
ABCD1	289.6829	ABCD1	810.8247
