gene_id	TCGA-A7-A13E-01A-11R-A12P-07	gene_id	TCGA-A7-A13E-11A-61R-A12P-07
?|10357	80.2221	?|10357	103.8931
?|10431	2202.6262	?|10431	912.8577
?|155060	290.8082	?|155060	67.33
?|57714	637.1304	?|57714	755.2666
?|645851	11.1028	removed	removed
?|652919	32.8942	?|652919	145.7938
?|653553	84.9792	?|653553	256.1466
?|729884	5.1244	removed	removed
?|8225	263.9052	?|8225	356.6537
?|90288	5.5514	?|90288	68.3058
A1BG	115.3326	A1BG	41.5445
A2LD1	99.7758	A2LD1	122.7455
A2ML1	4223.7643	removed	removed
A2M	4947.8979	A2M	50626.1321
A4GALT	105.9037	A4GALT	505.9505
AAAS	721.2555	AAAS	612.8003
AACS	1178.6057	AACS	1615.4312
removed	removed	AADACL3	61.4752
removed	removed	AADAC	45.8624
AADAT	22.2056	AADAT	53.6688
AAGAB	728.088	AAGAB	947.0106
AAK1	981.3174	AAK1	1302.6884
AAMP	1457.457	AAMP	1445.1547
AARS2	413.7504	AARS2	205.815
AARSD1	673.001	AARSD1	362.5084
AARS	6896.1247	AARS	3263.5517
AASDHPPT	486.8154	AASDHPPT	740.1417
AASDH	243.4077	AASDH	348.3594
AASS	24.3408	AASS	458.6244
AATF	1316.1097	AATF	593.2843
AATK	58.5033	AATK	37.0803
ABAT	58.5033	ABAT	485.4588
removed	removed	ABCA10	271.2715
ABCA11P	51.1669	ABCA11P	104.9616
removed	removed	ABCA12	35.1287
ABCA13	1322.9422	ABCA13	16.1006
ABCA17P	8.9677	removed	removed
ABCA1	857.0514	ABCA1	4199.2333
ABCA2	1192.2707	ABCA2	1973.0607
ABCA3	3197.1816	ABCA3	965.5507
ABCA4	6.8325	ABCA4	106.3618
ABCA5	14.092	ABCA5	726.9685
ABCA6	12.3839	ABCA6	1004.5826
ABCA7	473.1504	ABCA7	329.8192
ABCA8	11.9569	ABCA8	4396.9394
ABCA9	5.9784	ABCA9	853.3341
ABCB10	799.4022	ABCB10	376.6575
ABCB1	6.8325	ABCB1	209.7963
ABCB4	5.5514	ABCB4	13.1733
removed	removed	ABCB5	78.0637
ABCB6	581.3644	ABCB6	624.5245
ABCB7	339.4897	ABCB7	460.576
ABCB8	1138.0378	ABCB8	456.1849
ABCB9	49.1214	ABCB9	85.1675
ABCC10	684.9578	ABCC10	317.6218
removed	removed	ABCC11	234.1912
ABCC1	1840.0769	ABCC1	1499.7994
ABCC2	5.5514	ABCC2	19.5159
ABCC3	191.3099	ABCC3	408.8588
ABCC4	520.1238	ABCC4	169.7886
ABCC5	870.7163	ABCC5	610.3608
removed	removed	ABCC6P1	34.1529
removed	removed	ABCC6P2	65.3784
ABCC6	11.1028	ABCC6	872.85
removed	removed	ABCC8	96.116
ABCC9	155.0123	ABCC9	2049.6607
ABCD1	165.6881	ABCD1	370.3148
removed	removed	ABCD2	1238.7738
ABCD3	939.0413	ABCD3	1444.1789
ABCD4	277.1432	ABCD4	708.9162
removed	removed	ABCE1	1349.0388
ABCF1	2419.131	ABCF1	1260.7292
ABCF2	1954.0942	ABCF2	1216.8183
ABCF3	1169.2111	ABCF3	786.492
ABCG1	184.0504	ABCG1	703.5493
ABCG2	10.6758	ABCG2	141.9784
ABHD10	526.5293	ABHD10	687.4487
ABHD11	621.3302	ABHD11	262.0014
removed	removed	ABHD12B	9.2701
ABHD12	1890.8936	ABHD12	834.794
