gene_id	TCGA-A7-A13F-01A-11R-A12P-07	gene_id	TCGA-A7-A13F-11A-42R-A12P-07
?|10357	77.4137	?|10357	83.5204
?|10431	986.747	?|10431	653.7943
?|155060	40.1606	?|155060	192.1868
?|390284	12.8514	removed	removed
?|57714	340.5622	?|57714	521.3291
removed	removed	?|645851	8.5317
?|652919	7.2129	removed	removed
?|653553	677.9116	?|653553	204.3107
?|8225	391.5663	?|8225	424.7867
?|90288	19.2771	?|90288	13.9201
A1BG	231.008	A1BG	67.5258
A2LD1	45.249	A2LD1	112.7885
removed	removed	A2ML1	9.8788
A2M	13194.3494	A2M	30585.357
A4GALT	97.5904	A4GALT	469.2411
AAAS	912.8514	AAAS	672.6538
AACS	1278.3133	AACS	1501.5716
removed	removed	AADACL3	65.559
removed	removed	AADAC	208.352
AADAT	73.494	AADAT	86.2146
AAGAB	2887.1486	AAGAB	733.7225
AAK1	719.2771	AAK1	1044.9035
AAMP	2422.0884	AAMP	1655.1414
AARS2	560.6305	AARS2	345.7566
AARSD1	701.2048	AARSD1	415.806
AARS	4173.8956	AARS	3305.3435
AASDHPPT	796.3855	AASDHPPT	720.2515
AASDH	236.5462	AASDH	398.2937
AASS	157.4297	AASS	519.533
AATF	1790.3614	AATF	725.6399
AATK	35.743	AATK	53.8841
ABAT	1834.1365	ABAT	272.564
removed	removed	ABCA10	528.9627
ABCA11P	102.0964	ABCA11P	119.6632
ABCA12	723.2932	ABCA12	9.8788
removed	removed	ABCA13	5.8374
ABCA17P	10.0402	ABCA17P	8.5317
ABCA1	307.2289	ABCA1	1763.3229
ABCA2	873.0924	ABCA2	1634.9349
ABCA3	2575.1004	ABCA3	1284.6879
ABCA4	638.1526	ABCA4	57.4764
ABCA5	89.1566	ABCA5	966.3224
ABCA6	48.1928	ABCA6	1127.0768
ABCA7	538.1526	ABCA7	362.3709
ABCA8	31.3253	ABCA8	2976.6502
ABCA9	22.8916	ABCA9	1022.9008
ABCB10	1079.9197	ABCB10	410.8666
removed	removed	ABCB11	5.3884
ABCB1	55.8233	ABCB1	255.5007
ABCB4	19.2771	ABCB4	24.2479
ABCB5	6.4257	ABCB5	32.3305
ABCB6	494.8153	ABCB6	518.0242
ABCB7	550.2008	ABCB7	492.1419
removed	removed	ABCB8	392.4562
ABCB9	152.2169	ABCB9	139.5195
ABCC10	268.6747	ABCC10	391.5581
ABCC11	1555.8233	ABCC11	5.8374
ABCC1	1297.5904	ABCC1	1290.9744
ABCC2	5.6225	ABCC2	30.9834
ABCC3	5318.4739	ABCC3	678.9403
ABCC4	56.2249	ABCC4	131.1181
ABCC5	802.8112	ABCC5	860.7993
ABCC6P1	6.8273	ABCC6P1	57.9255
ABCC6P2	64.257	ABCC6P2	67.3552
ABCC6	258.2329	ABCC6	558.599
