gene_id	TCGA-A7-A13G-01A-11R-A13Q-07	gene_id	TCGA-A7-A13G-11A-51R-A13Q-07
?|100133144	13.1351	?|100133144	6.2993
?|100134869	6.2366	removed	removed
?|10357	66.9025	?|10357	114.5303
?|10431	766.799	?|10431	633.1842
?|155060	165.1981	?|155060	191.5413
?|390284	6.1882	?|390284	8.1334
?|57714	840.7883	?|57714	844.2456
?|645851	16.1431	?|645851	11.3867
?|652919	28.3796	removed	removed
?|653553	51.658	?|653553	95.5673
?|728788	15.336	removed	removed
?|8225	442.0529	?|8225	311.9154
?|90288	132.9118	?|90288	43.5136
A1BG	156.505	A1BG	17.4868
A2LD1	79.809	A2LD1	114.4124
A2M	4222.9851	A2M	41476.405
A4GALT	124.5712	A4GALT	377.7959
AAAS	717.8314	AAAS	524.1968
AACS	819.2641	AACS	1621.7975
removed	removed	AADAC	433.9162
AADAT	9.9549	AADAT	80.9272
AAGAB	2298.7825	AAGAB	706.7914
AAK1	1280.6888	AAK1	2246.4416
AAMP	2354.4764	AAMP	1468.4831
AARS2	434.245	AARS2	179.7397
AARSD1	574.6956	AARSD1	355.429
AARS	1493.2401	AARS	2511.5901
AASDHPPT	811.7307	AASDHPPT	926.7995
AASDH	513.0827	AASDH	377.7959
AASS	169.2339	AASS	2510.7767
AATF	1091.0069	AATF	684.0179
AATK	52.4652	AATK	18.7068
ABAT	4783.4802	ABAT	482.7166
ABCA10	7.2644	ABCA10	810.4921
ABCA11P	146.8487	ABCA11P	164.8963
ABCA12	29.5957	removed	removed
ABCA17P	14.2598	ABCA17P	6.5067
ABCA1	331.7414	ABCA1	7194.9858
ABCA2	1723.5488	ABCA2	1793.8186
ABCA3	3019.0354	ABCA3	1151.281
ABCA4	14.5288	ABCA4	28.8735
ABCA5	117.5758	ABCA5	1115.0874
ABCA6	35.5149	ABCA6	1929.6462
ABCA7	648.685	ABCA7	261.8951
ABCA8	38.4745	ABCA8	7367.2224
ABCA9	18.2956	ABCA9	3270.8418
ABCB10	804.4663	ABCB10	594.5506
removed	removed	ABCB11	92.3139
ABCB1	20.717	ABCB1	185.8479
ABCB4	17.7574	ABCB4	21.9601
removed	removed	ABCB5	130.9475
ABCB6	349.6146	ABCB6	529.9512
ABCB7	536.4902	ABCB7	838.5523
ABCB8	497.7467	ABCB8	287.9219
ABCB9	91.6527	ABCB9	44.327
