gene_id	TCGA-AC-A23H-01A-11R-A157-07	gene_id	TCGA-AC-A23H-11A-12R-A157-07
removed	removed	?|100133144	5.8538
removed	removed	?|100134869	8.4587
?|10357	114.4447	?|10357	93.7866
?|10431	650.45	?|10431	622.2381
?|155060	154.1323	?|155060	107.3441
?|390284	5.6535	?|390284	7.1563
?|57714	713.5312	?|57714	522.0503
?|645851	15.4727	?|645851	6.0828
?|652919	165.7755	?|652919	10.5591
?|653553	455.2555	?|653553	131.3176
removed	removed	?|729884	5.3672
?|8225	511.493	?|8225	231.1477
removed	removed	?|90288	10.0188
A1BG	13.6874	A1BG	38.5795
A2LD1	83.3623	A2LD1	76.2072
A2ML1	37.7892	A2ML1	33.9923
A2M	4767.049	A2M	37640.8373
A4GALT	85.9927	A4GALT	276.59
AAAS	647.177	AAAS	473.0298
AACS	1891.2445	AACS	1001.8785
removed	removed	AADAC	219.6976
AADAT	20.2336	AADAT	98.041
AAGAB	2393.5134	AAGAB	1015.1176
removed	removed	AAK1	1168.9775
AAMP	3284.981	AAMP	1089.1851
AARS2	243.9902	AARS2	234.0066
AARSD1	255.0026	AARSD1	373.5576
removed	removed	AARS	2122.5512
AASDHPPT	1453.8421	AASDHPPT	899.9016
removed	removed	AASDH	453.35
removed	removed	AASS	922.0861
AATF	833.4449	AATF	803.2919
AATK	13.3899	AATK	22.5423
removed	removed	ABAT	457.286
removed	removed	ABCA10	517.3987
removed	removed	ABCA11P	168.3227
removed	removed	ABCA12	36.1392
removed	removed	ABCA13	49.7361
ABCA17P	8.9266	ABCA17P	7.8719
ABCA1	569.8103	ABCA1	1913.5558
ABCA2	3179.3498	ABCA2	1019.4114
removed	removed	ABCA3	802.5763
ABCA4	20.5311	ABCA4	202.8804
ABCA5	258.2757	ABCA5	1035.8708
removed	removed	ABCA6	963.2346
ABCA7	284.4603	ABCA7	147.4193
removed	removed	ABCA8	2817.0677
removed	removed	ABCA9	3228.5535
removed	removed	ABCB10	435.1015
ABCB1	5.6535	ABCB1	366.4013
ABCB4	18.1507	ABCB4	35.7814
removed	removed	ABCB5	325.6105
removed	removed	ABCB6	313.1622
ABCB7	557.6136	ABCB7	679.8461
ABCB8	880.7558	ABCB8	195.7241
ABCB9	248.2987	ABCB9	79.1591
ABCC10	302.3135	ABCC10	237.9461
ABCC11	13842.1483	ABCC11	473.0298
ABCC12	11.6046	removed	removed
ABCC1	742.9889	ABCC1	1176.1338
ABCC2	461.2066	ABCC2	19.6798
ABCC3	3422.1528	ABCC3	411.8436
removed	removed	ABCC4	172.1084
ABCC5	1941.5309	ABCC5	869.8452
ABCC6P2	24.1018	ABCC6P2	11.8079
removed	removed	ABCC6	86.9487
removed	removed	ABCC8	20.0376
ABCC9	267.4998	ABCC9	1234.4575
ABCD1	531.7265	ABCD1	162.0896
removed	removed	ABCD2	123.4457
ABCD3	2031.6894	ABCD3	1414.08
removed	removed	ABCD4	554.9691
removed	removed	ABCE1	1947.2225
ABCF1	1795.7301	ABCF1	1043.7427
ABCF2	1453.247	ABCF2	1121.0305
ABCF3	1311.3144	ABCF3	562.4832
ABCG1	988.4698	ABCG1	623.6694
ABCG2	26.4822	ABCG2	351.7309
ABHD10	848.025	ABHD10	827.6232
ABHD11	1830.8413	ABHD11	325.9683
removed	removed	ABHD12B	5.725
ABHD12	1342.855	ABHD12	778.9606
ABHD13	535.2972	ABHD13	644.0648
ABHD14A	327.6203	ABHD14A	363.9395
ABHD14B	2020.0848	ABHD14B	2892.9242
ABHD15	663.8399	ABHD15	372.1263
ABHD1	6.8437	ABHD1	24.3313
ABHD2	2605.6684	ABHD2	4352.8044
ABHD3	339.21	ABHD3	235.7993
ABHD4	936.1006	ABHD4	1099.2039
ABHD5	795.0606	ABHD5	1316.039
ABHD6	82.1245	ABHD6	234.7258
ABHD8	36.0039	ABHD8	178.5491
