gene_id	TCGA-AC-A2FB-01A-11R-A17B-07	gene_id	TCGA-AC-A2FB-11A-13R-A17B-07
?|100133144	10.3153	?|100133144	11.1613
?|100134869	7.5144	removed	removed
?|10357	85.7347	?|10357	88.527
?|10431	825.9989	?|10431	678.6409
?|155060	180.5657	?|155060	105.5396
?|390284	6.8077	?|390284	5.713
?|57714	2237.1343	?|57714	463.352
?|645851	13.2912	?|645851	5.1116
?|652919	51.9329	removed	removed
?|653553	89.4724	?|653553	247.4619
?|729884	40.5219	removed	removed
?|8225	257.0711	?|8225	383.0698
?|90288	33.0659	?|90288	26.1594
A1BG	100.4004	A1BG	75.5676
A2LD1	107.5646	A2LD1	73.6582
removed	removed	A2ML1	11.1253
A2M	25662.9257	A2M	43303.4565
A4GALT	175.0547	A4GALT	489.5114
AAAS	553.6915	AAAS	582.4224
AACS	662.9386	AACS	847.9252
removed	removed	AADACL2	10.2232
removed	removed	AADAC	88.4007
AADAT	24.3132	AADAT	67.3529
AAGAB	2073.4257	AAGAB	1018.1116
AAK1	1444.2013	AAK1	966.9956
AAMP	1948.294	AAMP	1972.1778
AARS2	337.1229	AARS2	318.42
AARSD1	871.3834	AARSD1	464.2541
AARS	2710.1062	AARS	2823.7112
AASDHPPT	643.446	AASDHPPT	702.5662
AASDH	332.2798	AASDH	350.2953
AASS	288.1919	AASS	490.1128
AATF	853.2296	AATF	969.7017
AATK	26.5824	AATK	45.1235
ABAT	988.4107	ABAT	657.2924
ABCA10	17.5055	ABCA10	275.8463
ABCA11P	107.2858	ABCA11P	129.8679
ABCA12	1313.5586	ABCA12	18.3416
ABCA13	5.8352	removed	removed
removed	removed	ABCA17P	5.4123
ABCA1	775.7452	ABCA1	1638.0893
ABCA2	1691.5471	ABCA2	1368.407
ABCA3	974.7954	ABCA3	899.0413
ABCA4	92.7142	ABCA4	89.0021
ABCA5	249.615	ABCA5	543.514
ABCA6	152.0383	ABCA6	1058.1024
ABCA7	444.1203	ABCA7	279.0335
ABCA8	143.9339	ABCA8	1972.4785
ABCA9	117.9998	ABCA9	1528.0695
ABCB10	581.2465	ABCB10	382.7691
ABCB1	382.2028	ABCB1	328.3455
ABCB4	19.7747	ABCB4	29.7676
ABCB5	12.6428	ABCB5	107.043
ABCB6	349.3314	ABCB6	375.0475
ABCB7	528.4059	ABCB7	509.0558
ABCB8	562.7685	ABCB8	346.6872
ABCB9	80.4538	ABCB9	116.3702
ABCC10	314.7743	ABCC10	291.9629
ABCC11	2762.6226	ABCC11	150.642
ABCC12	33.3901	removed	removed
ABCC1	872.3559	ABCC1	1013.6014
ABCC2	69.3735	ABCC2	36.984
ABCC3	386.7412	ABCC3	510.2585
ABCC4	236.648	ABCC4	184.9199
ABCC5	582.219	ABCC5	524.3906
removed	removed	ABCC6P1	12.0273
ABCC6P2	10.3736	ABCC6P2	27.0614
ABCC6	15.5604	ABCC6	197.5485
ABCC8	40.8461	ABCC8	33.6765
ABCC9	205.203	ABCC9	865.0641
ABCD1	219.1426	ABCD1	216.1909
ABCD2	66.1318	ABCD2	187.9267
ABCD3	3676.7971	ABCD3	1365.4001
ABCD4	493.3949	ABCD4	816.6542
ABCE1	1673.0691	ABCE1	1384.6438
ABCF1	1709.3768	ABCF1	1398.4752
ABCF2	1450.3606	ABCF2	1132.6717
ABCF3	965.0701	ABCF3	832.2897
ABCG1	1562.2012	ABCG1	660.9006
ABCG2	155.28	ABCG2	255.2796
ABHD10	567.9553	ABHD10	669.9211
ABHD11	991.9767	ABHD11	317.2202
ABHD12B	13.6154	ABHD12B	5.1116
ABHD12	979.658	ABHD12	945.3464
ABHD13	658.076	ABHD13	508.4544
ABHD14A	183.1591	ABHD14A	309.7032
ABHD14B	1361.8608	ABHD14B	2638.19
ABHD15	384.1478	ABHD15	505.1469
ABHD1	24.3132	ABHD1	35.7812
ABHD2	22388.5242	ABHD2	3136.4212
ABHD3	942.0537	ABHD3	233.0291
ABHD4	563.4168	ABHD4	1028.6355
ABHD5	670.0705	ABHD5	811.8433
ABHD6	172.1371	ABHD6	354.8056
ABHD8	199.0437	ABHD8	227.3161
ABI1	1520.0519	ABI1	1648.2433
ABI2	1691.223	ABI2	1715.0941
ABI3BP	1120.9985	ABI3BP	3013.442
ABI3	327.093	ABI3	243.553
ABL1	2126.5905	ABL1	3363.136
ABL2	1345.9762	ABL2	909.5652
ABLIM1	4190.2909	ABLIM1	8823.8345
ABLIM2	89.4724	ABLIM2	99.526
ABLIM3	733.6089	ABLIM3	1576.4794
ABO	6.1593	ABO	15.6355
ABP1	46.6813	ABP1	16.8382
ABR	1784.5855	ABR	2209.1158
ABT1	462.2741	ABT1	552.3541
ABTB1	400.0324	ABTB1	644.0623
ABTB2	221.736	ABTB2	120.2731
ACAA1	1129.427	ACAA1	1099.8973
ACAA2	768.6198	ACAA2	2346.2271
ACACA	1338.5201	ACACA	1844.087
ACACB	1166.0588	ACACB	3699.2993
ACAD10	536.5103	ACAD10	481.393
ACAD11	299.8395	ACAD11	520.7734
ACAD8	396.1423	ACAD8	595.6524
ACAD9	763.1542	ACAD9	1075.539
removed	removed	ACADL	162.3687
ACADM	1283.0861	ACADM	1105.3096
ACADSB	1813.7612	ACADSB	2061.1799
ACADS	292.082	ACADS	679.2422
ACADVL	2531.1354	ACADVL	5298.8591
ACAN	16.2088	ACAN	20.4464
ACAP1	441.2027	ACAP1	101.6308
ACAP2	1625.0912	ACAP2	1356.981
ACAP3	377.0289	ACAP3	376.5028
ACAT1	506.6861	ACAT1	1787.8593
ACAT2	345.0004	ACAT2	310.2324
ACBD3	1836.7777	ACBD3	1307.6691
ACBD4	117.9998	ACBD4	273.6213
ACBD5	915.7954	ACBD5	665.1101
ACBD6	394.8456	ACBD6	374.35
ACBD7	29.5	ACBD7	34.8792
ACCN1	16.8571	ACCN1	18.6423
ACCN2	23.989	ACCN2	163.8721
ACCN3	15.8846	removed	removed
ACCS	126.4284	ACCS	258.2864
ACD	245.0766	ACD	344.2817
ACE2	6.8077	ACE2	20.7471
ACER2	311.8567	ACER2	125.084
ACER3	245.7249	ACER3	449.8213
ACE	696.0045	ACE	1071.6331
ACHE	38.901	ACHE	15.3348
ACIN1	2743.1721	ACIN1	2508.8964
ACLY	2560.3371	ACLY	2918.4263
ACN9	150.0932	ACN9	174.9973
ACO1	653.5376	ACO1	2495.6664
ACO2	2627.3377	ACO2	2532.6203
ACOT11	27.636	ACOT11	46.3051
ACOT13	593.7564	ACOT13	589.7109
ACOT1	701.1913	ACOT1	866.8682
ACOT2	398.4115	ACOT2	442.3043
ACOT4	261.6095	ACOT4	131.3983
ACOT7	244.7524	ACOT7	287.4527
ACOT8	220.8704	ACOT8	200.1975
ACOT9	273.2798	ACOT9	668.117
ACOX1	1610.1791	ACOX1	2467.7029
ACOX2	232.1096	ACOX2	317.8216
ACOX3	877.8669	ACOX3	492.8189
ACP1	1623.1461	ACP1	1174.4666
ACP2	1313.2345	ACP2	899.342
ACP5	646.4057	ACP5	687.6613
ACP6	226.5986	ACP6	256.1817
ACPL2	279.7634	ACPL2	405.0196
ACPP	19.7747	ACPP	27.0614
ACRBP	60.945	ACRBP	35.7812
ACRC	11.3461	ACRC	18.3416
ACR	6.4835	ACR	7.5171
ACSBG1	7.1319	ACSBG1	26.4601
ACSF2	913.8504	ACSF2	740.9122
ACSF3	265.8238	ACSF3	286.5506
ACSL1	2738.9578	ACSL1	8589.9034
ACSL3	3700.4619	ACSL3	2526.336
ACSL4	1273.0367	ACSL4	1779.4402
ACSL5	900.8834	ACSL5	899.9433
ACSL6	41.4944	removed	removed
ACSM1	57.379	ACSM1	69.4577
ACSM3	63.1526	ACSM3	111.8119
ACSM5	17.5055	ACSM5	258.8878
ACSS1	1160.2237	ACSS1	693.9757
ACSS2	741.7133	ACSS2	2045.2437
ACSS3	101.1427	ACSS3	362.022
removed	removed	ACTA1	52.3188
ACTA2	5835.5523	ACTA2	44806.01
ACTB	79340.6273	ACTB	99917.4626
removed	removed	ACTC1	37.5853
ACTG1	69433.1794	ACTG1	59725.5068
ACTG2	307.3183	ACTG2	17234.531
ACTL6A	839.2901	ACTL6A	748.6999
ACTN1	6538.9416	ACTN1	12030.6155
ACTN2	32.7417	ACTN2	5.1116
ACTN4	8438.2008	ACTN4	12681.0644
ACTR10	956.3174	ACTR10	1252.0428
ACTR1A	2511.3867	ACTR1A	2889.8614
ACTR1B	929.0866	ACTR1B	1597.5272
ACTR2	8175.3789	ACTR2	5092.9636
ACTR3B	192.8844	ACTR3B	161.1659
ACTR3C	38.901	ACTR3C	44.2004
ACTR3	3716.0224	ACTR3	3303.3001
ACTR5	161.4393	ACTR5	195.4438
ACTR6	544.6146	ACTR6	523.7893
ACTR8	512.1971	ACTR8	503.3428
ACVR1B	1881.5139	ACVR1B	1113.428
ACVR1C	12.967	ACVR1C	681.9484
ACVR1	1017.9107	ACVR1	1364.1974
ACVR2A	419.4829	ACVR2A	612.7913
ACVR2B	436.3401	ACVR2B	399.3066
ACVRL1	657.4277	ACVRL1	1304.0609
ACY1	763.1088	ACY1	538.222
ACY3	10.6978	ACY3	15.9362
ACYP1	59.3241	ACYP1	58.9338
ACYP2	81.368	ACYP2	159.0611
ADAL	202.9338	ADAL	198.7513
ADAM10	2017.3434	ADAM10	1582.1924
removed	removed	ADAM11	7.8178
ADAM12	1006.2404	ADAM12	249.266
ADAM15	3946.5273	ADAM15	3119.3184
ADAM17	897.6416	ADAM17	722.2398
ADAM19	627.9277	ADAM19	168.3823
ADAM21P1	9.0769	removed	removed
ADAM21	32.7417	removed	removed
ADAM22	108.9229	ADAM22	64.9475
ADAM23	73.2636	ADAM23	98.0226
ADAM28	258.0436	ADAM28	162.3687
ADAM32	38.2527	ADAM32	37.2847
ADAM33	99.846	ADAM33	821.6606
ADAM6	27845.5953	ADAM6	132238.255
ADAM8	276.5216	ADAM8	85.0932
ADAM9	1399.4651	ADAM9	2210.6192
ADAMDEC1	291.7578	removed	removed
ADAMTS10	55.1098	ADAMTS10	198.1499
ADAMTS12	169.8679	ADAMTS12	124.4826
ADAMTS13	23.6648	ADAMTS13	26.4601
ADAMTS14	17.5055	ADAMTS14	8.4191
ADAMTS15	971.8778	ADAMTS15	207.1704
ADAMTS16	9.4011	ADAMTS16	238.4414
ADAMTS17	28.2033	ADAMTS17	31.271
ADAMTS18	10.3736	ADAMTS18	32.7744
ADAMTS1	1926.2501	ADAMTS1	3138.526
ADAMTS2	267.7689	ADAMTS2	721.0371
ADAMTS3	52.5164	ADAMTS3	230.0223
ADAMTS4	320.2853	ADAMTS4	96.2185
ADAMTS5	229.5162	ADAMTS5	2882.645
ADAMTS6	32.7417	ADAMTS6	44.501
ADAMTS7	71.3186	ADAMTS7	85.6946
ADAMTS8	38.2527	ADAMTS8	59.8359
ADAMTS9	305.3732	ADAMTS9	638.0487
ADAMTSL1	528.0817	ADAMTSL1	585.7299
ADAMTSL2	70.9944	ADAMTSL2	126.2867
ADAMTSL3	129.346	ADAMTSL3	551.1514
ADAMTSL4	181.214	ADAMTSL4	1632.1057
ADAMTSL5	74.8845	ADAMTSL5	46.6058
ADAP1	147.8758	ADAP1	113.2972
ADAP2	342.6534	ADAP2	403.8169
ADARB1	609.1255	ADARB1	777.2648
ADARB2	48.9505	removed	removed
ADAR	15774.0498	ADAR	6857.3697
ADAT1	323.527	ADAT1	242.9516
ADAT2	94.335	ADAT2	120.5738
ADAT3	19.7747	ADAT3	27.3621
ADA	165.9778	ADA	124.182
ADCK1	158.1976	ADCK1	171.0885
ADCK2	695.3562	ADCK2	737.274
ADCK4	367.9391	ADCK4	445.9124
ADCK5	40.8461	ADCK5	56.829
ADCY1	305.049	ADCY1	1274.8946
ADCY2	45.7087	ADCY2	103.4348
ADCY3	1080.8072	ADCY3	1965.1268
ADCY4	229.192	ADCY4	501.8394
ADCY5	1650.0527	ADCY5	369.2384
ADCY6	1384.8772	ADCY6	2176.6421
ADCY7	981.603	ADCY7	928.8089
removed	removed	ADCY8	5.1116
ADCY9	558.8784	ADCY9	1042.7676
ADCYAP1R1	30.7967	ADCYAP1R1	57.4304
ADCYAP1	106.9779	ADCYAP1	15.3348
ADC	168.5712	ADC	151.5441
ADD1	6177.1618	ADD1	8107.007
ADD2	65.1593	ADD2	107.3437
ADD3	3832.4013	ADD3	4128.0728
removed	removed	ADH1A	205.9676
ADH1B	304.7249	ADH1B	19326.9819
ADH1C	31.1208	ADH1C	496.4271
removed	removed	ADH4	33.9771
ADH5	2147.3377	ADH5	3806.643
