gene_id	TCGA-AC-A2FF-01A-11R-A17B-07	gene_id	TCGA-AC-A2FF-11A-13R-A17B-07
?|100133144	9.6908	?|100133144	9.4621
removed	removed	?|100134869	6.187
?|10357	109.43	?|10357	97.6954
?|10431	638.9694	?|10431	733.8332
?|155060	118.5185	?|155060	175.7734
?|390284	9.9839	?|390284	7.2657
?|57714	921.095	?|57714	704.2116
?|645851	13.2045	?|645851	13.1341
?|652919	53.9936	?|652919	44.5498
?|653553	92.7536	?|653553	136.93
?|729884	7.0853	?|729884	127.1493
?|8225	261.5137	?|8225	395.9793
?|90288	6.7633	?|90288	24.0326
A1BG	86.628	A1BG	87.5849
A2LD1	101.5233	A2LD1	76.5467
A2ML1	9.0177	A2ML1	17.3258
A2M	36579.8422	A2M	36954.5029
A4GALT	293.3977	A4GALT	329.4704
AAAS	644.1224	AAAS	698.902
AACS	1225.7649	AACS	2725.7459
AADAC	7.4074	removed	removed
AADAT	48.3092	AADAT	143.3574
AAGAB	1340.0966	AAGAB	1282.1122
AAK1	1076.0064	AAK1	1115.5606
AAMP	1833.1723	AAMP	2049.4792
AARS2	341.6006	AARS2	437.8575
AARSD1	420.6119	AARSD1	597.1826
AARS	2370.3704	AARS	2995.6937
AASDHPPT	975.8454	AASDHPPT	879.7056
AASDH	374.8792	AASDH	357.1359
AASS	526.248	AASS	502.7288
AATF	657.971	AATF	870.2043
AATK	36.1224	AATK	43.6108
ABAT	1497.2625	ABAT	1002.1043
ABCA10	270.2093	ABCA10	238.37
ABCA11P	124.4477	ABCA11P	156.8072
ABCA12	224.1546	ABCA12	783.8546
ABCA13	15.4589	ABCA13	49.7419
ABCA17P	8.6957	removed	removed
ABCA1	2041.1498	ABCA1	1343.0041
ABCA2	1270.8535	ABCA2	1582.2405
ABCA3	1356.5217	ABCA3	1829.5529
ABCA4	19.0016	ABCA4	56.7282
ABCA5	540.7407	ABCA5	728.2442
ABCA6	735.2657	ABCA6	297.6132
