gene_id	TCGA-AC-A2FM-01A-11R-A19W-07	gene_id	TCGA-AC-A2FM-11B-32R-A19W-07
?|100133144	8.286	removed	removed
?|100134869	8.7538	removed	removed
?|10357	187.4708	?|10357	133.5073
?|10431	690.9455	?|10431	925.367
?|155060	206.1477	?|155060	250.8157
?|390284	10.0234	?|390284	8.5644
?|57714	496.4918	?|57714	75.0408
?|645851	13.6986	removed	removed
?|653553	610.4243	?|653553	398.0424
?|728788	5.3458	removed	removed
removed	removed	?|729884	12.6427
?|8225	804.2098	?|8225	1325.0408
?|90288	40.7618	?|90288	38.7439
A1BG	1299.5289	A1BG	355.102
A2LD1	108.5667	A2LD1	81.4478
A2M	7407.9051	A2M	22892.2838
A4GALT	827.9318	A4GALT	753.2626
AAAS	933.1774	AAAS	909.4617
AACS	1272.6362	AACS	1199.8369
removed	removed	AADAC	15.9054
AADAT	26.0608	AADAT	51.7945
AAGAB	1567.992	AAGAB	1230.0163
AAK1	399.5991	AAK1	599.1028
AAMP	2434.0127	AAMP	3660.2773
AARS2	473.7153	AARS2	505.2977
AARSD1	679.5857	AARSD1	865.0082
AARS	3036.4183	AARS	3054.2414
AASDHPPT	706.3147	AASDHPPT	479.2007
AASDH	298.0287	AASDH	242.6591
AASS	68.159	AASS	268.7602
AATF	1761.1093	AATF	1237.3573
AATK	48.4464	AATK	155.0163
ABAT	1364.1831	ABAT	586.8679
ABCA10	24.3902	ABCA10	150.0816
ABCA11P	81.871	ABCA11P	103.7724
ABCA12	21.0491	ABCA12	38.3361
removed	removed	ABCA13	6.9331
ABCA17P	10.0234	ABCA17P	15.4976
ABCA1	692.9435	ABCA1	392.3328
ABCA2	1969.2616	ABCA2	1799.3475
ABCA3	6841.6305	ABCA3	1064.0294
removed	removed	ABCA4	33.8499
ABCA5	492.4825	ABCA5	340.5383
ABCA6	55.4627	ABCA6	241.0277
ABCA7	366.856	ABCA7	475.5302
ABCA8	105.5797	ABCA8	592.5775
ABCA9	23.0538	ABCA9	274.062
ABCB10	454.0595	ABCB10	215.7423
ABCB1	56.4651	ABCB1	296.9005
ABCB4	24.7244	ABCB4	16.721
removed	removed	ABCB5	29.7716
ABCB6	659.9866	ABCB6	494.0294
ABCB7	303.7087	ABCB7	435.155
ABCB8	1197.1266	ABCB8	706.3622
ABCB9	406.3281	ABCB9	175.6444
ABCC10	526.8961	ABCC10	438.8254
ABCC11	14.3669	ABCC11	179.4454
ABCC1	751.7541	ABCC1	704.7308
ABCC2	17.708	ABCC2	5.7096
ABCC3	40.4277	ABCC3	1178.6297
ABCC4	20.0468	ABCC4	64.845
ABCC5	1196.4584	ABCC5	398.4502
removed	removed	ABCC6P1	5.3018
removed	removed	ABCC6P2	28.5481
ABCC6	12.3622	ABCC6	129.2822
ABCC8	690.6114	ABCC8	305.8728
ABCC9	97.2269	ABCC9	93.801
ABCD1	279.6525	ABCD1	337.6835
ABCD2	14.701	ABCD2	24.8777
ABCD3	1915.4694	ABCD3	1395.5954
ABCD4	898.7638	ABCD4	920.8809
ABCE1	1082.1918	ABCE1	988.5808
ABCF1	1491.4801	ABCF1	1716.9657
ABCF2	1059.4721	ABCF2	1342.9853
ABCF3	1445.0384	ABCF3	1277.3246
ABCG1	2207.8182	ABCG1	489.3964
ABCG2	92.5493	ABCG2	81.5661
ABHD10	755.0952	ABHD10	550.1631
ABHD11	1916.1377	ABHD11	1191.6803
ABHD12B	248.58	removed	removed
ABHD12	1886.4016	ABHD12	1326.2643
ABHD13	495.4895	ABHD13	367.4551
ABHD14A	212.4958	ABHD14A	661.3051
ABHD14B	1337.4541	ABHD14B	3311.5824
ABHD15	458.0688	ABHD15	334.0131
ABHD1	5.0117	ABHD1	35.4812
ABHD2	4538.9242	ABHD2	1496.3295
ABHD3	514.868	ABHD3	200.6525
ABHD4	1578.3495	ABHD4	910.2773
ABHD5	754.427	ABHD5	803.0179
ABHD6	120.9489	ABHD6	174.1436
ABHD8	879.0511	ABHD8	630.5057
ABI1	1024.5707	ABI1	1028.6949
ABI2	718.0087	ABI2	1075.8564
ABI3BP	355.8303	ABI3BP	416.3948
ABI3	173.7387	ABI3	344.6166
ABL1	2897.0932	ABL1	2263.0506
ABL2	681.2563	ABL2	362.1533
ABLIM1	317.0732	ABLIM1	2635.3997
ABLIM2	74.5072	ABLIM2	79.9347
ABLIM3	540.9288	ABLIM3	904.9755
removed	removed	ABP1	6.9331
ABR	3130.9723	ABR	2560.3589
ABT1	559.305	ABT1	984.5024
ABTB1	803.2075	ABTB1	1394.3719
ABTB2	178.7504	ABTB2	142.7406
ACAA1	2060.1403	ACAA1	2437.602
ACAA2	1168.727	ACAA2	1869.4943
ACACA	4657.2001	ACACA	1143.1485
ACACB	1437.6879	ACACB	2234.9103
ACAD10	1182.4257	ACAD10	647.2268
ACAD11	349.148	ACAD11	440.8646
ACAD8	413.6318	ACAD8	652.1207
ACAD9	1331.7541	ACAD9	1210.8483
removed	removed	ACADL	70.5546
