gene_id	TCGA-BH-A0AU-01A-11R-A12P-07	gene_id	TCGA-BH-A0AU-11A-11R-A12P-07
?|100133144	9.1245	?|100133144	18.7655
?|100134869	5.3159	?|100134869	10.7324
?|10357	99.2103	?|10357	98.1715
?|10431	588.4477	?|10431	466.3097
?|155060	278.8809	?|155060	485.3015
?|57714	1655.6859	?|57714	668.7544
?|645851	8.574	?|645851	19.3959
removed	removed	?|652919	45.3864
?|653553	365.5235	?|653553	86.0693
removed	removed	?|728788	6.0612
?|8225	526.6245	?|8225	615.0116
?|90288	103.7906	?|90288	33.5387
A1BG	146.8773	A1BG	107.7361
A2LD1	49.0569	A2LD1	62.2851
A2M	9015.7942	A2M	23258.0018
A4GALT	685.4693	A4GALT	305.8895
AAAS	664.2599	AAAS	858.2685
AACS	1381.769	AACS	1462.3699
AADAT	129.5126	AADAT	65.4612
AAGAB	1544.6751	AAGAB	931.8113
AAK1	916.5162	AAK1	984.3419
AAMP	3233.3032	AAMP	2250.3283
AARS2	410.6092	AARS2	610.9506
AARSD1	448.1047	AARSD1	561.2688
AARS	5534.7473	AARS	2489.1403
AASDHPPT	662.0036	AASDHPPT	846.5502
AASDH	423.7365	AASDH	566.5219
AASS	301.444	AASS	713.6074
AATF	1577.6173	AATF	1087.3826
AATK	37.9061	AATK	65.8652
ABAT	2702.6173	ABAT	893.8277
ABCA10	19.4043	ABCA10	231.9426
ABCA11P	119.3186	ABCA11P	191.8295
ABCA12	233.3032	ABCA12	61.8244
removed	removed	ABCA13	34.751
ABCA17P	24.3682	ABCA17P	13.3347
ABCA1	612.8159	ABCA1	896.6279
ABCA2	1733.7545	ABCA2	1659.9657
ABCA3	4185.4693	ABCA3	1418.7292
removed	removed	ABCA4	37.9836
ABCA5	296.9314	ABCA5	1429.2353
ABCA6	171.0289	ABCA6	321.2446
ABCA7	281.1372	ABCA7	272.3507
ABCA8	159.296	ABCA8	570.5627
ABCA9	109.2058	ABCA9	357.2078
ABCB10	804.6029	ABCB10	429.9424
ABCB1	90.2527	ABCB1	687.3422
ABCB4	53.2491	ABCB4	6.4653
removed	removed	ABCB5	71.1183
ABCB6	741.8953	ABCB6	449.0393
