gene_id	TCGA-BH-A0AY-01A-21R-A00Z-07	gene_id	TCGA-BH-A0AY-11A-23R-A089-07
removed	removed	?|100133144	8.3478
removed	removed	?|100134869	8.6087
?|10357	138.6354	?|10357	62.2
?|10431	1541.0691	?|10431	676.087
?|155060	99.5219	?|155060	148.2609
?|390284	7.8227	?|390284	11.3043
?|57714	319.4263	?|57714	311.3043
removed	removed	?|645851	6.9565
removed	removed	?|652919	45.6391
?|653553	586.2668	?|653553	84.7826
removed	removed	?|729884	28.2609
?|8225	579.3133	?|8225	361.3043
?|90288	32.1599	?|90288	34.7826
A1BG	154.7023	A1BG	81.0391
A2LD1	81.1734	A2LD1	76.3304
A2ML1	37.3751	A2ML1	26.9565
A2M	21959.5002	A2M	36040.4435
A4GALT	457.1925	A4GALT	757.3913
AAAS	489.787	AAAS	534.3478
AACS	1003.9113	AACS	902.1739
removed	removed	AADACL3	6.5217
AADAC	7.8227	AADAC	28.6957
AADAT	18.2529	AADAT	50.4348
AAGAB	1532.8118	AAGAB	1058.6957
AAK1	827.4663	AAK1	1094.7826
AAMP	1821.382	AAMP	1963.4783
AARS2	378.9657	AARS2	383.4783
AARSD1	354.1938	AARSD1	480.8696
AARS	2242.5033	AARS	2781.7391
AASDHPPT	933.3507	AASDHPPT	802.6087
AASDH	218.6006	AASDH	433.913
AASS	79.5306	AASS	554.3478
AATF	939.5915	AATF	866.5217
AATK	19.5567	AATK	40
ABAT	680.5737	ABAT	790
ABCA10	13.907	ABCA10	561.7391
ABCA11P	110.6823	ABCA11P	169.9391
ABCA12	1189.0482	ABCA12	13.913
removed	removed	ABCA13	42.1739
ABCA1	744.4589	ABCA1	1309.4435
ABCA2	1749.6741	ABCA2	962.6087
ABCA3	7039.1134	ABCA3	987.8261
ABCA4	14.7762	ABCA4	73.913
ABCA5	91.2647	ABCA5	740.4348
ABCA6	175.1412	ABCA6	702.1739
ABCA7	156.4537	ABCA7	206.9565
ABCA8	272.9248	ABCA8	1755.6522
ABCA9	182.0947	ABCA9	1113.0435
ABCB10	329.8566	ABCB10	405.2174
ABCB1	29.1178	ABCB1	527.8261
ABCB4	19.1221	ABCB4	36.9565
removed	removed	ABCB5	162.1739
ABCB6	545.8714	ABCB6	450.8174
ABCB7	355.063	ABCB7	528.2609
ABCB8	829.2047	ABCB8	349.1304
ABCB9	274.9891	ABCB9	129.8174
ABCC10	299.8696	ABCC10	375.6522
ABCC11	293.3507	ABCC11	26.9565
ABCC13	5.2151	removed	removed
ABCC1	962.6249	ABCC1	1276.9565
removed	removed	ABCC2	11.7391
ABCC3	151.2386	ABCC3	246.9565
ABCC4	85.615	ABCC4	88.6957
ABCC5	1206.432	ABCC5	782.1739
ABCC6P1	18.2529	ABCC6P1	33.4783
ABCC6P2	194.2634	ABCC6P2	38.6957
ABCC6	733.1595	ABCC6	400.4348
ABCC8	16.9492	ABCC8	14.7826
ABCC9	305.5193	ABCC9	916.087
ABCD1	618.4268	ABCD1	244.3478
ABCD2	27.3794	ABCD2	256.9565
ABCD3	2021.7297	ABCD3	1873.913
ABCD4	451.5428	ABCD4	659.5652
ABCE1	1726.6406	ABCE1	1377.787
ABCF1	1934.811	ABCF1	1358.2609
ABCF2	1283.7897	ABCF2	1023.913
ABCF3	1076.0539	ABCF3	874.7826
ABCG1	986.9622	ABCG1	563.913
ABCG2	63.4507	ABCG2	222.1739
ABCG4	6.5189	removed	removed
ABHD10	573.6636	ABHD10	790
ABHD11	2589.309	ABHD11	385.2174
removed	removed	ABHD12B	9.5652
