gene_id	TCGA-BH-A0AZ-01A-21R-A12P-07	gene_id	TCGA-BH-A0AZ-11A-22R-A12P-07
removed	removed	?|100133144	12.0917
removed	removed	?|100134869	12.2929
?|10357	80.4552	?|10357	83.5175
?|10431	937.2305	?|10431	489.827
?|155060	68.9986	?|155060	444.4106
?|57714	304.7437	?|57714	619.0658
?|645851	5.2707	?|645851	16.1548
?|652919	21.5621	?|652919	70.4107
?|653553	470.5319	?|653553	77.1165
removed	removed	?|729884	34.7482
?|8225	291.8064	?|8225	444.7154
?|90288	30.666	?|90288	33.5289
A1BG	160.4839	A1BG	109.0299
removed	removed	A1CF	17.6789
A2LD1	148.7734	A2LD1	75.5285
removed	removed	A2ML1	18.2885
A2M	28922.7791	A2M	34507.6065
A4GALT	653.0906	A4GALT	199.3447
AAAS	735.9847	AAAS	711.7275
AACS	609.4873	AACS	1058.5994
removed	removed	AADAC	35.3578
AADAT	113.081	AADAT	88.0896
AAGAB	1838.5242	AAGAB	1105.5399
AAK1	1145.1845	AAK1	1171.6833
AAMP	1786.2961	AAMP	1979.7302
AARS2	310.0144	AARS2	577.5631
AARSD1	635.3618	AARSD1	486.7789
AARS	2690.9439	AARS	2347.3291
AASDHPPT	640.1533	AASDHPPT	914.6902
AASDH	266.8903	AASDH	679.4178
AASS	284.6191	AASS	915.0347
AATF	1820.3162	AATF	936.0664
AATK	69.4777	AATK	65.5338
ABAT	870.6277	ABAT	991.2368
ABCA10	41.6866	ABCA10	495.6184
ABCA11P	80.7427	ABCA11P	137.8008
ABCA12	350.2635	ABCA12	480.378
ABCA13	163.3924	ABCA13	28.9568
removed	removed	ABCA17P	7.3154
ABCA1	806.8855	ABCA1	1805.6664
ABCA2	1261.6195	ABCA2	1538.3678
ABCA3	1022.5204	ABCA3	968.9858
ABCA4	58.9363	ABCA4	204.8312
ABCA5	360.805	ABCA5	1396.9367
ABCA6	335.4097	ABCA6	722.3958
ABCA7	192.1418	ABCA7	260.0015
ABCA8	213.7039	ABCA8	972.9483
ABCA9	306.1811	ABCA9	914.4251
ABCB10	351.2218	ABCB10	446.2394
ABCB1	190.2252	ABCB1	769.9459
ABCB4	37.3742	ABCB4	14.0212
removed	removed	ABCB5	221.9005
ABCB6	414.4705	ABCB6	361.7801
ABCB7	381.8879	ABCB7	562.3714
ABCB8	360.3258	ABCB8	311.5141
ABCB9	137.3838	ABCB9	112.0323
ABCC10	441.3033	ABCC10	527.0136
ABCC11	1043.6033	ABCC11	682.1611
ABCC12	144.2262	ABCC12	12.1923
ABCC13	22.9995	removed	removed
ABCC1	878.2942	ABCC1	1337.8039
ABCC2	10.0623	ABCC2	36.8818
ABCC3	599.9042	ABCC3	825.421
ABCC4	266.8903	ABCC4	153.3186
ABCC5	1039.77	ABCC5	1248.495
ABCC6P2	8.1457	ABCC6P2	10.9731
ABCC6	43.6033	ABCC6	82.2983
ABCC8	45.0407	ABCC8	409.9672
ABCC9	377.5755	ABCC9	348.3959
ABCD1	303.3062	ABCD1	202.6976
ABCD2	20.6037	ABCD2	17.9837
ABCD3	1001.9166	ABCD3	1931.2657
ABCD4	335.8888	ABCD4	679.4178
ABCE1	1402.4916	ABCE1	1418.8829
ABCF1	1432.6785	ABCF1	1233.2546
ABCF2	1059.4154	ABCF2	899.7943
ABCF3	1164.3507	ABCF3	936.0664
ABCG1	979.8754	ABCG1	815.972
ABCG2	153.8093	ABCG2	161.8532
ABCG4	5.7499	removed	removed
ABHD10	660.2779	ABHD10	656.862
ABHD11	296.1188	ABHD11	513.6021
ABHD12B	67.0819	removed	removed
ABHD12	1578.8213	ABHD12	615.7129
ABHD13	471.011	ABHD13	595.2907
ABHD14A	281.7441	ABHD14A	215.8927
ABHD14B	1228.0786	ABHD14B	1635.9064
ABHD15	483.9483	ABHD15	279.8141
ABHD1	36.4159	ABHD1	28.9568
ABHD2	10480.115	ABHD2	4099.6723
ABHD3	366.5549	ABHD3	276.766
ABHD4	2152.3718	ABHD4	1054.6369
ABHD5	798.275	ABHD5	798.2931
ABHD6	153.3301	ABHD6	149.9657
ABHD8	277.4317	ABHD8	180.4465
ABI1	1463.3445	ABI1	1853.5792
ABI2	1645.9032	ABI2	2590.2614
ABI3BP	656.9238	ABI3BP	2162.0056
ABI3	203.6416	ABI3	136.5541
ABL1	2686.1524	ABL1	2908.4813
ABL2	1630.091	ABL2	1073.2302
ABLIM1	2202.2041	ABLIM1	6032.1573
ABLIM2	89.1231	ABLIM2	47.2453
ABLIM3	726.8807	ABLIM3	1235.9979
ABO	21.0829	ABO	12.1923
removed	removed	ABP1	11.2779
ABR	1545.7595	ABR	2395.4888
ABT1	539.0513	ABT1	446.5442
ABTB1	485.8649	ABTB1	724.8343
ABTB2	79.0609	ABTB2	89.9185
ACAA1	984.1878	ACAA1	1255.5056
