gene_id	TCGA-BH-A0B3-01A-11R-A056-07	gene_id	TCGA-BH-A0B3-11B-21R-A089-07
?|100133144	7.4287	?|100133144	16.1889
?|100134869	7.16	?|100134869	7.5122
?|10357	147.6226	?|10357	74.9094
?|10431	998.1764	?|10431	526.9214
?|155060	109.7994	?|155060	331.8162
removed	removed	?|390284	10.3049
?|57714	1962.1845	?|57714	844.9979
?|645851	9.5979	?|645851	12.0223
removed	removed	?|652919	51.5071
?|653553	135.1377	?|653553	64.5771
?|729884	17.66	removed	removed
?|8225	481.8121	?|8225	430.0558
removed	removed	?|90288	14.4268
A1BG	192.4523	A1BG	103.4332
A2LD1	99.7639	A2LD1	96.6526
A2ML1	555.9075	A2ML1	22.3272
A2M	10724.6223	A2M	25456.7557
A4GALT	518.6678	A4GALT	296.0927
AAAS	501.3917	AAAS	599.7424
AACS	812.7459	AACS	758.4371
AADAC	6.5265	AADAC	30.5711
AADAT	129.379	AADAT	73.8514
AAGAB	1354.4486	AAGAB	1185.058
AAK1	830.0221	AAK1	1173.7226
AAMP	1709.1851	AAMP	2023.5294
AARS2	549.3694	AARS2	384.2851
AARSD1	438.4298	AARSD1	438.6432
AARS	5747.5765	AARS	2325.8051
AASDHPPT	633.0742	AASDHPPT	862.8596
AASDH	124.7721	AASDH	406.6982
AASS	86.3807	AASS	825.4186
AATF	1968.3271	AATF	823.0142
AATK	51.4445	AATK	41.9064
ABAT	96.7463	ABAT	536.5393
removed	removed	ABCA10	338.8132
ABCA11P	75.1473	ABCA11P	155.4693
ABCA12	241.4819	ABCA12	108.2009
ABCA13	12.2852	ABCA13	14.4268
ABCA17P	12.6692	ABCA17P	10.9918
ABCA1	434.583	ABCA1	1644.012
ABCA2	645.3594	ABCA2	1042.851
ABCA3	1195.1243	ABCA3	926.7497
ABCA4	15.7405	ABCA4	64.9206
ABCA5	183.8948	ABCA5	954.7892
ABCA6	46.0697	ABCA6	456.1614
ABCA7	214.6079	ABCA7	262.4302
ABCA8	16.5083	ABCA8	1274.7102
ABCA9	24.9544	ABCA9	712.0653
ABCB10	629.619	ABCB10	475.3972
ABCB1	28.0257	ABCB1	587.3766
ABCB4	20.3474	ABCB4	18.2052
removed	removed	ABCB5	107.514
ABCB6	419.2456	ABCB6	332.0155
ABCB7	499.4721	ABCB7	547.1876
ABCB8	368.9414	ABCB8	310.176
ABCB9	335.2299	ABCB9	130.3598
ABCC10	558.5949	ABCC10	346.93
removed	removed	ABCC11	274.1091
ABCC1	1418.1783	ABCC1	794.5041
ABCC2	21.4992	ABCC2	14.7703
ABCC3	309.8186	ABCC3	368.9137
ABCC4	172.7613	ABCC4	131.2151
ABCC5	901.0462	ABCC5	825.0751
removed	removed	ABCC6P1	12.0223
ABCC6P2	9.2139	ABCC6P2	16.8313
ABCC6	22.267	ABCC6	133.6196
removed	removed	ABCC8	30.5711
ABCC9	87.1485	ABCC9	696.2645
ABCD1	884.9218	ABCD1	197.1662
ABCD2	15.3566	ABCD2	241.8205
ABCD3	1413.5714	ABCD3	1723.3147
ABCD4	229.5806	ABCD4	615.8866
ABCE1	1675.0168	ABCE1	1452.9841
ABCF1	2895.8633	ABCF1	1432.7179
ABCF2	1326.8068	ABCF2	924.0017
ABCF3	1515.6925	ABCF3	869.7295
ABCG1	338.2282	ABCG1	643.7097
ABCG2	26.874	ABCG2	167.6256
ABHD10	311.3543	ABHD10	803.0915
ABHD11	684.1348	ABHD11	454.444
ABHD12	1684.6146	ABHD12	848.0893
ABHD13	309.4347	ABHD13	603.1773
ABHD14A	203.0905	ABHD14A	210.061
ABHD14B	800.0768	ABHD14B	1789.2658
ABHD15	347.4422	ABHD15	461.3139
ABHD1	16.1244	ABHD1	29.8841
ABHD2	2659.7562	ABHD2	4142.207
ABHD3	355.5044	ABHD3	337.6556
ABHD4	772.435	ABHD4	846.3718
ABHD5	782.8007	ABHD5	955.6033
ABHD6	104.0407	ABHD6	240.79
ABHD8	338.6122	ABHD8	180.6784
ABI1	1335.6368	ABI1	1819.3663
ABI2	673.7691	ABI2	1899.8712
ABI3BP	98.282	ABI3BP	1260.2834
ABI3	225.3575	ABI3	233.2331
removed	removed	ABL1	2390.7256
ABL2	1665.8029	ABL2	1069.3001
ABLIM1	1916.4987	ABLIM1	5863.1172
ABLIM2	107.8798	ABLIM2	57.3637
ABLIM3	128.2273	ABLIM3	1555.3456
ABO	20.7314	ABO	48.0893
ABP1	9.2139	ABP1	10.3049
ABR	1906.133	ABR	2219.6651
ABT1	822.3438	ABT1	486.0455
ABTB1	277.5698	ABTB1	514.8991
ABTB2	470.2947	ABTB2	84.1563
ACAA1	1142.912	ACAA1	1214.5985
ACAA2	1536.0399	ACAA2	1454.0146
ACACA	1640.0806	ACACA	1653.5852
ACACB	119.0133	ACACB	2922.7995
ACAD10	294.846	ACAD10	533.4478
ACAD11	155.8691	ACAD11	520.2611
ACAD8	387.7531	ACAD8	618.9781
ACAD9	1092.2353	ACAD9	711.0554
ACADL	26.874	ACADL	91.7132
ACADM	903.7336	ACADM	1448.1752
ACADSB	330.166	ACADSB	2891.1979
ACADS	305.2116	ACADS	901.331
ACADVL	3364.9986	ACADVL	5705.7312
ACAN	138.209	ACAN	13.3963
ACAP1	163.9313	ACAP1	180.3349
ACAP2	1161.7238	ACAP2	1686.5608
ACAP3	717.1782	ACAP3	403.9948
ACAT1	1167.0986	ACAT1	1512.4088
ACAT2	897.8328	ACAT2	343.392
ACBD3	2198.2916	ACBD3	1463.976
ACBD4	87.1485	ACBD4	307.0846
ACBD5	529.8013	ACBD5	967.2821
ACBD6	780.8811	ACBD6	379.9055
ACBD7	151.646	ACBD7	58.7377
ACCN2	37.6236	ACCN2	85.5303
removed	removed	ACCN3	15.4573
ACCS	59.1228	ACCS	304.6801
ACD	396.9671	ACD	272.0481
ACE2	115.1742	ACE2	40.8759
ACER2	17.2761	ACER2	178.6174
ACER3	396.9671	ACER3	412.1941
ACE	479.5086	ACE	492.2284
ACHE	34.9362	ACHE	55.3027
ACIN1	2631.3466	ACIN1	3384.8003
ACLY	3722.0463	ACLY	2670.6741
ACN9	114.0225	ACN9	144.6114
ACO1	868.0296	ACO1	1465.3499
ACO2	1920.6373	ACO2	1855.7492
ACOT11	48.7571	ACOT11	35.0365
ACOT13	560.5989	ACOT13	468.2799
ACOT1	181.5913	ACOT1	413.5681
ACOT2	51.0606	ACOT2	228.7677
ACOT4	162.0117	ACOT4	115.4143
ACOT7	808.139	ACOT7	155.9468
ACOT8	213.364	ACOT8	176.8313
ACOT9	1157.8846	ACOT9	417.69
ACOX1	1127.8203	ACOX1	1750.389
ACOX2	49.141	ACOX2	217.0889
ACOX3	805.4516	ACOX3	676.6853
ACP1	1321.432	ACP1	1244.1391
ACP2	1669.2581	ACP2	794.1606
ACP5	1657.3568	ACP5	666.7239
ACP6	221.9023	ACP6	277.544
ACPL2	814.6655	ACPL2	441.7347
ACPP	18.8118	ACPP	52.8982
ACRBP	22.267	ACRBP	26.1056
ACRC	10.7496	ACRC	32.2885
removed	removed	ACR	6.1829
ACSBG1	7.6783	ACSBG1	8.2439
ACSF2	559.7466	ACSF2	929.4976
ACSF3	310.2025	ACSF3	276.17
ACSL1	1834.3411	ACSL1	6252.2971
ACSL3	2456.2818	ACSL3	2901.1593
ACSL4	1599.3857	ACSL4	1224.5599
ACSL5	844.6108	ACSL5	1187.1189
ACSL6	28.4096	ACSL6	21.6402
removed	removed	ACSM1	16.1443
removed	removed	ACSM3	137.6591
removed	removed	ACSM5	177.2435
ACSS1	246.8567	ACSS1	1033.2331
ACSS2	680.2956	ACSS2	1372.2628
ACSS3	97.8981	ACSS3	528.6389
ACTA1	252.6154	removed	removed
ACTA2	17422.2862	ACTA2	21586.3255
removed	removed	ACTBL2	5.8394
ACTB	187518.9558	ACTB	50405.4959
removed	removed	ACTC1	34.693
ACTG1	151833.7652	ACTG1	36076.5994
