gene_id	TCGA-BH-A0B5-01A-11R-A12P-07	gene_id	TCGA-BH-A0B5-11A-23R-A12P-07
?|100133144	13.6658	removed	removed
?|100134869	6.6811	removed	removed
?|10357	159.4396	?|10357	103.3146
?|10431	879.2528	?|10431	1260.8319
?|155060	366.5777	?|155060	126.5165
?|57714	933.6224	?|57714	301.5598
?|645851	23.0153	?|645851	8.6655
?|652919	100.9239	?|652919	67.1101
?|653553	203.469	?|653553	113.0849
?|8225	462.6418	?|8225	459.2721
?|90288	134.4229	?|90288	26.4298
A1BG	111.461	A1BG	8.6655
A2LD1	78.519	A2LD1	125.6499
A2ML1	8.0053	removed	removed
A2M	10764.8065	A2M	27509.7877
A4GALT	175.4503	A4GALT	375.2166
AAAS	961.9746	AAAS	592.721
AACS	1001.3342	AACS	4628.2496
removed	removed	AADAC	682.8423
AADAT	23.0153	AADAT	85.7886
AAGAB	1434.2895	AAGAB	796.7938
AAK1	1008.3389	AAK1	1327.9896
AAMP	2056.3709	AAMP	2257.3657
AARS2	497.3249	AARS2	274.2634
AARSD1	345.2302	AARSD1	547.6603
AARS	1698.7992	AARS	3951.4731
AASDHPPT	1053.3689	AASDHPPT	835.3553
AASDH	321.2141	AASDH	308.0589
AASS	368.9126	AASS	863.0849
AATF	1067.0447	AATF	1036.8284
AATK	30.3536	AATK	25.13
ABAT	1929.9533	ABAT	217.9376
ABCA10	40.3602	ABCA10	193.8388
ABCA11P	94.5897	ABCA11P	81.2045
ABCA12	262.1748	removed	removed
ABCA17P	6.004	removed	removed
ABCA1	1462.5984	ABCA1	4052.799
ABCA2	1548.032	ABCA2	1262.9983
ABCA3	1872.9153	ABCA3	936.7418
ABCA4	100.7338	ABCA4	8.6655
ABCA5	153.4356	ABCA5	1223.4055
ABCA6	160.1067	ABCA6	769.4974
ABCA7	446.9646	ABCA7	220.104
ABCA8	168.1121	ABCA8	3252.5997
ABCA9	108.072	ABCA9	1670.2773
ABCB10	585.0567	ABCB10	506.0659
removed	removed	ABCB11	9.0988
ABCB1	55.7038	ABCB1	96.6205
ABCB4	15.6771	ABCB4	31.6291
removed	removed	ABCB5	45.0607
ABCB6	207.0947	ABCB6	987.9593
ABCB7	439.2929	ABCB7	561.0919
ABCB8	845.5637	ABCB8	503.8995
ABCB9	362.7085	ABCB9	44.5797
ABCC10	365.2435	ABCC10	248.7002
ABCC11	251.501	ABCC11	18.1976
ABCC13	219.1461	removed	removed
ABCC1	1447.2982	ABCC1	846.1872
ABCC2	20.3469	ABCC2	9.9653
ABCC3	847.2315	ABCC3	50.6932
ABCC4	107.4049	ABCC4	100.9532
ABCC5	3352.5684	ABCC5	318.8908
removed	removed	ABCC6P1	40.2946
ABCC6P2	9.6731	ABCC6P2	96.1872
ABCC6	29.3529	ABCC6	1341.8544
ABCC8	434.6231	removed	removed
ABCC9	231.8212	ABCC9	3155.1127
ABCD1	284.8566	ABCD1	672.8769
ABCD2	18.012	ABCD2	2633.8821
ABCD3	1660.4403	ABCD3	1486.5685
ABCD4	384.5897	ABCD4	515.1646
ABCE1	1105.7372	ABCE1	1224.87
ABCF1	1382.9219	ABCF1	1847.0537
ABCF2	1167.7785	ABCF2	1265.1646
ABCF3	913.9426	ABCF3	1013.8648
ABCG1	1413.2755	ABCG1	324.9567
ABCG2	39.3596	ABCG2	57.6256
removed	removed	ABCG8	14.2981
ABHD10	517.3449	ABHD10	529.0295
ABHD11	908.2722	ABHD11	198.0069
ABHD12B	121.7478	ABHD12B	19.0641
ABHD12	1480.3202	ABHD12	777.2964
ABHD13	509.6731	ABHD13	462.305
ABHD14A	114.6264	ABHD14A	378.0503
ABHD14B	1563.7091	ABHD14B	4007.799
ABHD15	287.8586	ABHD15	1991.7678
ABHD1	17.3449	ABHD1	78.4229
ABHD2	4477.9853	ABHD2	1567.591
ABHD3	440.2935	ABHD3	340.5546
ABHD4	796.8646	ABHD4	1416.8111
ABHD5	709.1394	ABHD5	2787.2617
ABHD6	202.8019	ABHD6	516.4645
ABHD8	218.8125	ABHD8	96.1872
ABI1	1493.996	ABI1	1124.7834
ABI2	1844.2295	ABI2	578.4229
ABI3BP	514.6765	ABI3BP	2355.7192
ABI3	137.7585	ABI3	100.9532
ABL1	2659.1061	ABL1	2546.7938
ABL2	1336.2241	ABL2	756.9324
ABLIM1	3436.2909	ABLIM1	5148.6135
ABLIM2	71.3809	ABLIM2	85.3553
ABLIM3	742.8286	ABLIM3	4928.0763
ABO	11.6744	ABO	22.5303
ABP1	5.3369	removed	removed
ABR	1832.2215	ABR	1846.6205
ABT1	375.9173	ABT1	357.0191
ABTB1	413.9426	ABTB1	636.9151
ABTB2	72.7151	ABTB2	37.695
