gene_id	TCGA-BH-A0B7-01A-12R-A115-07	gene_id	TCGA-BH-A0B7-11A-34R-A115-07
removed	removed	?|100133144	12.8787
?|100134869	5.3431	removed	removed
?|10357	68.9135	?|10357	112.9866
?|10431	1030.3788	?|10431	593.8714
?|155060	78.6276	?|155060	342.6845
?|340602	12.5089	removed	removed
?|390284	9.2924	removed	removed
?|57714	1023.5883	?|57714	595.5978
?|645851	8.2202	?|645851	16.8321
?|653553	121.158	?|653553	42.7277
removed	removed	?|728603	8.2003
?|729884	1377.055	?|729884	5.6107
?|8225	341.6726	?|8225	391.8861
?|90288	22.8735	?|90288	29.7799
A1BG	126.669	A1BG	88.7959
A2LD1	42.8091	A2LD1	67.7687
removed	removed	A2ML1	8.2003
A2M	22113.574	A2M	22698.6534
A4GALT	300.5718	A4GALT	221.407
AAAS	505.0036	AAAS	656.8839
AACS	1220.8721	AACS	1443.2456
AADAT	187.634	AADAT	89.7713
AAGAB	2187.2766	AAGAB	1018.1269
AAK1	1481.4153	AAK1	877.4277
AAMP	3663.331	AAMP	1933.9663
AARS2	339.1673	AARS2	510.9754
AARSD1	230.1644	AARSD1	516.1847
AARS	1648.3202	AARS	2202.8485
AASDHPPT	777.341	AASDHPPT	989.6418
AASDH	310.9364	AASDH	567.5442
AASS	131.1651	AASS	858.006
AATF	1076.8406	AATF	887.7859
AATK	48.2487	AATK	41.0401
ABAT	389.564	ABAT	1245.5762
ABCA10	27.8771	ABCA10	298.2305
ABCA11P	58.6598	ABCA11P	191.0876
ABCA12	12102.9307	ABCA12	216.6595
removed	removed	ABCA13	71.2128
ABCA17P	6.7906	ABCA17P	10.3582
ABCA1	852.0264	ABCA1	874.8123
ABCA2	1159.3996	ABCA2	1511.0056
ABCA3	1969.9786	ABCA3	1235.218
ABCA4	13.5811	ABCA4	28.4851
ABCA5	124.732	ABCA5	1573.1549
ABCA6	270.9078	ABCA6	517.0479
ABCA7	809.5068	ABCA7	241.2603
ABCA8	528.2345	ABCA8	553.3017
ABCA9	138.6705	ABCA9	404.4022
ABCB10	449.2495	ABCB10	513.5952
ABCB11	6.7906	removed	removed
ABCB1	245.1751	ABCB1	612.4299
ABCB4	23.9457	ABCB4	9.495
ABCB5	10.7219	ABCB5	39.2749
ABCB6	688.9814	ABCB6	417.281
ABCB7	592.2087	ABCB7	572.7233
ABCB8	619.0136	ABCB8	338.8002
ABCB9	227.2623	ABCB9	130.8934
ABCC10	511.4367	ABCC10	494.6051
ABCC11	5717.2981	ABCC11	1122.1407
ABCC12	228.3774	removed	removed
ABCC1	1368.8349	ABCC1	892.5334
ABCC2	43.96	ABCC2	12.5162
ABCC3	662.9736	ABCC3	381.5278
ABCC4	192.995	ABCC4	119.9827
ABCC5	497.4982	ABCC5	1061.7177
removed	removed	ABCC6P1	5.6107
ABCC6P2	18.5847	ABCC6P2	15.1057
ABCC6	74.3388	ABCC6	93.224
ABCC8	45.3896	ABCC8	297.3673
ABCC9	402.7877	ABCC9	295.6409
ABCD1	988.9207	ABCD1	167.4579
ABCD2	95.0679	ABCD2	75.5287
ABCD3	998.5704	ABCD3	2059.1282
ABCD4	407.7913	ABCD4	664.221
ABCE1	1774.8392	ABCE1	2097.1083
ABCF1	1872.4089	ABCF1	1486.8364
ABCF2	1102.2159	ABCF2	1067.76
ABCF3	961.7584	ABCF3	848.0794
ABCG1	928.5204	ABCG1	339.6634
ABCG2	117.584	ABCG2	295.2093
ABHD10	510.3645	ABHD10	700.4748
ABHD11	835.2395	ABHD11	479.9309
ABHD12B	13.5811	removed	removed
ABHD12	1179.4139	ABHD12	677.6003
ABHD13	397.7841	ABHD13	699.18
ABHD14A	156.183	ABHD14A	151.0574
ABHD14B	1436.7405	ABHD14B	2096.6767
ABHD15	422.0872	ABHD15	290.4618
removed	removed	ABHD1	18.9901
ABHD2	2953.5382	ABHD2	3801.0358
ABHD3	586.4904	ABHD3	256.366
ABHD4	843.1022	ABHD4	806.2149
ABHD5	1617.584	ABHD5	843.7635
ABHD6	187.2766	ABHD6	135.9517
ABHD8	110.7934	ABHD8	134.2253
ABI1	2083.9957	ABI1	1810.5913
ABI2	1101.5011	ABI2	2470.4359
ABI3BP	1097.2123	ABI3BP	677.6003
ABI3	279.8427	ABI3	141.1308
ABL1	2062.9021	ABL1	2524.385
ABL2	1318.4417	ABL2	997.842
ABLIM1	4088.2773	ABLIM1	5862.322
ABLIM2	70.7648	ABLIM2	31.0747
ABLIM3	755.5397	ABLIM3	627.5356
ABO	11.7941	ABO	28.9167
ABP1	48.9635	removed	removed
ABR	1500	ABR	1820.4575
ABT1	462.1158	ABT1	528.2693
ABTB1	329.1637	ABTB1	575.7445
ABTB2	142.6019	ABTB2	154.9417
ACAA1	1484.9893	ACAA1	949.9353
ACAA2	1136.5261	ACAA2	1021.5796
ACACA	5821.6583	ACACA	2615.0194
ACACB	743.0307	ACACB	1427.2767
ACAD10	421.015	ACAD10	722.9176
ACAD11	169.4067	ACAD11	524.385
ACAD8	633.6669	ACAD8	757.8766
ACAD9	634.3781	ACAD9	799.4087
ACADL	13.5811	ACADL	28.9167
ACADM	895.9971	ACADM	1277.9456
ACADSB	380.2716	ACADSB	3318.9469
ACADS	157.6126	ACADS	413.4657
ACADVL	2578.9814	ACADVL	5558.8822
