gene_id	TCGA-BH-A0BA-01A-11R-A056-07	gene_id	TCGA-BH-A0BA-11A-22R-A19E-07
?|100133144	7.564	removed	removed
removed	removed	?|100134869	6.3867
?|10357	61.1224	?|10357	77.5265
?|10431	700.1971	?|10431	566.682
?|155060	132.6364	?|155060	131.9797
?|390284	6.1691	?|390284	10.1523
?|57714	524.3767	?|57714	886.9405
?|645851	16.1083	?|645851	7.8449
?|652919	19.6556	?|652919	31.5459
?|653553	299.5459	?|653553	161.5136
?|729884	66.4896	?|729884	26.7651
?|8225	280.6957	?|8225	370.0969
?|90288	21.592	?|90288	27.2266
A1BG	124.524	A1BG	77.8173
A2LD1	67.7611	A2LD1	66.9312
A2ML1	13.7092	A2ML1	12.4596
A2M	14161.5149	A2M	31237.1666
A4GALT	166.9094	A4GALT	371.0198
AAAS	697.4552	AAAS	561.6059
AACS	6595.8358	AACS	1754.9608
AADAC	13.7092	removed	removed
AADAT	76.7715	AADAT	53.0688
AAGAB	1296.2043	AAGAB	813.5671
AAK1	966.4982	AAK1	1134.287
AAMP	1574.5009	AAMP	1875.4038
AARS2	686.7141	AARS2	407.4619
AARSD1	298.8604	AARSD1	392.7088
AARS	2179.7618	AARS	3065.0669
AASDHPPT	849.6273	AASDHPPT	899.8616
AASDH	325.2506	AASDH	378.4033
AASS	367.0637	AASS	498.3849
AATF	783.4804	AATF	831.1029
AATK	50.3813	AATK	95.0623
ABAT	1512.4668	ABAT	627.1343
ABCA10	64.5737	ABCA10	348.4079
ABCA11P	83.0126	ABCA11P	99.6816
ABCA12	2104.0185	ABCA12	52.6073
removed	removed	ABCA13	42.9165
ABCA17P	16.1083	removed	removed
ABCA1	1755.781	ABCA1	1868.4679
ABCA2	785.8795	ABCA2	1687.1251
ABCA3	3568.5031	ABCA3	1157.3604
ABCA4	79.8561	ABCA4	113.521
ABCA5	460.4884	ABCA5	918.3203
ABCA6	228.9435	ABCA6	748.9617
ABCA7	634.0502	ABCA7	269.0355
ABCA8	308.1141	ABCA8	1853.7148
ABCA9	210.0934	ABCA9	1482.695
ABCB10	576.8143	ABCB10	457.7757
removed	removed	ABCB11	7.3835
ABCB1	208.037	ABCB1	375.1731
ABCB4	29.8175	ABCB4	16.1514
ABCB5	21.592	ABCB5	121.3659
ABCB6	547.7097	ABCB6	522.0904
ABCB7	499.7001	ABCB7	446.7005
ABCB8	1106.3319	ABCB8	360.8676
ABCB9	601.4737	ABCB9	141.8505
ABCC10	358.8381	ABCC10	383.4795
ABCC11	8444.8633	ABCC11	123.2118
ABCC12	79.8561	ABCC12	6.922
removed	removed	ABCC13	5.0761
ABCC1	1378.4594	ABCC1	1271.3429
ABCC2	342.0444	ABCC2	38.3018
ABCC3	168.6231	ABCC3	773.4195
ABCC4	740.2965	ABCC4	172.5888
ABCC5	1662.9252	ABCC5	707.4296
ABCC6P1	26.3902	ABCC6P1	19.3816
