gene_id	TCGA-BH-A0BC-01A-22R-A084-07	gene_id	TCGA-BH-A0BC-11A-22R-A089-07
?|100133144	6.3195	removed	removed
?|100134869	6.3617	removed	removed
?|10357	127.2679	?|10357	81.3041
?|10431	1097.2255	?|10431	725.4902
?|155060	90.58	?|155060	195.1664
?|390284	5.4348	?|390284	9.1199
?|57714	311.8971	?|57714	361.1491
removed	removed	?|645851	7.2959
?|652919	57.6693	removed	removed
?|653553	268.4187	?|653553	109.4391
removed	removed	?|729884	32.8317
?|8225	361.4141	?|8225	429.5486
?|90288	18.7199	?|90288	10.0319
A1BG	180.538	A1BG	42.1249
A2LD1	74.1186	A2LD1	95.6042
removed	removed	A2ML1	33.7437
A2M	23493.6911	A2M	35117.8067
A4GALT	299.5178	A4GALT	564.0675
AAAS	878.6258	AAAS	570.4514
AACS	1132.5517	AACS	1089.8313
removed	removed	AADACL3	7.2959
removed	removed	AADAC	56.5435
AADAT	23.5508	AADAT	77.5194
AAGAB	1801.032	AAGAB	1229.8222
AAK1	1017.5151	AAK1	1060.6475
AAMP	2933.8857	AAMP	2114.4551
AARS2	400.0435	AARS2	339.1838
AARSD1	326.6918	AARSD1	503.876
AARS	2919.3929	AARS	2567.7155
AASDHPPT	584.5428	AASDHPPT	695.741
AASDH	198.0682	AASDH	330.5974
AASS	91.7877	AASS	473.7802
AATF	896.4399	AATF	1104.8792
AATK	110.8095	AATK	59.7355
ABAT	587.8641	ABAT	464.2043
removed	removed	ABCA10	139.0789
ABCA11P	66.0177	ABCA11P	119.9407
ABCA12	35.3262	ABCA12	19.1518
removed	removed	ABCA13	49.2476
ABCA17P	6.0387	removed	removed
ABCA1	1120.7733	ABCA1	1064.6375
ABCA2	953.2034	ABCA2	1168.2627
ABCA3	1052.5394	ABCA3	1008.6639
ABCA4	45.8939	ABCA4	60.1915
ABCA5	173.0078	ABCA5	649.3388
ABCA6	96.3167	ABCA6	423.6206
ABCA7	315.5203	ABCA7	169.6306
ABCA8	92.6935	ABCA8	1202.9184
ABCA9	125.9062	ABCA9	1134.0629
ABCB10	479.1681	ABCB10	324.6694
ABCB1	112.0172	ABCB1	413.5887
ABCB4	27.4759	ABCB4	11.8559
ABCB5	5.4348	ABCB5	109.8951
ABCB6	923.6833	ABCB6	316.9175
ABCB7	550.7263	ABCB7	587.3233
ABCB8	950.184	ABCB8	336.5253
ABCB9	345.0554	ABCB9	86.3885
ABCC10	247.2834	ABCC10	259.0059
ABCC11	1119.8705	ABCC11	10.9439
ABCC13	237.9234	removed	removed
ABCC1	1051.0297	ABCC1	1206.1104
removed	removed	ABCC2	8.6639
ABCC3	499.6996	ABCC3	947.1044
ABCC4	134.6622	ABCC4	131.3269
ABCC5	1535.6327	ABCC5	721.8422
removed	removed	ABCC6P1	10.0319
ABCC6P2	25.9663	ABCC6P2	34.6557
ABCC6	23.8527	ABCC6	207.9343
ABCC8	252.7182	ABCC8	60.1915
ABCC9	410.6293	ABCC9	632.9229
ABCD1	471.3178	ABCD1	208.8463
ABCD2	14.1909	ABCD2	188.7825
ABCD3	2893.1247	ABCD3	1531.6917
ABCD4	517.2117	ABCD4	542.1797
ABCE1	1532.9153	ABCE1	1586.4113
ABCF1	1556.4661	ABCF1	1591.4273
ABCF2	1240.3419	ABCF2	1317.3735
ABCF3	1278.0836	ABCF3	894.2088
ABCG1	2518.1235	ABCG1	706.7943
ABCG2	195.9547	ABCG2	228.4542
ABHD10	486.7164	ABHD10	588.2353
ABHD11	508.1537	ABHD11	446.4204
removed	removed	ABHD12B	6.3839
ABHD12	2301.3355	ABHD12	901.5048
ABHD13	423.6124	ABHD13	459.1883
ABHD14A	236.1118	ABHD14A	220.2462
ABHD14B	617.4536	ABHD14B	1857.7291
ABHD15	340.2788	ABHD15	419.5166
ABHD1	28.9856	ABHD1	24.1678
ABHD2	6153.0983	ABHD2	3761.5139
ABHD3	572.4655	ABHD3	202.9184
ABHD4	969.5078	ABHD4	866.3931
ABHD5	604.4704	ABHD5	922.9366
ABHD6	80.9181	ABHD6	256.2699
ABHD8	322.1628	ABHD8	176.4706
ABI1	1273.9924	ABI1	1529.8678
ABI2	1184.1823	ABI2	1526.2198
ABI3BP	482.7913	ABI3BP	1894.6648
ABI3	491.2454	ABI3	211.5823
ABL1	2105.6827	ABL1	2909.7127
ABL2	1393.1201	ABL2	1124.031
ABLIM1	1980.3804	ABLIM1	7074.3274
ABLIM2	103.5631	ABLIM2	39.6717
ABLIM3	501.5112	ABLIM3	1466.9403
removed	removed	ABO	23.7118
ABP1	18.4179	ABP1	5.016
ABR	1446.8643	ABR	2076.6074
ABT1	521.4388	ABT1	593.7073
ABTB1	474.0352	ABTB1	426.8126
ABTB2	69.1427	ABTB2	286.3657
ACAA1	1407.311	ACAA1	1298.6776
ACAA2	1129.8343	ACAA2	2243.5021
ACACA	723.7341	ACACA	1530.3238
ACACB	211.6552	ACACB	2896.0328
ACAD10	251.5104	ACAD10	436.3885
ACAD11	128.6236	ACAD11	531.9152
ACAD8	284.7231	ACAD8	546.7396
ACAD9	1057.6723	ACAD9	866.8491
removed	removed	ACADL	91.6553
ACADM	873.191	ACADM	982.6721
ACADSB	1107.7932	ACADSB	2780.2098
ACADS	528.0813	ACADS	742.3621
ACADVL	2774.7427	ACADVL	6436.5663
ACAN	125.0004	ACAN	25.0798
ACAP1	101.4496	ACAP1	54.7196
ACAP2	1531.7075	ACAP2	1122.663
ACAP3	550.1285	ACAP3	407.6607
ACAT1	900.667	ACAT1	1563.1555
ACAT2	948.5053	ACAT2	349.3023
ACBD3	2256.6493	ACBD3	1072.9594
ACBD4	94.5051	ACBD4	254.902
ACBD5	1026.8751	ACBD5	599.1792
ACBD6	703.5045	ACBD6	405.3808
ACBD7	119.5656	ACBD7	51.5276
ACCN1	17.5121	ACCN1	12.3119
ACCN2	134.3603	ACCN2	174.1906
removed	removed	ACCN3	5.016
ACCS	96.3167	ACCS	317.3735
ACD	273.5516	ACD	325.5814
removed	removed	ACE2	36.4797
ACER2	183.8774	ACER2	136.7989
ACER3	698.9755	ACER3	326.4934
ACE	897.3457	ACE	836.7533
ACHE	20.2295	ACHE	15.5039
ACIN1	2488.5341	ACIN1	2690.3785
ACLY	2364.4395	ACLY	2754.674
ACMSD	435.9917	removed	removed
ACN9	218.9016	ACN9	145.0068
ACO1	1311.9001	ACO1	2333.3333
ACO2	2819.3171	ACO2	2164.7059
ACOT11	121.6036	ACOT11	50.0319
ACOT13	460.2792	ACOT13	493.7939
ACOT1	817.3334	ACOT1	627.451
ACOT2	611.7168	ACOT2	495.668
ACOT4	313.4067	ACOT4	69.3114
ACOT7	844.2054	ACOT7	327.4054
ACOT8	266.1481	ACOT8	196.3383
ACOT9	336.0517	ACOT9	634.7469
ACOX1	1047.9229	ACOX1	2249.886
ACOX2	57.6693	ACOX2	186.5025
ACOX3	718.2993	ACOX3	503.42
ACOXL	6.9445	removed	removed
ACP1	2071.2623	ACP1	1387.1409
ACP2	1346.6224	ACP2	833.5613
ACP5	2587.8701	ACP5	756.9539
ACP6	179.6503	ACP6	279.9818
ACPL2	483.3952	ACPL2	395.8048
ACPP	85.4471	ACPP	48.3356
ACRBP	36.8359	ACRBP	18.2399
ACRC	6.3406	ACRC	7.7519
removed	removed	ACR	11.3999
removed	removed	ACSBG1	13.6799
removed	removed	ACSBG2	12.7679
ACSF2	1090.9363	ACSF2	901.9608
ACSF3	254.2278	ACSF3	309.1655
ACSL1	1038.0466	ACSL1	5366.1651
ACSL3	1747.5898	ACSL3	2597.3552
ACSL4	1027.7809	ACSL4	1603.7392
ACSL5	376.8127	ACSL5	880.985
ACSL6	7.5483	removed	removed
ACSM1	5.1329	ACSM1	14.1359
removed	removed	ACSM2A	6.8399
removed	removed	ACSM2B	5.016
ACSM3	29.4626	ACSM3	85.244
ACSM5	53.4422	ACSM5	171.9106
ACSS1	877.1162	ACSS1	564.5235
ACSS2	667.2725	ACSS2	1531.2358
removed	removed	ACSS3	286.3657
ACTA1	13.587	removed	removed
ACTA2	6860.9537	ACTA2	36363.2239
removed	removed	ACTBL2	11.3999
ACTB	141941.5518	ACTB	85522.5718
ACTG1	62952.5059	ACTG1	57558.1395
ACTG2	214.3726	ACTG2	10824.8974
ACTL6A	2112.6272	ACTL6A	717.2823
ACTN1	8673.9392	ACTN1	11980.8482
ACTN4	10997.9499	ACTN4	14286.2061
ACTR10	988.5296	ACTR10	1023.7118
ACTR1A	2864.7429	ACTR1A	2645.2348
ACTR1B	1350.5476	ACTR1B	1331.0534
ACTR2	7234.6233	ACTR2	4212.0383
ACTR3B	163.044	ACTR3B	165.0707
ACTR3C	15.7005	ACTR3C	32.3757
ACTR3	4687.8161	ACTR3	3124.487
ACTR5	198.6721	ACTR5	179.6626
ACTR6	470.714	ACTR6	463.7483
ACTR8	289.554	ACTR8	419.9726
ACVR1B	1466.7919	ACVR1B	1167.3507
ACVR1C	18.7199	ACVR1C	275.4218
ACVR1	1044.9911	ACVR1	1191.0625
ACVR2A	240.6408	ACVR2A	464.2043
ACVR2B	221.619	ACVR2B	405.8368
ACVRL1	730.6785	ACVRL1	959.8723
ACY1	466.4869	ACY1	523.9398
ACY3	16.6063	ACY3	12.7679
ACYP1	80.9181	ACYP1	68.3995
ACYP2	118.9617	ACYP2	146.8308
ADAL	188.4064	ADAL	218.8782
ADAM10	1172.7089	ADAM10	1590.5153
ADAM11	8.1522	ADAM11	11.3999
ADAM12	1547.71	ADAM12	308.7095
ADAM15	5802.0495	ADAM15	3305.5176
ADAM17	707.1277	ADAM17	958.5043
ADAM19	447.4651	ADAM19	119.471
ADAM21	16.0025	removed	removed
ADAM22	23.8527	ADAM22	47.8796
ADAM23	66.7273	ADAM23	63.8395
ADAM28	135.568	ADAM28	101.2312
ADAM32	31.703	ADAM32	49.2476
ADAM33	64.6137	ADAM33	571.8741
ADAM6	29989.2361	ADAM6	23994.2818
ADAM8	601.753	ADAM8	55.1756
ADAM9	1812.2035	ADAM9	1783.4017
ADAMDEC1	406.1003	ADAMDEC1	11.3999
ADAMTS10	176.9329	ADAMTS10	119.015
ADAMTS12	205.3146	ADAMTS12	107.1591
ADAMTS13	9.3599	ADAMTS13	38.7597
ADAMTS14	153.684	ADAMTS14	7.7519
ADAMTS15	207.7301	ADAMTS15	274.5098
ADAMTS16	66.7273	ADAMTS16	145.4628
ADAMTS17	48.0074	ADAMTS17	20.0638
ADAMTS18	16.6063	ADAMTS18	134.9749
ADAMTS19	84.5413	removed	removed
ADAMTS1	589.9776	ADAMTS1	3504.332
ADAMTS2	535.6296	ADAMTS2	698.1304
ADAMTS3	19.6257	ADAMTS3	84.8153
ADAMTS4	665.4609	ADAMTS4	102.1432
ADAMTS5	165.4594	ADAMTS5	1520.7478
ADAMTS6	61.2925	ADAMTS6	20.5198
ADAMTS7	345.1097	ADAMTS7	38.3037
ADAMTS8	23.8527	ADAMTS8	97.1272
ADAMTS9	449.5787	ADAMTS9	1045.1436
ADAMTSL1	180.2542	ADAMTSL1	295.0296
ADAMTSL2	187.1986	ADAMTSL2	29.1838
ADAMTSL3	158.8169	ADAMTSL3	171.9106
ADAMTSL4	151.2686	ADAMTSL4	990.8801
ADAMTSL5	58.2731	ADAMTSL5	31.4637
ADAP1	209.0918	ADAP1	96.8491
ADAP2	660.0261	ADAP2	272.2298
ADARB1	545.8954	ADARB1	779.7538
ADARB2	10.2657	removed	removed
ADAR	12679.688	ADAR	6274.5098
ADAT1	199.276	ADAT1	285.4537
ADAT2	56.4615	ADAT2	149.5668
ADAT3	56.1596	ADAT3	20.0638
ADA	209.5417	ADA	95.3032
ADCK1	201.0876	ADCK1	179.2066
ADCK2	1334.2432	ADCK2	749.658
ADCK4	528.9871	ADCK4	493.3881
ADCK5	160.9304	ADCK5	49.2476
ADCY1	2213.7748	ADCY1	564.5235
ADCY2	14.7947	ADCY2	69.3114
ADCY3	1051.7544	ADCY3	1512.4852
ADCY4	287.7424	ADCY4	565.4355
ADCY5	339.9769	ADCY5	322.8454
ADCY6	528.9871	ADCY6	1958.5043
ADCY7	378.3224	ADCY7	480.6202
removed	removed	ADCY8	14.5919
ADCY9	1038.0466	ADCY9	862.7451
removed	removed	ADCYAP1R1	5.016
removed	removed	ADCYAP1	15.9599
ADC	238.5273	ADC	126.311
ADD1	6506.0583	ADD1	6993.1601
ADD2	41.6668	ADD2	76.6074
ADD3	1442.3353	ADD3	2617.4191
removed	removed	ADH1A	89.3753
ADH1B	296.4985	ADH1B	7890.5609
ADH1C	15.0967	ADH1C	303.6936
removed	removed	ADH4	131.3269
ADH5	1676.6355	ADH5	3522.1158
removed	removed	ADH7	106.7031
ADHFE1	8.1522	ADHFE1	97.1272
ADI1	1196.5616	ADI1	1645.2348
ADIPOQ	509.6634	ADIPOQ	9685.3625
ADIPOR1	4968.3121	ADIPOR1	2061.5595
ADIPOR2	5158.2281	ADIPOR2	2653.8988
ADK	521.7407	ADK	345.6452
ADM2	498.1899	ADM2	44.2316
ADM	89.3723	ADM	499.316
ADNP2	1144.3271	ADNP2	720.9302
ADNP	3650.0714	ADNP	2806.2016
ADORA1	322.4647	ADORA1	606.9311
ADORA2A	727.3452	ADORA2A	60.6475
ADORA2B	22.3431	ADORA2B	128.591
ADORA3	471.9217	ADORA3	201.5504
ADO	608.6975	ADO	628.819
ADPGK	1011.7935	ADPGK	830.7843
ADPRHL1	66.1234	ADPRHL1	86.6393
ADPRHL2	843.2996	ADPRHL2	601.9152
ADPRH	378.3224	ADPRH	516.1879
removed	removed	ADRA1A	29.1838
ADRA1B	8.1522	ADRA1B	38.7597
ADRA1D	9.3599	removed	removed
ADRA2A	267.211	ADRA2A	769.2658
ADRA2B	38.3455	ADRA2B	29.6398
ADRA2C	106.8844	ADRA2C	118.5591
removed	removed	ADRB1	35.5677
ADRB2	25.9663	ADRB2	291.3817
ADRBK1	1823.0731	ADRBK1	1243.958
ADRBK2	1144.931	ADRBK2	931.6005
ADRM1	1863.8341	ADRM1	1022.3438
ADSL	1048.3123	ADSL	842.2253
ADSSL1	124.0946	ADSSL1	105.7912
ADSS	2039.8612	ADSS	1388.5089
AEBP1	18213.2192	AEBP1	8345.1892
AEBP2	450.1825	AEBP2	642.0429
AEN	382.8514	AEN	652.0748
AES	9557.0941	AES	6794.3456
AFAP1L1	571.2578	AFAP1L1	505.7
AFAP1L2	372.2837	AFAP1L2	1038.3037
AFAP1	1028.0768	AFAP1	1527.5832
removed	removed	AFARP1	5.928
AFF1	1880.4405	AFF1	1897.4008
AFF2	26.2682	AFF2	37.8477
AFF3	2591.7953	AFF3	1177.8386
AFF4	2650.3703	AFF4	3056.5435
AFG3L1	110.2056	AFG3L1	224.8062
AFG3L2	1466.4628	AFG3L2	1645.6772
AFMID	385.8707	AFMID	428.1806
AFP	101.4496	AFP	48.7916
AFTPH	2165.7674	AFTPH	1503.876
AG2	323.0686	AG2	309.6215
AGAP11	18.116	AGAP11	133.1601
AGAP1	471.6198	AGAP1	671.2266
AGAP2	86.6096	AGAP2	68.8828
AGAP3	903.0824	AGAP3	1125.855
AGAP4	91.4858	AGAP4	179.6626
