gene_id	TCGA-BH-A0BJ-01A-11R-A056-07	gene_id	TCGA-BH-A0BJ-11A-23R-A089-07
removed	removed	?|100133144	13.652
?|100134869	8.0445	removed	removed
?|10357	57.7172	?|10357	61.4869
?|10431	605.7563	?|10431	677.6961
?|155060	61.3288	?|155060	199.7549
?|390284	6.097	?|390284	5.719
?|57714	784.7216	?|57714	520.0163
?|645851	9.3248	?|645851	7.7614
?|652919	10.4008	removed	removed
?|653553	604.6804	?|653553	50.2451
?|8225	475.2085	?|8225	308.415
?|90288	33.3543	?|90288	7.3529
A1BG	212.3016	A1BG	63.317
removed	removed	A2BP1	7.3529
A2LD1	120.5272	A2LD1	63.5621
removed	removed	A2ML1	7.3529
A2M	17637.8696	A2M	29198.8194
A4GALT	181.8345	A4GALT	230.8007
AAAS	700.0807	AAAS	558.0065
AACS	1029.3195	AACS	1312.5
removed	removed	AADAC	37.9902
AADAT	28.3332	AADAT	123.7745
AAGAB	1657.6706	AAGAB	1096.4052
AAK1	1007.4419	AAK1	1086.1928
AAMP	2277.7728	AAMP	1782.6797
AARS2	447.9118	AARS2	513.8889
AARSD1	343.9433	AARSD1	290.0327
AARS	3016.5875	AARS	2604.5752
AASDHPPT	1595.2372	AASDHPPT	926.8791
AASDH	238.1422	AASDH	524.1013
AASS	265.7581	AASS	579.6569
AATF	1354.2545	AATF	959.9673
AATK	15.4219	AATK	31.8627
ABAT	815.5653	ABAT	757.7614
ABCA10	14.3459	ABCA10	254.4935
ABCA11P	83.4287	ABCA11P	147.8186
ABCA12	276.8762	ABCA12	59.232
ABCA13	5.3797	ABCA13	66.585
ABCA17P	13.27	removed	removed
ABCA1	820.5828	ABCA1	1007.692
ABCA2	770.3757	ABCA2	1184.6405
ABCA3	1966.8251	ABCA3	1162.5817
ABCA4	12.9113	ABCA4	87.8268
ABCA5	312.0237	ABCA5	907.2712
ABCA6	169.2818	ABCA6	392.5654
ABCA7	266.4754	ABCA7	218.5458
ABCA8	186.1383	ABCA8	892.1569
ABCA9	152.4254	ABCA9	771.2418
ABCB10	667.4437	ABCB10	359.4771
ABCB1	126.2441	ABCB1	777.7778
ABCB4	29.4091	ABCB4	14.7059
ABCB5	7.5316	ABCB5	106.6176
ABCB6	380.095	ABCB6	398.6193
ABCB7	728.4139	ABCB7	592.3203
ABCB8	547.2967	ABCB8	258.5784
ABCB9	141.3826	ABCB9	129.4608
ABCC10	268.6273	ABCC10	372.9575
ABCC11	1699.991	ABCC11	156.4542
ABCC12	5.7384	removed	removed
ABCC13	155.2945	removed	removed
ABCC1	930.3326	ABCC1	1270.4248
removed	removed	ABCC2	10.6209
ABCC3	200.8428	ABCC3	572.3039
ABCC4	119.7884	ABCC4	128.268
ABCC5	1328.4318	ABCC5	833.3333
removed	removed	ABCC6P1	6.1275
removed	removed	ABCC6P2	20.0163
ABCC6	12.194	ABCC6	33.9052
ABCC8	619.3849	ABCC8	259.3954
ABCC9	237.7836	ABCC9	224.2647
ABCD1	370.1246	ABCD1	189.951
ABCD2	13.6286	ABCD2	21.2418
ABCD3	1565.4981	ABCD3	1674.0196
ABCD4	338.205	ABCD4	523.2843
ABCE1	1136.5552	ABCE1	1689.5425
ABCF1	1679.1895	ABCF1	1595.5882
ABCF2	936.071	ABCF2	1310.049
ABCF3	1064.8256	ABCF3	822.7124
ABCG1	931.4086	ABCG1	593.1373
ABCG2	88.586	ABCG2	308.8235
ABHD10	540.4824	ABHD10	629.085
ABHD11	903.4341	ABHD11	482.4346
ABHD12B	182.1931	removed	removed
ABHD12	1129.7409	ABHD12	711.6013
ABHD13	383.036	ABHD13	460.3758
ABHD14A	167.4886	ABHD14A	167.6062
ABHD14B	1252.3985	ABHD14B	2183.415
ABHD15	543.7102	ABHD15	292.0752
ABHD1	13.9873	ABHD1	17.5654
ABHD2	5225.8585	ABHD2	3136.8464
ABHD3	1169.9094	ABHD3	178.9216
ABHD4	763.5614	ABHD4	738.1536
ABHD5	754.5952	ABHD5	968.1373
ABHD6	68.1431	ABHD6	165.4412
ABHD8	297.3191	ABHD8	158.0882
ABI1	1465.0767	ABI1	1466.9118
ABI2	1288.6219	ABI2	2147.8758
ABI3BP	428.9429	ABI3BP	1507.7614
ABI3	229.8933	ABI3	144.6078
ABL1	2331.2113	ABL1	2713.2353
ABL2	1440.6886	ABL2	808.415
ABLIM1	1956.7829	ABLIM1	5221.8137
ABLIM2	38.734	ABLIM2	35.5392
ABLIM3	586.0307	ABLIM3	871.3235
ABO	6.8143	ABO	34.3137
ABP1	5.0211	removed	removed
ABR	2483.9953	ABR	2282.6797
ABT1	467.6769	ABT1	534.7222
ABTB1	362.2344	ABTB1	346.4052
ABTB2	22.9535	ABTB2	261.0294
ACAA1	885.5017	ACAA1	1109.8856
ACAA2	1179.2343	ACAA2	1420.7516
ACACA	2931.2293	ACACA	1875.817
ACACB	334.9771	ACACB	1042.4837
ACAD10	425.3564	ACAD10	616.4216
ACAD11	178.248	ACAD11	404.04
ACAD8	600.3766	ACAD8	582.5163
ACAD9	827.7378	ACAD9	637.2549
ACADL	6.4557	ACADL	11.0294
ACADM	1006.7246	ACADM	1174.8366
ACADSB	964.4042	ACADSB	1815.3595
ACADS	380.8841	ACADS	444.8529
ACADVL	3756.8188	ACADVL	5226.5727
ACAN	50.928	ACAN	9.8039
ACAP1	58.8183	ACAP1	52.2876
ACAP2	1260.2887	ACAP2	1164.6242
ACAP3	380.1847	ACAP3	340.3145
ACAT1	4601.4525	ACAT1	962.4183
ACAT2	434.5557	ACAT2	330.6087
ACBD3	2856.2719	ACBD3	1345.5882
ACBD4	148.8389	ACBD4	247.1405
ACBD5	1021.7879	ACBD5	724.2647
ACBD6	704.3845	ACBD6	402.7778
ACBD7	13.27	ACBD7	133.1699
removed	removed	ACCN1	8.1699
ACCN2	43.0377	ACCN2	341.9118
ACCS	313.0996	ACCS	348.4477
ACD	335.6944	ACD	305.1471
removed	removed	ACE2	37.1732
ACER2	313.8169	ACER2	187.9085
ACER3	332.8252	ACER3	370.915
ACE	842.1053	ACE	811.683
ACHE	13.9873	ACHE	34.3137
ACIN1	1880.7496	ACIN1	3383.1699
ACLY	4911.3243	ACLY	2516.3399
ACN9	73.1642	ACN9	124.183
ACO1	2087.6894	ACO1	993.0556
ACO2	2885.4873	ACO2	1820.3227
ACOT11	37.2994	ACOT11	63.7255
ACOT13	467.3612	ACOT13	475.2737
ACOT1	454.0482	ACOT1	305.1471
ACOT2	394.8713	ACOT2	311.2745
ACOT4	361.8757	ACOT4	64.134
ACOT7	348.6058	ACOT7	207.5163
ACOT8	225.3959	ACOT8	160.7435
ACOT9	461.2212	ACOT9	370.5065
ACOX1	1409.4432	ACOX1	1447.4428
ACOX2	54.8731	ACOX2	249.183
ACOX3	785.0802	ACOX3	509.3954
ACP1	1461.1315	ACP1	1351.7157
ACP2	1543.9792	ACP2	760.2124
ACP5	7819.6001	ACP5	582.5163
ACP6	561.6426	ACP6	321.8954
ACPL2	691.4731	ACPL2	595.5882
ACPP	20.4429	ACPP	21.6503
ACRBP	17.9324	ACRBP	10.2124
ACRC	6.097	ACRC	23.6928
removed	removed	ACR	7.7614
removed	removed	ACSBG1	15.9314
ACSF2	1077.3783	ACSF2	741.9649
ACSF3	444.0061	ACSF3	343.5458
ACSL1	852.8647	ACSL1	1601.7157
ACSL3	2920.4698	ACSL3	4107.0261
ACSL4	901.2822	ACSL4	1208.7418
ACSL5	409.5759	ACSL5	941.1765
ACSL6	68.5017	ACSL6	13.0719
ACSM1	76.392	ACSM1	44.5261
removed	removed	ACSM2A	7.3529
ACSM3	28.2256	ACSM3	157.402
ACSM5	29.4091	ACSM5	28.5948
ACSS1	956.8726	ACSS1	756.1275
ACSS2	847.1263	ACSS2	1129.4935
ACSS3	539.0478	ACSS3	253.268
ACTA1	8.6075	ACTA1	16.3399
ACTA2	7014.0841	ACTA2	30215.9559
removed	removed	ACTBL2	19.6078
ACTB	102366.0002	ACTB	66209.9673
ACTG1	85541.4687	ACTG1	55218.9542
ACTG2	84.2823	ACTG2	5346.8137
ACTL6A	1431.7224	ACTL6A	813.317
ACTN1	6845.5124	ACTN1	10566.9935
ACTN2	7.173	removed	removed
ACTN4	12143.5524	ACTN4	11388.8276
ACTR10	918.8559	ACTR10	1006.5359
ACTR1A	2200.6635	ACTR1A	1910.5392
ACTR1B	1008.5179	ACTR1B	1234.0686
ACTR2	7486.4162	ACTR2	4247.9575
removed	removed	ACTR3B	253.268
ACTR3C	16.1392	ACTR3C	84.1503
ACTR3	4289.0702	ACTR3	2617.2386
ACTR5	170.3578	ACTR5	191.9935
ACTR6	592.845	ACTR6	566.9935
ACTR8	465.1663	ACTR8	666.2582
ACVR1B	1220.4788	ACVR1B	1312.9085
ACVR1C	24.0294	ACVR1C	38.3987
ACVR1	940.7334	ACVR1	1327.6144
ACVR2A	363.669	ACVR2A	671.1601
ACVR2B	302.3402	ACVR2B	429.7386
ACVRL1	569.8915	ACVRL1	638.8889
ACY1	615.4398	ACY1	510.4984
removed	removed	ACY3	22.0588
ACYP1	47.7002	ACYP1	57.598
ACYP2	173.5856	ACYP2	158.4967
ADAL	159.2397	ADAL	221.4052
ADAM10	1687.797	ADAM10	2294.9346
ADAM11	5.0211	ADAM11	12.2549
ADAM12	3522.6396	ADAM12	2020.0163
ADAM15	5049.5902	ADAM15	1884.8039
ADAM17	708.3296	ADAM17	864.7876
ADAM19	366.8968	ADAM19	190.768
ADAM22	118.3538	ADAM22	81.2908
ADAM23	35.1475	ADAM23	31.8627
ADAM28	96.1176	ADAM28	82.1078
ADAM32	124.8095	ADAM32	108.2516
ADAM33	69.9363	ADAM33	430.6658
ADAM6	52837.8589	ADAM6	16583.6928
ADAM8	383.036	ADAM8	47.3856
ADAM9	2965.3008	ADAM9	1996.732
ADAMDEC1	37.2994	removed	removed
ADAMTS10	90.7379	ADAMTS10	116.8301
ADAMTS12	617.5917	ADAMTS12	259.3954
ADAMTS13	32.2783	ADAMTS13	66.9935
ADAMTS14	116.9192	ADAMTS14	26.1438
ADAMTS15	182.1931	ADAMTS15	316.9935
ADAMTS16	256.0746	ADAMTS16	277.3693
ADAMTS17	63.8393	ADAMTS17	38.8072
ADAMTS18	9.6835	ADAMTS18	282.2712
ADAMTS19	108.6703	ADAMTS19	22.4673
ADAMTS1	456.2001	ADAMTS1	4542.8922
ADAMTS2	622.9714	ADAMTS2	560.4575
ADAMTS3	40.8859	ADAMTS3	104.9837
ADAMTS4	420.3353	ADAMTS4	128.268
ADAMTS5	339.9982	ADAMTS5	2003.6765
ADAMTS6	53.4385	ADAMTS6	26.9608
ADAMTS7	187.9315	ADAMTS7	45.3431
ADAMTS8	27.2572	ADAMTS8	175.6536
ADAMTS9	434.3226	ADAMTS9	1286.7647
ADAMTSL1	104.3665	ADAMTSL1	213.6438
ADAMTSL2	151.3494	ADAMTSL2	25.7353
ADAMTSL3	77.4679	ADAMTSL3	175.2451
ADAMTSL4	167.8472	ADAMTSL4	333.3333
ADAMTSL5	93.2485	ADAMTSL5	78.8399
ADAP1	217.1362	ADAP1	71.6136
ADAP2	278.6694	ADAP2	202.6144
ADARB1	430.7361	ADARB1	866.0131
removed	removed	ADARB2	7.7614
ADAR	12404.1962	ADAR	7287.1732
ADAT1	452.255	ADAT1	370.915
ADAT2	30.4851	ADAT2	157.6797
ADAT3	43.755	ADAT3	21.6503
ADA	101.4974	ADA	57.598
ADCK1	181.4758	ADCK1	155.6373
ADCK2	1681.3808	ADCK2	691.585
ADCK4	625.4819	ADCK4	466.0948
ADCK5	90.0206	ADCK5	58.415
ADCY1	2062.9427	ADCY1	279.0033
ADCY2	21.5189	ADCY2	99.6732
ADCY3	942.7239	ADCY3	1435.8497
ADCY4	138.7967	ADCY4	310.049
ADCY5	67.7845	ADCY5	353.3497
ADCY6	990.2268	ADCY6	2023.6928
ADCY7	297.6778	ADCY7	428.9216
ADCY9	1390.1193	ADCY9	900.3268
ADCYAP1R1	16.1392	ADCYAP1R1	28.1863
ADCYAP1	5.3797	ADCYAP1	11.8464
ADC	199.0496	ADC	115.6046
ADD1	4426.4324	ADD1	5888.8889
ADD2	26.1813	ADD2	58.415
ADD3	989.1509	ADD3	2946.4869
ADH1A	8.2346	ADH1A	26.5523
ADH1B	895.1852	ADH1B	2955.4739
ADH1C	12.5527	ADH1C	102.9412
removed	removed	ADH4	9.3954
ADH5	1620.7298	ADH5	2707.9248
removed	removed	ADH7	28.1863
ADHFE1	12.9113	ADHFE1	91.5033
ADI1	1179.9516	ADI1	1526.5523
ADIPOQ	669.5956	ADIPOQ	963.2353
ADIPOR1	5350.3093	ADIPOR1	2246.3235
ADIPOR2	5735.1385	ADIPOR2	1890.5229
ADK	303.7748	ADK	319.8529
ADM2	100.7801	ADM2	77.6144
ADM	64.9153	ADM	418.3007
ADNP2	872.5903	ADNP2	783.4967
ADNP	3399.9821	ADNP	3731.6176
ADORA1	57.7423	ADORA1	850.4902
ADORA2A	416.0316	ADORA2A	46.1601
ADORA2B	25.464	ADORA2B	96.4052
ADORA3	172.151	ADORA3	75.1634
ADO	602.5285	ADO	748.366
ADPGK	914.9646	ADPGK	831.2663
ADPRHL1	131.9824	ADPRHL1	89.8693
ADPRHL2	590.6931	ADPRHL2	557.1895
ADPRH	559.1321	ADPRH	430.1471
removed	removed	ADRA1A	16.3399
ADRA1B	7.8903	ADRA1B	14.2974
ADRA1D	8.6075	ADRA1D	6.5359
ADRA2A	316.6861	ADRA2A	365.1961
ADRA2B	6.4557	ADRA2B	15.9314
ADRA2C	29.7678	ADRA2C	40.4412
ADRB1	8.6075	ADRB1	8.1699
ADRB2	38.734	ADRB2	169.1176
ADRBK1	1873.218	ADRBK1	1549.4281
ADRBK2	444.3647	ADRBK2	871.3235
ADRM1	1279.2971	ADRM1	740.6046
ADSL	611.8533	ADSL	867.6471
ADSSL1	48.0588	ADSSL1	111.5196
ADSS	3151.0804	ADSS	1631.9444
AEBP1	18585.134	AEBP1	6619.6895
AEBP2	460.1453	AEBP2	876.634
AEN	331.3907	AEN	558.0065
AES	8324.935	AES	5464.8693
AFAP1L1	319.1966	AFAP1L1	329.2484
AFAP1L2	278.3108	AFAP1L2	973.4477
AFAP1	1462.9068	AFAP1	1776.9404
removed	removed	AFARP1	5.719
AFF1	1611.405	AFF1	2331.2908
AFF2	29.0505	AFF2	33.9052
AFF3	958.3072	AFF3	1621.732
AFF4	4630.1444	AFF4	3774.5098
AFG3L1	106.1598	AFG3L1	228.7582
AFG3L2	1605.6487	AFG3L2	1525.8292
AFMID	640.5451	AFMID	558.0065
removed	removed	AFP	44.9346
AFTPH	2006.2763	AFTPH	1735.7026
AG2	258.5851	AG2	196.8954
AGAP11	6.8143	AGAP11	76.8015
AGAP1	550.1659	AGAP1	807.598
AGAP2	98.6138	AGAP2	81.4175
AGAP3	805.1645	AGAP3	1356.2092
AGAP4	50.2107	AGAP4	183.0065
AGAP5	23.2906	AGAP5	86.969
AGAP6	20.8016	AGAP6	75.1634
removed	removed	AGAP7	7.7614
AGAP8	10.4008	AGAP8	55.1471
AGA	605.039	AGA	457.1078
AGBL2	10.0421	AGBL2	19.1993
removed	removed	AGBL3	18.3824
AGBL4	6.097	AGBL4	10.2124
AGBL5	823.8465	AGBL5	844.4036
AGER	6.097	AGER	45.7516
AGFG1	1450.3721	AGFG1	1473.4477
AGFG2	407.7827	AGFG2	542.8922
AGGF1	1050.8383	AGGF1	997.9575
AGK	629.7857	AGK	572.7124
AGL	2634.2688	AGL	1170.3431
AGMAT	88.9447	AGMAT	12.6634
AGPAT1	1756.618	AGPAT1	1654.906
AGPAT2	1588.8102	AGPAT2	380.719
AGPAT3	2896.7991	AGPAT3	1911.3562
AGPAT4	180.7585	AGPAT4	337.4183
AGPAT5	1255.9849	AGPAT5	789.2157
AGPAT6	1993.0064	AGPAT6	2334.9673
AGPAT9	60.6115	AGPAT9	147.8758
AGPHD1	57.7423	AGPHD1	58.0065
AGPS	832.7804	AGPS	893.7908
AGR2	6166.9506	AGR2	1897.8758
AGR3	3038.8236	AGR3	335.7843
AGRN	4939.6575	AGRN	4204.6569
AGTPBP1	345.7366	AGTPBP1	471.4052
AGTR1	1803.9989	AGTR1	271.2418
AGTRAP	885.8603	AGTRAP	498.366
AGT	106.5184	AGT	7.7614
AGXT2L2	318.9384	AGXT2L2	327.8064
AHCTF1	2147.9423	AHCTF1	1803.1046
AHCYL1	3065.7222	AHCYL1	4123.7745
AHCYL2	752.8019	AHCYL2	748.7745
AHCY	3463.1041	AHCY	3023.6928
AHDC1	764.996	AHDC1	1673.6111
AHI1	252.4881	AHI1	518.3824
AHNAK2	1712.5437	AHNAK2	1152.3693
