gene_id	TCGA-BH-A0BM-01A-11R-A056-07	gene_id	TCGA-BH-A0BM-11A-12R-A089-07
removed	removed	?|100133144	10.3417
?|100134869	12.6306	removed	removed
?|10357	51.4586	?|10357	85.5242
?|10431	1252.8662	?|10431	693.9409
?|155060	114.0127	?|155060	154.7244
?|390284	14.6497	?|390284	13.9125
?|57714	215.9236	?|57714	254.2201
?|645851	5.0955	removed	removed
?|652919	16.9873	?|652919	34.4061
?|653553	149.0446	?|653553	173.696
?|729884	5.7325	?|729884	18.5501
?|8225	508.9172	?|8225	478.5072
?|90288	45.8599	?|90288	18.5501
A1BG	247.6115	A1BG	103.0203
removed	removed	A2BP1	6.3239
A2LD1	88.5605	A2LD1	67.7077
A2ML1	11.465	A2ML1	53.9638
A2M	11344.828	A2M	26732.5545
A4GALT	246.4968	A4GALT	249.5826
AAAS	610.1911	AAAS	695.6272
AACS	698.7261	AACS	1029.5283
AADAT	24.8408	AADAT	59.0229
AAGAB	1426.7516	AAGAB	1065.3637
AAK1	805.7325	AAK1	1017.3021
AAMP	2456.6879	AAMP	2588.1549
removed	removed	AARS2	542.0665
AARSD1	616.5605	AARSD1	604.1417
AARS	1643.3121	AARS	2791.3624
AASDHPPT	1124.2038	AASDHPPT	901.3643
AASDH	281.5287	AASDH	405.9934
AASS	438.2166	AASS	580.5326
AATF	1208.2803	AATF	1060.3046
AATK	17.1975	AATK	41.7376
ABAT	556.051	ABAT	597.8178
ABCA10	45.2229	ABCA10	28.2467
ABCA11P	171.3439	ABCA11P	90.5707
ABCA12	498.0892	ABCA12	25.2955
removed	removed	ABCA13	17.2853
ABCA17P	14.6497	ABCA17P	8.8534
ABCA1	679.4713	ABCA1	612.5145
ABCA2	887.8981	ABCA2	1476.8377
ABCA3	720.3822	ABCA3	1040.9113
ABCA4	14.0127	ABCA4	40.0513
ABCA5	558.5987	ABCA5	989.0555
ABCA6	205.0955	ABCA6	86.848
ABCA7	254.1401	ABCA7	248.3178
ABCA8	368.1529	ABCA8	174.1176
ABCA9	96.8153	ABCA9	57.3365
ABCB10	514.6497	ABCB10	363.8341
ABCB1	165.6051	ABCB1	506.3323
ABCB4	12.1019	ABCB4	10.9614
removed	removed	ABCB5	10.5398
ABCB6	441.2357	ABCB6	509.6587
ABCB7	383.4395	ABCB7	502.538
ABCB8	500	ABCB8	268.1327
ABCB9	119.1529	ABCB9	133.2232
ABCC10	242.6752	ABCC10	447.3094
ABCC11	990.4459	ABCC11	112.9867
ABCC12	14.6497	removed	removed
ABCC1	468.7898	ABCC1	1251.7074
