gene_id	TCGA-BH-A0BQ-01A-21R-A115-07	gene_id	TCGA-BH-A0BQ-11A-33R-A115-07
removed	removed	?|100133144	19.4906
?|100134869	7.2751	?|100134869	5.4486
?|10357	88.2911	?|10357	79.8901
?|10431	975.3081	?|10431	768.044
?|155060	66.7316	?|155060	236.2887
?|390284	6.5332	?|390284	19.0215
?|57714	325.7249	?|57714	819.6132
removed	removed	?|645851	18.1761
?|652919	19.1328	?|652919	41.9656
?|653553	271.1263	?|653553	86.6533
removed	removed	?|729884	54.9509
?|8225	645.85	?|8225	390.1511
?|90288	154.4627	?|90288	16.4853
A1BG	106.3039	A1BG	65.8438
A2LD1	112.5151	A2LD1	87.951
A2ML1	6.5332	A2ML1	35.5067
A2M	20331.6048	A2M	38388.0714
A4GALT	395.2565	A4GALT	218.1126
AAAS	661.7162	AAAS	620.9447
AACS	1251.101	AACS	1123.5338
removed	removed	AADAC	5.0724
AADAT	45.7322	AADAT	82.849
AAGAB	1513.8276	AAGAB	1081.6866
AAK1	803.1126	AAK1	1272.3238
AAMP	2433.1371	AAMP	1364.0495
AARS2	452.179	AARS2	313.1819
AARSD1	636.9835	AARSD1	343.2315
AARS	2040.214	AARS	2222.9737
AASDHPPT	730.7811	AASDHPPT	895.6694
AASDH	328.5248	AASDH	409.1726
AASS	218.861	AASS	763.3943
AATF	1217.5019	AATF	706.3299
AATK	182.462	AATK	81.1582
ABAT	4444.8852	ABAT	862.7285
ABCA10	13.0663	ABCA10	195.2869
ABCA11P	90.7923	ABCA11P	160.5157
ABCA12	1427.9631	ABCA12	433.2664
removed	removed	ABCA13	57.9098
ABCA17P	6.9998	ABCA17P	7.1859
ABCA1	447.9884	ABCA1	535.1326
ABCA2	1689.7563	ABCA2	1690.7957
ABCA3	2089.6793	ABCA3	1182.7116
ABCA4	17.7329	ABCA4	17.3307
ABCA5	152.5961	ABCA5	1129.0288
ABCA6	236.5939	ABCA6	483.1449
ABCA7	274.3929	ABCA7	301.807
ABCA8	145.5962	ABCA8	715.6293
ABCA9	193.6617	ABCA9	606.573
ABCB10	529.653	ABCB10	375.7794
ABCB1	184.3286	ABCB1	758.3219
ABCB4	37.3324	ABCB4	10.1448
removed	removed	ABCB5	15.6399
ABCB6	644.2867	ABCB6	391.1698
ABCB7	482.5209	ABCB7	554.581
ABCB8	853.9779	ABCB8	370.707
ABCB9	86.4198	ABCB9	127.6255
ABCC10	387.79	ABCC10	342.3861
ABCC11	2808.3275	ABCC11	787.0654
ABCC12	13.0663	ABCC12	12.2583
ABCC13	24.266	removed	removed
ABCC1	1587.0923	ABCC1	1067.7375
removed	removed	ABCC2	8.454
ABCC3	335.058	ABCC3	692.8036
ABCC4	151.6627	ABCC4	123.0054
ABCC5	355.5908	ABCC5	832.2942
ABCC6P2	9.7997	ABCC6P2	9.7221
ABCC6	21.9328	ABCC6	46.9196
ABCC8	352.7909	ABCC8	396.4916
ABCC9	197.3949	ABCC9	345.345
ABCD1	341.1245	ABCD1	193.5961
ABCD2	18.1995	ABCD2	71.0134
ABCD3	1368.2313	ABCD3	2217.9013
ABCD4	637.4502	ABCD4	501.3209
ABCE1	1464.8288	ABCE1	2148.156
ABCF1	1436.3629	ABCF1	1484.9414
ABCF2	1297.7665	ABCF2	1234.2809
ABCF3	1089.6385	ABCF3	686.8858
ABCG1	979.508	ABCG1	404.9456
ABCG2	137.6631	ABCG2	229.9482
removed	removed	ABCG5	7.6086
ABHD10	485.3208	ABHD10	516.5381
ABHD11	851.6447	ABHD11	573.6025
ABHD12B	43.8655	removed	removed
ABHD12	853.0446	ABHD12	730.0011
ABHD13	412.056	ABHD13	554.581
ABHD14A	316.3918	ABHD14A	204.8864
ABHD14B	2071.0132	ABHD14B	2041.6358
ABHD15	383.1234	ABHD15	280.6721
ABHD1	28.4659	ABHD1	20.7122
ABHD2	3585.774	ABHD2	4819.6132
ABHD3	217.461	ABHD3	197.4004
ABHD4	1252.0343	ABHD4	701.6802
ABHD5	785.3797	ABHD5	1022.9314
ABHD6	135.3298	ABHD6	97.2208
ABHD8	328.5248	ABHD8	154.2851
ABI1	1370.0979	ABI1	1648.9485
ABI2	1358.4316	ABI2	2414.879
ABI3BP	452.1883	ABI3BP	980.2388
ABI3	231.9273	ABI3	199.9366
ABL1	2553.0674	ABL1	2805.8755
ABL2	1182.9694	ABL2	1311.2121
ABLIM1	3116.7861	ABLIM1	5578.3578
ABLIM2	34.9991	ABLIM2	27.4754
ABLIM3	1155.4368	ABLIM3	1052.0976
ABO	84.4645	ABO	48.6104
ABP1	14.9329	ABP1	6.7632
ABR	1332.2989	ABR	1843.8127
ABT1	572.5852	ABT1	522.8786
ABTB1	404.5895	ABTB1	347.4585
ABTB2	83.9978	ABTB2	319.1377
ACAA1	1676.2234	ACAA1	730.8465
ACAA2	1143.3038	ACAA2	1357.709
ACACA	1557.6931	ACACA	1999.366
ACACB	496.9872	ACACB	2319.7717
ACAD10	622.9839	ACAD10	631.0895
ACAD11	266.4598	ACAD11	489.0331
ACAD8	463.8547	ACAD8	549.5086
ACAD9	749.886	ACAD9	814.5408
ACADL	12.133	ACADL	48.1877
ACADM	892.7103	ACADM	1006.4462
ACADSB	1273.9671	ACADSB	2285.1104
ACADS	209.0613	ACADS	450.1744
ACADVL	3069.1874	ACADVL	4549.4833
ACAN	31.7325	removed	removed
ACAP1	145.5962	ACAP1	88.3441
ACAP2	769.0468	ACAP2	1429.5678
ACAP3	651.0018	ACAP3	444.7258
ACAT1	1621.1581	ACAT1	978.548
ACAT2	322.421	ACAT2	438.2458
ACBD3	1922.617	ACBD3	1339.9556
ACBD4	242.6604	ACBD4	168.2342
ACBD5	460.5881	ACBD5	535.9822
ACBD6	746.6474	ACBD6	295.8893
ACBD7	21.4661	ACBD7	132.3048
removed	removed	ACCN1	6.3405
ACCN2	64.3983	ACCN2	183.4513
ACCN3	11.6664	ACCN3	8.8767
ACCS	96.5975	ACCS	318.715
ACD	294.4591	ACD	366.48
ACE2	7.9331	ACE2	40.5791
ACER2	130.1966	ACER2	198.2458
ACER3	363.9906	ACER3	557.9626
ACE	600.5845	ACE	512.7338
ACHE	24.266	ACHE	31.7024
ACIN1	2673.9309	ACIN1	3117.8273
ACLY	4292.2891	ACLY	2918.3134
ACMSD	20.5328	removed	removed
ACN9	97.5308	ACN9	63.4048
ACO1	924.9094	ACO1	1486.6321
ACO2	2512.8698	ACO2	1844.9075
ACOT11	26.1327	ACOT11	50.3012
ACOT13	524.8511	ACOT13	359.3913
ACOT1	636.9835	ACOT1	427.7713
ACOT2	475.9877	ACOT2	301.3843
ACOT4	363.9906	ACOT4	86.6533
ACOT7	437.722	ACOT7	313.2199
ACOT8	238.6985	ACOT8	198.5628
ACOT9	456.8549	ACOT9	596.4282
ACOX1	980.4413	ACOX1	1492.9726
ACOX2	1998.6817	ACOX2	224.0304
ACOX3	1035.5066	ACOX3	812.85
ACP1	1333.2322	ACP1	1307.8305
ACP2	1412.5635	ACP2	680.968
ACP5	912.7764	ACP5	537.673
ACP6	717.2481	ACP6	367.3254
ACPL2	710.715	ACPL2	681.8134
ACPP	17.2662	ACPP	18.5988
ACRBP	25.666	ACRBP	6.7632
removed	removed	ACRC	10.1448
removed	removed	ACSBG1	9.2994
ACSF2	1497.4946	ACSF2	703.7937
ACSF3	303.7922	ACSF3	311.1064
ACSL1	1066.7724	ACSL1	4602.7687
ACSL3	3400.0455	ACSL3	3209.553
ACSL4	731.2478	ACSL4	1854.3802
ACSL5	965.0417	ACSL5	650.5337
ACSL6	6.9998	ACSL6	35.5067
ACSM1	100.3307	ACSM1	81.1582
ACSM3	39.3763	ACSM3	105.848
ACSM5	15.3996	ACSM5	52.8374
ACSS1	391.9899	ACSS1	549.9313
ACSS2	972.5082	ACSS2	1531.8609
ACSS3	181.5286	ACSS3	342.3861
ACTA1	46.6655	removed	removed
ACTA2	13194.2391	ACTA2	25923.2801
removed	removed	ACTBL2	5.4951
ACTB	119485.0466	ACTB	73495.9315
ACTG1	89375.5578	ACTG1	60021.1349
ACTG2	698.582	ACTG2	4009.2994
ACTL6A	988.8411	ACTL6A	842.8617
ACTN1	9397.0239	ACTN1	10151.5376
ACTN4	9398.4799	ACTN4	10257.449
ACTR10	988.3745	ACTR10	1102.3988
ACTR1A	2752.7956	ACTR1A	2128.7118
ACTR1B	1346.7652	ACTR1B	1271.0557
ACTR2	5919.5137	ACTR2	4787.0654
ACTR3B	170.3289	ACTR3B	233.3298
ACTR3C	27.066	ACTR3C	43.538
ACTR3	4296.9557	ACTR3	3166.015
ACTR5	183.8619	ACTR5	200.3593
ACTR6	536.6528	ACTR6	534.7141
ACTR8	585.1849	ACTR8	571.489
ACVR1B	1415.8301	ACVR1B	1214.414
ACVR1C	53.1986	ACVR1C	908.38
ACVR1	1339.7654	ACVR1	1431.6813
ACVR2A	276.7262	ACVR2A	604.0368
ACVR2B	379.8569	ACVR2B	265.4549
ACVRL1	778.3799	ACVRL1	616.7177
ACY1	1428.8964	ACY1	572.0342
removed	removed	ACY3	12.681
ACYP1	53.6653	ACYP1	49.0331
ACYP2	117.597	ACYP2	127.6551
ADAL	180.1287	ADAL	187.6783
ADAM10	1193.7025	ADAM10	2662.1579
removed	removed	ADAM11	16.0626
ADAM12	4116.3603	ADAM12	1580.4713
ADAM15	6699.4523	ADAM15	2235.232
ADAM17	698.582	ADAM17	1417.7322
