gene_id	TCGA-BH-A0BS-01A-11R-A12P-07	gene_id	TCGA-BH-A0BS-11A-11R-A12P-07
removed	removed	?|100133144	8.0645
?|100134869	6.1499	?|100134869	7.3699
?|10357	101.8454	?|10357	94.1252
?|10431	1129.6372	?|10431	824.3365
?|155060	63.7646	?|155060	171.1814
?|390284	5.8262	?|390284	8.068
?|57714	778.1226	?|57714	298.8658
removed	removed	?|645851	7.7172
?|652919	9.487	removed	removed
?|653553	185.4677	?|653553	108.0407
?|8225	297.1367	?|8225	518.8058
?|90288	73.7986	?|90288	18.5914
A1BG	110.0636	A1BG	106.7919
A2LD1	102.7517	A2LD1	78.6171
A2ML1	5.5025	A2ML1	37.1828
A2M	7548.1484	A2M	23158.163
A4GALT	201.0042	A4GALT	229.7619
AAAS	627.2885	AAAS	715.5943
AACS	1359.1251	AACS	1363.8385
removed	removed	AADAT	70.5071
AAGAB	2351.8464	AAGAB	1126.3594
AAK1	1126.7241	AAK1	752.4263
AAMP	2114.9139	AAMP	2765.9121
AARS2	277.389	AARS2	614.5516
AARSD1	505.5855	AARSD1	661.2231
AARS	1395.3771	AARS	2822.0371
AASDHPPT	928.633	AASDHPPT	926.7647
AASDH	436.9657	AASDH	516.7011
AASS	82.8616	AASS	554.5855
AATF	903.7098	AATF	1117.9406
AATK	21.3628	AATK	67.35
ABAT	2286.787	ABAT	698.0552
ABCA10	5.5025	ABCA10	149.4329
ABCA11P	108.5941	ABCA11P	171.9145
ABCA12	130.4423	ABCA12	6.3141
removed	removed	ABCA13	37.8844
removed	removed	ABCA17P	14.382
ABCA1	229.4814	ABCA1	666.4638
ABCA2	1623.2466	ABCA2	1243.5204
ABCA3	4967.4906	ABCA3	1143.1969
ABCA4	29.4547	ABCA4	55.0727
ABCA5	796.5722	ABCA5	970.2616
ABCA6	22.3338	ABCA6	220.2908
ABCA7	661.2747	ABCA7	201.6994
ABCA8	52.7596	ABCA8	451.4558
ABCA9	21.6864	ABCA9	356.394
ABCB10	1008.9052	ABCB10	472.8535
ABCB1	32.6915	ABCB1	546.1668
removed	removed	ABCB4	10.5234
removed	removed	ABCB5	22.0992
ABCB6	415.8165	ABCB6	577.1724
ABCB7	653.5064	ABCB7	577.0356
ABCB8	718.5658	ABCB8	374.9854
ABCB9	49.3674	ABCB9	216.0323
ABCC10	441.8209	ABCC10	430.4089
ABCC11	519.18	ABCC11	161.7103
ABCC13	154.0709	removed	removed
ABCC1	636.0278	ABCC1	751.7247
removed	removed	ABCC2	7.0156
ABCC3	65.0593	ABCC3	418.4823
ABCC4	100.3403	ABCC4	138.2079
ABCC5	1938.8329	ABCC5	690.6888
removed	removed	ABCC6P1	12.2774
ABCC6P2	35.2809	ABCC6P2	15.4344
ABCC6	93.8667	ABCC6	177.1447
ABCC8	249.8796	ABCC8	62.7899
ABCC9	71.2092	ABCC9	172.2337
ABCD1	239.1982	ABCD1	225.9033
ABCD2	5.8262	ABCD2	95.0618
ABCD3	4588.4633	ABCD3	1528.355
ABCD4	426.608	ABCD4	593.1715
ABCE1	1619.3624	ABCE1	1867.5607
ABCF1	1392.1403	ABCF1	1666.9137
ABCF2	1166.2128	ABCF2	1294.7345
ABCF3	1059.0753	ABCF3	1125.6578
ABCG1	837.032	ABCG1	688.2333
ABCG2	48.2281	ABCG2	236.7775
ABHD10	653.5064	ABHD10	848.1897
ABHD11	568.7027	ABHD11	761.8974
ABHD12	2988.1979	ABHD12	681.2177
ABHD13	546.3689	ABHD13	608.9567
ABHD14A	354.7514	ABHD14A	258.8767
