gene_id	TCGA-BH-A0BT-01A-11R-A12P-07	gene_id	TCGA-BH-A0BT-11A-21R-A12P-07
?|100133144	5.0619	?|100133144	13.2111
removed	removed	?|100134869	7.6633
?|10357	163.905	?|10357	102.1361
?|10431	1409.6551	?|10431	797.2422
?|155060	241.5894	?|155060	164.1853
?|57714	846.7134	?|57714	420.6998
?|645851	19.5572	?|645851	10.8386
removed	removed	?|652919	64.1126
?|653553	540.7001	?|653553	180.644
removed	removed	?|729884	7.6272
?|8225	1089.8368	?|8225	358.8794
?|90288	44.4831	?|90288	32.5159
A1BG	123.1377	A1BG	65.8347
removed	removed	A2BP1	7.2258
A2LD1	138.7183	A2LD1	63.96
A2M	7434.4161	A2M	31034.5903
A4GALT	241.5894	A4GALT	215.9699
AAAS	1078.3325	AAAS	798.8479
AACS	1185.3221	AACS	1078.6454
AADAT	17.2564	AADAT	59.4118
AAGAB	1284.2587	AAGAB	1755.0568
AAK1	522.2933	AAK1	949.3846
AAMP	3388.0041	AAMP	2026.0228
AARS2	728.5685	AARS2	420.6878
AARSD1	1058.7753	AARSD1	561.6021
AARS	3199.7178	AARS	2479.6399
AASDHPPT	1411.189	AASDHPPT	1028.8679
AASDH	265.7484	AASDH	437.9613
AASS	653.0584	AASS	586.8923
AATF	1635.1386	AATF	851.0339
AATK	84.748	AATK	59.4118
ABAT	12431.1183	ABAT	1185.8275
ABCA10	6.5191	ABCA10	153.3989
ABCA11P	87.394	ABCA11P	167.2523
ABCA12	95.4853	ABCA12	282.6075
removed	removed	ABCA13	23.283
ABCA17P	5.7521	ABCA17P	8.0286
ABCA1	274.1848	ABCA1	1049.7423
ABCA2	440.2296	ABCA2	1203.8919
ABCA3	4621.2606	ABCA3	1385.3387
ABCA4	5.3687	ABCA4	207.1384
ABCA5	34.1293	ABCA5	902.3649
ABCA6	44.4831	ABCA6	174.6225
ABCA7	178.6995	ABCA7	294.249
ABCA8	19.5572	ABCA8	319.5392
ABCA9	26.0763	ABCA9	203.1241
ABCB10	312.9158	ABCB10	393.8039
ABCB1	36.8136	ABCB1	554.7778
ABCB4	70.5595	ABCB4	16.4587
removed	removed	ABCB5	18.8673
ABCB6	436.8167	ABCB6	363.6083
ABCB7	432.5601	ABCB7	524.269
ABCB8	1170.3666	ABCB8	399.4239
ABCB9	55.8378	ABCB9	108.4185
