gene_id	TCGA-BH-A0BV-01A-11R-A00Z-07	gene_id	TCGA-BH-A0BV-11A-31R-A089-07
?|100133144	7.5748	?|100133144	15.3908
?|100134869	5.0883	?|100134869	9.9853
?|10357	80.5104	?|10357	54.7146
?|10431	913.6608	?|10431	636.2372
?|155060	94.7813	?|155060	215.2384
removed	removed	?|390284	7.9491
?|57714	1195.3185	?|57714	642.9634
?|645851	10.7444	?|645851	9.7836
removed	removed	?|652919	224.4869
?|653553	589.7928	?|653553	75.5169
removed	removed	?|728788	7.0319
removed	removed	?|729884	37.9113
?|8225	312.7398	?|8225	432.3111
?|90288	79.4321	?|90288	29.0449
A1BG	224.6585	A1BG	105.8918
A2LD1	60.8442	A2LD1	73.6794
removed	removed	A2ML1	13.4524
A2M	14362.9931	A2M	26393.7257
A4GALT	786.2625	A4GALT	325.9149
AAAS	691.8649	AAAS	555.5229
AACS	922.8703	AACS	1321.3923
removed	removed	AADAC	49.5293
AADAT	34.5357	AADAT	77.0455
AAGAB	2117.8051	AAGAB	935.8588
AAK1	952.4175	AAK1	999.1462
AAMP	1797.3906	AAMP	1830.1375
AARS2	507.2755	AARS2	516.3794
AARSD1	302.7629	AARSD1	388.5908
AARS	4210.284	AARS	2395.1382
AASDHPPT	625.0959	AASDHPPT	848.724
AASDH	291.6347	AASDH	541.459
AASS	180.7368	AASS	594.3514
AATF	1701.0744	AATF	747.831
AATK	35.3031	AATK	117.7482
ABAT	1720.6447	ABAT	805.0037
removed	removed	ABCA10	206.9835
ABCA11P	77.5288	ABCA11P	122.2028
removed	removed	ABCA12	136.3584
removed	removed	ABCA13	26.5991
ABCA17P	5.3722	removed	removed
ABCA1	633.5342	ABCA1	1082.6673
ABCA2	933.6147	ABCA2	1609.0902
ABCA3	2707.9816	ABCA3	1303.9653
removed	removed	ABCA4	38.217
ABCA5	157.3292	ABCA5	1007.4011
ABCA6	89.4091	ABCA6	477.5601
ABCA7	264.3899	ABCA7	263.239
ABCA8	16.8841	ABCA8	1042.255
ABCA9	42.2103	ABCA9	606.5808
ABCB10	750.1919	ABCB10	448.2094
ABCB1	67.5365	ABCB1	326.8321
ABCB4	50.2686	ABCB4	11.0065
removed	removed	ABCB5	28.1277
ABCB6	142.548	ABCB6	506.3849
ABCB7	740.9823	ABCB7	579.0646
ABCB8	806.9839	ABCB8	326.2206
ABCB9	130.1688	ABCB9	124.1901
ABCC10	460.0921	ABCC10	477.5601
ABCC11	798.1581	ABCC11	273.0225
ABCC13	577.1297	removed	removed
ABCC1	1172.2947	ABCC1	1185.3396
removed	removed	ABCC2	7.6434
ABCC3	603.9908	ABCC3	337.8386
ABCC4	135.8404	ABCC4	107.9249
removed	removed	ABCC5	949.617
removed	removed	ABCC6P1	9.4778
removed	removed	ABCC6P2	18.0384
ABCC6	11.1282	ABCC6	162.6517
ABCC8	57.1757	ABCC8	236.0284
ABCC9	287.0299	ABCC9	404.1834
ABCD1	542.594	ABCD1	251.0095
ABCD2	9.2095	ABCD2	148.2821
ABCD3	1212.5863	ABCD3	2063.1086
ABCD4	541.4428	ABCD4	573.5613
ABCE1	1123.561	ABCE1	1757.3723
ABCF1	1797.0069	ABCF1	1464.1711
ABCF2	1198.3883	ABCF2	1055.7074
ABCF3	1141.98	ABCF3	833.4372
ABCG1	814.6585	ABCG1	409.0752
ABCG2	95.9325	ABCG2	669.5625
ABHD10	685.7252	ABHD10	610.5554
ABHD11	857.6362	ABHD11	598.0202
ABHD12	2013.8143	ABHD12	638.3774
ABHD13	281.6577	ABHD13	626.1479
ABHD14A	323.5764	ABHD14A	185.1356
ABHD14B	1226.4006	ABHD14B	2080.2298
ABHD15	607.4444	ABHD15	364.7434
ABHD1	14.5817	ABHD1	17.1212
ABHD2	11869.1481	ABHD2	3874.2904
ABHD3	1627.3983	ABHD3	224.7162
ABHD4	1194.551	ABHD4	751.1941
ABHD5	688.4114	ABHD5	964.598
ABHD6	201.0744	ABHD6	207.2892
ABHD8	278.5879	ABHD8	268.1307
ABI1	1365.1957	ABI1	1558.3379
ABI2	1167.3062	ABI2	2649.5108
ABI3BP	250.9593	ABI3BP	945.3366
ABI3	265.5411	ABI3	118.0142
ABL1	2012.2794	ABL1	2986.4322
ABL2	1266.3085	ABL2	1159.0463
ABLIM1	1893.3231	ABLIM1	4747.779
ABLIM2	82.1182	ABLIM2	47.0834
ABLIM3	342.287	ABLIM3	1208.2699
ABO	6.9071	ABO	31.1851
removed	removed	ABP1	6.1147
ABR	2154.2594	ABR	1692.8619
ABT1	485.4183	ABT1	451.5725
ABTB1	415.5794	ABTB1	479.7003
ABTB2	35.3031	ABTB2	199.6458
ACAA1	1169.9923	ACAA1	1056.0132
ACAA2	486.5695	ACAA2	1697.7537
ACACA	2412.5096	ACACA	2250.2192
ACACB	201.8419	ACACB	2617.4085
ACAD10	496.5464	ACAD10	664.365
ACAD11	48.7337	ACAD11	509.6624
ACAD8	204.1443	ACAD8	729.7926
ACAD9	828.8526	ACAD9	858.2721
removed	removed	ACADL	75.5169
ACADM	841.1358	ACADM	1280.4236
ACADSB	1693.3998	ACADSB	2448.0306
ACADS	230.2379	ACADS	641.4348
ACADVL	2851.1128	ACADVL	5871.5953
ACAN	40.2916	ACAN	11.0065
ACAP1	106.2932	ACAP1	25.0704
ACAP2	1250.9593	ACAP2	1372.756
ACAP3	378.3576	ACAP3	539.7346
ACAT1	882.1949	ACAT1	1053.873
ACAT2	373.0622	ACAT2	273.686
ACBD3	3582.5019	ACBD3	1600.8353
ACBD4	212.2026	ACBD4	273.9397
ACBD5	958.5572	ACBD5	799.8062
ACBD6	522.2563	ACBD6	387.0622
ACBD7	21.1051	ACBD7	66.3448
ACCN1	227.5518	ACCN1	7.3377
ACCN2	28.7797	ACCN2	348.5394
ACCN3	52.9547	ACCN3	8.2549
ACCS	108.2118	ACCS	354.0426
ACD	614.3515	ACD	278.8315
removed	removed	ACE2	50.4465
ACER2	81.7345	ACER2	211.2638
ACER3	326.5541	ACER3	395.9285
ACE	348.8104	ACE	450.961
ACHE	5.3722	ACHE	11.0065
ACIN1	3542.594	ACIN1	3556.9361
ACLY	8243.6685	ACLY	3013.6427
ACN9	46.0476	ACN9	149.1993
ACO1	998.8488	ACO1	1663.2055
ACO2	2173.7145	ACO2	2295.9512
ACOT11	25.3262	ACOT11	47.3249
ACOT13	728.3538	ACOT13	470.681
ACOT1	363.7759	ACOT1	468.9995
ACOT2	160.0153	ACOT2	256.5128
ACOT4	403.3001	ACOT4	142.1674
ACOT7	417.4981	ACOT7	270.5766
ACOT8	320.6101	ACOT8	201.1195
ACOT9	204.528	ACOT9	305.7363
ACOX1	1938.7068	ACOX1	1901.955
ACOX2	329.6239	ACOX2	181.3016
ACOX3	360.7061	ACOX3	862.4821
ACP1	1435.9171	ACP1	1161.4922
ACP2	972.7552	ACP2	719.0918
ACP5	2290.8672	ACP5	554.6056
ACP6	318.4958	ACP6	305.1248
ACPL2	567.1527	ACPL2	724.9008
ACPP	29.1635	ACPP	14.6753
ACRBP	31.4658	ACRBP	19.8729
ACRC	6.5234	ACRC	16.8155
ACSBG1	5.3722	ACSBG1	14.3696
ACSF2	1379.1251	ACSF2	734.6843
ACSF3	457.7897	ACSF3	349.7623
ACSL1	1726.7843	ACSL1	5186.2049
ACSL3	2798.1581	ACSL3	4631.905
ACSL4	529.5472	ACSL4	1252.6016
ACSL5	277.8204	ACSL5	681.4862
ACSL6	18.419	removed	removed
ACSM1	6.9071	ACSM1	20.7901
ACSM3	12.2371	ACSM3	158.0901
ACSM5	16.1167	ACSM5	140.6387
ACSS1	860.7061	ACSS1	872.2657
ACSS2	989.2556	ACSS2	1518.5922
ACSS3	37.2218	ACSS3	370.8581
ACTA2	6021.1934	ACTA2	25489.3608
removed	removed	ACTBL2	9.4778
ACTB	99598.2348	ACTB	70570.3587
ACTG1	78069.0714	ACTG1	57461.3033
ACTG2	26.8611	ACTG2	6384.3854
ACTL6A	1511.8956	ACTL6A	730.0983
ACTN1	5917.1144	ACTN1	8245.4023
ACTN4	8443.4612	ACTN4	10183.5197
ACTR10	1150.4221	ACTR10	940.7506
ACTR1A	2600.921	ACTR1A	1944.1771
ACTR1B	775.1343	ACTR1B	1314.3604
ACTR2	4942.4405	ACTR2	4497.0753
ACTR3B	139.2939	ACTR3B	432.3111
ACTR3C	17.6516	ACTR3C	43.4146
ACTR3	4344.5894	ACTR3	2708.5179
ACTR5	186.4927	ACTR5	189.5565
ACTR6	556.4083	ACTR6	651.5241
ACTR8	576.3622	ACTR8	562.2491
ACVR1B	1622.4098	ACVR1B	1299.685
ACVR1C	8.0583	ACVR1C	425.8907
ACVR1	951.65	ACVR1	1186.2568
ACVR2A	145.0499	ACVR2A	717.2574
ACVR2B	381.4275	ACVR2B	420.9989
ACVRL1	378.7414	ACVRL1	643.8806
ACY1	827.6132	ACY1	605.1928
removed	removed	ACY3	5.5033
ACYP1	31.0821	ACYP1	54.4211
ACYP2	55.2571	ACYP2	187.1106
ADAL	166.155	ADAL	195.6712
ADAM10	1468.1504	ADAM10	2238.6012
ADAM11	5.3722	ADAM11	21.0958
ADAM12	2916.3469	ADAM12	3987.1071
ADAM15	4381.8611	ADAM15	2011.3443
ADAM17	429.7774	ADAM17	1056.6247
ADAM19	451.2663	ADAM19	162.346
ADAM22	157.713	ADAM22	61.453
ADAM23	44.5127	ADAM23	60.5358
ADAM28	165.0038	ADAM28	86.5234
ADAM32	6.9071	ADAM32	31.7966
ADAM33	16.8841	ADAM33	490.1503
ADAM6	24660.802	ADAM6	24738.1667
ADAM8	521.4889	ADAM8	33.9367
ADAM9	1086.3392	ADAM9	1626.5171
ADAMDEC1	205.6792	removed	removed
ADAMTS10	91.3277	ADAMTS10	160.5116
ADAMTS12	661.5503	ADAMTS12	582.1219
ADAMTS13	61.013	ADAMTS13	122.6003
ADAMTS14	177.6669	ADAMTS14	46.7777
ADAMTS15	518.0353	ADAMTS15	541.1533
ADAMTS16	179.9693	ADAMTS16	220.7416
ADAMTS17	9.977	ADAMTS17	44.6375
ADAMTS18	73.2924	ADAMTS18	131.4666
ADAMTS19	9.2095	ADAMTS19	21.7073
ADAMTS1	425.1727	ADAMTS1	6110.14
ADAMTS2	1121.2586	ADAMTS2	828.2396
ADAMTS3	14.198	ADAMTS3	132.3838
ADAMTS4	391.4045	ADAMTS4	783.2964
ADAMTS5	192.6324	ADAMTS5	2572.4652
ADAMTS6	130.8519	ADAMTS6	25.3761
ADAMTS7	205.6792	ADAMTS7	175.7984
removed	removed	ADAMTS8	345.1763
ADAMTS9	174.5971	ADAMTS9	1055.4017
ADAMTSL1	91.3277	ADAMTSL1	299.0101
ADAMTSL2	247.5058	ADAMTSL2	46.7777
ADAMTSL3	148.5035	ADAMTSL3	239.0858
ADAMTSL4	81.7345	ADAMTSL4	433.2283
ADAMTSL5	90.5602	ADAMTSL5	91.4152
ADAP1	232.0261	ADAP1	126.0367
ADAP2	418.2655	ADAP2	130.5494
ADARB1	544.1289	ADARB1	753.0285
removed	removed	ADARB2	8.5606
ADAR	19619.7237	ADAR	6363.9011
ADAT1	488.4881	ADAT1	289.5323
ADAT2	28.396	ADAT2	164.7919
ADAT3	30.6984	ADAT3	48.0006
ADA	120.1074	ADA	75.5169
ADCK1	178.4344	ADCK1	160.2058
ADCK2	1440.5219	ADCK2	754.8629
ADCK4	536.8381	ADCK4	504.7706
ADCK5	133.9217	ADCK5	80.7144
ADCY10	5.7559	removed	removed
ADCY1	3166.155	ADCY1	1295.7104
ADCY2	26.8611	ADCY2	54.7268
ADCY3	826.6961	ADCY3	1219.7869
ADCY4	129.7007	ADCY4	292.5896
ADCY5	34.9194	ADCY5	324.9977
ADCY6	1048.7337	ADCY6	2894.4056
ADCY7	643.8987	ADCY7	394.0941
ADCY9	1676.132	ADCY9	827.6282
removed	removed	ADCYAP1R1	36.0769
ADC	188.0276	ADC	111.8995
ADD1	5628.5495	ADD1	5912.6343
ADD2	19.954	ADD2	38.217
ADD3	627.3983	ADD3	3512.2986
removed	removed	ADH1A	81.0201
ADH1B	94.7813	ADH1B	6358.0921
removed	removed	ADH1C	129.9379
ADH5	1432.4635	ADH5	3053.3884
removed	removed	ADH7	12.2295
ADHFE1	28.0123	ADHFE1	240.6145
ADI1	1957.7897	ADI1	1324.4497
ADIPOQ	37.6055	ADIPOQ	5580.299
ADIPOR1	9372.218	ADIPOR1	2211.0849
ADIPOR2	2410.2072	ADIPOR2	2238.2955
ADK	166.9225	ADK	330.1952
ADM2	82.1182	ADM2	146.7534
ADM	28.0123	ADM	356.7943
ADNP2	636.9916	ADNP2	895.8074
ADNP	3377.2064	ADNP	3415.0745
ADORA1	699.5395	ADORA1	979.8848
ADORA2A	127.782	ADORA2A	39.7365
ADORA2B	31.0821	ADORA2B	126.2691
ADORA3	386.0322	ADORA3	51.058
ADO	576.746	ADO	827.0167
