gene_id	TCGA-BH-A0BW-01A-11R-A115-07	gene_id	TCGA-BH-A0BW-11A-12R-A115-07
?|100133144	10.4864	removed	removed
?|100134869	21.5696	?|100134869	11.644
?|10357	75.6595	?|10357	122.2424
?|10431	467.944	?|10431	565.1709
?|155060	78.1135	?|155060	295.3029
?|340602	51.9528	removed	removed
removed	removed	?|388795	5.1732
removed	removed	?|391343	5.1732
?|57714	4180.9138	?|57714	1207.0774
?|645851	20.2653	?|645851	16.3818
?|652919	47.8998	?|652919	11.2086
?|653553	122.6971	?|653553	53.0252
?|8225	299.5578	?|8225	412.5618
A1BG	18.0545	A1BG	72.5712
A2LD1	128.2461	A2LD1	105.7357
A2ML1	662.4908	A2ML1	278.49
A2M	62109.392	A2M	33879.1694
A4GALT	258.6588	A4GALT	387.5581
A4GNT	5.1584	removed	removed
AAAS	249.0789	AAAS	558.2733
AACS	1710.3906	AACS	674.67
removed	removed	AADAC	17.6751
AADAT	141.4886	AADAT	116.8278
AAGAB	1918.9388	AAGAB	1014.3761
AAK1	1959.101	AAK1	1808.8916
AAMP	1852.2476	AAMP	1512.2955
AARS2	299.1857	AARS2	501.795
AARSD1	509.9484	AARSD1	455.6717
AARS	10583.2719	AARS	2397.7729
AASDHPPT	1105.0111	AASDHPPT	884.1842
AASDH	636.6986	AASDH	441.0143
AASS	153.6478	AASS	560.8599
AATF	1541.636	AATF	1007.4785
AATK	28.3714	AATK	25.4348
ABAT	153.6478	ABAT	466.4492
ABCA10	9.58	ABCA10	208.6519
ABCA11P	121.168	ABCA11P	132.757
ABCA12	64.112	ABCA12	18.9684
ABCA13	647.0155	ABCA13	221.5849
ABCA17P	8.4746	removed	removed
ABCA1	2640.6485	ABCA1	1948.4944
ABCA2	1545.3206	ABCA2	1524.7974
ABCA3	982.3139	ABCA3	864.3536
ABCA4	19.5284	ABCA4	30.1769
ABCA5	760.8696	ABCA5	924.7075
ABCA6	8.843	ABCA6	350.9146
removed	removed	ABCA7	685.0164
removed	removed	ABCA8	985.0613
ABCA9	5.8954	ABCA9	503.0926
ABCB10	767.5018	ABCB10	549.2202
removed	removed	ABCB11	8.1909
ABCB1	37.9514	ABCB1	586.7258
ABCB4	12.1592	ABCB4	81.4777
removed	removed	ABCB5	20.2617
ABCB6	444.4252	ABCB6	268.1781
ABCB7	353.353	ABCB7	446.1875
ABCB8	269.7126	ABCB8	398.3355
ABCB9	575.4053	ABCB9	109.7535
ABCC10	551.9528	ABCC10	486.7108
ABCC11	19.1599	ABCC11	37.9367
ABCC13	8.843	removed	removed
ABCC1	2226.2343	ABCC1	2280.0829
ABCC2	9.2115	ABCC2	21.555
ABCC3	117.5387	ABCC3	1284.6752
ABCC4	168.3861	ABCC4	324.1865
ABCC5	507.0007	ABCC5	1403.2274
ABCC6	5.1584	ABCC6	21.1239
removed	removed	ABCC8	42.6788
ABCC9	55.269	ABCC9	431.5302
ABCD1	1078.1135	ABCD1	248.3131
ABCD2	112.3803	ABCD2	141.4005
ABCD3	2880.2506	ABCD3	1328.6473
ABCD4	175.0184	ABCD4	543.6159
ABCE1	2589.9042	ABCE1	1995.9886
ABCF1	2325.7185	ABCF1	1741.2091
ABCF2	662.1223	ABCF2	1261.3958
ABCF3	963.8909	ABCF3	849.2651
ABCG1	599.8526	ABCG1	721.2287
ABCG2	10.6853	ABCG2	89.6686
ABHD10	787.3987	ABHD10	689.7585
ABHD11	918.5704	ABHD11	376.3495
ABHD12	1586.5881	ABHD12	942.8136
ABHD13	410.8327	ABHD13	664.7547
ABHD14A	59.6905	ABHD14A	163.8176
ABHD14B	315.0332	ABHD14B	1317.8698
ABHD15	557.8482	ABHD15	377.6428
ABHD1	5.1584	ABHD1	9.9153
ABHD2	4953.9425	ABHD2	3282.3882
ABHD3	736.1828	ABHD3	397.0422
ABHD4	463.8909	ABHD4	498.7816
ABHD5	843.4046	ABHD5	760.8898
ABHD6	67.7966	ABHD6	209.5141
ABHD8	98.3788	ABHD8	151.3158
ABI1	2390.2911	ABI1	2013.4869
ABI2	1565.9543	ABI2	1745.5201
ABI3BP	173.5446	ABI3BP	3020.7111
ABI3	235.8143	ABI3	362.9854
ABL1	2112.0118	ABL1	2494.7702
ABL2	1621.2233	ABL2	1355.3754
ABLIM1	2545.689	ABLIM1	4902.0274
ABLIM2	113.4856	ABLIM2	65.5271
ABLIM3	77.3766	ABLIM3	562.5843
ABO	246.8681	ABO	24.5726
ABP1	16.5807	ABP1	48.7142
ABR	1130.0663	ABR	2481.4062
ABT1	439.5726	ABT1	615.6095
ABTB1	208.1798	ABTB1	475.5023
ABTB2	579.2189	ABTB2	183.6482
ACAA1	414.5173	ACAA1	759.5965
ACAA2	696.7576	ACAA2	1122.5819
ACACA	3963.154	ACACA	1670.9399
ACACB	432.9403	ACACB	1055.3305
ACAD10	655.4901	ACAD10	507.4036
ACAD11	307.664	ACAD11	544.0255
ACAD8	410.0958	ACAD8	484.9864
ACAD9	662.1223	ACAD9	675.9633
removed	removed	ACADL	13.7952
ACADM	1539.4252	ACADM	1036.7932
ACADSB	323.5077	ACADSB	1186.8157
ACADS	176.1238	ACADS	289.2675
ACADVL	2377.664	ACADVL	4287.2715
ACAN	112.3803	ACAN	46.1276
ACAP1	203.7583	ACAP1	989.3723
ACAP2	2338.2461	ACAP2	2023.1479
ACAP3	535.3721	ACAP3	526.803
ACAT1	652.9108	ACAT1	731.5751
ACAT2	597.0302	ACAT2	331.7437
ACBD3	2863.6699	ACBD3	1613.6038
ACBD4	78.8504	ACBD4	232.3624
ACBD5	3574.0604	ACBD5	842.7987
ACBD6	328.6662	ACBD6	299.1827
ACBD7	70.7443	ACBD7	156.9201
removed	removed	ACCN1	6.8976
ACCN2	8.1061	ACCN2	70.2691
removed	removed	ACCN3	10.3464
ACCS	434.4141	ACCS	350.4835
ACD	398.6735	ACD	271.5924
ACE2	210.0221	ACE2	39.6611
ACER2	29.4768	ACER2	141.8316
ACER3	554.9005	ACER3	469.4669
ACE	1295.8732	ACE	478.52
ACHE	61.9013	ACHE	119.4144
ACIN1	2298.4525	ACIN1	3347.9153
ACLY	5436.9934	ACLY	2987.0854
ACN9	166.5438	ACN9	144.4182
ACO1	477.1555	ACO1	848.4029
ACO2	2802.1371	ACO2	1792.0917
ACOT11	178.8983	ACOT11	65.2986
ACOT13	721.6396	ACOT13	496.2123
ACOT1	861.8276	ACOT1	887.2019
ACOT2	347.8261	ACOT2	303.9248
ACOT4	102.4318	ACOT4	45.2654
ACOT7	735.4458	ACOT7	363.4165
ACOT8	193.4119	ACOT8	214.4976
ACOT9	657.3324	ACOT9	556.1178
ACOX1	3067.3471	ACOX1	1638.3661
removed	removed	ACOX2	106.0504
ACOX3	704.8637	ACOX3	444.4631
ACP1	2517.3176	ACP1	1121.7197
ACP2	1286.2933	ACP2	919.5343
ACP5	574.4289	ACP5	2109.7988
