gene_id	TCGA-BH-A0BZ-01A-31R-A12P-07	gene_id	TCGA-BH-A0BZ-11A-61R-A12P-07
?|100133144	11.5541	?|100133144	8.0368
?|100134869	5.3529	removed	removed
?|10357	82.7534	?|10357	90.5208
?|10431	1075.4019	?|10431	780.5759
?|155060	211.3367	?|155060	116.617
?|57714	1962.1103	?|57714	708.7282
?|645851	16.9069	?|645851	7.5819
removed	removed	?|652919	53.7088
?|653553	744.2071	?|653553	186.6594
?|8225	502.0756	?|8225	354.1836
?|90288	6.642	?|90288	56.3228
A1BG	41.1261	A1BG	29.0351
A2LD1	50.6484	A2LD1	82.141
A2ML1	11.1707	A2ML1	8.304
A2M	19303.4312	A2M	39009.2102
A4GALT	292.5504	A4GALT	379.4566
AAAS	764.1331	AAAS	636.1585
AACS	684.7309	AACS	855.3119
removed	removed	AADACL2	5.4157
removed	removed	AADACL3	28.1614
removed	removed	AADAC	152.7214
AADAT	16.605	AADAT	34.2991
AAGAB	1763.1519	AAGAB	1089.268
AAK1	692.5806	AAK1	1298.3121
AAMP	3102.7247	AAMP	1678.4908
AARS2	642.1164	AARS2	301.0994
AARSD1	503.8871	AARSD1	365.737
AARS	3370.5185	AARS	2521.8883
AASDHPPT	845.6487	AASDHPPT	755.9816
AASDH	179.6362	AASDH	365.737
AASS	126.1982	AASS	479.4657
AATF	1738.3954	AATF	671.5408
AATK	41.6635	AATK	36.1043
ABAT	292.8523	ABAT	665.403
removed	removed	ABCA10	396.7867
ABCA11P	99.5064	ABCA11P	114.7685
ABCA12	1313.9105	ABCA12	51.6292
ABCA1	938.3199	ABCA1	2710.9703
ABCA2	5180.1645	ABCA2	1557.5413
ABCA3	1027.7002	ABCA3	1205.885
ABCA4	76.685	ABCA4	20.5795
ABCA5	301.9096	ABCA5	727.5025
ABCA6	115.6314	ABCA6	1183.8614
ABCA7	218.5825	ABCA7	252.7304
ABCA8	28.9833	ABCA8	2502.3919
ABCA9	48.6074	ABCA9	1319.9747
ABCB10	432.3345	ABCB10	390.649
removed	removed	ABCB11	8.304
ABCB1	92.3843	ABCB1	132.1419
ABCB4	30.191	ABCB4	20.9405
removed	removed	ABCB5	68.2372
ABCB6	2126.1137	ABCB6	584.5979
ABCB7	213.4501	ABCB7	479.4657
ABCB8	1159.9366	ABCB8	444.4444
ABCB9	360.6219	ABCB9	66.4248
ABCC10	525.6246	ABCC10	349.8511
ABCC11	2352.4794	ABCC11	432.8911
ABCC12	22.3413	removed	removed
ABCC13	31.3986	removed	removed
ABCC1	957.6572	ABCC1	1416.3733
removed	removed	ABCC2	11.9144
removed	removed	ABCC3	759.2743
ABCC4	145.5204	ABCC4	159.2201
ABCC5	2262.5104	ABCC5	732.5571
removed	removed	ABCC6P1	9.3871
removed	removed	ABCC6P2	50.5461
ABCC6	9.6611	ABCC6	524.5961
ABCC8	40.4559	ABCC8	277.6424
ABCC9	209.5252	ABCC9	1308.7824
ABCD1	973.6584	ABCD1	365.737
ABCD2	18.1146	ABCD2	723.17
ABCD3	2012.5292	ABCD3	1885.3687
ABCD4	304.9287	ABCD4	765.051
ABCE1	1595.2902	ABCE1	1277.0106
ABCF1	3380.1796	ABCF1	1274.4833
ABCF2	2163.7859	ABCF2	1196.8589
ABCF3	1742.3202	ABCF3	898.6371
ABCG1	1383.6516	ABCG1	641.5741
ABCG2	36.833	ABCG2	194.6024
ABHD10	598.3848	ABHD10	658.1821
ABHD11	1892.9731	ABHD11	358.1551
removed	removed	ABHD12B	9.3871
ABHD12	2379.0475	ABHD12	787.4357
ABHD13	350.8189	ABHD13	507.627
ABHD14A	194.7317	ABHD14A	334.6872
ABHD14B	1442.524	ABHD14B	2742.1247
ABHD15	359.8762	ABHD15	883.8343
removed	removed	ABHD1	38.2706
ABHD2	2779.6815	ABHD2	3138.5504
ABHD3	607.744	ABHD3	439.0288
ABHD4	1834.7045	ABHD4	1586.4248
ABHD5	759.3026	ABHD5	1270.1507
ABHD6	85.1385	ABHD6	475.1331
ABHD8	266.5862	ABHD8	191.353
ABI1	1106.6918	ABI1	1384.0563
ABI2	1061.816	ABI2	1242.3504
ABI3BP	243.3391	ABI3BP	1822.5472
ABI3	328.1757	ABI3	172.9398
ABL1	2080.157	ABL1	2768.1199
ABL2	1119.7826	ABL2	1291.4523
ABLIM1	592.6485	ABLIM1	8326.3832
