gene_id	TCGA-BH-A0C0-01A-21R-A056-07	gene_id	TCGA-BH-A0C0-11A-21R-A089-07
?|100133144	7.8666	?|100133144	15.1903
removed	removed	?|100134869	11.7363
?|10357	104.55	?|10357	79.4336
?|10431	1174.0521	?|10431	507.5828
?|155060	141.6172	?|155060	280.718
removed	removed	?|388795	12.9991
removed	removed	?|390284	5.2615
?|57714	1162.6313	?|57714	917.0535
?|645851	5.0251	?|645851	16.7131
removed	removed	?|652919	98.4494
?|653553	414.8013	?|653553	78.3039
?|729884	50.2513	?|729884	17.9511
?|8225	330.7446	?|8225	470.7521
?|90288	74.9201	?|90288	23.8316
A1BG	270.7446	A1BG	100.8449
A2LD1	33.2206	A2LD1	87.5704
A2ML1	55.2764	A2ML1	15.4751
A2M	10946.0576	A2M	25150.2043
A4GALT	489.7213	A4GALT	175.178
AAAS	458.2001	AAAS	622.4079
AACS	534.4906	AACS	1034.6642
AADACL2	8.2229	removed	removed
AADAC	15.5322	removed	removed
AADAT	8.2229	AADAT	42.0922
AAGAB	1375.0571	AAGAB	1116.9916
AAK1	911.3751	AAK1	1100.2786
AAMP	1644.1297	AAMP	2234.6023
AARS2	288.2595	AARS2	563.8812
AARSD1	447.2362	AARSD1	495.5122
AARS	2778.4376	AARS	2296.8121
AASDHPPT	1202.3755	AASDHPPT	943.3612
AASDH	355.8703	AASDH	468.8951
AASS	80.8588	AASS	785.2058
AATF	2012.3344	AATF	832.5596
AATK	179.534	AATK	74.3083
ABAT	2086.3408	ABAT	1133.7047
ABCA10	7.7661	ABCA10	295.8836
ABCA11P	79.5614	ABCA11P	163.9307
ABCA12	43.8556	ABCA12	68.3999
ABCA13	21.9278	ABCA13	53.8533
removed	removed	ABCA17P	12.6896
ABCA1	837.8164	ABCA1	991.2535
ABCA2	2514.847	ABCA2	1520.8914
ABCA3	1253.0836	ABCA3	1181.987
ABCA4	42.0283	ABCA4	44.2587
ABCA5	217.9077	ABCA5	1222.5317
ABCA6	65.3266	ABCA6	515.3203
ABCA7	845.1348	ABCA7	271.433
ABCA8	20.5573	ABCA8	593.6243
removed	removed	ABCA9	364.2835
ABCB10	382.3664	ABCB10	443.8254
ABCB1	86.7976	ABCB1	781.8013
ABCB4	16.4459	ABCB4	11.7611
removed	removed	ABCB5	61.9003
ABCB6	638.2778	ABCB6	462.0025
ABCB7	383.7369	ABCB7	579.3872
ABCB8	693.0105	ABCB8	335.1903
ABCB9	240.2924	ABCB9	133.3457
ABCC10	370.9456	ABCC10	397.7097
ABCC11	537.6884	ABCC11	1049.8298
ABCC12	12.7912	ABCC12	8.666
ABCC13	16.9027	removed	removed
ABCC1	1983.5541	ABCC1	840.6066
removed	removed	ABCC2	17.0226
ABCC3	705.3449	ABCC3	577.5302
ABCC4	137.0489	ABCC4	127.2052
ABCC5	3297.8529	ABCC5	1028.7837
ABCC6P1	6.8524	ABCC6P1	13.3086
ABCC6P2	21.9278	ABCC6P2	20.4271
ABCC6	53.9059	ABCC6	134.6332
ABCC8	5.0251	ABCC8	260.6004
ABCC9	88.1681	ABCC9	360.879
ABCD1	1281.407	ABCD1	190.034
ABCD2	59.3878	ABCD2	43.6397
ABCD3	2088.6249	ABCD3	1724.853
ABCD4	546.825	ABCD4	566.0786
ABCE1	1669.2554	ABCE1	1355.927
ABCF1	1422.1106	ABCF1	1377.2826
ABCF2	1596.1626	ABCF2	1057.5673
ABCF3	2055.2764	ABCF3	863.5097
ABCG1	541.7999	ABCG1	359.022
ABCG2	26.9529	ABCG2	373.2591
ABHD10	424.3947	ABHD10	721.139
ABHD11	1066.2403	ABHD11	417.2083
ABHD12B	111.0096	removed	removed
ABHD12	1676.1078	ABHD12	634.4785
ABHD13	276.8387	ABHD13	515.3203
ABHD14A	260.3929	ABHD14A	210.9842
ABHD14B	1595.249	ABHD14B	2172.0829
ABHD15	400.6396	ABHD15	286.9081
ABHD1	27.8666	ABHD1	29.0932
ABHD2	10925.0799	ABHD2	3349.4274
ABHD3	687.9854	ABHD3	371.0925
ABHD4	916.857	ABHD4	930.3621
ABHD5	561.4436	ABHD5	879.2943
ABHD6	104.1571	ABHD6	163.7264
ABHD8	718.593	ABHD8	218.5082
ABI1	1833.746	ABI1	1686.1529
ABI2	878.4833	ABI2	2394.9242
ABI3BP	484.2394	ABI3BP	913.649
ABI3	359.5249	ABI3	113.8966
ABL1	2866.6058	ABL1	2347.2609
ABL2	783.9196	ABL2	856.0817
ABLIM1	3429.4198	ABLIM1	5629.5265
ABLIM2	26.4961	ABLIM2	51.0678
ABLIM3	99.5889	ABLIM3	1214.7942
ABO	9.1366	ABO	23.5221
ABP1	14.1617	removed	removed
ABR	1906.8068	ABR	2545.342
