gene_id	TCGA-BH-A0C3-01A-21R-A12P-07	gene_id	TCGA-BH-A0C3-11A-23R-A12P-07
?|100133144	11.2606	?|100133144	28.7667
?|100134869	8.198	?|100134869	12.8831
?|10357	93.8748	?|10357	101.0635
?|10431	1061.3367	?|10431	449.2519
?|155060	200.5076	?|155060	393.8536
?|57714	2264.3824	?|57714	613.425
removed	removed	?|645851	16.1747
?|652919	45.2623	?|652919	64.6138
?|653553	381.9797	?|653553	137.8892
?|729884	7.1912	?|729884	6.4699
?|8225	366.7513	?|8225	388.1925
?|90288	8.8832	?|90288	19.0053
A1BG	130.5753	A1BG	112.5758
A2LD1	80.9433	A2LD1	60.8856
A2M	24488.088	A2M	31493.239
A4GALT	403.5533	A4GALT	205.8229
AAAS	582.9103	AAAS	808.33
AACS	881.5567	AACS	1554.3874
AADAC	77.8342	AADAC	8.8961
AADAT	57.5296	AADAT	103.9224
AAGAB	1597.2927	AAGAB	878.2855
AAK1	1293.1472	AAK1	1052.9721
AAMP	2550.7614	AAMP	1804.6907
AARS2	317.6777	AARS2	382.9195
AARSD1	482.6565	AARSD1	432.6729
AARS	1935.7022	AARS	2094.6219
AASDHPPT	671.3198	AASDHPPT	794.1771
AASDH	264.3824	AASDH	370.4003
AASS	537.6481	AASS	987.0603
AATF	1363.3672	AATF	814.7998
AATK	20.7276	AATK	30.3275
ABAT	5155.6684	ABAT	828.9527
ABCA10	170.8968	ABCA10	402.3453
ABCA11P	109.8773	ABCA11P	197.9984
ABCA12	350.6768	ABCA12	46.9066
removed	removed	ABCA13	16.9834
ABCA17P	7.6142	ABCA17P	10.5135
ABCA1	2381.0914	ABCA1	871.3829
ABCA2	1364.2132	ABCA2	1860.4933
ABCA3	1953.8917	ABCA3	934.0882
ABCA4	12.2673	ABCA4	59.442
ABCA5	393.401	ABCA5	1033.9668
ABCA6	559.6447	ABCA6	560.4529
ABCA7	426.3959	ABCA7	254.7513
ABCA8	1417.0897	ABCA8	543.8738
ABCA9	918.3587	ABCA9	765.8714
ABCB10	980.1184	ABCB10	378.4877
ABCB11	5.0761	removed	removed
ABCB1	233.0795	ABCB1	693.0853
ABCB4	36.379	ABCB4	13.3441
ABCB5	29.1878	ABCB5	113.6272
ABCB6	823.1514	ABCB6	416.1828
ABCB7	497.0389	ABCB7	606.9551
ABCB8	1250.423	ABCB8	310.554
ABCB9	222.9569	ABCB9	151.019
ABCC10	436.5482	ABCC10	420.1375
ABCC11	9295.2623	ABCC11	389.0012
ABCC12	38.4941	ABCC12	9.7048
ABCC1	1956.8528	ABCC1	851.5973
ABCC2	739.4247	ABCC2	16.9834
ABCC3	690.7783	ABCC3	454.1043
ABCC4	188.6633	ABCC4	121.3101
ABCC5	2306.2606	ABCC5	960.372
ABCC6P1	7.6142	ABCC6P1	7.2786
ABCC6P2	16.9205	ABCC6P2	17.7922
ABCC6	93.9086	ABCC6	52.1634
removed	removed	ABCC8	22.2402
ABCC9	1683.5871	ABCC9	287.1007
ABCD1	442.0474	ABCD1	136.2717
ABCD2	131.5567	ABCD2	33.1581
ABCD3	2994.9239	ABCD3	1326.3243
ABCD4	480.9645	ABCD4	671.6539
ABCE1	1527.9188	ABCE1	1587.9499
ABCF1	1734.7716	ABCF1	1329.9636
ABCF2	1145.5161	ABCF2	1003.2349
ABCF3	1017.3435	ABCF3	794.5815
ABCG1	920.4738	ABCG1	595.2285
ABCG2	134.5178	ABCG2	1254.7513
ABHD10	546.9543	ABHD10	704.812
ABHD11	885.3638	ABHD11	513.1419
ABHD12	1934.0102	ABHD12	614.6381
ABHD13	466.5821	ABHD13	461.3829
ABHD14A	256.7682	ABHD14A	257.5778
ABHD14B	1762.2673	ABHD14B	3135.0586
ABHD15	868.8663	ABHD15	317.8326
ABHD1	19.4585	ABHD1	40.8411
ABHD2	3952.1997	ABHD2	4154.8726
ABHD3	666.2437	ABHD3	221.5932
ABHD4	1005.9222	ABHD4	1044.8848
ABHD5	1544.8393	ABHD5	768.2976
ABHD6	194.1624	ABHD6	136.6761
ABHD8	259.3063	ABHD8	202.9923
ABI1	1226.3113	ABI1	1840.6793
ABI2	1011.8443	ABI2	2272.1391
ABI3BP	1741.5398	ABI3BP	1205.8229
ABI3	202.1997	ABI3	121.3101
ABL1	2369.7124	ABL1	2398.706
ABL2	1316.8359	ABL2	847.5536
ABLIM1	3967.8511	ABLIM1	5740.3963
ABLIM2	53.7225	ABLIM2	38.4149
ABLIM3	1449.2386	ABLIM3	806.7125
removed	removed	ABO	78.8516
ABP1	30.4569	ABP1	5.2568
ABR	1635.7868	ABR	2082.8953
ABT1	492.8088	ABT1	564.4966
ABTB1	428.511	ABTB1	627.5778
ABTB2	51.6074	ABTB2	95.4307
ACAA1	958.9679	ACAA1	854.8322
ACAA2	1499.154	ACAA2	1107.5617
ACACA	4874.3655	ACACA	2674.0801
ACACB	3811.7597	ACACB	1583.9062
ACAD10	458.9679	ACAD10	620.7036
ACAD11	236.8316	ACAD11	553.1541
ACAD8	344.7547	ACAD8	860.8977
ACAD9	739.0017	ACAD9	882.7861
ACADL	93.9086	ACADL	34.3712
