gene_id	TCGA-BH-A0DD-01A-31R-A12P-07	gene_id	TCGA-BH-A0DD-11A-23R-A12P-07
?|100133144	21.7437	removed	removed
?|100134869	11.1695	removed	removed
?|10357	108.0147	?|10357	104.9436
?|10431	732.8431	?|10431	722.4631
?|155060	170.1681	?|155060	174.7615
?|57714	2721.6387	?|57714	980.4857
?|645851	12.9552	?|645851	7.8057
removed	removed	?|652919	28.4996
?|653553	359.5938	?|653553	199.4796
?|8225	633.7535	?|8225	688.6383
?|90288	19.958	?|90288	31.2229
A1BG	115.4937	A1BG	20.9714
A2LD1	72.5175	A2LD1	94.2281
removed	removed	A2ML1	6.0711
A2M	4012.2514	A2M	39317.7884
A4GALT	501.4006	A4GALT	683.4345
AAAS	622.549	AAAS	619.6878
AACS	770.6583	AACS	691.2402
removed	removed	AADACL2	6.5048
removed	removed	AADACL3	13.4432
removed	removed	AADAC	264.0937
AADAT	23.8095	AADAT	68.5169
AAGAB	2035.7143	AAGAB	622.2897
AAK1	1014.3557	AAK1	1045.0997
AAMP	1702.381	AAMP	2107.5455
AARS2	552.1218	AARS2	320.902
AARSD1	277.3109	AARSD1	375.9757
AARS	3720.5882	AARS	3291.8474
AASDHPPT	704.8319	AASDHPPT	613.6167
AASDH	373.9496	AASDH	309.1934
AASS	59.1737	AASS	584.9957
AATF	2109.5938	AATF	840.85
AATK	26.6106	AATK	32.5239
ABAT	770.3081	ABAT	166.5221
removed	removed	ABCA10	371.2056
ABCA11P	67.5665	ABCA11P	98.7467
ABCA12	731.4426	ABCA12	6.9384
ABCA1	690.8053	ABCA1	3461.7693
ABCA2	1450.9804	ABCA2	1784.4753
ABCA3	1582.6331	ABCA3	751.0841
ABCA4	13.3053	ABCA4	10.4076
ABCA5	67.9272	ABCA5	988.7251
ABCA6	69.3277	ABCA6	2100.6071
ABCA7	332.6331	ABCA7	336.9471
ABCA8	107.493	ABCA8	7999.5663
ABCA9	67.9272	ABCA9	2160.0173
ABCB10	849.0896	ABCB10	433.6513
removed	removed	ABCB11	56.3747
ABCB1	25.2101	ABCB1	141.3703
ABCB4	17.1569	ABCB4	49.0026
removed	removed	ABCB5	31.2229
ABCB6	494.993	ABCB6	761.9558
ABCB7	545.8683	ABCB7	486.1232
ABCB8	804.972	ABCB8	526.4527
ABCB9	122.3704	ABCB9	71.0624
ABCC10	382.0028	ABCC10	366.4354
ABCC11	101.1905	removed	removed
ABCC13	780.112	ABCC13	6.5048
ABCC1	1416.3165	ABCC1	1450.1301
ABCC2	46.5686	ABCC2	22.9835
ABCC3	272.0588	ABCC3	501.301
ABCC4	39.2157	ABCC4	186.0364
ABCC5	839.2857	ABCC5	659.5837
removed	removed	ABCC6P1	29.0546
ABCC6P2	5.2521	ABCC6P2	45.0997
ABCC6	10.8543	ABCC6	927.1466
ABCC8	164.2157	removed	removed
ABCC9	65.1261	ABCC9	2304.8569
ABCD1	251.4006	ABCD1	666.5221
ABCD2	6.3025	ABCD2	1439.7225
ABCD3	1389.3557	ABCD3	974.4146
ABCD4	302.521	ABCD4	828.2741
ABCE1	1813.0252	ABCE1	1022.5499
ABCF1	1933.1232	ABCF1	1464.0069
ABCF2	1586.4846	ABCF2	986.5568
ABCF3	809.8739	ABCF3	874.2411
ABCG1	514.7059	ABCG1	374.2411
ABCG2	35.3641	ABCG2	171.7259
removed	removed	ABCG4	6.5048
removed	removed	ABCG8	13.8768
ABHD10	367.6471	ABHD10	575.4553
ABHD11	1015.056	ABHD11	192.9748
removed	removed	ABHD12B	17.3461
ABHD12	1566.5266	ABHD12	802.255
ABHD13	195.7283	ABHD13	440.5898
ABHD14A	156.8873	ABHD14A	351.6912
ABHD14B	987.395	ABHD14B	3413.7034
ABHD15	639.7059	ABHD15	1538.1613
ABHD1	19.6078	ABHD1	38.595
ABHD2	7720.5882	ABHD2	2680.399
ABHD3	436.9748	ABHD3	244.1457
ABHD4	546.5686	ABHD4	1857.3287
ABHD5	1106.4426	ABHD5	2084.9957
ABHD6	130.6022	ABHD6	755.8543
ABHD8	186.9748	ABHD8	163.9202
ABI1	1438.0602	ABI1	1158.7164
