gene_id	TCGA-BH-A0DG-01A-21R-A12P-07	gene_id	TCGA-BH-A0DG-11A-43R-A12P-07
?|100133144	12.874	?|100133144	13.982
?|100134869	7.9712	?|100134869	15.7529
?|10357	87.0414	?|10357	111.7469
?|10431	968.0526	?|10431	514.7435
?|155060	148.0012	?|155060	234.575
?|390284	5.0029	removed	removed
?|57714	1269.8916	?|57714	1072.7678
?|645851	9.5888	?|645851	11.8939
?|652919	30.6383	removed	removed
?|653553	802.9584	?|653553	42.9504
?|729884	17.9269	removed	removed
?|8225	263.9006	?|8225	295.0359
?|90288	5.4198	?|90288	17.8409
A1BG	36.9252	A1BG	60.2494
A2LD1	79.8081	A2LD1	78.6586
A2ML1	5.4198	removed	removed
A2M	17200.1893	A2M	24069.2921
A4GALT	220.5426	A4GALT	124.2257
AAAS	827.1388	AAAS	580.4906
AACS	851.7362	AACS	1084.001
AADAT	77.9612	AADAT	71.0333
AAGAB	1557.5558	AAGAB	1130.2552
AAK1	1262.3873	AAK1	1187.4122
AAMP	2032.4102	AAMP	1785.083
AARS2	311.7279	AARS2	454.5998
AARSD1	394.8087	AARSD1	573.8829
AARS	3543.6895	AARS	2311.0597
AASDHPPT	609.9315	AASDHPPT	1009.2806
AASDH	284.329	AASDH	563.6409
AASS	185.9395	AASS	908.2349
AATF	988.4809	AATF	845.1309
AATK	37.5214	AATK	40.968
ABAT	1107.7157	ABAT	673.3295
ABCA10	50.4455	ABCA10	374.6593
ABCA11P	77.6235	ABCA11P	172.6935
ABCA12	30.0171	ABCA12	14.2067
removed	removed	ABCA13	94.1604
removed	removed	ABCA17P	6.6077
ABCA1	993.4713	ABCA1	1426.8902
ABCA2	907.6014	ABCA2	1218.4687
ABCA3	1579.2348	ABCA3	1356.901
ABCA4	46.2764	ABCA4	44.2719
ABCA5	431.0794	ABCA5	1200.2973
ABCA6	223.8778	ABCA6	581.1514
ABCA7	270.988	ABCA7	174.1141
ABCA8	334.3575	ABCA8	1010.655
ABCA9	293.084	ABCA9	1105.8066
ABCB10	466.9332	ABCB10	523.3336
ABCB1	102.9754	ABCB1	635.3349
ABCB4	33.7693	ABCB4	11.5636
ABCB5	15.0086	ABCB5	71.6941
ABCB6	419.4186	ABCB6	383.8242
ABCB7	395.2256	ABCB7	627.4056
ABCB8	698.7322	ABCB8	229.9496
ABCB9	188.6243	ABCB9	120.7235
ABCC10	472.353	ABCC10	379.2847
ABCC11	5032.456	ABCC11	58.4786
ABCC12	88.8007	removed	removed
ABCC13	27.0988	removed	removed
ABCC1	1598.8293	ABCC1	861.3199
removed	removed	ABCC2	9.2508
ABCC3	1127.7271	ABCC3	594.0365
ABCC4	262.6499	ABCC4	115.6356
ABCC5	1753.0841	ABCC5	922.1112
removed	removed	ABCC6P1	6.6077
removed	removed	ABCC6P2	11.2332
ABCC6	14.5917	ABCC6	75.9891
ABCC8	52.1131	ABCC8	381.267
ABCC9	457.3444	ABCC9	479.0617
ABCD1	546.9789	ABCD1	142.7273
ABCD2	22.5129	ABCD2	95.1516
ABCD3	1621.3422	ABCD3	2255.5546
ABCD4	518.2125	ABCD4	593.7061
ABCE1	1151.4906	ABCE1	1864.376
ABCF1	1898.1669	ABCF1	1500.2891
ABCF2	1399.9658	ABCF2	1027.8351
ABCF3	942.6214	ABCF3	770.7938
ABCG1	572.4101	ABCG1	555.0508
ABCG2	79.2119	ABCG2	147.0224
ABHD10	494.4489	ABHD10	686.8754
