gene_id	TCGA-BH-A0DH-01A-11R-A084-07	gene_id	TCGA-BH-A0DH-11A-31R-A089-07
?|10357	103.6319	?|10357	87.5819
?|10431	1232.5932	?|10431	1115.0294
?|155060	61.7237	?|155060	187.2376
?|390284	8.28	?|390284	14.6935
?|553137	9.0327	removed	removed
?|57714	380.5043	?|57714	136.44
?|652919	42.7362	removed	removed
?|653553	305.9842	?|653553	240.5542
?|729884	8.28	?|729884	26.0285
?|8225	497.1773	?|8225	713.2662
?|90288	176.5149	?|90288	49.1184
A1BG	445.7885	A1BG	118.8161
removed	removed	A2BP1	6.2972
A2LD1	55.6455	A2LD1	112.0319
removed	removed	A2ML1	36.5239
A2M	9052.2958	A2M	40845.7431
A4GALT	558.901	A4GALT	612.5105
AAAS	823.8615	AAAS	813.602
AACS	811.4415	AACS	1361.461
removed	removed	AADAC	10.0756
AADAT	7.9037	AADAT	27.7078
AAGAB	2170.493	AAGAB	1329.9748
AAK1	904.0271	AAK1	1018.0521
AAMP	3255.9277	AAMP	2801.0076
AARS2	440.3463	AARS2	433.6608
AARSD1	646.5939	AARSD1	659.11
AARS	2590.5156	AARS	3531.4861
AASDHPPT	666.5412	AASDHPPT	481.9479
AASDH	311.6297	AASDH	316.9605
AASS	71.5092	AASS	594.0386
AATF	1417.7644	AATF	1370.2771
AATK	24.84	AATK	62.9723
ABAT	2026.7219	ABAT	808.1444
removed	removed	ABCA10	157.8505
ABCA11P	80.8845	ABCA11P	110.5793
ABCA12	345.1261	ABCA12	6.2972
removed	removed	ABCA13	16.7926
ABCA17P	9.0327	ABCA17P	12.5945
ABCA1	205.8713	ABCA1	588.0479
ABCA2	1634.5502	ABCA2	1394.6264
ABCA3	5938.6526	ABCA3	903.4425
ABCA4	20.7	ABCA4	123.8455
ABCA5	232.2168	ABCA5	470.1931
ABCA6	28.2273	ABCA6	408.4803
ABCA7	370.3425	ABCA7	280.8564
ABCA8	57.2074	ABCA8	1013.4341
ABCA9	10.1618	ABCA9	362.3006
ABCB10	345.5024	ABCB10	173.3837
ABCB1	22.9582	ABCB1	306.885
ABCB4	12.7964	ABCB4	21.4106
removed	removed	ABCB5	118.8077
ABCB6	468.8069	ABCB6	589.0554
ABCB7	579.2247	ABCB7	514.2737
ABCB8	838.1633	ABCB8	392.1075
ABCB9	382.8303	ABCB9	131.4316
ABCC10	331.577	ABCC10	303.9463
ABCC11	343.6206	ABCC11	91.0999
ABCC1	1102.7475	ABCC1	847.6071
removed	removed	ABCC2	6.717
ABCC3	820.0979	ABCC3	515.5332
ABCC4	68.4983	ABCC4	94.4584
ABCC5	1622.883	ABCC5	905.5416
ABCC6P1	6.7746	ABCC6P1	15.1134
ABCC6P2	144.9003	ABCC6P2	55.8354
ABCC6	210.3877	ABCC6	303.9463
ABCC8	36.8837	ABCC8	40.7221
ABCC9	181.4076	ABCC9	298.9085
ABCD1	287.166	ABCD1	315.7011
ABCD2	12.7964	ABCD2	115.869
ABCD3	4798.6451	ABCD3	1322.838
ABCD4	271.3587	ABCD4	678.4215
ABCE1	1126.082	ABCE1	827.0361
ABCF1	3042.9055	ABCF1	1694.3745
ABCF2	1212.6458	ABCF2	1234.2569
ABCF3	1404.2153	ABCF3	1201.0915
ABCG1	2812.5706	ABCG1	866.9186
ABCG2	19.9473	ABCG2	150.2939
ABHD10	899.1344	ABHD10	748.5306
ABHD11	1511.8555	ABHD11	423.1738
removed	removed	ABHD12B	6.2972
ABHD12	1707.1886	ABHD12	1241.8136
ABHD13	315.3933	ABHD13	306.885
ABHD14A	161.0839	ABHD14A	467.2292
ABHD14B	900.2635	ABHD14B	2374.4752
ABHD15	305.9842	ABHD15	500.4198
ABHD1	42.9055	ABHD1	44.9202
ABHD2	16892.7362	ABHD2	2309.4039
ABHD3	396.688	ABHD3	210.3275
ABHD4	1100.4893	ABHD4	1343.8287
ABHD5	394.4298	ABHD5	678.8413
ABHD6	54.9492	ABHD6	266.1629
ABHD8	543.8464	ABHD8	280.0168
ABI1	1244.2604	ABI1	1041.9815
ABI2	917.5762	ABI2	1367.7582
ABI3BP	100.1129	ABI3BP	721.6625
ABI3	198.7204	ABI3	239.2947
ABL1	1558.901	ABL1	1916.4568
ABL2	812.5706	ABL2	488.665
ABLIM1	1010.5382	ABLIM1	5662.4685
ABLIM2	78.2838	ABLIM2	95.2981
ABLIM3	2211.1404	ABLIM3	2559.6138
removed	removed	ABO	24.3493
removed	removed	ABP1	7.5567
ABR	1825.367	ABR	2614.6096
ABT1	750.8468	ABT1	747.2712
ABTB1	413.6244	ABTB1	1008.3963
ABTB2	25.9691	ABTB2	52.8967
ACAA1	519.0064	ACAA1	1903.0227
ACAA2	315.3933	ACAA2	2446.6835
ACACA	1821.6033	ACACA	2401.7632
ACACB	954.8363	ACACB	4338.7909
ACAD10	515.2428	ACAD10	526.8682
ACAD11	407.1923	ACAD11	617.5483
ACAD8	371.0952	ACAD8	602.8547
ACAD9	1010.1618	ACAD9	1260.7053
removed	removed	ACADL	130.5626
ACADM	1033.4964	ACADM	1079.3451
ACADSB	6901.7689	ACADSB	2568.4299
ACADS	246.1423	ACADS	1272.8799
ACADVL	4447.8698	ACADVL	8442.8505
ACAN	92.2093	ACAN	21.8304
ACAP1	64.3583	ACAP1	82.2838
ACAP2	969.1381	ACAP2	639.7985
ACAP3	328.5773	ACAP3	383.7238
ACAT1	1510.7264	ACAT1	2646.9353
ACAT2	407.8058	ACAT2	474.5424
ACBD3	1937.5235	ACBD3	709.9076
ACBD4	430.5608	ACBD4	417.2964
ACBD5	809.5597	ACBD5	500
ACBD6	567.9338	ACBD6	496.2217
ACBD7	99.3602	ACBD7	30.2267
removed	removed	ACCN1	13.0143
ACCN2	228.8295	ACCN2	89.4207
ACCN3	10.9146	removed	removed
ACCS	16.1837	ACCS	326.1965
ACD	164.8476	ACD	552.0571
removed	removed	ACE2	17.2124
ACER2	523.8991	ACER2	99.916
ACER3	317.6515	ACER3	324.937
ACE	202.1076	ACE	537.7834
ACHE	5.6455	ACHE	62.1327
ACIN1	2265.3368	ACIN1	3538.2032
ACLY	4464.8099	ACLY	2996.2217
removed	removed	ACMSD	5.4576
ACN9	15.8073	ACN9	162.4685
ACO1	1091.0802	ACO1	3786.314
ACO2	1932.2507	ACO2	3572.7792
ACOT11	19.7667	ACOT11	49.5382
ACOT13	1321.8856	ACOT13	783.4425
ACOT1	2167.4821	ACOT1	1201.0915
ACOT2	1243.5077	ACOT2	801.4274
ACOT4	1688.7467	ACOT4	276.2385
ACOT6	43.6583	ACOT6	6.717
ACOT7	365.0734	ACOT7	386.6499
ACOT8	220.7264	ACOT8	257.4685
ACOT9	539.7064	ACOT9	466.8346
ACOX1	2404.3809	ACOX1	1942.0361
ACOX2	531.0501	ACOX2	459.6977
ACOX3	257.4332	ACOX3	554.9958
ACOXL	7.9037	removed	removed
ACP1	1409.8607	ACP1	1170.445
ACP2	2681.2194	ACP2	1281.6961
ACP5	3080.9183	ACP5	1369.4374
ACP6	244.2604	ACP6	364.3997
ACPL2	278.886	ACPL2	339.6306
ACPP	57.9601	ACPP	42.8212
ACRBP	159.9548	ACRBP	21.8304
ACRC	5.2691	ACRC	20.9908
