gene_id	TCGA-BH-A0DK-01A-21R-A056-07	gene_id	TCGA-BH-A0DK-11A-13R-A089-07
removed	removed	?|100133144	15.912
?|100134869	6.3006	removed	removed
?|10357	116.9442	?|10357	70.3578
?|10431	1318.1818	?|10431	868.6147
?|155060	56.2556	?|155060	169.9337
?|390284	10.351	removed	removed
?|57714	648.9649	?|57714	620.8555
?|652919	20.189	?|652919	23.5517
?|653553	777.2277	?|653553	175.7633
?|729884	55.8056	?|729884	392.917
?|8225	421.6922	?|8225	480.9444
?|90288	6.7507	?|90288	30.6056
A1BG	289.0684	A1BG	75.5637
A2LD1	52.5338	A2LD1	103.6071
A2ML1	53.5554	A2ML1	9.6189
A2M	31726.3591	A2M	24328.4151
A4GALT	501.8002	A4GALT	481.8188
AAAS	726.8227	AAAS	575.3844
AACS	1077.4077	AACS	16327.9166
AADACL2	5.4005	removed	removed
AADAC	17.1017	AADAC	31.48
AADAT	29.703	AADAT	378.6344
AAGAB	1732.6733	AAGAB	1494.7169
AAK1	831.2331	AAK1	1106.1721
AAMP	2381.6382	AAMP	2183.1961
AARS2	364.9865	AARS2	468.9412
AARSD1	364.9865	AARSD1	485.3166
removed	removed	AARS	2591.5616
AASDHPPT	589.1089	AASDHPPT	904.1755
AASDH	224.1224	AASDH	448.007
AASS	279.0279	AASS	411.2803
AATF	980.198	AATF	891.0588
AATK	62.1062	AATK	68.4981
ABAT	907.7408	ABAT	2209.7209
ABCA10	9.0009	ABCA10	153.9022
ABCA11P	95.2835	ABCA11P	127.1005
ABCA12	24.3024	ABCA12	3008.6716
ABCA13	24.7525	ABCA13	27.9822
removed	removed	ABCA17P	9.3274
ABCA1	763.7264	ABCA1	794.2374
ABCA2	1097.6598	ABCA2	1239.3791
ABCA3	579.2079	ABCA3	4340.1589
ABCA4	45.9046	ABCA4	237.2659
ABCA5	155.7156	ABCA5	909.7136
ABCA6	214.2214	ABCA6	270.4948
removed	removed	ABCA7	339.5759
ABCA8	280.378	ABCA8	615.6088
ABCA9	184.0684	ABCA9	344.2396
ABCB10	391.9892	ABCB10	424.397
ABCB1	245.2745	ABCB1	388.8363
ABCB4	23.8524	ABCB4	9.6189
removed	removed	ABCB5	13.1167
ABCB6	590.3825	ABCB6	1062.6044
ABCB7	345.1845	ABCB7	508.0522
ABCB8	732.2232	ABCB8	565.1825
ABCB9	154.1494	ABCB9	96.5037
ABCC10	327.6328	ABCC10	364.3518
ABCC11	526.5527	ABCC11	13438.7525
removed	removed	ABCC12	150.6959
ABCC13	11.2511	removed	removed
ABCC1	973.4473	ABCC1	1810.3913
removed	removed	ABCC2	728.1207
ABCC3	1218.7219	ABCC3	621.7299
ABCC4	241.2241	ABCC4	1561.4662
ABCC5	1328.0828	ABCC5	564.3081
removed	removed	ABCC6P1	9.6189
removed	removed	ABCC6P2	33.8118
ABCC6	5.8506	ABCC6	76.0767
ABCC8	16.2016	ABCC8	461.7066
ABCC9	549.955	ABCC9	173.4315
ABCD1	550.405	ABCD1	363.7689
ABCD2	45.0045	ABCD2	10.4933
ABCD3	1112.9613	ABCD3	3186.1838
ABCD4	403.2403	ABCD4	607.1559
ABCE1	1302.4302	ABCE1	1697.2965
ABCF1	1751.1251	ABCF1	1492.0936
ABCF2	1202.5203	ABCF2	1304.9625
ABCF3	1644.9145	ABCF3	968.8844
ABCG1	1437.4437	ABCG1	596.0796
ABCG2	122.8623	ABCG2	151.8618
ABHD10	560.7561	ABHD10	564.3081
ABHD11	1245.7246	ABHD11	1114.6251
ABHD12	2193.0693	ABHD12	1286.8906
ABHD13	278.1278	ABHD13	623.1873
ABHD14A	221.8722	ABHD14A	204.8269
ABHD14B	988.2988	ABHD14B	2063.1057
ABHD15	252.9253	ABHD15	322.9615
ABHD1	7.6508	ABHD1	8.7444
ABHD2	12187.6688	ABHD2	5425.6358
ABHD3	517.1017	ABHD3	750.5647
ABHD4	1200.27	ABHD4	1030.6784
ABHD5	468.4968	ABHD5	1244.9173
ABHD6	106.6607	ABHD6	363.4774
ABHD8	320.8821	ABHD8	161.7722
ABI1	1253.8254	ABI1	1669.1073
ABI2	1473.8974	ABI2	1829.3376
ABI3BP	1159.766	ABI3BP	610.6536
ABI3	392.8893	ABI3	97.6463
ABL1	2392.4392	ABL1	2353.7127
ABL2	1401.4401	ABL2	976.4629
ABLIM1	2152.5653	ABLIM1	4767.1792
ABLIM2	151.2151	ABLIM2	48.0944
ABLIM3	359.1359	ABLIM3	1766.0861
ABO	22.9523	ABO	8.453
ABP1	10.351	removed	removed
ABR	1639.514	ABR	2150.2587
ABT1	756.5257	ABT1	471.9085
ABTB1	577.8578	ABTB1	381.5492
ABTB2	75.6076	ABTB2	135.8304
ACAA1	657.0657	ACAA1	2289.2953
ACAA2	1175.9676	ACAA2	944.3999
ACACA	1058.9559	ACACA	8448.2985
