gene_id	TCGA-BH-A0DL-01A-11R-A115-07	gene_id	TCGA-BH-A0DL-11A-13R-A115-07
?|100133144	24.8023	?|100133144	17.8387
?|100134869	14.4194	?|100134869	8.6263
?|10357	69.3267	?|10357	77.8418
?|10431	805.1266	?|10431	606.1752
?|155060	83.076	?|155060	259.9244
?|390284	5.559	?|390284	10.712
?|57714	933.601	?|57714	1015.753
?|645851	16.0593	?|645851	13.2325
removed	removed	?|652919	38.5444
?|653553	432.6745	?|653553	107.7505
?|729884	209.3885	?|729884	5.9861
?|8225	330.4509	?|8225	386.2634
removed	removed	?|90288	18.2735
A1BG	39.4132	A1BG	92.2653
A2LD1	42.8721	A2LD1	67.5929
A2ML1	6536.4422	A2ML1	38.7524
A2M	6590.9759	A2M	44057.196
A4GALT	830.4509	A4GALT	483.9319
AAAS	428.6597	AAAS	625.3938
AACSL	33.6628	removed	removed
AACS	1278.8758	AACS	913.6736
AADACL2	9.5738	removed	removed
removed	removed	AADAC	41.903
AADAT	146.6955	AADAT	76.5595
AAGAB	1681.2847	AAGAB	1086.0113
AAK1	866.2755	AAK1	1377.1267
AAMP	2756.0222	AAMP	1885.0032
AARS2	376.0964	AARS2	443.891
AARSD1	436.0716	AARSD1	468.494
AARS	5565.4725	AARS	2736.61
AASDHPPT	953.6751	AASDHPPT	817.5803
AASDH	229.4626	AASDH	378.702
AASS	193.3292	AASS	840.5797
AATF	1301.4206	AATF	892.2495
AATK	24.3978	AATK	54.1903
ABAT	145.1513	ABAT	602.0794
removed	removed	ABCA10	610.586
ABCA11P	82.8505	ABCA11P	133.1632
ABCA12	3982.7054	ABCA12	37.1771
ABCA13	37.3687	ABCA13	30.5608
removed	removed	ABCA17P	5.6711
ABCA1	2276.6553	ABCA1	2585.5986
ABCA2	1135.5775	ABCA2	1377.4417
ABCA3	613.3416	ABCA3	982.3566
removed	removed	ABCA4	65.5325
ABCA5	139.9012	ABCA5	932.2621
ABCA6	40.4571	ABCA6	912.4134
ABCA7	334.7746	ABCA7	395.7152
ABCA8	8.9561	ABCA8	2057.656
ABCA9	25.6331	ABCA9	999.3699
ABCB10	576.5905	ABCB10	496.2193
removed	removed	ABCB11	9.1367
ABCB1	33.0451	ABCB1	616.8872
ABCB4	16.677	ABCB4	26.465
removed	removed	ABCB5	306.2382
ABCB6	1184.4719	ABCB6	425.2048
removed	removed	ABCB7	505.6711
ABCB8	464.7931	ABCB8	421.235
ABCB9	170.3057	ABCB9	147.0038
ABCC10	420.63	ABCC10	364.5243
removed	removed	ABCC11	79.3951
ABCC1	1504.0148	ABCC1	1127.2842
removed	removed	ABCC2	18.2735
ABCC3	317.7888	ABCC3	1084.7511
ABCC4	105.3119	ABCC4	241.3359
ABCC5	1020.0741	ABCC5	1131.0649
removed	removed	ABCC6P1	6.9313
removed	removed	ABCC6P2	9.4518
removed	removed	ABCC6	162.8859
removed	removed	ABCC8	134.8456
ABCC9	88.9438	ABCC9	951.4808
ABCD1	785.979	ABCD1	233.4594
ABCD2	14.824	ABCD2	165.4064
ABCD3	2302.3471	ABCD3	1625.0788
ABCD4	562.0754	ABCD4	703.8437
ABCE1	2156.887	ABCE1	1531.1909
ABCF1	1995.6763	ABCF1	1528.0403
ABCF2	1533.6628	ABCF2	1209.1997
ABCF3	1012.6621	ABCF3	896.6604
ABCG1	1314.3916	ABCG1	637.3661
ABCG2	13.8975	ABCG2	201.0082
ABHD10	427.4243	ABHD10	647.7631
ABHD11	574.4287	ABHD11	385.9483
ABHD12	1495.0587	ABHD12	791.7454
ABHD13	309.4503	ABHD13	578.4499
ABHD14A	56.5164	ABHD14A	223.0624
ABHD14B	511.7356	ABHD14B	1898.2357
ABHD15	206.9179	ABHD15	464.7133
ABHD1	14.5151	ABHD1	19.5337
ABHD2	2529.6479	ABHD2	3317.8954
ABHD3	269.9197	ABHD3	264.3352
ABHD4	935.1452	ABHD4	946.7549
ABHD5	1481.7789	ABHD5	1015.4379
ABHD6	117.0476	ABHD6	315.3749
ABHD8	179.4317	ABHD8	195.3371
ABI1	1803.181	ABI1	1587.196
ABI2	762.5077	ABI2	1937.6181
ABI3BP	120.4447	ABI3BP	2397.9206
