gene_id	TCGA-BH-A0DO-01B-11R-A12D-07	gene_id	TCGA-BH-A0DO-11A-22R-A12D-07
?|100133144	11.6581	?|100133144	16.7685
?|100134869	6.2381	?|100134869	12.2613
?|10357	62.3192	?|10357	79.2781
?|10431	868.5172	?|10431	552.712
?|155060	206.7202	?|155060	220.0153
?|390284	8.4003	?|390284	12.605
?|57714	437.9109	?|57714	523.6822
?|645851	9.496	?|645851	14.1329
?|652919	24.1052	?|652919	43.4263
?|653553	135.1351	?|653553	79.8319
?|8225	414.5362	?|8225	454.5455
?|90288	35.0621	?|90288	12.605
A1BG	118.4405	A1BG	93.8235
A2LD1	92.805	A2LD1	84.0947
removed	removed	A2ML1	11.4591
A2M	17903.8276	A2M	24793.56
A4GALT	303.8714	A4GALT	192.8953
AAAS	626.0044	AAAS	611.5355
AACS	1279.0358	AACS	1328.877
removed	removed	AADAC	9.9312
AADAT	24.8356	AADAT	86.7074
AAGAB	1823.2286	AAGAB	987.013
AAK1	1251.6435	AAK1	1043.9267
AAMP	2205.2593	AAMP	1874.7135
AARS2	351.6983	AARS2	343.3843
AARSD1	377.6479	AARSD1	442.3224
AARS	1742.1476	AARS	2141.3293
AASDHPPT	1190.6501	AASDHPPT	1014.5149
AASDH	318.8459	AASDH	445.7601
AASS	288.897	AASS	602.3682
AATF	896.6399	AATF	778.4568
AATK	43.0972	AATK	62.2918
ABAT	4603.7253	ABAT	541.6348
ABCA10	57.3411	ABCA10	453.3995
ABCA11P	119.401	ABCA11P	158.1665
ABCA12	65.011	ABCA12	49.2743
ABCA13	21.1833	ABCA13	22.5363
ABCA17P	11.6874	ABCA17P	8.7853
ABCA1	793.2469	ABCA1	773.3919
ABCA2	1159.2403	ABCA2	1532.4675
ABCA3	979.1819	ABCA3	1161.9557
ABCA4	89.8466	ABCA4	57.2956
ABCA5	287.0709	ABCA5	1138.6555
ABCA6	92.038	ABCA6	541.6348
ABCA7	394.4485	ABCA7	305.9587
ABCA8	225.7122	ABCA8	1047.3644
ABCA9	66.1066	ABCA9	698.6249
ABCB10	577.794	ABCB10	451.4897
removed	removed	ABCB11	5.7296
ABCB1	249.0869	ABCB1	896.4859
ABCB4	18.992	ABCB4	14.1329
ABCB5	7.3046	ABCB5	64.1711
ABCB6	215.5004	ABCB6	380.4507
ABCB7	565.011	ABCB7	603.5141
ABCB8	841.1249	ABCB8	313.9801
ABCB9	103.7473	ABCB9	159.7288
ABCC10	334.1855	ABCC10	348.3575
ABCC11	421.4755	ABCC11	398.3957
ABCC1	1018.6267	ABCC1	1030.5577
ABCC2	8.4003	ABCC2	9.1673
ABCC3	307.5237	ABCC3	348.7395
ABCC4	71.9503	ABCC4	108.0978
ABCC5	538.3492	ABCC5	770.4354
removed	removed	ABCC6P1	7.6394
ABCC6P2	19.3572	ABCC6P2	32.0856
ABCC6	257.122	ABCC6	250.9549
ABCC8	191.3806	ABCC8	110.7716
ABCC9	284.149	ABCC9	402.9794
ABCD1	215.1205	ABCD1	150.1146
ABCD2	16.8006	ABCD2	92.8189
ABCD3	3806.0628	ABCD3	1704.3545
ABCD4	480.6428	ABCD4	570.2827
ABCE1	1496.3477	ABCE1	1875.0955
ABCF1	1278.6706	ABCF1	1237.9679
ABCF2	1420.3798	ABCF2	914.0565
ABCF3	837.4726	ABCF3	817.4179
ABCG1	245.7999	ABCG1	280.7487
ABCG2	91.6728	ABCG2	601.9862
ABHD10	646.092	ABHD10	778.0749
ABHD11	799.1234	ABHD11	427.4255
ABHD12B	56.2454	removed	removed
ABHD12	965.6684	ABHD12	787.2422
ABHD13	501.0957	ABHD13	655.8442
ABHD14A	257.4872	ABHD14A	236.4286
ABHD14B	1346.6034	ABHD14B	2891.5202
ABHD15	262.6004	ABHD15	306.3407
ABHD1	17.531	ABHD1	22.5363
ABHD2	5543.4624	ABHD2	3863.6364
ABHD3	887.8744	ABHD3	197.479
ABHD4	659.6056	ABHD4	818.1818
ABHD5	605.1863	ABHD5	1057.2956
ABHD6	91.3075	ABHD6	167.6853
ABHD8	239.2257	ABHD8	201.6807
ABI1	1367.6771	ABI1	1728.602
ABI2	1410.1534	ABI2	2134.0718
ABI3BP	402.1183	ABI3BP	754.3927
ABI3	137.3265	ABI3	144.385
ABL1	2222.7904	ABL1	2361.7265
ABL2	1224.6165	ABL2	933.919
ABLIM1	3460.1899	ABLIM1	5702.4446
ABLIM2	128.561	ABLIM2	53.8579
ABLIM3	410.5186	ABLIM3	783.0405
ABO	9.1308	ABO	31.7036
ABR	2150.4748	ABR	1922.8419
ABT1	414.9014	ABT1	657.372
ABTB1	408.3272	ABTB1	472.4981
ABTB2	37.6187	ABTB2	140.5653
ACAA1	1202.3375	ACAA1	982.4293
ACAA2	1219.8685	ACAA2	1674.1788
ACACA	2605.5515	ACACA	2152.0244
ACACB	579.2549	ACACB	1761.2681
ACAD10	572.6808	ACAD10	610.7716
ACAD11	367.3923	ACAD11	535.8938
ACAD8	1672.7538	ACAD8	665.0115
ACAD9	692.111	ACAD9	757.0588
ACADL	11.3221	ACADL	38.5791
ACADM	1744.7042	ACADM	1157.754
ACADSB	2746.1651	ACADSB	2083.6516
ACADS	368.8824	ACADS	477.0817
ACADVL	4360.347	ACADVL	5209.9427
ACAN	6.9394	ACAN	9.5493
ACAP1	50.4018	ACAP1	108.8617
ACAP2	1191.0153	ACAP2	1702.0626
ACAP3	477.7831	ACAP3	433.984
ACAT1	1340.3944	ACAT1	1121.4668
ACAT2	439.5179	ACAT2	542.6241
ACBD3	2608.8386	ACBD3	1449.1979
ACBD4	214.0248	ACBD4	268.1436
ACBD5	947.0416	ACBD5	752.8648
ACBD6	506.5741	ACBD6	393.4301
ACBD7	23.0095	ACBD7	79.068
removed	removed	ACCN1	5.7296
ACCN2	47.1147	ACCN2	353.3231
ACCN3	32.5055	ACCN3	14.8969
ACCS	514.244	ACCS	537.8151
ACD	233.0168	ACD	386.9366
removed	removed	ACE2	23.6822
ACER2	130.7524	ACER2	169.9771
ACER3	542.0015	ACER3	335.7525
ACE	834.1855	ACE	509.9312
ACHE	17.1658	ACHE	47.7464
ACIN1	3357.5603	ACIN1	2696.715
ACLY	3832.3594	ACLY	2512.2231
ACMSD	29.2184	removed	removed
ACN9	82.1768	ACN9	168.4492
ACO1	999.6348	ACO1	1427.8075
ACO2	2453.4551	ACO2	2008.2124
ACOT11	9.3499	ACOT11	41.1192
ACOT13	352.3338	ACOT13	433.2735
ACOT1	438.2761	ACOT1	524.8281
ACOT2	263.6961	ACOT2	309.0145
ACOT4	185.9021	ACOT4	94.7288
ACOT7	948.5026	ACOT7	160.8098
ACOT8	251.1066	ACOT8	201.356
ACOT9	299.1234	ACOT9	322.3835
ACOX1	1200.3068	ACOX1	1666.5393
ACOX2	209.6421	ACOX2	253.6287
ACOX3	689.9196	ACOX3	562.2613
ACP1	1586.1943	ACP1	1581.7418
ACP2	1112.8561	ACP2	712.7578
ACP5	910.8839	ACP5	623.3766
ACP6	348.7947	ACP6	270.0535
ACPL2	484.6603	ACPL2	411.7647
ACPP	80.7159	ACPP	21.3904
ACRBP	7.6698	ACRBP	11.0772
ACRC	12.7831	ACRC	19.4805
removed	removed	ACR	9.9312
removed	removed	ACSBG1	15.2788
removed	removed	ACSBG2	5.7296
ACSF2	892.2571	ACSF2	825.0573
ACSF3	268.4441	ACSF3	339.9542
ACSL1	1625.6392	ACSL1	5380.8251
ACSL3	3251.2783	ACSL3	4400.6875
ACSL4	570.1242	ACSL4	1368.22
ACSL5	439.737	ACSL5	972.1161
removed	removed	ACSL6	13.751
ACSM1	17.1658	ACSM1	29.4118
ACSM3	64.9927	ACSM3	179.2361
ACSM5	21.9138	ACSM5	56.1497
ACSS1	734.1125	ACSS1	1156.6081
ACSS2	750.5478	ACSS2	1359.4347
ACSS3	305.3324	ACSS3	334.9885
ACTA2	11228.7509	ACTA2	31803.3346
removed	removed	ACTBL2	8.0214
ACTB	57216.9467	ACTB	68797.1734
ACTG1	55498.5391	ACTG1	57880.8251
ACTG2	746.5303	ACTG2	4235.2941
ACTL6A	757.8524	ACTL6A	815.1261
ACTN1	4900.2922	ACTN1	7871.6578
ACTN4	9349.0796	ACTN4	11422.1429
ACTR10	948.8678	ACTR10	1113.4454
ACTR1A	2020.0877	ACTR1A	1860.9626
ACTR1B	989.4083	ACTR1B	1480.1375
ACTR2	5312.2717	ACTR2	4980.1375
ACTR3B	224.2513	ACTR3B	352.9412
ACTR3C	29.9489	ACTR3C	46.9824
ACTR3	3168.7363	ACTR3	2608.8617
ACTR5	197.5895	ACTR5	218.8694
ACTR6	634.0394	ACTR6	701.6807
ACTR8	505.4785	ACTR8	538.1971
ACVR1B	1845.8729	ACVR1B	1580.5959
ACVR1C	57.7064	ACVR1C	234.1482
ACVR1	1052.5931	ACVR1	1161.1917
ACVR2A	434.989	ACVR2A	782.6585
ACVR2B	455.8072	ACVR2B	568.3728
ACVRL1	356.8298	ACVRL1	606.5699
ACY1	572.6808	ACY1	590.1566
ACY3	20.4529	ACY3	33.2315
ACYP1	63.55	ACYP1	73.3384
ACYP2	151.9357	ACYP2	159.2819
ADAD2	5.3652	ADAD2	5.8251
ADAL	165.084	ADAL	225.3629
ADAM10	1724.2513	ADAM10	1747.5172
ADAM11	9.496	ADAM11	21.7723
ADAM12	1245.7999	ADAM12	312.8342
ADAM15	4808.3966	ADAM15	2590.5271
ADAM17	722.4251	ADAM17	873.9496
ADAM19	150.84	ADAM19	122.9947
ADAM21	8.4003	removed	removed
ADAM22	137.6917	ADAM22	84.7976
ADAM23	18.6267	ADAM23	30.9396
ADAM28	429.1454	ADAM28	108.8617
ADAM32	35.0621	ADAM32	88.9992
ADAM33	55.8802	ADAM33	390.0382
ADAM6	26990.3725	ADAM6	86243.5676
ADAM8	360.8473	ADAM8	50.8021
ADAM9	2234.843	ADAM9	1441.9404
ADAMDEC1	12.4178	removed	removed
ADAMTS10	111.0299	ADAMTS10	124.9045
ADAMTS12	88.3857	ADAMTS12	97.0206
ADAMTS13	92.038	ADAMTS13	69.5187
ADAMTS14	35.0621	ADAMTS14	9.1673
ADAMTS15	1199.7809	ADAMTS15	141.3293
ADAMTS16	43.8276	ADAMTS16	43.1627
ADAMTS17	46.7495	ADAMTS17	55.3858
ADAMTS18	43.0972	ADAMTS18	136.3636
ADAMTS1	1434.6238	ADAMTS1	2697.861
ADAMTS2	272.8269	ADAMTS2	238.3499
ADAMTS3	27.027	ADAMTS3	76.0122
ADAMTS4	765.157	ADAMTS4	77.1581
ADAMTS5	510.2264	ADAMTS5	2580.2139
ADAMTS6	53.3236	ADAMTS6	17.1887
ADAMTS7	69.3937	ADAMTS7	51.1841
ADAMTS8	9.1308	ADAMTS8	40.107
ADAMTS9	202.3375	ADAMTS9	689.8396
ADAMTSL1	124.9087	ADAMTSL1	121.8487
ADAMTSL2	91.3075	ADAMTSL2	33.2315
ADAMTSL3	48.5756	ADAMTSL3	114.9733
ADAMTSL4	138.4222	ADAMTSL4	387.3186
ADAMTSL5	140.6136	ADAMTSL5	23.3002
ADAP1	203.382	ADAP1	81.9862
ADAP2	137.3265	ADAP2	157.372
ADARB1	445.9459	ADARB1	750.9549
