gene_id	TCGA-BH-A0DP-01A-21R-A056-07	gene_id	TCGA-BH-A0DP-11A-12R-A089-07
?|100133144	8.1612	?|100133144	8.3216
removed	removed	?|100134869	6.9443
?|10357	51.7017	?|10357	86.1097
?|10431	565.3665	?|10431	698.4989
?|155060	160.3086	?|155060	185.9045
removed	removed	?|390284	5.4279
?|57714	580.3686	?|57714	563.8199
removed	removed	?|645851	9.838
removed	removed	?|652919	40.2341
?|653553	90.8701	?|653553	94.6485
removed	removed	?|729884	10.8557
?|8225	490.3558	?|8225	496.3107
?|90288	100.3	?|90288	22.39
A1BG	173.279	A1BG	103.0617
A2LD1	46.7938	A2LD1	75.0301
removed	removed	A2ML1	11.5342
A2M	14272.126	A2M	32724.4983
A4GALT	419.2027	A4GALT	239.5047
AAAS	578.2255	AAAS	665.5924
AACS	791.6845	AACS	979.0518
AADAT	27.0039	AADAT	48.1723
AAGAB	1008.5727	AAGAB	1676.8722
AAK1	867.1239	AAK1	953.9479
AAMP	2489.4985	AAMP	2165.7196
AARS2	328.3326	AARS2	444.0539
AARSD1	501.9288	AARSD1	461.7081
AARS	1858.9799	AARS	2556.8654
AASDHPPT	1065.1522	AASDHPPT	721.5232
AASDH	283.3262	AASDH	440.3358
AASS	643.8063	AASS	691.0355
AATF	1542.6489	AATF	1081.5028
AATK	44.5778	AATK	58.6888
ABAT	2869.6957	ABAT	1164.6171
ABCA10	10.2872	ABCA10	104.8257
ABCA11P	89.2842	ABCA11P	171.6597
ABCA12	350.6215	ABCA12	154.6943
ABCA13	9.0013	ABCA13	55.2964
ABCA17P	20.5744	ABCA17P	8.1418
ABCA1	783.5234	ABCA1	842.9853
ABCA2	1225.8894	ABCA2	1520.821
ABCA3	1645.5208	ABCA3	781.6131
ABCA4	317.6168	ABCA4	456.9587
ABCA5	149.5928	ABCA5	774.8283
ABCA6	103.3005	ABCA6	384.361
ABCA7	187.3125	ABCA7	202.1881
ABCA8	114.4449	ABCA8	801.2891
ABCA9	42.8633	ABCA9	254.0921
ABCB10	714.9593	ABCB10	324.9936
ABCB1	63.009	ABCB1	412.518
ABCB4	30.8616	ABCB4	14.5874
removed	removed	ABCB5	5.0886
ABCB6	330.6944	ABCB6	311.3086
ABCB7	639.9486	ABCB7	579.7642
ABCB8	809.2585	ABCB8	406.0724
ABCB9	112.4175	ABCB9	87.4769
ABCC10	247.7497	ABCC10	407.4294
ABCC11	1297.8997	ABCC11	591.2984
ABCC12	17.1453	removed	removed
ABCC1	1719.6742	ABCC1	945.4669
ABCC2	8.144	ABCC2	7.1241
ABCC3	516.0737	ABCC3	826.393
ABCC4	140.5915	ABCC4	63.4382
ABCC5	1631.3759	ABCC5	839.2842
removed	removed	ABCC6P1	7.8026
ABCC6P2	13.7162	ABCC6P2	20.0153
ABCC6	80.5829	ABCC6	137.3929
ABCC8	206.1723	ABCC8	173.3526
ABCC9	210.8873	ABCC9	188.6184
ABCD1	299.1856	ABCD1	187.94
ABCD2	24.8607	ABCD2	36.6381
ABCD3	2477.0682	ABCD3	2767.8738
ABCD4	422.2032	ABCD4	614.7061
ABCE1	1337.7625	ABCE1	1222.6274
ABCF1	1169.3099	ABCF1	1415.656
ABCF2	1521.6459	ABCF2	1128.3182
ABCF3	938.2769	ABCF3	968.8746
ABCG1	727.3896	ABCG1	578.4073
ABCG2	123.4462	ABCG2	222.2034
ABHD10	638.6627	ABHD10	672.7165
ABHD11	881.6974	ABHD11	432.8725
removed	removed	ABHD12B	11.5342
ABHD12	1059.5799	ABHD12	791.7903
ABHD13	427.3468	ABHD13	415.9104
ABHD14A	239.6057	ABHD14A	216.097
ABHD14B	1440.6344	ABHD14B	1997.7949
ABHD15	418.7741	ABHD15	344.3304
ABHD1	18.4312	ABHD1	17.6406
ABHD2	5352.7647	ABHD2	4076.3294
ABHD3	296.6138	ABHD3	290.391
ABHD4	796.8281	ABHD4	1122.5511
ABHD5	647.664	ABHD5	652.7012
ABHD6	158.1655	ABHD6	136.7144
ABHD8	267.8954	ABHD8	205.2413
ABI1	1437.171	ABI1	1646.3404
ABI2	1772.3961	ABI2	1983.2075
ABI3BP	591.5131	ABI3BP	1315.9189
ABI3	256.751	ABI3	109.2359
ABL1	2096.4423	ABL1	2281.4011
ABL2	1618.0883	ABL2	834.5348
ABLIM1	3196.7424	ABLIM1	6321.4316
ABLIM2	99.0141	ABLIM2	42.4052
ABLIM3	459.4942	ABLIM3	1216.5211
removed	removed	ABO	7.4633
ABP1	9.8586	removed	removed
ABR	1610.8015	ABR	2219.3198
ABT1	405.0579	ABT1	578.4073
ABTB1	409.7728	ABTB1	596.0478
ABTB2	54.0077	ABTB2	124.841
ACAA1	1290.6129	ACAA1	1350.8608
ACAA2	1175.7394	ACAA2	1361.3773
ACACA	1573.0819	ACACA	2452.3789
ACACB	416.2023	ACACB	1383.7673
ACAD10	744.9636	ACAD10	563.4806
ACAD11	286.3266	ACAD11	416.9282
ACAD8	504.072	ACAD8	707.9976
ACAD9	684.9507	ACAD9	902.1661
ACADL	14.5735	ACADL	33.2457
ACADM	1283.7548	ACADM	1252.4807
ACADSB	3596.228	ACADSB	10007.6329
ACADS	387.0553	ACADS	917.6491
ACADVL	3080.1457	ACADVL	4618.18
ACAN	34.2906	ACAN	5.7671
ACAP1	83.5834	ACAP1	50.2078
ACAP2	1361.3373	ACAP2	1150.7082
ACAP3	490.3729	ACAP3	328.9322
ACAT1	1729.1042	ACAT1	1211.4324
ACAT2	338.8898	ACAT2	402.3204
ACBD3	2871.8388	ACBD3	1125.265
ACBD4	278.6112	ACBD4	345.3481
ACBD5	592.799	ACBD5	835.5525
ACBD6	735.5336	ACBD6	428.1231
ACBD7	39.4342	ACBD7	23.0684
ACCN2	29.147	ACCN2	43.7622
ACCN3	14.1449	removed	removed
ACCS	198.0283	ACCS	285.6416
ACD	321.4745	ACD	367.3989
removed	removed	ACE2	5.4279
ACER2	264.895	ACER2	187.94
ACER3	220.3172	ACER3	223.8996
ACE	309.9014	ACE	352.8115
