gene_id	TCGA-BH-A0DQ-01A-11R-A084-07	gene_id	TCGA-BH-A0DQ-11A-12R-A089-07
removed	removed	?|100133144	11.3614
removed	removed	?|100134869	21.7132
?|10357	160.2452	?|10357	70.9132
?|10431	994.6874	?|10431	576.7752
?|155060	97.6706	?|155060	255.8932
?|390284	6.5386	?|390284	6.9631
?|57714	432.3662	?|57714	667.8755
?|645851	8.9906	?|645851	10.7348
removed	removed	?|652919	84.3055
?|653553	558.2346	?|653553	127.6565
?|729884	11.0339	?|729884	8.7039
?|8225	313.8537	?|8225	405.8896
?|90288	54.3523	?|90288	50.4823
A1BG	91.4548	A1BG	122.7185
A2LD1	56.841	A2LD1	82.4342
removed	removed	A2ML1	6.673
A2M	20448.2632	A2M	24582.5981
A4GALT	491.2137	A4GALT	511.2062
AAAS	1056.8043	AAAS	636.5417
AACS	1409.8897	AACS	1099.8767
AADAT	49.857	AADAT	76.3038
AAGAB	1678.7904	AAGAB	1316.8927
AAK1	912.546	AAK1	895.9164
AAMP	2452.3907	AAMP	2004.2069
AARS2	466.273	AARS2	442.1237
AARSD1	636.2893	AARSD1	521.0706
AARS	3701.2669	AARS	2603.0318
AASDHPPT	690.2329	AASDHPPT	904.6203
AASDH	274.2133	AASDH	432.0012
AASS	183.49	AASS	785.0874
AATF	1381.2832	AATF	883.7311
AATK	25.7458	AATK	54.8517
ABAT	1974.2542	ABAT	1714.3686
ABCA10	22.8852	ABCA10	138.1011
ABCA11P	117.9281	ABCA11P	224.2895
ABCA12	819.3707	ABCA12	281.4245
ABCA13	6.13	ABCA13	64.4085
ABCA17P	13.8946	ABCA17P	7.8335
ABCA1	724.9653	ABCA1	887.1023
ABCA2	1727.83	ABCA2	1324.4361
ABCA3	3592.1537	ABCA3	1067.3823
ABCA4	183.49	ABCA4	53.3836
ABCA5	186.7593	ABCA5	1152.0998
ABCA6	263.9967	ABCA6	295.6408
ABCA7	310.5844	ABCA7	245.7387
ABCA8	382.5092	ABCA8	462.1745
ABCA9	240.2942	ABCA9	420.1059
ABCB10	374.7446	ABCB10	434.3222
ABCB1	94.81	ABCB1	628.1279
ABCB4	32.2844	ABCB4	11.0249
ABCB5	5.3126	ABCB5	35.6858
ABCB6	477.0249	ABCB6	372.8614
ABCB7	224.765	ABCB7	590.4113
ABCB8	833.2652	ABCB8	427.069
ABCB9	314.953	ABCB9	96.5837
ABCC10	560.6866	ABCC10	354.2468
ABCC11	333.0609	ABCC11	1238.5581
removed	removed	ABCC12	8.1236
ABCC13	649.3666	removed	removed
ABCC1	868.0016	ABCC1	904.3302
ABCC2	12.6686	ABCC2	8.7039
ABCC3	346.9555	ABCC3	329.2957
ABCC4	126.2771	ABCC4	155.5088
ABCC5	1138.9456	ABCC5	639.443
removed	removed	ABCC6P1	7.2532
ABCC6P2	14.3032	ABCC6P2	14.7965
ABCC6	51.4916	ABCC6	95.7424
ABCC8	110.3392	ABCC8	785.6677
ABCC9	576.6244	ABCC9	355.4073
ABCD1	559.8692	ABCD1	144.1938
ABCD2	46.5877	ABCD2	33.0746
ABCD3	2732.3253	ABCD3	3065.2064
ABCD4	502.6563	ABCD4	664.9743
ABCE1	1145.8929	ABCE1	1472.6917
ABCF1	2312.219	ABCF1	1354.0292
ABCF2	1185.942	ABCF2	1102.1977
ABCF3	1293.8292	ABCF3	935.9542
ABCG1	816.1013	ABCG1	495.2491
ABCG2	93.584	ABCG2	337.9996
ABHD10	650.5926	ABHD10	765.0685
ABHD11	1151.2056	ABHD11	509.7556
ABHD12B	193.7066	removed	removed
ABHD12	1622.8034	ABHD12	693.4068
ABHD13	356.3547	ABHD13	520.2002
ABHD14A	234.6915	ABHD14A	211.4688
ABHD14B	1611.3609	ABHD14B	1706.8253
ABHD15	416.8369	ABHD15	327.2648
ABHD1	10.2166	ABHD1	14.2163
ABHD2	9230.895	ABHD2	6710.6695
ABHD3	857.785	ABHD3	291.8692
ABHD4	1554.9653	ABHD4	865.7431
ABHD5	1011.8512	ABHD5	812.3595
ABHD6	126.6857	ABHD6	177.8487
ABHD8	318.7577	ABHD8	256.4735
ABI1	1463.2407	ABI1	1698.0402
ABI2	1206.3752	ABI2	2411.5471
ABI3BP	635.0633	ABI3BP	1348.8068
ABI3	241.9289	ABI3	151.1569
ABL1	2613.8128	ABL1	2594.0379
ABL2	1045.7703	ABL2	796.9827
ABLIM1	1886.8002	ABLIM1	4993.1095
ABLIM2	128.3204	ABLIM2	33.6549
ABLIM3	872.9056	ABLIM3	1064.7712
ABO	6.13	ABO	31.624
ABP1	10.2166	ABP1	5.8026
ABR	2101.3486	ABR	2538.0431
ABT1	630.9767	ABT1	433.7419
ABTB1	564.7732	ABTB1	481.6131
ABTB2	66.6122	ABTB2	87.9089
ACAA1	814.058	ACAA1	1044.7523
ACAA2	966.0809	ACAA2	1251.6138
ACACA	1168.7781	ACACA	3037.9343
ACACB	1268.9007	ACACB	1026.7643
ACAD10	505.517	ACAD10	526.0028
ACAD11	196.5059	ACAD11	472.242
ACAD8	292.6032	ACAD8	847.465
ACAD9	831.2628	ACAD9	762.3036
ACADL	22.0678	ACADL	17.988
ACADM	829.1786	ACADM	1448.3209
ACADSB	1563.9559	ACADSB	4820.4831
ACADS	639.5586	ACADS	697.1785
ACADVL	4841.4344	ACADVL	5315.9527
ACAN	113.6085	removed	removed
ACAP1	35.1451	ACAP1	81.2359
ACAP2	1404.1684	ACAP2	1599.1876
ACAP3	552.9301	ACAP3	404.8451
ACAT1	879.0356	ACAT1	1260.6078
ACAT2	513.3347	ACAT2	378.693
ACBD3	1961.177	ACBD3	1674.621
ACBD4	210.0531	ACBD4	226.8804
ACBD5	988.9661	ACBD5	1034.3077
