gene_id	TCGA-BH-A0DT-01A-21R-A12D-07	gene_id	TCGA-BH-A0DT-11A-12R-A12D-07
?|100133144	10.3629	?|100133144	17.2946
?|100134869	6.6635	?|100134869	8.2621
?|10357	111.8327	?|10357	109.3574
?|10431	925.2317	?|10431	696.2395
?|155060	150.9161	?|155060	209.2004
?|390284	6.1914	?|390284	9.8576
?|57714	604.8253	?|57714	625.0456
?|645851	5.0305	?|645851	5.8415
removed	removed	?|652919	143.3698
?|653553	342.0765	?|653553	116.4659
?|729884	5.8045	?|729884	110.6243
?|8225	436.1088	?|8225	404.1621
?|90288	59.5925	?|90288	36.5097
A1BG	112.9278	A1BG	80.7959
A2LD1	89.1256	A2LD1	70.0548
A2M	19188.7525	A2M	27741.4348
A4GALT	451.5874	A4GALT	236.2176
AAAS	711.2404	AAAS	624.6805
AACS	1009.203	AACS	2802.8478
removed	removed	AADAC	16.4294
AADAT	16.2525	AADAT	101.1318
AAGAB	1550.1791	AAGAB	1305.2209
AAK1	734.4583	AAK1	1016.4294
AAMP	1826.0847	AAMP	1822.563
AARS2	352.5206	AARS2	461.1099
AARSD1	383.4817	AARSD1	439.9416
AARS	1545.9225	AARS	2242.4242
AASDHPPT	922.136	AASDHPPT	958.7441
AASDH	290.9972	AASDH	464.7682
AASS	256.5574	AASS	787.5137
AATF	1026.6164	AATF	722.5265
AATK	76.6189	AATK	56.2249
ABAT	3282.6184	ABAT	1020.0803
ABCA10	54.175	ABCA10	246.2322
ABCA11P	158.7173	ABCA11P	169.613
ABCA12	410.9561	ABCA12	656.8091
removed	removed	ABCA13	18.985
removed	removed	ABCA17P	6.9368
ABCA1	927.1665	ABCA1	1109.5071
ABCA2	1420.933	ABCA2	1456.3709
ABCA3	1478.9777	ABCA3	1522.8185
ABCA4	56.1098	ABCA4	78.1307
ABCA5	359.4899	ABCA5	1068.1161
ABCA6	200.4475	ABCA6	275.2829
ABCA7	224.8263	ABCA7	281.8547
ABCA8	384.6425	ABCA8	619.9343
ABCA9	249.979	ABCA9	549.8357
ABCB10	635.0085	ABCB10	418.4009
ABCB1	186.9038	ABCB1	713.3991
ABCB4	15.4786	ABCB4	8.7623
ABCB5	11.6089	ABCB5	116.831
ABCB6	334.0663	ABCB6	552.6652
ABCB7	458.5527	ABCB7	510.0402
ABCB8	834.2951	ABCB8	379.7006
ABCB9	63.2996	ABCB9	129.1457
ABCC10	414.8258	ABCC10	389.1931
ABCC11	280.5491	ABCC11	4058.0504
removed	removed	ABCC12	47.4626
ABCC13	176.4557	removed	removed
ABCC1	1502.5825	ABCC1	1474.6258
ABCC2	8.5132	ABCC2	193.5013
ABCC3	614.4994	ABCC3	575.0274
ABCC4	146.6595	ABCC4	224.1694
ABCC5	653.9697	ABCC5	679.4451
removed	removed	ABCC6P1	23.7313
ABCC6P2	13.9307	ABCC6P2	27.0172
ABCC6	50.6923	ABCC6	175.2464
ABCC8	17.4134	ABCC8	108.4337
ABCC9	313.0541	ABCC9	456.736
ABCD1	249.205	ABCD1	197.1522
ABCD2	14.7046	ABCD2	56.59
ABCD3	2269.9328	ABCD3	2179.6276
ABCD4	595.9251	ABCD4	616.2833
ABCE1	1606.2889	ABCE1	1881.7087
ABCF1	1360.1796	ABCF1	1376.7798
ABCF2	1511.4827	ABCF2	1147.8642
ABCF3	949.2235	ABCF3	842.6433
ABCG1	1279.691	ABCG1	571.7415
ABCG2	149.3682	ABCG2	202.9938
ABHD10	454.6831	ABHD10	533.0413
ABHD11	1051.7691	ABHD11	673.6035
ABHD12B	7.3523	removed	removed
ABHD12	794.0508	ABHD12	840.4527
ABHD13	498.4101	ABHD13	706.8273
ABHD14A	208.9607	ABHD14A	211.391
ABHD14B	1651.1768	ABHD14B	2043.8116
ABHD15	392.7688	ABHD15	272.7273
ABHD1	40.2443	ABHD1	21.5407
ABHD2	4088.2782	ABHD2	3509.6751
ABHD3	457.3918	ABHD3	374.9544
ABHD4	892.3398	ABHD4	934.2826
ABHD5	962.7673	ABHD5	1036.8748
ABHD6	76.6189	ABHD6	190.5805
ABHD8	176.0688	ABHD8	172.3257
ABI1	1982.724	ABI1	1791.6466
ABI2	1418.9982	ABI2	2239.5035
ABI3BP	730.5887	ABI3BP	1341.3655
ABI3	178.3906	ABI3	136.9113
ABL1	2463.028	ABL1	2551.2961
ABL2	1292.8478	ABL2	949.9817
ABLIM1	4383.532	ABLIM1	5273.4575
ABLIM2	109.1239	ABLIM2	60.241
ABLIM3	677.9615	ABLIM3	932.092
ABO	29.7963	ABO	22.636
ABP1	34.8268	removed	removed
ABR	2404.2094	ABR	2356.3344
ABT1	504.2145	ABT1	513.326
ABTB1	468.6138	ABTB1	458.9266
ABTB2	60.3664	ABTB2	107.7035
ACAA1	1376.0452	ACAA1	1302.3001
ACAA2	971.6674	ACAA2	1006.2066
ACACA	1760.6877	ACACA	3973.713
ACACB	679.1224	ACACB	1675.7941
ACAD10	667.1265	ACAD10	609.7116
ACAD11	289.8131	ACAD11	473.483
ACAD8	478.6749	ACAD8	601.6794
ACAD9	744.9025	ACAD9	741.1428
ACADL	6.1914	ACADL	86.1628
ACADM	1281.2389	ACADM	1849.5801
ACADSB	4755.4047	ACADSB	4726.5425
ACADS	378.8381	ACADS	515.1515
