gene_id	TCGA-BH-A0DV-01A-21R-A12P-07	gene_id	TCGA-BH-A0DV-11A-22R-A12P-07
removed	removed	?|100133144	13.8362
removed	removed	?|100134869	5.7261
?|10357	98.6891	?|10357	94.2275
?|10431	804.9996	?|10431	736.0743
?|155060	53.5674	?|155060	197.6127
removed	removed	?|390284	5.9682
?|57714	420.5044	?|57714	661.4721
removed	removed	?|645851	12.931
?|652919	20.2158	removed	removed
?|653553	210.6986	?|653553	90.8488
removed	removed	?|729884	8.6207
?|8225	336.5821	?|8225	350.4642
?|90288	44.6395	?|90288	20.2255
A1BG	91.9069	A1BG	66.3296
A2LD1	79.3006	A2LD1	61.5584
A2M	47162.5206	A2M	26500.5736
A4GALT	546.6855	A4GALT	196.618
AAAS	713.6374	AAAS	592.8382
AACS	720.7797	AACS	2567.6393
AADAT	27.6765	AADAT	97.1485
AAGAB	1411.2045	AAGAB	1292.4403
AAK1	934.7519	AAK1	1182.6923
AAMP	2040.0268	AAMP	2026.5252
AARS2	463.9327	AARS2	496.9927
AARSD1	466.3344	AARSD1	496.3528
AARS	2869.4294	AARS	2638.2626
AASDHPPT	765.7168	AASDHPPT	970.1592
AASDH	383.3048	AASDH	580.5703
AASS	314.5599	AASS	916.7772
AATF	1151.9976	AATF	1081.2334
AATK	33.6285	AATK	59.3501
ABAT	1458.5224	ABAT	680.3714
ABCA10	43.4491	ABCA10	162.1353
ABCA11P	82.7557	ABCA11P	146.5219
ABCA12	64.8761	ABCA12	480.1061
removed	removed	ABCA13	25.8621
removed	removed	ABCA17P	5.9682
ABCA1	647.5649	ABCA1	859.065
ABCA2	1313.5927	ABCA2	1096.817
ABCA3	1106.1677	ABCA3	1018.8992
ABCA4	62.4954	ABCA4	60.0133
ABCA5	172.9038	ABCA5	1472.1485
ABCA6	497.8796	ABCA6	391.2467
ABCA7	254.743	ABCA7	246.6844
ABCA8	1718.3245	ABCA8	880.9682
ABCA9	460.3824	ABCA9	505.305
ABCB10	369.6154	ABCB10	438.6605
ABCB1	421.6948	ABCB1	962.2016
ABCB4	49.4011	ABCB4	12.2679
ABCB5	13.6895	ABCB5	31.8302
ABCB6	397.777	ABCB6	479.4264
ABCB7	418.7188	ABCB7	505.305
ABCB8	660.0699	ABCB8	375.6631
ABCB9	143.3405	ABCB9	135.3084
ABCC10	339.8557	ABCC10	381.2997
ABCC11	1449.8921	ABCC11	5318.9655
ABCC12	11.9039	ABCC12	49.4032
ABCC1	1203.4819	ABCC1	1178.0504
removed	removed	ABCC2	89.5225
ABCC3	306.5248	ABCC3	1119.695
ABCC4	218.1385	ABCC4	346.817
ABCC5	1049.6243	ABCC5	1012.2679
ABCC6P1	5.6543	ABCC6P1	5.305
ABCC6P2	22.0222	ABCC6P2	18.2361
ABCC6	202.3659	ABCC6	294.7613
ABCC8	14.8798	ABCC8	62.9973
ABCC9	933.5615	ABCC9	457.8912
ABCD1	321.1071	ABCD1	171.0875
ABCD2	31.8429	ABCD2	46.7507
ABCD3	1665.0547	ABCD3	2136.6048
ABCD4	605.9073	ABCD4	521.8833
ABCE1	1458.5224	ABCE1	2332.2281
ABCF1	1790.9382	ABCF1	1748.0106
ABCF2	1311.212	ABCF2	1408.4881
ABCF3	1172.8294	ABCF3	966.8435
ABCG1	722.5653	ABCG1	444.9602
ABCG2	318.4287	ABCG2	278.8462
ABCG4	8.0351	removed	removed
ABHD10	656.4988	ABHD10	602.122
ABHD11	511.5691	ABHD11	639.2573
removed	removed	ABHD12B	6.6313
ABHD12	1216.5761	ABHD12	785.1459
ABHD13	494.6061	ABHD13	751.6578
ABHD14A	337.0612	ABHD14A	156.4987
ABHD14B	2051.9307	ABHD14B	1808.3554
ABHD15	379.4361	ABHD15	234.4164
ABHD1	15.475	ABHD1	21.2202
ABHD2	3907.1498	ABHD2	5120.6897
ABHD3	518.7114	ABHD3	623.6737
ABHD4	1207.9458	ABHD4	820.6233
ABHD5	694.5912	ABHD5	1021.8833
ABHD6	202.3659	ABHD6	174.7347
ABHD8	197.3067	ABHD8	119.695
ABI1	1216.8737	ABI1	1902.2977
ABI2	1496.3172	ABI2	2523.8727
ABI3BP	2422.7364	ABI3BP	1030.504
ABI3	366.937	ABI3	112.4005
ABL1	2749.7954	ABL1	2443.9655
ABL2	1825.757	ABL2	1181.366
ABLIM1	3557.771	ABLIM1	5747.679
ABLIM2	128.8595	ABLIM2	64.6552
