gene_id	TCGA-BH-A0DZ-01A-11R-A00Z-07	gene_id	TCGA-BH-A0DZ-11A-22R-A089-07
?|100134869	5.7797	removed	removed
?|10357	135.8644	?|10357	92.2961
?|10431	915.2542	?|10431	799.2021
?|155060	22.8814	?|155060	142.7305
?|390284	11.8644	?|390284	8.422
?|57714	233.0508	?|57714	149.3794
?|653553	609.322	?|653553	242.4645
?|729884	32.2034	?|729884	43.883
?|8225	337.2881	?|8225	829.344
removed	removed	?|90288	25.7092
A1BG	117.7966	A1BG	124.1622
A2LD1	95.7542	A2LD1	77.0124
A2ML1	5.0847	A2ML1	24.8227
A2M	9871.0847	A2M	32097.4379
A4GALT	238.9831	A4GALT	429.078
AAAS	635.5932	AAAS	836.8794
AACS	1027.9661	AACS	2252.6596
removed	removed	AADAC	8.8652
AADAT	14.4068	AADAT	72.695
AAGAB	1632.2034	AAGAB	1363.4752
AAK1	595.7627	AAK1	656.0284
AAMP	2728.8136	AAMP	3315.1596
AARS2	181.3559	AARS2	574.4415
AARSD1	432.2034	AARSD1	703.9007
AARS	1964.4068	AARS	3110.3723
AASDHPPT	937.2881	AASDHPPT	785.9043
AASDH	281.3559	AASDH	336.8794
AASS	37.2881	AASS	143.1738
AATF	1127.1186	AATF	1194.1489
AATK	9.322	AATK	132.0922
ABAT	643.2203	ABAT	1120.1241
removed	removed	ABCA10	60.297
ABCA11P	60.4237	ABCA11P	86.9238
ABCA12	945.7627	ABCA12	287.234
removed	removed	ABCA13	26.1525
ABCA1	742.3644	ABCA1	292.5532
ABCA2	486.4407	ABCA2	2005.3191
ABCA3	236.4407	ABCA3	1636.9681
ABCA4	48.3051	ABCA4	35.461
removed	removed	ABCA5	387.398
ABCA6	27.1186	ABCA6	62.0567
ABCA7	139.8305	ABCA7	514.6277
removed	removed	ABCA8	253.1028
ABCA9	44.0678	ABCA9	127.6596
ABCB10	244.0678	ABCB10	262.4113
ABCB1	31.3559	ABCB1	386.0816
ABCB4	24.5763	ABCB4	17.2872
ABCB5	5.0847	ABCB5	9.7518
ABCB6	322.5254	ABCB6	804.3351
ABCB7	362.7119	ABCB7	500
ABCB8	404.2373	ABCB8	869.2376
ABCB9	283.2966	ABCB9	275.4211
ABCC10	257.6271	ABCC10	550.0887
ABCC11	635.5932	ABCC11	1726.9504
ABCC12	5.0847	ABCC12	10.195
ABCC13	11.8644	removed	removed
ABCC1	1372.8814	ABCC1	1025.7092
removed	removed	ABCC2	218.9716
ABCC3	150	ABCC3	617.0213
ABCC4	202.5424	ABCC4	110.8156
ABCC5	1839.8305	ABCC5	584.2199
ABCC6P2	45.7627	ABCC6P2	20.8333
ABCC6	290.678	ABCC6	249.5567
removed	removed	ABCC8	130.3191
ABCC9	138.1356	ABCC9	61.1702
ABCD1	387.2881	ABCD1	343.5284
ABCD2	5.0847	ABCD2	14.1844
ABCD3	1065.2542	ABCD3	1454.344
ABCD4	453.3898	ABCD4	689.7163
ABCE1	1603.3898	ABCE1	1348.8475
ABCF1	1534.7458	ABCF1	1853.2801
ABCF2	844.9153	ABCF2	1546.0993
ABCF3	1350.8475	ABCF3	1407.3582
ABCG1	656.7797	ABCG1	892.7305
ABCG2	46.6102	ABCG2	163.5638
ABHD10	585.5932	ABHD10	605.4965
ABHD11	543.2203	ABHD11	1039.4504
ABHD12	1268.6441	ABHD12	1040.3369
ABHD13	585.5932	ABHD13	364.3617
ABHD14A	76.2712	ABHD14A	380.7624
ABHD14B	755.9322	ABHD14B	2865.2482
ABHD15	167.7966	ABHD15	292.9965
removed	removed	ABHD1	13.7411
ABHD2	3828.8136	ABHD2	1792.9965
ABHD3	881.3559	ABHD3	311.1702
ABHD4	916.1017	ABHD4	990.6915
ABHD5	655.9322	ABHD5	838.6525
ABHD6	34.7458	ABHD6	185.727
ABHD8	169.4915	ABHD8	350.6206
ABI1	1761.1695	ABI1	1240.4743
ABI2	1122.0339	ABI2	1535.9043
ABI3BP	75.4237	ABI3BP	223.4043
ABI3	191.5254	ABI3	277.039
ABL1	2352.5424	ABL1	2510.6383
ABL2	561.8644	ABL2	432.6241
ABLIM1	1580.5085	ABLIM1	3112.5887
ABLIM2	38.9831	ABLIM2	87.3227
ABLIM3	123.7288	ABLIM3	1099.2908
ABO	6.7797	ABO	13.7411
removed	removed	ABP1	17.2872
ABR	1265.2542	ABR	2455.6738
ABT1	677.1186	ABT1	698.5816
ABTB1	262.7119	ABTB1	568.7057
ABTB2	82.2034	ABTB2	223.4043
ACAA1	1359.322	ACAA1	2384.3085
ACAA2	1573.7288	ACAA2	1264.1844
ACACA	644.9153	ACACA	1840.8688
ACACB	83.8983	ACACB	843.5284
ACAD10	118.6441	ACAD10	663.5638
ACAD11	82.2034	ACAD11	276.578
ACAD8	288.9831	ACAD8	755.3191
ACAD9	427.9661	ACAD9	1109.2199
removed	removed	ACADL	17.7305
ACADM	470.339	ACADM	904.2553
ACADSB	1582.2034	ACADSB	2073.5816
ACADS	122.0339	ACADS	693.2624
ACADVL	2348.2797	ACADVL	6980.9131
ACAN	14.4068	ACAN	5.3191
ACAP1	46.6102	ACAP1	110.3723
ACAP2	1260.1695	ACAP2	620.1241
ACAP3	566.1186	ACAP3	570.1197
ACAT1	750.8475	ACAT1	933.9539
ACAT2	894.1525	ACAT2	687.0966
ACBD3	1899.1525	ACBD3	892.7305
ACBD4	58.4746	ACBD4	307.6241
ACBD5	861.0169	ACBD5	519.5035
ACBD6	674.5763	ACBD6	565.1596
