gene_id	TCGA-BH-A0E1-01A-11R-A056-07	gene_id	TCGA-BH-A0E1-11A-13R-A089-07
removed	removed	?|100133144	8.1676
removed	removed	?|100134869	6.0412
?|10357	111.1848	?|10357	70.9358
?|10431	946.6664	?|10431	814.7967
?|155060	39.9888	?|155060	151.3964
?|390284	6.3349	?|390284	5.8795
?|57714	340.8949	?|57714	191.0828
?|652919	36.4255	?|652919	53.856
?|653553	209.0505	?|653553	69.5737
?|729884	155.996	?|729884	14.2087
?|8225	362.671	?|8225	530.1323
?|90288	21.7761	?|90288	10.779
A1BG	187.7535	A1BG	127.4816
A2LD1	76.735	A2LD1	82.9054
removed	removed	A2ML1	15.1886
A2M	13887.9798	A2M	19977.3591
A4GALT	570.5338	A4GALT	215.0906
AAAS	677.8305	AAAS	764.3312
AACS	1794.3505	AACS	2245.4679
AADAT	34.8418	AADAT	71.5336
AAGAB	1630.4359	AAGAB	932.3861
AAK1	1013.9743	AAK1	537.9716
AAMP	2540.2808	AAMP	2832.4351
AARS2	386.4268	AARS2	569.319
AARSD1	467.9881	AARSD1	693.2876
AARS	2050.1207	AARS	2854.9731
AASDHPPT	760.9756	AASDHPPT	909.3582
AASDH	256.1661	AASDH	449.7795
AASS	240.7249	AASS	346.8888
AATF	1264.2015	AATF	1211.661
AATK	36.8214	AATK	66.144
ABAT	1478.3991	ABAT	438.5105
removed	removed	ABCA10	104.8506
ABCA11P	118.6481	ABCA11P	122.8221
ABCA12	679.4143	ABCA12	34.7869
removed	removed	ABCA13	18.6183
removed	removed	ABCA17P	13.2288
ABCA1	262.497	ABCA1	282.2146
ABCA2	1603.1168	ABCA2	1350.3185
ABCA3	4108.5558	ABCA3	1246.4478
removed	removed	ABCA4	22.538
ABCA5	242.3086	ABCA5	952.9642
ABCA6	58.5975	ABCA6	398.3341
ABCA7	208.2587	ABCA7	116.6095
ABCA8	63.3486	ABCA8	374.8163
ABCA9	38.0092	ABCA9	196.9623
ABCB10	561.4274	ABCB10	358.6477
ABCB1	113.2357	ABCB1	277.805
ABCB4	20.5883	removed	removed
removed	removed	ABCB5	34.2969
ABCB6	689.8787	ABCB6	671.3278
ABCB7	524.606	ABCB7	681.5287
ABCB8	1085.2415	ABCB8	313.0818
ABCB9	173.1081	ABCB9	194.1891
ABCC10	281.1096	ABCC10	405.1935
ABCC11	138.9711	ABCC11	33.317
ABCC13	5.9389	removed	removed
ABCC1	830.2632	ABCC1	803.5277
removed	removed	ABCC2	7.8393
ABCC3	594.2895	ABCC3	434.1009
ABCC4	356.3362	ABCC4	73.9833
ABCC5	327.4333	ABCC5	625.6737
removed	removed	ABCC6P2	10.2891
ABCC6	7.9186	ABCC6	24.4978
ABCC8	612.8982	ABCC8	59.7746
ABCC9	241.9127	ABCC9	124.4488
ABCD1	452.9428	ABCD1	151.3964
removed	removed	ABCD2	7.8393
ABCD3	720.5909	ABCD3	2084.7624
ABCD4	315.5555	ABCD4	563.9392
ABCE1	1389.3151	ABCE1	2171.4846
ABCF1	1818.8981	ABCF1	1814.7967
ABCF2	1249.1562	ABCF2	1348.8486
ABCF3	1178.2849	ABCF3	1089.172
ABCG1	1012.3906	ABCG1	464.4782
ABCG2	140.9507	ABCG2	316.0216
ABHD10	891.6322	ABHD10	655.561
ABHD11	964.4832	ABHD11	794.7085
ABHD12	1303.0025	ABHD12	832.4351
ABHD13	311.9921	ABHD13	510.0441
ABHD14A	737.6158	ABHD14A	270.4557
ABHD14B	1241.6335	ABHD14B	3484.0764
ABHD15	397.1168	ABHD15	206.2714
ABHD1	35.6336	ABHD1	12.2489
ABHD2	4512.4035	ABHD2	3077.903
ABHD3	691.2921	ABHD3	167.5649
ABHD4	787.8988	ABHD4	740.8133
ABHD5	779.1884	ABHD5	1652.6213
ABHD6	114.4235	ABHD6	100.441
ABHD8	332.5804	ABHD8	221.4601
ABI1	1069.8003	ABI1	1682.9299
ABI2	1677.9473	ABI2	1930.4263
ABI3BP	101.3578	ABI3BP	286.6242
ABI3	163.1228	ABI3	101.4209
ABL1	1752.382	ABL1	1984.3214
ABL2	1496.6118	ABL2	836.8447
ABLIM1	2308.2664	ABLIM1	4239.5884
ABLIM2	210.2383	ABLIM2	36.2567
ABLIM3	547.174	ABLIM3	485.5463
ABO	9.5023	ABO	38.2166
removed	removed	ABP1	5.3895
ABR	2384.2848	ABR	1722.685
ABT1	473.1352	ABT1	831.9451
ABTB1	603.7918	ABTB1	603.1357
ABTB2	20.5883	ABTB2	249.3876
ACAA1	1520.7635	ACAA1	1295.9334
ACAA2	1080.4904	ACAA2	1346.8888
ACACA	2183.5488	ACACA	1505.6345
ACACB	197.5686	ACACB	853.0132
ACAD10	348.0216	ACAD10	622.734
ACAD11	149.2653	ACAD11	272.4155
ACAD8	436.3138	ACAD8	698.6771
ACAD9	957.7445	ACAD9	981.3817
removed	removed	ACADL	16.1685
ACADM	1162.8436	ACADM	1141.5973
ACADSB	2444.8619	ACADSB	1981.8716
ACADS	437.5016	ACADS	657.5208
ACADVL	7991.4083	ACADVL	6006.3057
ACAN	83.541	removed	removed
ACAP1	9.5023	ACAP1	66.634
ACAP2	857.5823	ACAP2	1066.634
ACAP3	567.79	ACAP3	399.3288
ACAT1	1984.7924	ACAT1	1238.6085
ACAT2	544.5292	ACAT2	450.8721
ACBD3	2727.9512	ACBD3	1387.5551
ACBD4	208.6546	ACBD4	377.756
ACBD5	742.7629	ACBD5	519.3533
ACBD6	999.3249	ACBD6	595.2964
ACBD7	60.5771	ACBD7	134.7379
ACCN2	140.9507	ACCN2	438.0206
ACCN3	15.8372	removed	removed
ACCS	106.5049	ACCS	425.2817
ACD	207.0709	ACD	420.8721
ACE2	5.543	ACE2	15.1886
ACER2	91.0637	ACER2	90.6418
ACER3	283.8811	ACER3	211.171
ACE	671.0998	ACE	254.7771
removed	removed	ACHE	30.3773
ACIN1	3047.466	ACIN1	2891.7197
ACLY	4739.6667	ACLY	2865.2621
ACMSD	9.8982	removed	removed
ACN9	97.7945	ACN9	157.7658
ACO1	1663.6939	ACO1	883.3905
ACO2	3236.5221	ACO2	2906.0069
ACOT11	56.6179	ACOT11	29.3239
ACOT13	670.4346	ACOT13	475.1788
ACOT1	260.9172	ACOT1	298.3831
ACOT2	327.0374	ACOT2	330.2303
ACOT4	403.0558	ACOT4	87.2122
ACOT7	719.799	ACOT7	299.3631
ACOT8	324.1234	ACOT8	231.2641
ACOT9	177.7721	ACOT9	219.0103
ACOX1	1527.8902	ACOX1	1119.8089
ACOX2	35.2377	ACOX2	122.489
ACOX3	611.7104	ACOX3	689.368
ACP1	1464.1457	ACP1	1872.6115
ACP2	1372.686	ACP2	726.1098
ACP5	7980.742	ACP5	637.9226
ACP6	470.3637	ACP6	413.0328
ACPL2	612.8982	ACPL2	405.1935
ACPP	8.3145	ACPP	24.4978
ACRBP	30.0906	ACRBP	11.269
ACRC	5.9389	ACRC	8.8192
removed	removed	ACR	13.7188
ACSBG1	7.1267	ACSBG1	19.5982
ACSF2	1064.6612	ACSF2	815.7766
ACSF3	258.5417	ACSF3	550.2205
ACSL1	1225.7964	ACSL1	2551.2004
ACSL3	2930.271	ACSL3	3955.904
ACSL4	468.78	ACSL4	881.9206
ACSL5	254.1865	ACSL5	683.9784
ACSM1	15.8372	ACSM1	72.0235
ACSM3	35.4436	ACSM3	247.2709
removed	removed	ACSM5	27.9275
ACSS1	432.7505	ACSS1	1049.9755
ACSS2	721.3827	ACSS2	1530.6222
