gene_id	TCGA-BH-A0H9-01A-11R-A056-07	gene_id	TCGA-BH-A0H9-11A-22R-A466-07
?|100134869	5.583	removed	removed
?|10357	77.8497	?|10357	103.7328
?|10431	838.2367	?|10431	827.4416
?|155060	126.2829	?|155060	101.8574
?|390284	6.6465	?|390284	6.5908
?|57714	1020.8191	?|57714	113.2415
?|652919	34.0143	removed	removed
?|653553	719.3823	?|653553	462.5524
?|729884	14.8568	removed	removed
?|8225	666.2105	?|8225	932.2948
?|90288	53.5627	?|90288	49.7304
A1BG	230.1984	A1BG	71.2163
A2LD1	55.5566	A2LD1	129.5866
A2M	8246.6269	A2M	46156.7645
A4GALT	452.7417	A4GALT	1219.293
AAAS	979.3764	AAAS	650.689
AACS	1003.2255	AACS	1037.7472
removed	removed	AADAC	149.7903
AADAT	52.3898	AADAT	57.5195
AAGAB	1769.915	AAGAB	620.731
AAK1	1064.6076	AAK1	759.1372
AAMP	2799.7263	AAMP	3202.5165
AARS2	473.8501	AARS2	289.3948
AARSD1	544.2283	AARSD1	679.4488
AARS	4514.9057	AARS	3590.1738
AASDHPPT	1590.824	AASDHPPT	597.9629
AASDH	283.0613	AASDH	182.7442
AASS	253.3477	AASS	401.438
AATF	1260.8738	AATF	1177.3517
AATK	48.0891	AATK	82.7981
ABAT	4306.9104	ABAT	80.2876
removed	removed	ABCA10	95.2666
ABCA11P	92.9997	ABCA11P	48.9515
ABCA12	91.8776	removed	removed
ABCA17P	56.2995	removed	removed
ABCA1	487.143	ABCA1	1651.6537
ABCA2	1650.6695	ABCA2	1599.7603
ABCA3	13111.1328	ABCA3	1316.3571
ABCA4	461.343	ABCA4	15.5782
ABCA5	87.577	ABCA5	575.7939
ABCA6	57.4724	ABCA6	521.8694
ABCA7	424.201	ABCA7	284.0024
ABCA8	128.6287	ABCA8	2655.4823
ABCA9	22.6762	ABCA9	690.8328
ABCB10	937.5428	ABCB10	328.3403
removed	removed	ABCB11	7.7891
ABCB1	47.6982	ABCB1	316.9563
ABCB4	5.0826	ABCB4	34.7513
removed	removed	ABCB5	29.3589
ABCB6	378.8642	ABCB6	952.3547
ABCB7	304.1736	ABCB7	541.6417
ABCB8	730.3294	ABCB8	600.3595
ABCB9	239.1477	ABCB9	99.7364
ABCC10	430.8474	ABCC10	223.4871
ABCC11	112.208	removed	removed
ABCC13	302.6097	removed	removed
ABCC1	1230.3783	ABCC1	542.2409
removed	removed	ABCC2	11.3841
ABCC3	147.0042	ABCC3	35.9497
ABCC4	202.5217	ABCC4	142.0012
ABCC5	819.4702	ABCC5	219.8922
removed	removed	ABCC6P1	35.3505
removed	removed	ABCC6P2	64.1102
ABCC6	7.8194	ABCC6	611.1444
ABCC8	78.5847	removed	removed
ABCC9	176.7178	ABCC9	1284.0024
ABCD1	262.3399	ABCD1	911.3241
ABCD2	17.9846	ABCD2	609.3469
ABCD3	2499.8534	ABCD3	748.9515
ABCD4	511.387	ABCD4	1074.296
ABCE1	2062.7505	ABCE1	900.5392
ABCF1	1448.5388	ABCF1	1376.2732
ABCF2	1565.0474	ABCF2	1183.9425
ABCF3	1352.7514	ABCF3	1136.6087
ABCG1	520.3792	ABCG1	802.876
ABCG2	33.6233	ABCG2	142.0012
removed	removed	ABCG4	7.7891
removed	removed	ABCG5	5.9916
removed	removed	ABCG8	7.1899
ABHD10	865.9955	ABHD10	607.5494
ABHD11	747.923	ABHD11	226.4829
ABHD12B	34.7962	ABHD12B	7.1899
ABHD12	1183.853	ABHD12	1133.0138
ABHD13	525.4618	ABHD13	434.3919
ABHD14A	206.1304	ABHD14A	716.4649
ABHD14B	928.5505	ABHD14B	4538.6459
ABHD15	593.4904	ABHD15	1511.0845
removed	removed	ABHD1	88.6759
ABHD2	3224.7092	ABHD2	1488.9155
ABHD3	891.7994	ABHD3	277.4116
ABHD4	844.4922	ABHD4	1389.4548
ABHD5	1366.8263	ABHD5	2434.991
ABHD6	126.2829	ABHD6	749.5506
ABHD8	161.0791	ABHD8	321.7496
removed	removed	ABI1	1005.8658
ABI2	1481.3801	ABI2	538.0467
ABI3BP	206.4314	ABI3BP	1733.9724
ABI3	93.0505	ABI3	357.1001
ABL1	1833.2519	ABL1	2250.4494
ABL2	876.9426	ABL2	533.2534
ABLIM1	2390.3822	ABLIM1	6674.0563
ABLIM2	121.2003	ABLIM2	152.7861
ABLIM3	697.879	ABLIM3	5492.5105
removed	removed	ABO	7.7891
ABP1	53.5627	removed	removed
ABR	2268.009	ABR	1875.3745
ABT1	381.5854	ABT1	673.4572
ABTB1	299.482	ABTB1	1771.1204
ABTB2	17.9846	ABTB2	56.3212
ACAA1	1507.184	ACAA1	2678.2504
ACAA2	1735.5097	ACAA2	4430.1977
ACACA	2764.5391	ACACA	2521.8694
ACACB	415.5996	ACACB	14511.6836
ACAD10	624.7679	ACAD10	440.9826
ACAD11	98.0588	ACAD11	1120.4314
ACAD8	776.8547	ACAD8	545.8358
ACAD9	1084.5391	ACAD9	1753.7448
