gene_id	TCGA-BH-A0HA-01A-11R-A12P-07	gene_id	TCGA-BH-A0HA-11A-31R-A12P-07
removed	removed	?|100133144	17.6805
?|100134869	6.4664	?|100134869	18.8159
?|10357	98.2581	?|10357	95.296
?|10431	1624.4926	?|10431	597.7291
?|155060	189.7252	?|155060	396.1882
?|390284	7.8859	removed	removed
?|57714	350.69	?|57714	444.0389
removed	removed	?|645851	18.2482
?|653553	870.2308	?|653553	32.0357
removed	removed	?|728788	6.8938
?|8225	582.6279	?|8225	436.3341
?|90288	43.6043	?|90288	12.1655
A1BG	205.0052	A1BG	80.6367
A2LD1	122.4446	A2LD1	70.9813
removed	removed	A2ML1	5.2717
A2M	16641.0205	A2M	23372.5669
A4GALT	256.9871	A4GALT	101.7843
AAAS	885.0748	AAAS	729.927
AACS	1174.9971	AACS	1318.3293
AADAT	44.0682	AADAT	115.1663
AAGAB	1674.5912	AAGAB	772.9116
AAK1	635.5097	AAK1	1098.1346
AAMP	2435.8112	AAMP	1934.3066
AARS2	452.7427	AARS2	613.8889
AARSD1	725.0377	AARSD1	594.485
AARS	3037.458	AARS	2354.0146
AASDHPPT	1063.2031	AASDHPPT	1098.0454
AASDH	221.2687	AASDH	688.5645
AASS	201.322	AASS	771.6951
AATF	1244.1146	AATF	919.708
AATK	257.451	AATK	85.9692
ABAT	1973.791	ABAT	496.3504
ABCA10	7.8859	ABCA10	185.3204
ABCA11P	134.4265	ABCA11P	246.9303
ABCA12	89.0641	ABCA12	12.1655
removed	removed	ABCA13	21.4923
ABCA17P	7.422	ABCA17P	12.1655
ABCA1	692.5664	ABCA1	763.9903
ABCA2	676.7946	ABCA2	1606.2449
ABCA3	3181.7233	ABCA3	1375.1014
ABCA4	11.133	ABCA4	24.7364
ABCA5	139.1627	ABCA5	2092.8629
ABCA6	86.2809	ABCA6	195.4582
ABCA7	204.1053	ABCA7	193.4307
ABCA8	59.3761	ABCA8	193.0251
ABCA9	80.7144	ABCA9	180.0487
ABCB10	271.3673	ABCB10	474.8581
ABCB1	119.6799	ABCB1	761.5572
ABCB4	25.0493	ABCB4	8.9213
ABCB6	423.1103	ABCB6	587.1046
removed	removed	ABCB7	635.442
ABCB8	851.6758	ABCB8	287.1046
ABCB9	163.8594	ABCB9	170.1419
ABCC10	369.245	ABCC10	547.4453
ABCC11	560.8257	ABCC11	182.8873
removed	removed	ABCC1	887.2668
removed	removed	ABCC2	18.2482
ABCC3	132.2046	ABCC3	273.3171
ABCC4	99.2694	ABCC4	79.4809
ABCC5	1343.8478	ABCC5	1071.3706
removed	removed	ABCC6P1	6.0827
ABCC6P2	19.9467	ABCC6P2	14.193
ABCC6	89.0641	ABCC6	90.8354
ABCC8	103.9082	ABCC8	85.9692
ABCC9	208.7441	ABCC9	161.395
ABCD1	568.7116	ABCD1	157.3398
ABCD2	13.4524	ABCD2	37.3074
ABCD3	2048.9389	ABCD3	1404.2985
ABCD4	529.746	ABCD4	633.4144
ABCE1	1411.5737	ABCE1	2262.7737
ABCF1	1393.0187	ABCF1	1369.0187
ABCF2	1072.9445	ABCF2	1008.9213
ABCF3	1270.5555	ABCF3	841.0381
ABCG1	1604.0821	ABCG1	663.4225
ABCG2	122.9271	ABCG2	290.7543
ABHD10	978.7777	ABHD10	736.8208
ABHD11	1209.7878	ABHD11	604.6229
ABHD12	2514.6701	ABHD12	517.0316
ABHD13	465.7312	ABHD13	603.8118
ABHD14A	300.5914	ABHD14A	176.7964
ABHD14B	1533.573	ABHD14B	2251.0138
ABHD15	462.0202	ABHD15	185.7259
ABHD1	26.9048	ABHD1	19.0592
ABHD2	2094.3987	ABHD2	2790.3487
ABHD3	334.4544	ABHD3	193.0251
ABHD4	1202.8296	ABHD4	756.2855
ABHD5	452.7427	ABHD5	974.047
ABHD6	74.2201	ABHD6	100.5677
ABHD8	281.1087	ABHD8	263.5848
ABI1	1291.1562	ABI1	1775.6407
ABI2	1094.7466	ABI2	2778.5888
ABI3BP	396.6137	ABI3BP	209.2457
ABI3	295.9527	ABI3	135.442
ABL1	2510.0313	ABL1	2293.5929
ABL2	696.2774	ABL2	864.558
ABLIM1	1109.1268	ABLIM1	6084.3471
ABLIM2	64.0148	ABLIM2	42.5791
ABLIM3	419.8075	ABLIM3	482.5629
ABO	7.8859	ABO	16.6261
ABP1	26.9048	removed	removed
ABR	1710.3096	ABR	1954.5823
ABT1	726.8932	ABT1	585.9692
ABTB1	419.8075	ABTB1	566.5045
ABTB2	55.2012	ABTB2	178.0211
ACAA1	1002.8992	ACAA1	918.4915
ACAA2	930.0707	ACAA2	1028.7916
ACACA	2118.5202	ACACA	1479.7242
ACACB	165.1397	ACACB	1065.2879
ACAD10	377.5948	ACAD10	746.5531
ACAD11	173.0256	ACAD11	552.3114
ACAD8	497.7386	ACAD8	589.6188
ACAD9	879.6706	ACAD9	922.7778
removed	removed	ACADL	17.4371
ACADM	494.9554	ACADM	1182.4818
ACADSB	4050.0986	ACADSB	2150.4461
ACADS	246.7819	ACADS	314.6796
ACADVL	2294.7698	ACADVL	5732.3195
ACAN	66.7981	ACAN	6.0827
ACAP1	123.3909	ACAP1	131.3869
ACAP2	772.353	ACAP2	1638.6861
ACAP3	460.6332	ACAP3	466.4396
ACAT1	645.7149	ACAT1	960.665
ACAT2	455.8274	ACAT2	366.6626
ACBD3	1073.4083	ACBD3	1693.8362
ACBD4	262.5536	ACBD4	330.0892
ACBD5	842.3982	ACBD5	701.541
ACBD6	580.7724	ACBD6	382.8062
ACBD7	26.4409	ACBD7	199.1079
ACCN1	48.2431	removed	removed
ACCN2	61.2316	ACCN2	466.7478
ACCN3	19.4828	ACCN3	16.6261
ACCS	221.2687	ACCS	628.9538
ACD	439.7541	ACD	414.0308
removed	removed	ACE2	20.2758
ACER2	19.0189	ACER2	90.0243
ACER3	340.9486	ACER3	304.1363
ACE	764.931	ACE	296.837
ACHE	6.4943	ACHE	26.764
ACIN1	2986.4316	ACIN1	4062.8548
ACLY	3806.1	ACLY	2323.1955
ACMSD	6.9581	removed	removed
ACN9	89.0641	ACN9	186.5369
ACO1	556.1869	ACO1	650.8516
ACO2	2140.4708	ACO2	1601.8816
ACOT11	102.9804	ACOT11	64.2863
ACOT13	1176.9732	ACOT13	353.1468
ACOT1	1611.0402	ACOT1	313.4631
ACOT2	655.9202	ACOT2	249.7972
ACOT4	676.7946	ACOT4	36.4964
ACOT7	409.1384	ACOT7	139.9027
ACOT8	264.6086	ACOT8	206.8532
ACOT9	468.0506	ACOT9	261.1517
ACOX1	1503.4211	ACOX1	1356.0422
ACOX2	73.7562	ACOX2	261.9627
ACOX3	871.6224	ACOX3	886.4558
ACP1	1741.8532	ACP1	1500
ACP2	1953.3805	ACP2	534.0633
ACP5	916.1545	ACP5	324.8175
ACP6	254.6677	ACP6	332.1168
ACPL2	407.2828	ACPL2	388.0779
ACPP	38.5017	ACPP	12.1655
ACRBP	27.3687	ACRBP	10.5434
ACRC	20.4105	ACRC	17.8427
ACR	13.9163	ACR	12.571
removed	removed	ACSBG1	11.3544
ACSF2	1287.7189	ACSF2	790.8151
ACSF3	506.0884	ACSF3	435.9286
ACSL1	1125.3624	ACSL1	925.7908
ACSL3	2450.6552	ACSL3	4992.2952
ACSL4	912.4435	ACSL4	1016.6261
ACSL5	469.9061	ACSL5	764.3958
ACSL6	7.422	ACSL6	9.3268
ACSM1	36.6462	ACSM1	62.4493
ACSM3	90.0754	ACSM3	276.9059
ACSM5	8.3498	ACSM5	21.0868
ACSS1	1658.8194	ACSS1	1129.3593
ACSS2	974.1389	ACSS2	1035.6853
ACSS3	71.9007	ACSS3	175.588
ACTA1	55.2012	removed	removed
ACTA2	14703.6205	ACTA2	43476.0665
ACTB	110127.3339	ACTB	61624.8986
ACTG1	80946.3064	ACTG1	50492.2952
ACTG2	930.5346	ACTG2	5523.5199
ACTL6A	995.0133	ACTL6A	862.5304
ACTN1	6893.6565	ACTN1	9197.0803
ACTN4	12872.3878	ACTN4	11350.3163
ACTR10	908.2686	ACTR10	1157.3398
ACTR1A	4130.8129	ACTR1A	1357.2587
ACTR1B	818.2767	ACTR1B	1355.6367
ACTR2	6886.6984	ACTR2	4093.2685
ACTR3B	133.1323	ACTR3B	536.9019
ACTR3C	67.7258	ACTR3C	48.6618
ACTR3	3729.5605	ACTR3	2597.7291
ACTR5	226.3713	ACTR5	304.5418
ACTR6	500.9857	ACTR6	819.9513
ACTR8	364.6063	ACTR8	603.8118
ACVR1B	1690.363	ACVR1B	1278.1833
removed	removed	ACVR1C	38.5239
ACVR1	1168.9667	ACVR1	1165.8556
ACVR2A	423.9824	ACVR2A	1052.717
ACVR2B	132.6684	ACVR2B	418.897
ACVRL1	630.8709	ACVRL1	219.7891
ACY1	615.0992	ACY1	653.2928
ACY3	6.4943	ACY3	44.6067
ACYP1	182.767	ACYP1	82.3195
