gene_id	TCGA-BH-A0HK-01A-11R-A056-07	gene_id	TCGA-BH-A0HK-11A-11R-A089-07
?|100134869	5.4268	removed	removed
?|10357	214.7682	?|10357	77.6219
?|10431	820.8641	?|10431	695.2664
?|155060	238.1454	?|155060	87.0017
?|390284	6.8493	?|390284	10.4551
?|57714	229.7155	?|57714	268.4729
?|645851	7.3762	?|645851	5.2276
?|652919	14.2044	removed	removed
?|653553	280.295	?|653553	145.9985
?|729884	145.9431	?|729884	19.0433
?|8225	508.9568	?|8225	467.4939
removed	removed	?|90288	22.4039
A1BG	20.5479	A1BG	88.9284
removed	removed	A2BP1	5.2276
A2LD1	93.7408	A2LD1	73.0702
A2ML1	158.0611	A2ML1	19.0433
A2M	21473.1243	A2M	30615.5498
A4GALT	333.509	A4GALT	828.196
AAAS	699.6839	AAAS	524.9971
AACS	781.8757	AACS	860.3082
AADACL2	24.7629	AADACL2	14.1891
AADAC	33.7197	AADAC	22.4039
AADAT	5.2687	AADAT	32.859
AAGAB	1403.0558	AAGAB	1266.9383
AAK1	812.4341	AAK1	851.7201
AAMP	2238.6723	AAMP	2369.2081
AARS2	417.7766	AARS2	398.0419
AARSD1	569.02	AARSD1	511.5548
AARS	1601.1591	AARS	2754.1811
AASDHPPT	703.8988	AASDHPPT	632.1622
AASDH	260.274	AASDH	305.8127
AASS	319.2835	AASS	523.1301
AATF	1409.3783	AATF	1188.5247
AATK	16.8599	AATK	98.3865
ABAT	229.1886	ABAT	747.5421
ABCA10	18.4405	ABCA10	265.8591
ABCA11P	70.6217	ABCA11P	91.4526
ABCA12	32.666	ABCA12	36.9664
ABCA13	67.4394	ABCA13	11.9487
removed	removed	ABCA17P	11.2019
ABCA1	678.0822	ABCA1	888.6454
ABCA2	1085.353	ABCA2	1274.7796
ABCA3	649.6312	ABCA3	1352.0729
ABCA4	149.6312	ABCA4	64.5978
ABCA5	85.8799	ABCA5	485.7904
ABCA6	185.9852	ABCA6	551.5083
ABCA7	131.1907	ABCA7	308.0531
ABCA8	559.5364	ABCA8	1990.9563
ABCA9	212.8556	ABCA9	1132.1417
ABCB10	817.7028	ABCB10	339.7919
ABCB1	103.2666	ABCB1	323.7358
ABCB4	12.6449	ABCB4	34.3526
ABCB5	12.6449	ABCB5	163.5482
ABCB6	462.0126	ABCB6	344.1046
ABCB7	433.6143	ABCB7	496.6189
ABCB8	530.5585	ABCB8	437.2487
ABCB9	142.6344	ABCB9	125.7491
ABCC10	310.8535	ABCC10	361.0755
ABCC11	278.1876	ABCC11	151.2261
ABCC13	12.118	removed	removed
ABCC1	1465.7534	ABCC1	1237.8132
removed	removed	ABCC2	6.3478
ABCC3	872.4974	ABCC3	990.9974
ABCC4	157.5342	ABCC4	144.5049
ABCC5	1373.0242	ABCC5	560.4699
ABCC6P2	9.4837	removed	removed
ABCC6	33.1928	ABCC6	96.71
removed	removed	ABCC8	87.3751
ABCC9	497.3656	ABCC9	612.3722
ABCD1	379.3467	ABCD1	243.8287
ABCD2	50.0527	ABCD2	20.5369
ABCD3	3667.5448	ABCD3	1670.9545
ABCD4	364.5943	ABCD4	553.3753
ABCE1	1988.9357	ABCE1	1593.6612
ABCF1	1485.7745	ABCF1	1656.7654
ABCF2	1389.8841	ABCF2	1424.8855
ABCF3	857.2181	ABCF3	950.297
ABCG1	628.5564	ABCG1	703.4812
ABCG2	153.3193	ABCG2	139.2773
ABHD10	834.0358	ABHD10	491.7647
ABHD11	770.8114	ABHD11	659.4203
ABHD12	937.3024	ABHD12	915.1977
ABHD13	482.0864	ABHD13	675.8498
