gene_id	TCGA-BH-A18J-01A-11R-A12D-07	gene_id	TCGA-BH-A18J-11A-31R-A12D-07
?|100133144	9.2538	?|100133144	11.1542
?|100134869	7.8699	?|100134869	9.7906
?|10357	117.8217	?|10357	69.0731
?|10431	1277.2898	?|10431	518.7166
?|155060	193.9524	?|155060	336.8984
removed	removed	?|388795	25.8467
?|390284	9.4355	?|390284	8.0214
removed	removed	?|553137	5.7932
?|57714	2002.427	?|57714	788.3244
removed	removed	?|645851	21.3904
removed	removed	?|652919	89.746
?|653553	251.6139	?|653553	179.59
?|729884	8.0377	removed	removed
?|8225	561.9376	?|8225	522.7273
?|90288	65.3497	?|90288	15.5971
A1BG	231.67	A1BG	99.8396
A2LD1	68.2188	A2LD1	74.844
A2ML1	177.1781	A2ML1	20.0535
A2M	8938.2122	A2M	23691.8271
A4GALT	395.5929	A4GALT	327.9857
AAAS	742.6104	AAAS	569.9643
AACS	871.9119	AACS	868.984
removed	removed	AADAC	214.3494
AADAT	14.6775	AADAT	63.2799
AAGAB	1153.5797	AAGAB	979.0553
AAK1	1282.5318	AAK1	1008.0214
AAMP	2773.6934	AAMP	2142.6025
AARS2	547.2392	AARS2	553.8681
AARSD1	289.3559	AARSD1	483.5116
AARS	2503.9074	AARS	2247.3262
AASDHPPT	439.9748	AASDHPPT	708.1105
AASDH	256.1569	AASDH	388.5918
AASS	153.764	AASS	714.795
AATF	682.8521	AATF	906.4171
AATK	38.0915	AATK	48.1283
ABAT	459.1953	ABAT	484.4029
removed	removed	ABCA10	410.4278
ABCA11P	86.4364	ABCA11P	104.6257
ABCA12	603.1744	ABCA12	65.0624
removed	removed	ABCA13	23.6185
ABCA17P	9.785	removed	removed
ABCA1	955.7832	ABCA1	2519.4029
ABCA2	1979.013	ABCA2	1528.5205
ABCA3	2114.2554	ABCA3	1156.8627
ABCA4	6.9893	ABCA4	35.6506
ABCA5	60.1078	ABCA5	930.4813
ABCA6	47.8765	ABCA6	796.7914
ABCA7	134.1941	ABCA7	188.9483
removed	removed	ABCA8	1499.1087
ABCA9	10.8334	ABCA9	1087.344
ABCB10	268.7376	ABCB10	379.2335
removed	removed	ABCB11	21.836
ABCB1	11.1828	ABCB1	298.574
ABCB4	13.9785	ABCB4	20.0535
removed	removed	ABCB5	65.0624
ABCB6	578.8237	ABCB6	505.8645
ABCB7	380.9154	ABCB7	444.7415
ABCB8	959.9768	ABCB8	389.9287
ABCB9	201.1618	ABCB9	109.3226
ABCC10	596.5345	ABCC10	416.221
ABCC11	90.5111	ABCC11	851.1586
removed	removed	ABCC12	8.0214
ABCC13	10.1344	removed	removed
ABCC1	2235.5193	ABCC1	1227.7184
removed	removed	ABCC2	19.1622
ABCC3	320.1088	ABCC3	1115.4189
ABCC4	191.1566	ABCC4	80.6595
ABCC5	2768.102	ABCC5	914.4385
removed	removed	ABCC6P1	15.5971
ABCC6P2	7.6882	ABCC6P2	12.9234
ABCC6	10.8334	ABCC6	163.9929
ABCC8	74.0863	ABCC8	102.9412
ABCC9	281.3183	ABCC9	838.6809
ABCD1	566.1312	ABCD1	436.2745
removed	removed	ABCD2	163.5472
ABCD3	2337.2133	ABCD3	1636.8093
ABCD4	570.3248	ABCD4	724.1533
ABCE1	964.8693	ABCE1	1634.1355
ABCF1	1664.4956	ABCF1	1550.8021
ABCF2	1657.1569	ABCF2	1210.3387
ABCF3	1309.4405	ABCF3	981.2834
ABCG1	1300.005	ABCG1	831.5508
ABCG2	24.113	ABCG2	227.7184
ABCG4	6.9893	removed	removed
ABHD10	352.9583	ABHD10	536.5419
ABHD11	851.2936	ABHD11	575.7576
ABHD12B	6.6398	removed	removed
ABHD12	2351.8907	ABHD12	731.7291
ABHD13	427.3941	ABHD13	547.2371
ABHD14A	110.5424	ABHD14A	214.3494
ABHD14B	412.7166	ABHD14B	1935.3832
ABHD15	564.7333	ABHD15	590.9091
ABHD1	11.5323	ABHD1	28.5205
ABHD2	4375.2856	ABHD2	3198.3066
ABHD3	341.7755	ABHD3	323.0838
ABHD4	1310.8384	ABHD4	851.1586
ABHD5	563.3355	ABHD5	1518.2709
ABHD6	125.108	ABHD6	324.4207
ABHD8	490.9965	ABHD8	143.0481
ABI1	1256.1403	ABI1	1274.5098
ABI2	1686.8613	ABI2	1678.2531
ABI3BP	56.9626	ABI3BP	1094.9198
ABI3	151.6672	ABI3	155.9715
ABL1	3077.0279	ABL1	2767.3797
ABL2	592.341	ABL2	1170.2317
ABLIM1	3618.6967	ABLIM1	6417.5579
ABLIM2	138.3876	ABLIM2	88.6809
ABLIM3	643.3627	ABLIM3	1717.9144
removed	removed	ABO	31.1943
ABR	1052.9341	ABR	2136.3636
ABT1	558.443	ABT1	547.2371
ABTB1	342.125	ABTB1	664.8841
