gene_id	TCGA-BH-A18K-01A-11R-A12D-07	gene_id	TCGA-BH-A18K-11A-13R-A12D-07
?|100133144	10.564	?|100133144	17.7379
?|100134869	5.3723	?|100134869	11.6465
?|10357	116.7915	?|10357	108.6754
?|10431	1471.0934	?|10431	461.2873
?|155060	157.5919	?|155060	322.2948
?|390284	6.7286	?|390284	5.597
?|57714	538.2913	?|57714	1176.7724
?|645851	14.5197	?|645851	16.791
?|652919	16.1133	?|652919	69.0625
?|653553	928.5525	?|653553	76.959
?|729884	12.3949	?|729884	15.3918
?|8225	823.019	?|8225	561.1007
?|90288	48.1629	?|90288	15.8582
A1BG	345.1085	A1BG	71.7817
A2LD1	53.2413	A2LD1	89.319
A2ML1	22.3108	A2ML1	5.597
A2M	10244.4763	A2M	41329.2397
A4GALT	278.3533	A4GALT	186.5672
AAAS	606.9942	AAAS	445.4291
AACS	1274.9004	AACS	2368.9366
removed	removed	AADAC	24.7201
AADAT	48.1629	AADAT	71.8284
AAGAB	1243.0279	AAGAB	853.5448
AAK1	893.4927	AAK1	1225.7463
AAMP	1694.5551	AAMP	2089.5522
AARS2	510.247	AARS2	524.2491
AARSD1	732.7136	AARSD1	496.2687
AARS	2199.9115	AARS	2809.2351
AASDHPPT	1447.7202	AASDHPPT	886.194
AASDH	270.5622	AASDH	519.5896
AASS	187.3395	AASS	985.0746
AATF	1201.9478	AATF	895.5224
AATK	15.228	AATK	55.9701
ABAT	1979.9911	ABAT	881.5299
ABCA10	21.6025	ABCA10	396.9216
ABCA11P	117.7689	ABCA11P	134.8274
ABCA12	438.4241	ABCA12	160.4478
removed	removed	ABCA13	10.7276
ABCA17P	24.7897	ABCA17P	5.597
ABCA1	660.8127	ABCA1	2470.569
ABCA2	496.857	ABCA2	2316.2313
ABCA3	2952.1027	ABCA3	1067.1642
ABCA4	244.71	ABCA4	41.9776
ABCA5	152.2798	ABCA5	1255.1306
ABCA6	127.1359	ABCA6	618.0037
ABCA7	255.3342	ABCA7	319.0299
ABCA8	113.3245	ABCA8	1217.8172
ABCA9	83.9309	ABCA9	897.3881
ABCB10	892.0761	ABCB10	416.9776
ABCB1	60.5578	ABCB1	670.709
ABCB4	58.4329	ABCB4	7.9291
ABCB5	7.7911	ABCB5	23.3209
ABCB6	276.4303	ABCB6	467.1269
ABCB7	466.7552	ABCB7	564.3657
ABCB8	1053.2094	ABCB8	425.8396
ABCB9	164.8907	ABCB9	91.1707
ABCC10	624.7012	ABCC10	540.5784
ABCC11	590.3497	ABCC11	2476.6791
ABCC12	22.3108	ABCC12	20.056
ABCC13	335.0155	removed	removed
ABCC1	810.6242	ABCC1	1362.8731
removed	removed	ABCC2	24.2537
ABCC3	139.5308	ABCC3	986.9403
ABCC4	108.3665	ABCC4	110.0746
ABCC5	2532.8021	ABCC5	1026.5858
removed	removed	ABCC6P1	19.5896
removed	removed	ABCC6P2	20.9888
ABCC6	10.27	ABCC6	286.847
ABCC8	153.6963	ABCC8	780.7836
ABCC9	297.1226	ABCC9	548.5075
ABCD1	445.1527	ABCD1	370.8022
ABCD2	6.7286	ABCD2	520.5224
ABCD3	2819.6547	ABCD3	1958.9552
ABCD4	683.8424	ABCD4	730.8769
ABCE1	1870.5622	ABCE1	1368.9366
ABCF1	1865.6042	ABCF1	1214.0858
ABCF2	1652.4126	ABCF2	992.0709
ABCF3	877.9106	ABCF3	909.0485
ABCG1	831.5184	ABCG1	549.4403
ABCG2	73.3068	ABCG2	276.1194
ABHD10	750.4205	ABHD10	644.1231
ABHD11	2554.4046	ABHD11	505.1306
ABHD12B	37.1846	ABHD12B	6.9963
ABHD12	1792.6516	ABHD12	612.8731
ABHD13	408.3223	ABHD13	503.2649
ABHD14A	263.8336	ABHD14A	178.7966
ABHD14B	1999.8229	ABHD14B	2087.2201
ABHD15	343.1607	ABHD15	592.8172
ABHD1	50.6419	ABHD1	42.9104
ABHD2	3394.4223	ABHD2	3073.2276
ABHD3	656.9278	ABHD3	231.3433
ABHD4	1399.5573	ABHD4	1141.3246
ABHD5	844.2674	ABHD5	1415.1119
ABHD6	90.6596	ABHD6	196.8284
ABHD8	162.5498	ABHD8	227.6119
ABI1	1415.9752	ABI1	1470.8909
ABI2	952.988	ABI2	2211.7537
ABI3BP	236.919	ABI3BP	603.5448
ABI3	190.1726	ABI3	159.0485
ABL1	1991.6777	ABL1	2578.3582
ABL2	1356.7065	ABL2	854.4776
ABLIM1	1665.5157	ABLIM1	5974.347
ABLIM2	70.1195	ABLIM2	53.6381
ABLIM3	563.7893	ABLIM3	2172.5746
ABO	14.8738	ABO	11.6604
ABP1	20.5401	removed	removed
ABR	1738.8225	ABR	2345.6157
ABT1	836.1222	ABT1	489.2724
ABTB1	201.8592	ABTB1	772.8545
ABTB2	42.1425	ABTB2	95.6157
ACAA1	1065.9584	ACAA1	1560.6343
ACAA2	895.9717	ACAA2	2213.6194
ACACA	3571.1377	ACACA	7044.7761
ACACB	508.1895	ACACB	8365.6716
ACAD10	655.8654	ACAD10	743.4701
ACAD11	228.0407	ACAD11	736.889
ACAD8	550.332	ACAD8	797.5746
ACAD9	882.8154	ACAD9	944.0299
removed	removed	ACADL	278.4515
ACADM	1050.0221	ACADM	1816.6978
ACADSB	1453.7406	ACADSB	3131.5299
ACADS	311.6423	ACADS	1241.6045
ACADVL	3702.8597	ACADVL	6875.4058
ACAN	144.4887	ACAN	12.5933
ACAP1	39.3094	ACAP1	34.9813
ACAP2	905.8876	ACAP2	1641.791
ACAP3	597.4325	ACAP3	552.7052
ACAT1	1045.0642	ACAT1	1506.0634
ACAT2	520.595	ACAT2	406.1847
ACBD3	2475.0775	ACBD3	1173.5075
ACBD4	184.1523	ACBD4	373.1343
ACBD5	730.9429	ACBD5	766.3246
ACBD6	734.1301	ACBD6	302.2388
ACBD7	27.6228	ACBD7	23.7873
ACCN2	76.1399	ACCN2	107.2761
ACCN3	8.1452	ACCN3	7.9291
ACCS	107.6583	ACCS	537.7799
ACD	267.0208	ACD	347.4813
removed	removed	ACE2	9.7948
removed	removed	ACER1	6.5299
ACER2	139.1766	ACER2	278.9179
ACER3	209.2961	ACER3	515.3918
ACE	582.9128	ACE	610.541
removed	removed	ACHE	37.7799
ACIN1	3382.7357	ACIN1	3916.5112
ACLY	4804.2497	ACLY	11717.8172
ACN9	197.2554	ACN9	111.9403
ACO1	940.9473	ACO1	2597.4813
ACO2	1785.4413	ACO2	3658.9179
ACOT11	26.5604	ACOT11	25.1166
ACOT13	775.1465	ACOT13	584.3983
ACOT1	1391.058	ACOT1	1340.4851
ACOT2	645.2413	ACOT2	835.3545
