gene_id	TCGA-BH-A18L-01A-32R-A12D-07	gene_id	TCGA-BH-A18L-11A-42R-A12D-07
?|100133144	17.0202	?|100133144	8.9739
?|10357	82.2572	?|10357	88.6081
?|10431	725.7225	?|10431	748.9487
?|155060	104.0462	?|155060	222.0353
?|390284	6.3584	?|390284	7.5694
?|57714	4411.8497	?|57714	700.1682
?|645851	10.4046	?|645851	6.3078
?|652919	11.7601	?|652919	44.651
?|653553	256.9364	?|653553	166.947
?|8225	356.3584	?|8225	453.3221
?|90288	11.2717	?|90288	51.7241
A1BG	180.6618	A1BG	69.2809
A2LD1	36.7919	A2LD1	86.5643
A2M	6745.6387	A2M	28875.8242
A4GALT	293.6416	A4GALT	609.7561
AAAS	630.9249	AAAS	646.3415
AACS	1078.0347	AACS	827.1657
removed	removed	AADACL3	13.4567
removed	removed	AADAC	409.1674
removed	removed	AADAT	50.8831
AAGAB	1628.6127	AAGAB	1063.4987
AAK1	710.4046	AAK1	1051.7241
AAMP	2123.9884	AAMP	1971.4045
AARS2	332.078	AARS2	474.7645
AARSD1	926.3006	AARSD1	449.9579
AARS	3327.4566	AARS	2828.4272
AASDHPPT	689.3064	AASDHPPT	697.2246
AASDH	462.4277	AASDH	366.6947
AASS	43.3526	AASS	566.8629
AATF	1148.2659	AATF	518.5029
AATK	7.8035	AATK	78.6375
ABAT	60.4046	ABAT	690.9167
removed	removed	ABCA10	412.9521
ABCA11P	89.7168	ABCA11P	164.9958
ABCA12	757.2254	ABCA12	116.0639
ABCA17P	8.9595	removed	removed
ABCA1	840.1676	ABCA1	2910.3785
ABCA2	2587.8613	ABCA2	1777.5442
ABCA3	7781.2139	ABCA3	988.6459
ABCA4	28.0347	ABCA4	72.7502
ABCA5	659.8266	ABCA5	812.868
ABCA6	15.3179	ABCA6	745.164
ABCA7	286.7052	ABCA7	415.8957
ABCA8	20.5202	ABCA8	2703.9529
ABCA9	14.1618	ABCA9	1460.8915
ABCB10	883.237	ABCB10	387.3003
ABCB1	28.6127	ABCB1	288.8982
ABCB4	9.5376	ABCB4	14.7183
removed	removed	ABCB5	143.3978
ABCB6	1270.1214	ABCB6	578.8394
ABCB7	331.7919	ABCB7	415.8957
ABCB8	859.8266	ABCB8	515.5593
ABCB9	668.1676	ABCB9	125.6308
ABCC10	254.6243	ABCC10	441.968
ABCC11	27.4566	ABCC11	200.5887
ABCC1	2699.711	ABCC1	1194.7014
ABCC2	36.1272	ABCC2	13.0362
ABCC3	144.7977	ABCC3	616.905
ABCC4	504.3353	ABCC4	122.7923
ABCC5	757.2254	ABCC5	677.0395
removed	removed	ABCC6P1	18.0824
ABCC6P2	7.8035	ABCC6P2	42.0521
ABCC6	87.5723	ABCC6	650.9672
ABCC8	559.5376	ABCC8	86.2069
ABCC9	208.0925	ABCC9	1231.7073
ABCD1	230.3468	ABCD1	470.5635
ABCD2	6.6474	ABCD2	597.561
ABCD3	2945.0867	ABCD3	1658.1161
ABCD4	600	ABCD4	814.55
ABCE1	2069.3642	ABCE1	1215.307
ABCF1	3263.5838	ABCF1	1422.6241
ABCF2	1141.6185	ABCF2	1034.0622
ABCF3	1041.3295	ABCF3	964.2557
ABCG1	3497.6879	ABCG1	772.4979
ABCG2	62.4277	ABCG2	289.3188
ABHD10	362.4277	ABHD10	540.7906
ABHD11	686.1272	ABHD11	420.5214
ABHD12B	122.8324	ABHD12B	6.3078
ABHD12	3456.6474	ABHD12	933.9781
ABHD13	417.341	ABHD13	517.2414
ABHD14A	200.289	ABHD14A	288.4777
ABHD14B	2510.4046	ABHD14B	2169.8907
ABHD15	1107.5145	ABHD15	808.2422
ABHD1	17.9191	ABHD1	38.688
ABHD2	8606.0694	ABHD2	3111.8587
ABHD3	744.2197	ABHD3	309.5038
ABHD4	1053.1792	ABHD4	1218.2506
