gene_id	TCGA-BH-A18M-01A-11R-A12D-07	gene_id	TCGA-BH-A18M-11A-33R-A12D-07
removed	removed	?|100133144	6.1701
?|100134869	8.1984	?|100134869	5.2887
?|10357	82.9795	?|10357	84.4645
?|10431	831.5947	?|10431	606.8753
?|155060	164.1885	?|155060	263.1115
?|390284	6.2443	?|390284	6.1701
?|57714	2029.0324	?|57714	823.7109
?|645851	9.9174	?|645851	17.1882
?|652919	8.0809	?|652919	70.3085
?|653553	480.077	?|653553	178.4927
?|8225	358.1294	?|8225	395.3283
?|90288	44.4448	?|90288	22.9176
A1BG	98.7004	A1BG	77.5143
A2LD1	108.2946	A2LD1	63.918
removed	removed	A2ML1	7.4923
A2M	15772.7109	A2M	34138.2239
A4GALT	269.9744	A4GALT	449.978
AAAS	730.9512	AAAS	590.1278
AACS	1412.6826	AACS	1012.781
removed	removed	AADACL3	7.0516
removed	removed	AADAC	29.0877
AADAT	29.0177	AADAT	66.9899
AAGAB	1729.3056	AAGAB	970.4716
AAK1	934.0748	AAK1	1135.7426
AAMP	2214.525	AAMP	1985.0154
AARS2	419.0885	AARS2	498.4266
AARSD1	495.1368	AARSD1	430.1454
AARS	1947.1217	AARS	2442.045
AASDHPPT	772.0681	AASDHPPT	744.3808
AASDH	411.7569	AASDH	429.264
AASS	239.4875	AASS	696.7827
AATF	1140.5042	AATF	865.5796
AATK	31.2215	AATK	56.8532
ABAT	4398.5631	ABAT	1087.2631
ABCA10	51.791	ABCA10	366.6814
ABCA11P	153.5291	ABCA11P	145.1432
ABCA12	386.4124	ABCA12	60.379
removed	removed	ABCA13	7.0516
ABCA17P	8.8155	removed	removed
ABCA1	949.1346	ABCA1	2576.4478
ABCA2	1809.0124	ABCA2	1894.2265
ABCA3	4502.1451	ABCA3	2096.5183
ABCA4	231.4067	ABCA4	133.0983
ABCA5	218.5507	ABCA5	877.4791
ABCA6	292.0132	ABCA6	865.5796
ABCA7	289.8093	ABCA7	262.6708
ABCA8	553.9067	ABCA8	2262.2301
ABCA9	314.7865	ABCA9	1147.2014
ABCB10	713.3202	ABCB10	435.8748
ABCB1	253.4454	ABCB1	550.9035
ABCB4	8.4482	ABCB4	11.4588
ABCB5	32.6908	ABCB5	475.0992
ABCB6	548.8746	ABCB6	490.617
ABCB7	242.426	ABCB7	420.0088
ABCB8	845.5526	ABCB8	433.2305
ABCB9	351.3561	ABCB9	135.4429
ABCC10	416.532	ABCC10	397.532
ABCC11	181.0849	ABCC11	37.0207
ABCC13	601.29	removed	removed
ABCC1	1499.7355	ABCC1	1311.1503
ABCC2	15.4271	ABCC2	20.2732
ABCC3	126.7227	ABCC3	693.6977
ABCC4	150.2307	ABCC4	146.7607
ABCC5	1530.2224	ABCC5	858.9687
ABCC6P1	6.9789	ABCC6P1	6.1701
ABCC6P2	9.1828	ABCC6P2	22.9176
ABCC6	118.2745	ABCC6	351.2561
ABCC8	88.5222	ABCC8	129.1318
ABCC9	376.1276	ABCC9	1204.0546
ABCD1	327.6424	ABCD1	350.8153
ABCD2	23.508	ABCD2	430.5862
ABCD3	2924.5394	ABCD3	1728.074
ABCD4	460.9768	ABCD4	684.8832
ABCE1	1808.2777	ABCE1	1366.2406
ABCF1	1678.2492	ABCF1	1429.7047
ABCF2	1247.7594	ABCF2	1051.5646
ABCF3	973.0099	ABCF3	900.8374
ABCG1	516.0736	ABCG1	607.7567
ABCG2	135.5382	ABCG2	194.3587
ABHD10	616.3498	ABHD10	524.4601
ABHD11	592.8418	ABHD11	349.9339
removed	removed	ABHD12B	5.7294
ABHD12	1157.4006	ABHD12	828.9996
ABHD13	472.7307	ABHD13	569.8546
ABHD14A	232.5637	ABHD14A	229.6166
ABHD14B	1463.7389	ABHD14B	1645.2182
ABHD15	336.4579	ABHD15	515.2049
ABHD1	20.2022	ABHD1	38.3429
ABHD2	4185.1547	ABHD2	3229.6166
ABHD3	416.532	ABHD3	251.6527
ABHD4	909.4649	ABHD4	948.8762
ABHD5	1042.7992	ABHD5	1075.8043
ABHD6	141.0479	ABHD6	355.6633
ABHD8	246.0991	ABHD8	181.1371
ABI1	1422.1739	ABI1	1404.5835
ABI2	1830.3165	ABI2	1728.5148
ABI3BP	710.0144	ABI3BP	2094.7554
ABI3	142.1498	ABI3	172.3226
ABL1	2844.4653	ABL1	3197.8845
ABL2	1123.6079	ABL2	1688.409
ABLIM1	4637.316	ABLIM1	8416.0423
ABLIM2	76.0336	ABLIM2	107.5364
ABLIM3	1216.9052	ABLIM3	2398.4134
removed	removed	ABO	13.6624
ABP1	6.6116	removed	removed
ABR	2071.6406	ABR	2579.1097
ABT1	401.8395	ABT1	479.9471
ABTB1	266.6686	ABTB1	743.9401
ABTB2	47.7506	ABTB2	47.5981
ACAA1	1206.2531	ACAA1	1194.3587
ACAA2	766.5805	ACAA2	1586.1613
ACACA	3367.5179	ACACA	3025.5619
ACACB	1196.703	ACACB	7698.9863
ACAD10	519.0121	ACAD10	481.71
ACAD11	230.628	ACAD11	805.628
ACAD8	283.565	ACAD8	518.29
ACAD9	829.0199	ACAD9	936.5359
ACADL	11.0194	ACADL	150.7272
ACADM	1152.6255	ACADM	1157.7788
ACADSB	1672.3722	ACADSB	2940.9431
ACADS	315.8885	ACADS	844.8656
ACADVL	4967.7867	ACADVL	5704.6673
ACAN	23.8753	ACAN	7.4923
ACAP1	64.6469	ACAP1	69.6342
ACAP2	1364.932	ACAP2	1525.7823
ACAP3	507.2911	ACAP3	390.0397
ACAT1	950.9712	ACAT1	1354.3411
ACAT2	634.7338	ACAT2	318.0961
ACBD3	2484.1321	ACBD3	1382.9881
ACBD4	179.983	ACBD4	279.4182
ACBD5	908.363	ACBD5	806.5227
ACBD6	338.2945	ACBD6	303.658
ACBD7	37.0985	ACBD7	39.6651
ACCN1	17.631	ACCN1	6.1701
ACCN2	38.5678	ACCN2	75.8043
ACCN3	22.0387	ACCN3	11.0181
ACCS	173.3713	ACCS	251.212
ACD	167.127	ACD	332.7457
removed	removed	ACE2	18.0696
ACER2	219.6527	ACER2	216.8356
ACER3	427.5514	ACER3	720.141
ACE	350.7831	ACE	657.1177
ACHE	6.9789	ACHE	30.8506
ACIN1	3241.8971	ACIN1	3398.4134
ACLY	4347.5067	ACLY	3356.9855
ACMSD	6.6116	removed	removed
ACN9	150.2307	ACN9	100.4848
ACO1	1168.0527	ACO1	3045.8352
ACO2	2155.0461	ACO2	2549.9207
ACOT11	34.6082	ACOT11	31.3486
ACOT13	441.6414	ACOT13	497.5672
ACOT1	527.4603	ACOT1	788.0123
ACOT2	382.7393	ACOT2	499.3389
ACOT4	292.0132	ACOT4	99.6033
ACOT7	509.8293	ACOT7	264.4337
ACOT8	219.4029	ACOT8	205.2314
ACOT9	307.8076	ACOT9	430.1454
ACOX1	1657.8744	ACOX1	2798.6999
ACOX2	120.1111	ACOX2	312.0317
ACOX3	879.7126	ACOX3	623.182
ACP1	1292.2042	ACP1	949.3169
ACP2	1325.9969	ACP2	756.721
ACP5	551.7029	ACP5	614.8083
ACP6	217.0815	ACP6	223.0057
ACPL2	531.5007	ACPL2	420.0088
ACPP	19.8349	ACPP	29.0877
ACRBP	38.2005	ACRBP	26.0026
ACRC	13.5905	ACRC	36.1393
removed	removed	ACR	10.1366
removed	removed	ACSBG1	10.1366
removed	removed	ACSBG2	5.2887
ACSF2	583.659	ACSF2	878.3605
ACSF3	207.5314	ACSF3	346.8488
ACSL1	2140.6952	ACSL1	10664.61
ACSL3	3889.1011	ACSL3	2529.7488
ACSL4	893.6705	ACSL4	1636.8444
ACSL5	675.1197	ACSL5	837.814
ACSL6	21.3041	ACSL6	12.3402
ACSM1	18.7329	ACSM1	26.8841
ACSM3	48.5109	ACSM3	94.015
ACSM5	27.5484	ACSM5	193.4773
ACSS1	454.7324	ACSS1	773.4685
ACSS2	819.8407	ACSS2	2495.3724
ACSS3	867.5913	ACSS3	603.3495
ACTA1	28.283	ACTA1	61.7012
ACTA2	14985.1936	ACTA2	20993.1071
ACTBL2	5.5097	ACTBL2	14.9846
ACTB	98848.4764	ACTB	78987.219
ACTG1	89459.243	ACTG1	66296.6064
ACTG2	278.4226	ACTG2	2851.0357
ACTL6A	1129.8522	ACTL6A	655.7955
ACTL8	5.877	removed	removed
ACTN1	11011.2838	ACTN1	8603.7902
ACTN4	10891.4923	ACTN4	12001.7364
ACTR10	966.7656	ACTR10	1023.799
ACTR1A	2775.778	ACTR1A	2430.1454
ACTR1B	1253.2691	ACTR1B	1278.9775
ACTR2	7339.9988	ACTR2	5055.9718
ACTR3B	155.7404	ACTR3B	125.606
ACTR3C	24.2426	ACTR3C	31.732
ACTR3	3735.5646	ACTR3	2769.9427
ACTR5	197.9813	ACTR5	191.7144
ACTR6	571.905	ACTR6	496.2539
ACTR8	673.6505	ACTR8	549.5813
ACVR1B	1139.035	ACVR1B	1073.6007
ACVR1C	115.336	ACVR1C	1141.0313
ACVR1	1159.6045	ACVR1	1267.9595
ACVR2A	385.3105	ACVR2A	522.2565
ACVR2B	408.8184	ACVR2B	396.6505
ACVRL1	495.1368	ACVRL1	995.152
ACY1	568.9114	ACY1	520.9343
ACYP1	60.9738	ACYP1	52.446
ACYP2	100.2762	ACYP2	147.6421
ADAL	153.9038	ADAL	148.5236
ADAM10	1630.866	ADAM10	2378.5809
ADAM11	9.5501	ADAM11	28.2063
ADAM12	3906.3648	ADAM12	2028.647
ADAM15	3181.6579	ADAM15	2742.6179
ADAM17	722.1357	ADAM17	839.5769
ADAM19	568.5992	ADAM19	227.413
ADAM21	17.2637	removed	removed
ADAM22	70.1566	ADAM22	107.9771
ADAM23	60.6065	ADAM23	48.4795
ADAM28	107.6225	ADAM28	86.8224
ADAM32	20.5695	ADAM32	15.4253
ADAM33	142.9432	ADAM33	590.4231
ADAM6	26487.4967	ADAM6	30723.6712
ADAM8	251.2415	ADAM8	154.6937
ADAM9	2151.7146	ADAM9	1814.8964
ADAMDEC1	13.5905	ADAMDEC1	7.4923
ADAMTS10	110.9283	ADAMTS10	155.1344
ADAMTS12	692.0161	ADAMTS12	372.4108
ADAMTS13	64.2796	ADAMTS13	86.8224
ADAMTS14	245.7318	ADAMTS14	72.2785
ADAMTS15	340.4984	ADAMTS15	450.4187
ADAMTS16	295.6863	ADAMTS16	157.338
ADAMTS17	37.0985	ADAMTS17	29.5284
ADAMTS18	107.9898	ADAMTS18	231.3795
ADAMTS19	140.3132	ADAMTS19	35.2578
ADAMTS1	1771.5465	ADAMTS1	13500.2204
ADAMTS2	852.5315	ADAMTS2	741.2957
ADAMTS3	51.4237	ADAMTS3	86.3817
ADAMTS4	765.8458	ADAMTS4	2039.2243
ADAMTS5	325.4386	ADAMTS5	1987.219
ADAMTS6	127.09	ADAMTS6	47.5981
ADAMTS7	177.0445	ADAMTS7	137.0648
ADAMTS8	17.2637	ADAMTS8	59.0569
ADAMTS9	321.3981	ADAMTS9	787.5716
ADAMTSL1	253.4454	ADAMTSL1	314.2353
ADAMTSL2	173.7387	ADAMTSL2	55.9718
ADAMTSL3	162.352	ADAMTSL3	224.7686
ADAMTSL4	188.4311	ADAMTSL4	779.1979
ADAMTSL5	149.496	ADAMTSL5	79.7708
ADAP1	186.9472	ADAP1	110.5201
ADAP2	235.8144	ADAP2	234.9052
ADARB1	506.1562	ADARB1	981.9304
ADAR	12225.6178	ADAR	7931.2472
ADAT1	297.5228	ADAT1	265.3151
ADAT2	77.5029	ADAT2	134.8612
ADAT3	22.7734	ADAT3	15.4253
ADA	103.582	ADA	100.9255
ADCK1	149.1287	ADCK1	133.9797
ADCK2	821.31	ADCK2	671.7717
ADCK4	664.1004	ADCK4	470.2512
ADCK5	222.2239	ADCK5	81.5337
ADCY1	2004.0551	ADCY1	1009.2552
ADCY2	191.7369	ADCY2	89.026
ADCY3	978.4204	ADCY3	1797.532
ADCY4	181.0849	ADCY4	603.7902
ADCY5	86.3184	ADCY5	475.5399
ADCY6	1689.6359	ADCY6	3239.3125
ADCY7	666.6716	ADCY7	660.2027
ADCY9	1494.9605	ADCY9	1207.1397
removed	removed	ADCYAP1R1	20.714
ADCYAP1	57.668	ADCYAP1	140.5906
ADC	245.3645	ADC	148.5236
ADD1	5567.7177	ADD1	6626.7078
ADD2	23.8753	ADD2	63.0234
ADD3	1368.6051	ADD3	3018.9511
ADH1A	35.6293	ADH1A	151.6086
ADH1B	3811.5982	ADH1B	18136.1833
ADH1C	91.4607	ADH1C	323.4905
removed	removed	ADH4	11.0181
ADH5	2224.8097	ADH5	3103.5699
ADHFE1	68.6874	ADHFE1	257.3821
ADI1	947.2981	ADI1	1443.3671
ADIPOQ	2462.828	ADIPOQ	21872.6311
ADIPOR1	3934.6478	ADIPOR1	2209.784
ADIPOR2	4847.0512	ADIPOR2	2984.5747
ADK	473.0981	ADK	286.9105
ADM2	47.016	ADM2	80.2115
ADM	421.307	ADM	452.6223
ADNP2	842.2468	ADNP2	718.8189
ADNP	3283.4034	ADNP	2828.9996
ADORA1	94.7665	ADORA1	167.0339
ADORA2A	325.4386	ADORA2A	106.6329
ADORA2B	33.7927	ADORA2B	66.9899
ADORA3	183.6561	ADORA3	78.0079
ADO	647.5713	ADO	666.8136
ADPGK	936.1722	ADPGK	841.4764
ADPRHL1	102.4801	ADPRHL1	64.3455
ADPRHL2	628.4711	ADPRHL2	526.6637
ADPRH	317.3577	ADPRH	424.8568
ADRA1A	6.2443	ADRA1A	120.3173
ADRA1B	5.877	ADRA1B	27.7655
ADRA1D	8.0809	ADRA1D	17.6289
ADRA2A	647.5713	ADRA2A	1221.2428
ADRA2B	11.3867	ADRA2B	33.9357
ADRA2C	105.7859	ADRA2C	90.7889
ADRB1	8.4482	ADRB1	38.3429
ADRB2	58.4026	ADRB2	323.9312
ADRBK1	1818.5625	ADRBK1	1708.2415
ADRBK2	715.8914	ADRBK2	1983.6933
ADRM1	1112.9558	ADRM1	1062.1419
ADSL	714.7895	ADSL	603.3495
ADSSL1	157.5769	ADSSL1	171.8819
ADSS	2755.9431	ADSS	1173.6448
AEBP1	19008.4041	AEBP1	12348.6117
AEBP2	671.4466	AEBP2	816.6593
AEN	537.3777	AEN	620.9784
AES	5468.5434	AES	5226.9722
AFAP1L1	224.4277	AFAP1L1	647.4218
AFAP1L2	513.5024	AFAP1L2	1109.74
AFAP1	1271.9836	AFAP1	1462.7457
AFF1	2764.024	AFF1	3163.9489
AFF2	28.283	AFF2	176.7298
AFF3	2920.499	AFF3	2042.7501
AFF4	4916.8405	AFF4	4016.3067
AFG3L1	156.475	AFG3L1	243.7197
AFG3L2	1604.7648	AFG3L2	1158.4046
AFMID	570.4358	AFMID	396.2098
AFP	13.5905	AFP	28.2063
AFTPH	1838.03	AFTPH	1588.8056
AG2	210.8372	AG2	1040.9872
