gene_id	TCGA-BH-A18N-01A-11R-A12D-07	gene_id	TCGA-BH-A18N-11A-43R-A12D-07
?|100133144	6.4242	?|100133144	14.3684
?|100134869	7.3027	?|100134869	5.8036
?|10357	98.0302	?|10357	78.9815
?|10431	772.8209	?|10431	665.0132
?|155060	276.5957	?|155060	260.582
?|390284	8.9224	removed	removed
?|57714	685.6555	?|57714	789.0212
?|645851	8.5793	?|645851	16.5344
?|652919	48.49	?|652919	126.293
?|653553	396.0192	?|653553	110.7804
?|8225	359.6431	?|8225	515.873
?|90288	21.6198	?|90288	39.0212
A1BG	168.0817	A1BG	98.6343
A2LD1	115.5045	A2LD1	66.0317
removed	removed	A2ML1	5.6217
A2M	8444.3068	A2M	33104.7851
A4GALT	84.42	A4GALT	399.8016
AAAS	908.3734	AAAS	591.2698
AACS	941.3178	AACS	785.3836
removed	removed	AADACL3	8.2672
removed	removed	AADAC	18.8492
AADAT	56.9664	AADAT	67.1296
AAGAB	2924.5024	AAGAB	1050.5952
AAK1	1210.7069	AAK1	1313.4921
AAMP	2735.4152	AAMP	1888.2275
AARS2	382.5806	AARS2	438.4623
AARSD1	530.5422	AARSD1	424.6032
AARS	2556.9664	AARS	2598.545
AASDHPPT	1082.7042	AASDHPPT	713.6243
AASDH	466.3693	AASDH	467.5926
AASS	403.2258	AASS	733.4656
AATF	1196.2938	AATF	848.2143
AATK	116.6781	AATK	62.5
ABAT	5540.4942	ABAT	714.9471
ABCA10	6.8634	ABCA10	389.881
ABCA11P	87.3267	ABCA11P	127.3413
ABCA12	107.4125	ABCA12	78.7037
ABCA17P	18.8744	ABCA17P	5.9524
ABCA1	212.0796	ABCA1	2076.7063
ABCA2	882.2924	ABCA2	1463.2937
ABCA3	3482.1551	ABCA3	1304.5635
ABCA4	8.9224	ABCA4	80.6878
ABCA5	595.4015	ABCA5	1007.2751
ABCA6	18.5312	ABCA6	959.6561
ABCA7	346.6026	ABCA7	255.291
ABCA8	6.5202	ABCA8	2173.9418
ABCA9	13.3837	ABCA9	1211.6402
ABCB10	427.2478	ABCB10	367.0635
ABCB1	45.9849	ABCB1	381.6138
ABCB4	13.3837	ABCB4	27.4471
removed	removed	ABCB5	230.8201
ABCB6	399.7529	ABCB6	419.2824
ABCB7	530.5422	ABCB7	511.2434
ABCB8	686.3418	ABCB8	394.5106
ABCB9	457.5772	ABCB9	91.6303
ABCC10	352.4365	ABCC10	424.6032
ABCC11	570.35	ABCC11	109.4577
