gene_id	TCGA-BH-A18P-01A-11R-A12D-07	gene_id	TCGA-BH-A18P-11A-43R-A12D-07
?|100133144	22.5945	?|100133144	6.7108
?|100134869	8.1663	removed	removed
?|10357	130.2609	?|10357	112.1928
?|10431	735.3291	?|10431	595.1365
?|155060	187.8605	?|155060	133.5324
?|390284	12.0846	removed	removed
?|57714	1581.983	?|57714	742.7474
?|645851	11.3522	?|645851	8.959
removed	removed	?|652919	55.8874
?|653553	46.1412	?|653553	95.5631
?|8225	238.7622	?|8225	420.6485
?|90288	6.2254	?|90288	17.0648
A1BG	135.9443	A1BG	47.6962
A2LD1	73.8332	A2LD1	87.116
A2M	6636.6127	A2M	28867.9096
A4GALT	61.5216	A4GALT	257.6792
AAAS	640.1172	AAAS	560.1536
AACS	975.19	AACS	1560.5802
AADAT	32.958	AADAT	66.5529
AAGAB	2331.5939	AAGAB	711.1775
AAK1	1401.4465	AAK1	1538.8225
AAMP	2161.6772	AAMP	2013.2253
AARS2	542.6714	AARS2	328.9164
AARSD1	375.721	AARSD1	439.8464
AARS	2105.6486	AARS	2610.4949
AASDHPPT	716.6529	AASDHPPT	857.0819
AASDH	363.6364	AASDH	431.314
AASS	262.9314	AASS	1455.6314
AATF	1098.9655	AATF	840.4437
AATK	50.5356	AATK	34.9829
ABAT	1105.9233	ABAT	521.3311
removed	removed	ABCA10	218.8567
ABCA11P	88.0674	ABCA11P	139.1724
removed	removed	ABCA12	26.0239
removed	removed	ABCA17P	6.3993
ABCA1	490.6967	ABCA1	4407.3848
ABCA2	1282.7978	ABCA2	1542.6621
ABCA3	1278.0372	ABCA3	1157.4232
ABCA4	19.0424	ABCA4	22.6109
ABCA5	135.8601	ABCA5	1087.884
ABCA6	26.0002	ABCA6	496.1604
ABCA7	156.3673	ABCA7	376.2799
ABCA8	30.0284	ABCA8	1619.0273
ABCA9	8.4226	ABCA9	608.7884
ABCB10	629.4974	ABCB10	510.2389
ABCB11	9.8874	removed	removed
ABCB1	53.099	ABCB1	539.6758
ABCB4	37.7186	ABCB4	23.4642
removed	removed	ABCB5	111.7747
ABCB6	183.3013	ABCB6	548.7628
ABCB7	606.793	ABCB7	842.1502
ABCB8	574.9336	ABCB8	295.6485
ABCB9	78.7403	ABCB9	62.2227
ABCC10	341.6644	ABCC10	279.4369
ABCC11	841.5271	ABCC11	241.8942
ABCC12	10.986	removed	removed
ABCC13	10.2536	removed	removed
ABCC1	985.4436	ABCC1	694.5392
ABCC2	35.5214	ABCC2	6.3993
ABCC3	478.6231	ABCC3	261.5188
ABCC4	2162.0434	ABCC4	67.4061
ABCC5	2080.3808	ABCC5	495.3072
removed	removed	ABCC6P1	21.7577
ABCC6P2	6.2254	ABCC6P2	29.0102
ABCC6	18.31	ABCC6	355.3754
ABCC8	167.7195	ABCC8	26.0239
ABCC9	152.7053	ABCC9	2311.4334
ABCD1	305.7768	ABCD1	659.1297
ABCD2	15.0142	ABCD2	1661.6894
ABCD3	2177.0576	ABCD3	1706.4846
ABCD4	413.0733	ABCD4	651.8771
ABCE1	2245.1707	ABCE1	1328.4983
ABCF1	1919.6192	ABCF1	1192.4061
ABCF2	1651.5609	ABCF2	811.4334
ABCF3	864.2314	ABCF3	798.2082
ABCG1	1696.2373	ABCG1	461.1775
ABCG2	28.9298	ABCG2	229.0956
removed	removed	ABCG8	11.5188
ABHD10	568.7082	ABHD10	642.0648
ABHD11	1065.2751	ABHD11	296.0751
removed	removed	ABHD12B	8.5324
ABHD12	996.4296	ABHD12	824.2321
ABHD13	671.2442	ABHD13	619.4539
ABHD14A	38.8172	ABHD14A	258.7543
ABHD14B	509.3839	ABHD14B	3585.7509
ABHD15	201.7761	ABHD15	1812.2867
ABHD1	31.8594	ABHD1	78.9249
ABHD2	3600.8423	ABHD2	2811.8601
ABHD3	220.0861	ABHD3	424.4881
ABHD4	763.1603	ABHD4	906.9966
ABHD5	887.302	ABHD5	1893.7713
ABHD6	36.9862	ABHD6	395.9044
ABHD8	134.3953	ABHD8	187.7133
ABI1	1582.7154	ABI1	1347.0009
ABI2	2093.9302	ABI2	1462.4573
ABI3BP	203.6071	ABI3BP	594.2833
ABI3	128.5361	ABI3	95.9898
ABL1	4497.6655	ABL1	2231.6553
ABL2	1854.8018	ABL2	779.0102
ABLIM1	4243.5228	ABLIM1	5251.2799
ABLIM2	23.0706	ABLIM2	37.5427
ABLIM3	113.8881	ABLIM3	3305.8874
removed	removed	ABO	17.4915
ABP1	9.5212	removed	removed
ABR	1658.5187	ABR	1865.1877
ABT1	448.5947	ABT1	434.727
ABTB1	300.2838	ABTB1	853.6689
ABTB2	132.5643	ABTB2	62.2867
ACAA1	746.6813	ACAA1	1710.7509
ACAA2	585.1872	ACAA2	4926.6212
ACACA	1075.1625	ACACA	5056.7406
ACACB	351.1856	ACACB	22981.6553
ACAD10	314.5656	ACAD10	582.7645
ACAD11	320.769	ACAD11	1009.3857
ACAD8	197.7479	ACAD8	656.57
ACAD9	770.7077	ACAD9	1155.2901
removed	removed	ACADL	517.0648
ACADM	931.9784	ACADM	3154.0102
ACADSB	718.4839	ACADSB	2884.3857
ACADS	146.4799	ACADS	1981.6553
ACADVL	2396.7152	ACADVL	7224.2833
ACAN	54.1976	ACAN	29.4369
ACAP1	80.9301	ACAP1	28.157
ACAP2	1899.8444	ACAP2	1812.7133
ACAP3	604.2479	ACAP3	295.1664
removed	removed	ACAT1	4345.1365
ACAT2	347.194	ACAT2	349.198
ACBD3	3584.7295	ACBD3	1300.7679
ACBD4	68.4794	ACBD4	318.686
ACBD5	918.7952	ACBD5	1107.0819
ACBD6	728.7375	ACBD6	335.7509
ACBD7	43.5778	ACBD7	16.6382
ACCN2	36.2538	ACCN2	61.8601
