gene_id	TCGA-BH-A18Q-01A-12R-A12D-07	gene_id	TCGA-BH-A18Q-11A-34R-A12D-07
?|100133144	6.2988	?|100133144	14.7282
?|100134869	14.8809	removed	removed
?|10357	118.3819	?|10357	70.5121
?|10431	878.958	?|10431	522.1489
?|155060	110.9817	?|155060	382.6579
removed	removed	?|388795	5.9692
removed	removed	?|390284	6.9117
?|57714	1177.1683	?|57714	822.1803
?|645851	14.8258	?|645851	18.8501
?|652919	51.4921	?|652919	66.2991
?|653553	38.9707	?|653553	80.7414
?|8225	456.6345	?|8225	401.8222
?|90288	5.9303	?|90288	16.9651
A1BG	98.6127	A1BG	83.17
removed	removed	A2BP1	6.9117
A2LD1	53.9786	A2LD1	73.016
A2ML1	115.6412	A2ML1	57.1788
A2M	40406.5572	A2M	24877.251
A4GALT	559.9915	A4GALT	223.6883
AAAS	620.1419	AAAS	543.8266
AACS	1050.9372	AACS	1039.2711
removed	removed	AADAC	16.0226
AADAT	174.9444	AADAT	112.4725
AAGAB	767.5527	AAGAB	1005.655
AAK1	873.8748	AAK1	1383.9145
AAMP	1645.6635	AAMP	1700.5969
AARS2	558.6742	AARS2	473.1291
AARSD1	339.299	AARSD1	389.8838
AARS	6741.5016	AARS	2376.0603
AASDHPPT	887.8534	AASDHPPT	906.0635
AASDH	227.8937	AASDH	608.2312
AASS	596.8442	AASS	1235.6268
AATF	917.0814	AATF	774.7408
AATK	29.6516	AATK	35.8153
ABAT	520.5973	ABAT	1150.1728
ABCA10	155.4591	ABCA10	786.2017
ABCA11P	114.9338	ABCA11P	214.9607
ABCA12	12.2842	ABCA12	61.5771
ABCA13	1420.3113	ABCA13	64.4046
ABCA17P	12.7078	ABCA17P	7.5401
ABCA1	718.4158	ABCA1	1296.4185
ABCA2	634.1205	ABCA2	1350.6126
ABCA3	1196.6536	ABCA3	964.8131
ABCA4	105.0514	ABCA4	105.2466
ABCA5	1754.1036	ABCA5	1569.4376
ABCA6	122.4187	ABCA6	757.1473
ABCA7	339.299	ABCA7	230.2859
ABCA8	161.813	ABCA8	1629.5947
ABCA9	210.1027	ABCA9	1127.5526
ABCB10	785.3436	ABCB10	453.9742
ABCB1	94.0379	ABCB1	1069.7455
ABCB4	9.3191	ABCB4	23.5627
ABCB5	26.6864	ABCB5	263.5878
ABCB6	431.8458	ABCB6	441.6368
ABCB7	308.8002	ABCB7	548.8533
ABCB8	169.8613	ABCB8	339.6167
ABCB9	166.1633	ABCB9	162.5762
ABCC10	563.3803	ABCC10	448.005
ABCC11	51.6785	ABCC11	724.4738
removed	removed	ABCC12	8.1684
ABCC1	1435.1371	ABCC1	1019.7926
ABCC2	10.1663	ABCC2	17.9076
ABCC3	192.3118	ABCC3	479.1078
ABCC4	258.3925	ABCC4	128.8093
ABCC5	1439.3731	ABCC5	1068.4888
removed	removed	ABCC6P1	7.8542
ABCC6P2	18.6381	ABCC6P2	14.7659
ABCC6	20.3325	ABCC6	139.1769
ABCC8	8.4719	ABCC8	23.2485
ABCC9	117.3356	ABCC9	796.7326
ABCD1	735.7831	ABCD1	207.0374
ABCD2	91.0728	ABCD2	176.2488
ABCD3	1524.5155	ABCD3	1456.1734
ABCD4	259.6632	ABCD4	644.6748
ABCE1	1236.0479	ABCE1	1468.7402
ABCF1	1986.2332	ABCF1	1182.5322
ABCF2	593.0319	ABCF2	960.1005
ABCF3	845.9176	ABCF3	845.743
ABCG1	770.0942	ABCG1	442.0358
ABCG2	44.4774	ABCG2	314.7974
ABHD10	826.8559	ABHD10	753.0631
ABHD11	481.6266	ABHD11	522.1489
ABHD12	1468.6011	ABHD12	652.8432
ABHD13	710.7911	ABHD13	710.9645
ABHD14A	102.5098	ABHD14A	205.077
ABHD14B	1172.5087	ABHD14B	1859.2523
ABHD15	148.258	ABHD15	378.5737
ABHD1	7.2011	ABHD1	34.8728
ABHD2	4410.8864	ABHD2	3469.9969
ABHD3	615.0588	ABHD3	239.0826
ABHD4	506.6187	ABHD4	971.7248
ABHD5	778.1425	ABHD5	924.2853
ABHD6	53.7965	ABHD6	209.5507
ABHD8	246.5318	ABHD8	175.3063
ABI1	2054.7623	ABI1	1706.607
ABI2	1417.7698	ABI2	2326.7358
ABI3BP	322.3552	ABI3BP	1629.5947
ABI3	198.6657	ABI3	165.8812
ABL1	1355.5014	ABL1	2832.8621
ABL2	1546.1188	ABL2	1136.6635
ABLIM1	3713.2267	ABLIM1	7016.0226
ABLIM2	27.9572	ABLIM2	51.8379
ABLIM3	155.4591	ABLIM3	984.9199
ABO	12.2842	ABO	20.421
ABP1	7.6247	ABP1	8.1684
ABR	1104.3101	ABR	2295.9472
ABT1	732.818	ABT1	544.1407
ABTB1	629.0374	ABTB1	623.6255
ABTB2	437.9964	ABTB2	119.3842
ACAA1	513.3962	ACAA1	907.3201
ACAA2	1505.0302	ACAA2	1069.7455
ACACA	1460.1292	ACACA	2858.9381
removed	removed	ACACB	3523.7198
ACAD10	504.9243	ACAD10	658.4983
ACAD11	516.7849	ACAD11	699.8995
ACAD8	465.9536	ACAD8	692.4285
ACAD9	2176.5752	ACAD9	802.8401
ACADL	54.6437	ACADL	118.4417
ACADM	1364.8205	ACADM	1316.054
ACADSB	1279.2545	ACADSB	3415.0173
ACADS	191.041	ACADS	535.344
ACADVL	2761.8087	ACADVL	4349.6293
ACAN	58.8796	removed	removed
ACAP1	122.4187	ACAP1	120.9551
ACAP2	1549.9312	ACAP2	1990.5749
ACAP3	384.6574	ACAP3	447.1536
ACAT1	909.0331	ACAT1	1185.0456
ACAT2	746.5001	ACAT2	435.3597
ACBD3	1774.0125	ACBD3	1493.2454
ACBD4	153.7647	ACBD4	294.3764
ACBD5	619.2947	ACBD5	732.6422
ACBD6	631.5789	ACBD6	345.9001
ACBD7	150.7995	ACBD7	55.2937
ACCN2	199.9365	ACCN2	137.2919
removed	removed	ACCN3	13.5093
ACCS	302.8699	ACCS	392.0829
ACD	474.8491	ACD	385.4854
ACE2	28.3808	ACE2	14.4518
ACER2	45.7482	ACER2	217.405
removed	removed	ACER3	425.0707
ACE	1645.2399	ACE	626.7672
ACHE	10.1663	ACHE	64.7188
ACIN1	2772.424	ACIN1	3393.6538
ACLY	2596.6324	ACLY	3573.9868
ACN9	127.0783	ACN9	158.6554
ACO1	851.4243	ACO1	1666.3525
ACO2	3745.8901	ACO2	1801.1122
ACOT11	58.0324	ACOT11	30
ACOT13	511.7865	ACOT13	520.6158
ACOT1	327.8619	ACOT1	376.0603
