gene_id	TCGA-BH-A18R-01A-11R-A12D-07	gene_id	TCGA-BH-A18R-11A-42R-A12D-07
?|100133144	6.5527	?|100133144	8.2948
?|10357	104.6597	?|10357	87.9144
?|10431	1115.899	?|10431	492.2345
?|155060	96.2853	?|155060	288.1141
?|390284	5.9435	removed	removed
?|57714	2347.9941	?|57714	870.6815
removed	removed	?|645851	13.6292
removed	removed	?|652919	179.0808
?|653553	267.7563	?|653553	75.4358
?|729884	5.052	?|729884	5.0713
?|8225	764.9331	?|8225	616.4818
?|90288	10.4012	?|90288	14.58
A1BG	79.4918	A1BG	55.8003
A2LD1	54.4814	A2LD1	65.2805
A2ML1	25.26	A2ML1	5.0713
A2M	7076.8529	A2M	20725.3534
A4GALT	43.9822	A4GALT	232.6466
AAAS	739.0788	AAAS	547.0681
AACSL	6.2407	removed	removed
AACS	2551.5602	AACS	1131.2203
removed	removed	AADAC	14.58
AADAT	136.7013	AADAT	76.3867
AAGAB	2359.8811	AAGAB	792.0761
AAK1	742.3477	AAK1	1241.2044
AAMP	2523.9227	AAMP	1861.8067
AARS2	452.8945	AARS2	433.5563
AARSD1	251.4116	AARSD1	384.1521
AARS	8527.786	AARS	2308.7163
AASDHPPT	4465.9733	AASDHPPT	915.3724
AASDH	412.7786	AASDH	493.8193
AASS	173.5513	AASS	1069.0967
AATF	908.4695	AATF	826.3074
AATK	137.6464	AATK	39.9366
ABAT	574.4428	ABAT	457.0523
ABCA10	49.1976	ABCA10	768.6212
ABCA11P	100.4993	ABCA11P	155.2837
ABCA12	3392.5706	ABCA12	51.0301
removed	removed	ABCA13	38.6688
ABCA1	1631.4651	ABCA1	2198.9794
ABCA2	4127.4889	ABCA2	1639.3027
ABCA3	1713.8187	ABCA3	1179.7147
ABCA4	65.6761	ABCA4	71.9493
ABCA5	359.4205	ABCA5	1344.2155
ABCA6	120.3566	ABCA6	1335.6577
ABCA7	289.4502	ABCA7	220.6022
ABCA8	162.5557	ABCA8	2540.0951
ABCA9	98.6627	ABCA9	2105.2298
ABCB10	1690.9361	ABCB10	480.8241
ABCB1	145.6166	ABCB1	600
ABCB4	63.0015	ABCB4	38.9857
ABCB5	6.2407	ABCB5	86.8463
ABCB6	759.1709	ABCB6	469.4865
ABCB7	494.5022	ABCB7	564.1838
ABCB8	775.9287	ABCB8	309.3502
ABCB9	954.3299	ABCB9	105.6957
ABCC10	541.159	ABCC10	377.1791
ABCC11	571.471	ABCC11	529.9525
ABCC12	6.5379	removed	removed
ABCC1	560.4755	ABCC1	890.0158
ABCC2	61.8128	ABCC2	16.4818
ABCC3	150.0743	ABCC3	361.0143
ABCC4	794.948	ABCC4	207.9239
ABCC5	3034.4725	ABCC5	859.588
ABCC6P1	11.8871	ABCC6P1	16.7987
ABCC6P2	36.5527	ABCC6P2	22.504
ABCC6	73.4027	ABCC6	287.4802
ABCC8	16.0475	ABCC8	46.9097
ABCC9	179.4948	ABCC9	1379.3978
ABCD1	177.4146	ABCD1	314.7385
ABCD2	14.8588	ABCD2	363.5499
ABCD3	2746.5082	ABCD3	1623.7718
ABCD4	354.8291	ABCD4	650.0792
ABCE1	5948.2912	ABCE1	1627.2583
ABCF1	3335.8098	ABCF1	1233.5975
ABCF2	1834.4725	ABCF2	935.0238
ABCF3	1266.8648	ABCF3	848.1775
ABCG1	3016.3447	ABCG1	403.8035
ABCG2	113.2244	ABCG2	354.9921
ABHD10	1195.5423	ABHD10	739.4612
ABHD11	2684.6954	ABHD11	368.3043
removed	removed	ABHD12B	6.0222
ABHD12	1051.4116	ABHD12	713.1537
ABHD13	580.9807	ABHD13	637.7179
ABHD14A	73.6999	ABHD14A	255.4675
ABHD14B	796.4339	ABHD14B	2796.5135
ABHD15	220.5052	ABHD15	739.4612
ABHD1	5.6464	ABHD1	36.767
ABHD2	2364.3388	ABHD2	3569.8891
ABHD3	1017.5334	ABHD3	506.4976
ABHD4	911.7385	ABHD4	927.4168
ABHD5	1236.5527	ABHD5	1471.3154
ABHD6	45.7652	ABHD6	246.9097
ABHD8	55.8692	ABHD8	136.9255
ABI1	1208.636	ABI1	1496.1395
ABI2	1377.1174	ABI2	1890.0158
ABI3BP	356.6122	ABI3BP	1896.038
ABI3	90.6389	ABI3	152.4564
ABL1	2328.9747	ABL1	2695.4041
ABL2	1571.1738	ABL2	1014.2631
ABLIM1	3198.5141	ABLIM1	7346.4342
ABLIM2	21.0996	ABLIM2	63.7084
ABLIM3	627.0431	ABLIM3	1834.8653
removed	removed	ABO	18.3835
ABP1	692.7192	ABP1	5.0713
ABR	2454.9777	ABR	1948.6529
ABT1	811.8871	ABT1	530.2694
ABTB1	264.1902	ABTB1	690.0158
ABTB2	84.6954	ABTB2	76.7036
ACAA1	681.4264	ACAA1	1080.5071
ACAA2	833.2838	ACAA2	2203.8035
ACACA	2363.4473	ACACA	4298.5737
ACACB	3645.7652	ACACB	10697.6228
ACAD10	756.6122	ACAD10	573.6926
ACAD11	317.6612	ACAD11	748.6403
ACAD8	419.3165	ACAD8	625.0396
ACAD9	1620.9747	ACAD9	800.7797
removed	removed	ACADL	251.3471
ACADM	1737.89	ACADM	1492.8685
ACADSB	1575.9287	ACADSB	3585.7369
ACADS	923.9227	ACADS	902.6941
ACADVL	6643.3016	ACADVL	5252.5895
ACAN	14.8588	ACAN	15.8479
ACAP1	85.2897	ACAP1	103.645
ACAP2	1341.159	ACAP2	1822.504
ACAP3	398.2585	ACAP3	437.4358
ACAT1	731.055	ACAT1	1860.5388
ACAT2	496.6924	ACAT2	343.4105
ACBD3	3643.9822	ACBD3	1417.4326
ACBD4	51.1144	ACBD4	315.3724
ACBD5	1565.2303	ACBD5	821.5531
ACBD6	683.8039	ACBD6	313.1537
ACBD7	142.3477	ACBD7	36.4501
ACCN2	134.9183	ACCN2	212.9952
ACCN3	20.8024	ACCN3	12.9952
ACCS	94.5022	ACCS	318.225
ACD	242.1991	ACD	363.233
removed	removed	ACE2	14.58
ACER1	5.052	removed	removed
ACER2	179.4948	ACER2	283.9937
ACER3	520.0594	ACER3	491.9176
ACE	1416.6419	ACE	562.599
ACHE	53.4918	ACHE	37.084
ACIN1	2972.6597	ACIN1	3385.42
ACLY	3234.1753	ACLY	3867.5119
ACN9	178.0089	ACN9	144.2155
ACO1	371.471	ACO1	4342.3138
ACO2	4143.3343	ACO2	2819.4897
ACOT11	18.0565	ACOT11	34.3803
ACOT13	353.1738	ACOT13	575.3154
ACOT1	665.6761	ACOT1	979.7147
ACOT2	475.4829	ACOT2	639.6197
ACOT4	34.4725	ACOT4	121.0777
removed	removed	ACOT6	6.3391
ACOT7	472.5111	ACOT7	174.0095
ACOT8	278.8707	ACOT8	207.2044
ACOT9	363.1501	ACOT9	418.7005
ACOX1	3532.5557	ACOX1	2314.9319
ACOX2	43.0906	ACOX2	356.5769
ACOX3	489.7474	ACOX3	821.5531
ACP1	1842.4963	ACP1	1200.6339
ACP2	440.7132	ACP2	639.9366
ACP5	485.2897	ACP5	453.5658
ACP6	124.5171	ACP6	232.3296
ACPL2	515.899	ACPL2	397.4643
ACPP	30.9064	ACPP	26.3074
ACRBP	18.1278	ACRBP	20.9192
ACRC	22.5854	ACRC	31.6957
removed	removed	ACR	6.3391
removed	removed	ACSBG1	20.2853
