gene_id	TCGA-BH-A18S-01A-11R-A12D-07	gene_id	TCGA-BH-A18S-11A-43R-A12D-07
?|10357	59.6222	?|10357	65.2751
?|10431	1089.5036	?|10431	744.3074
?|155060	65.318	?|155060	237.666
?|390284	7.185	?|390284	9.962
?|57714	254.4135	?|57714	517.5522
removed	removed	?|645851	5.6926
?|652919	51.9278	?|652919	19.9288
?|653553	67.2775	?|653553	229.6015
removed	removed	?|729884	48.3871
?|8225	370.3528	?|8225	388.5199
?|90288	136.5145	?|90288	27.0398
A1BG	182.5114	A1BG	93.259
A2LD1	71.1704	A2LD1	54.9099
removed	removed	A2ML1	8.0645
A2M	5245.6429	A2M	29391.8596
A4GALT	332.795	A4GALT	429.3169
AAAS	593.0871	AAAS	564.9905
AACS	1054.885	AACS	772.296
removed	removed	AADACL3	43.6433
removed	removed	AADAC	25.1423
AADAT	25.474	AADAT	67.8368
AAGAB	1811.267	AAGAB	1037.9507
AAK1	865.1364	AAK1	1152.277
AAMP	2686.2011	AAMP	2151.3283
AARS2	415.0858	AARS2	366.9877
AARSD1	820.7202	AARSD1	452.5617
AARS	3626.4531	AARS	2237.1917
AASDHPPT	591.1275	AASDHPPT	796.4896
AASDH	499.0292	AASDH	330.6452
AASS	262.5782	AASS	648.482
AATF	1089.8302	AATF	899.4307
AATK	66.9509	AATK	72.5806
ABAT	976.8301	ABAT	399.9051
removed	removed	ABCA10	198.7666
ABCA11P	115.0609	ABCA11P	132.3387
ABCA12	56.8266	ABCA12	64.0417
removed	removed	ABCA13	19.4497
ABCA17P	5.8786	removed	removed
ABCA1	278.2545	ABCA1	2791.6935
ABCA2	619.5408	ABCA2	1181.6888
ABCA3	809.9427	ABCA3	823.5294
ABCA4	20.2486	ABCA4	25.1423
ABCA5	411.1766	ABCA5	964.4213
ABCA6	12.4104	ABCA6	388.0455
ABCA7	127.0434	ABCA7	260.9108
removed	removed	ABCA8	929.3169
ABCA9	6.5318	ABCA9	472.9602
ABCB10	952.989	ABCB10	353.8899
ABCB1	48.0087	ABCB1	397.5332
ABCB4	8.1647	ABCB4	13.7571
removed	removed	ABCB5	63.093
ABCB6	538.122	ABCB6	381.6271
ABCB7	548.0177	ABCB7	485.2941
ABCB8	461.4714	ABCB8	380.9298
ABCB9	30.6864	ABCB9	116.3472
