gene_id	TCGA-BH-A18U-01A-21R-A12D-07	gene_id	TCGA-BH-A18U-11A-23R-A12D-07
?|100133144	12.6275	?|100133144	9.4575
?|100134869	5.663	removed	removed
?|10357	102.8632	?|10357	96.6604
?|10431	1024.6219	?|10431	744.8113
?|155060	208.2307	?|155060	239.6226
?|340602	6.6831	removed	removed
?|390284	7.3866	removed	removed
?|553137	17.5871	removed	removed
?|57714	1166.3735	?|57714	852.3585
?|645851	9.8488	?|645851	15.566
?|652919	7.3866	removed	removed
?|653553	281.7446	?|653553	124.0566
removed	removed	?|729884	5.6604
?|8225	246.5705	?|8225	376.4151
?|90288	55.5751	?|90288	20.7547
A1BG	85.1178	A1BG	73.5755
A2BP1	8.09	removed	removed
A2LD1	104.453	A2LD1	43.5377
removed	removed	A2ML1	21.2264
A2M	8260.9638	A2M	24426.8585
A4GALT	181.8502	A4GALT	311.7925
removed	removed	A4GNT	5.6604
AAAS	772.4235	AAAS	570.7547
AACSL	5.6279	removed	removed
AACS	718.2554	AACS	1004.2453
removed	removed	AADACL3	8.0189
AADAT	89.3422	AADAT	61.7925
AAGAB	2306.0148	AAGAB	1084.9057
AAK1	678.8604	AAK1	961.7925
AAMP	2358.0725	AAMP	1928.7736
AARS2	224.3897	AARS2	446.6981
AARSD1	502.2863	AARSD1	442.4528
AARS	4243.4049	AARS	2766.9811
AASDHPPT	3308.8287	AASDHPPT	718.8679
AASDH	300.3869	AASDH	441.5094
AASS	80.197	AASS	618.3962
AATF	2180.0915	AATF	807.5472
AATK	35.5259	AATK	50.9434
ABAT	871.9662	ABAT	860.8491
removed	removed	ABCA10	466.5094
ABCA11P	72.8561	ABCA11P	139.934
ABCA12	1018.994	ABCA12	38.6792
removed	removed	ABCA13	181.1321
ABCA17P	11.9592	removed	removed
ABCA1	480.8231	ABCA1	1041.467
ABCA2	2440.0281	ABCA2	1295.283
ABCA3	1198.7337	ABCA3	1264.1509
ABCA4	86.1766	ABCA4	89.6226
ABCA5	112.2054	ABCA5	1158.9623
ABCA6	28.8428	ABCA6	440.0943
ABCA7	145.6208	ABCA7	235.8491
ABCA8	7.3866	ABCA8	979.2453
ABCA9	46.4298	ABCA9	966.5094
ABCB10	445.656	ABCB10	422.6415
ABCB1	37.2846	ABCB1	339.6226
ABCB4	21.1045	ABCB4	25.4717
removed	removed	ABCB5	190.0943
ABCB6	926.5213	ABCB6	339.8585
ABCB7	616.6022	ABCB7	438.6792
ABCB8	479.7749	ABCB8	317.4528
ABCB9	319.3704	ABCB9	125.0943
ABCC10	379.8804	ABCC10	408.4906
ABCC11	1275.4133	ABCC11	245.283
ABCC12	46.0781	removed	removed
ABCC13	485.4027	removed	removed
ABCC1	1272.9511	ABCC1	1151.4151
ABCC2	21.1045	ABCC2	13.2075
ABCC3	632.7823	ABCC3	738.2075
ABCC4	198.7337	ABCC4	138.6792
ABCC5	1524.446	ABCC5	899.0566
removed	removed	ABCC6P1	10.3774
ABCC6P2	9.1453	ABCC6P2	23.5849
ABCC6	27.4358	ABCC6	116.0377
ABCC8	490.6789	ABCC8	113.2075
ABCC9	199.789	ABCC9	457.0755
ABCD1	192.7541	ABCD1	273.5849
ABCD2	9.497	ABCD2	119.8113
ABCD3	2243.0531	ABCD3	1891.5094
ABCD4	222.3004	ABCD4	525.4717
ABCE1	2007.3866	ABCE1	1614.6226
ABCF1	2131.5512	ABCF1	1449.5283
ABCF2	1220.8934	ABCF2	1030.6604
ABCF3	1034.8224	ABCF3	819.8113
ABCG1	657.4042	ABCG1	490.0943
ABCG2	34.4706	ABCG2	230.6604
ABHD10	935.9831	ABHD10	567.9245
ABHD11	756.2434	ABHD11	480.6604
ABHD12B	14.7731	removed	removed
