gene_id	TCGA-BH-A18V-01A-11R-A12D-07	gene_id	TCGA-BH-A18V-11A-52R-A12D-07
?|100133144	20.0812	removed	removed
?|100134869	14.7187	removed	removed
?|10357	196.7918	?|10357	116.748
?|10431	1217.3337	?|10431	935.0607
?|155060	60.6513	?|155060	266.6709
removed	removed	?|390284	10.7647
?|57714	1440.053	?|57714	82.2031
?|645851	10.2743	removed	removed
?|652919	60.7109	removed	removed
?|653553	155.1081	?|653553	283.7966
?|8225	236.6393	?|8225	714.8738
removed	removed	?|90288	24.4652
A1BG	53.9531	A1BG	211.7856
A2LD1	80.4176	A2LD1	77.1242
A2ML1	436.1588	removed	removed
A2M	7264.8438	A2M	17760.2188
A4GALT	188.2509	A4GALT	409.5478
AAAS	535.587	AAAS	1101.9135
AACS	654.2381	AACS	1560.3918
removed	removed	AADAC	102.2646
AADAT	57.6684	AADAT	49.9091
AAGAB	1666.7495	AAGAB	1133.229
AAK1	1028.4199	AAK1	701.1732
AAMP	2088.3255	AAMP	3192.7113
AARS2	661.1418	AARS2	472.6681
AARSD1	398.0446	AARSD1	964.419
AARS	10963.6258	AARS	2850.1982
AASDHPPT	626.7296	AASDHPPT	500.5584
AASDH	162.3995	AASDH	365.5104
AASS	79.8741	AASS	437.9275
AATF	895.186	AATF	1708.1617
AATK	21.5428	AATK	58.2272
ABAT	38.777	ABAT	328.8126
removed	removed	ABCA10	271.0746
ABCA11P	51.9645	ABCA11P	88.4809
removed	removed	ABCA12	52.3556
ABCA17P	12.5942	ABCA17P	21.0401
ABCA1	1155.6749	ABCA1	564.168
ABCA2	858.3975	ABCA2	913.042
ABCA3	2451.9016	ABCA3	888.0875
ABCA4	244.5936	ABCA4	232.4196
ABCA5	91.1426	ABCA5	739.339
ABCA6	47.0627	ABCA6	569.061
ABCA7	177.3138	ABCA7	274.4998
ABCA8	25.1885	ABCA8	1059.8334
ABCA9	22.5371	ABCA9	597.4407
ABCB10	716.5465	ABCB10	181.0426
ABCB1	34.137	ABCB1	122.8154
ABCB4	12.2628	ABCB4	12.7219
removed	removed	ABCB5	135.048
ABCB6	357.2757	ABCB6	576.6453
ABCB7	527.9642	ABCB7	621.9059
ABCB8	282.0449	ABCB8	509.3659
ABCB9	83.8744	ABCB9	128.3152
ABCC10	562.7641	ABCC10	402.6975
removed	removed	ABCC11	541.66
removed	removed	ABCC12	8.3182
ABCC1	1309.4705	ABCC1	752.5502
removed	removed	ABCC2	11.254
ABCC3	201.508	ABCC3	449.6708
ABCC4	1027.0942	ABCC4	66.5454
ABCC5	1009.86	ABCC5	787.2908
removed	removed	ABCC6P1	6.361
removed	removed	ABCC6P2	32.7834
ABCC6	7.6228	ABCC6	128.1978
removed	removed	ABCC8	125.7512
ABCC9	214.1022	ABCC9	158.5346
ABCD1	426.5474	ABCD1	294.5613
ABCD2	22.5371	ABCD2	51.377
ABCD3	770.9007	ABCD3	972.7372
