gene_id	TCGA-BH-A1EN-01A-11R-A13Q-07	gene_id	TCGA-BH-A1EN-11A-23R-A13Q-07
?|10357	64.959	?|10357	98.9853
?|10431	1585.4745	?|10431	640.708
?|155060	47.3134	?|155060	196.7552
?|390284	6.3508	removed	removed
?|57714	343.8952	?|57714	528.9086
removed	removed	?|645851	10.0295
?|652919	17.6203	?|652919	7.3009
?|653553	162.5802	?|653553	133.3333
?|729884	1360.9741	?|729884	22.4189
?|8225	437.8869	?|8225	467.2566
?|90288	6.0332	?|90288	17.9941
A1BG	64.778	A1BG	33.0383
A2LD1	33.7322	A2LD1	83.4926
removed	removed	A2ML1	5.0147
A2M	15569.5689	A2M	53114.9853
A4GALT	93.3566	A4GALT	723.8938
AAAS	539.8171	AAAS	507.3746
AACS	1037.0838	AACS	1303.5398
removed	removed	AADAC	197.3451
AADAT	12.7016	AADAT	74.6313
AAGAB	1424.1644	AAGAB	846.9027
AAK1	1489.26	AAK1	1385.5457
AAMP	2743.5409	AAMP	2259.292
AARS2	318.8001	AARS2	346.0177
AARSD1	424.8678	AARSD1	481.7109
AARS	2165.3015	AARS	3302.0649
AASDHPPT	730.6583	AASDHPPT	774.6313
AASDH	203.8603	AASDH	303.5398
AASS	41.9152	AASS	980.826
AATF	441.3798	AATF	999.705
AATK	13.0223	AATK	53.6873
ABAT	346.7531	ABAT	449.8525
removed	removed	ABCA10	426.5487
ABCA11P	58.7956	ABCA11P	149.292
ABCA12	1782.6665	ABCA12	94.1003
ABCA1	613.1496	ABCA1	2620.8732
ABCA2	556.0116	ABCA2	1292.0354
ABCA3	2993.7619	ABCA3	1132.4484
removed	removed	ABCA4	52.2124
ABCA5	196.2394	ABCA5	838.3481
ABCA6	98.4372	ABCA6	1044.8378
ABCA7	51.7589	ABCA7	260.472
ABCA8	67.6359	ABCA8	3012.6844
ABCA9	52.0765	ABCA9	1910.6195
ABCB10	771.3033	ABCB10	500
removed	removed	ABCB11	10.0295
ABCB1	26.0382	ABCB1	440.708
ABCB4	51.7589	ABCB4	28.0236
removed	removed	ABCB5	229.7935
ABCB6	477.4364	ABCB6	435.7817
ABCB7	461.3848	ABCB7	547.7876
ABCB8	1380.6615	ABCB8	341.8879
ABCB9	388.8398	ABCB9	107.9322
ABCC10	566.4904	ABCC10	312.9794
ABCC11	141.6226	ABCC11	628.0236
removed	removed	ABCC12	7.0796
ABCC1	1156.7962	ABCC1	1022.7139
removed	removed	ABCC2	24.1888
ABCC3	641.4297	ABCC3	352.2124
ABCC4	72.7165	ABCC4	183.1858
ABCC5	556.0116	ABCC5	496.7552
removed	removed	ABCC6P1	8.8496
ABCC6P2	5.0806	ABCC6P2	19.764
ABCC6	26.0382	ABCC6	187.6106
removed	removed	ABCC8	87.3156
ABCC9	364.5353	ABCC9	1729.2035
ABCD1	688.7431	ABCD1	520.059
removed	removed	ABCD2	571.6814
ABCD3	1259.679	ABCD3	1242.7729
ABCD4	313.4114	ABCD4	899.705
ABCE1	1484.4969	ABCE1	1502.9499
ABCF1	2107.5093	ABCF1	1605.3097
ABCF2	2651.4544	ABCF2	1165.4867
ABCF3	1259.679	ABCF3	908.2596
ABCG1	1968.7446	ABCG1	813.2743
ABCG2	27.3084	ABCG2	187.9056
ABHD10	512.8262	ABHD10	548.9676
ABHD11	1031.0506	ABHD11	291.7404
removed	removed	ABHD12B	10.3245
ABHD12	2290.4121	ABHD12	790.8555
ABHD13	426.4555	ABHD13	550.1475
ABHD14A	209.576	ABHD14A	294.6903
ABHD14B	966.2725	ABHD14B	2828.6136
ABHD15	107.0108	ABHD15	1165.4867
ABHD1	18.0997	ABHD1	47.1976
ABHD2	3432.2839	ABHD2	2825.6637
ABHD3	159.7223	ABHD3	324.7788
ABHD4	764.9525	ABHD4	826.2537
