gene_id	TCGA-BH-A1EO-01A-11R-A137-07	gene_id	TCGA-BH-A1EO-11A-31R-A137-07
?|10357	77.9772	?|10357	97.2194
?|10431	596.8313	?|10431	1055.9943
?|155060	97.8506	?|155060	57.9086
removed	removed	?|390284	5.5037
?|553137	5.7223	removed	removed
?|57714	708.4153	?|57714	215.8411
?|645851	6.2945	removed	removed
?|652919	51.3973	?|652919	11.5913
?|653553	274.6683	?|653553	265.6138
?|8225	232.3236	?|8225	498.2053
?|90288	16.0223	?|90288	22.2541
A1BG	85.8338	A1BG	42.0627
A2BP1	9.1556	removed	removed
A2LD1	102.3654	A2LD1	103.6612
A2ML1	9.7278	removed	removed
A2M	17003.0142	A2M	46129.7057
A4GALT	477.2362	A4GALT	877.0041
AAAS	392.5468	AAAS	494.6159
AACS	485.2473	AACS	632.448
removed	removed	AADACL2	16.7504
AADAC	5.15	AADAC	693.9459
AADAT	109.8673	AADAT	60.3015
AAGAB	1232.0017	AAGAB	974.3958
AAK1	1509.5311	AAK1	767.4085
AAMP	1658.882	AAMP	1909.787
AARS2	347.3409	AARS2	250.7729
AARSD1	283.8239	AARSD1	530.5097
AARS	2142.4126	AARS	2622.3977
AASDHPPT	1528.9868	AASDHPPT	726.9682
AASDH	337.6131	AASDH	268.7246
AASS	191.6956	AASS	394.3527
AATF	778.2268	AATF	1071.5482
AATK	16.0223	AATK	44.7475
ABAT	290.6906	ABAT	125.3888
ABCA10	16.0223	ABCA10	204.8337
ABCA11P	90.6119	ABCA11P	62.6466
ABCA17P	10.3001	removed	removed
ABCA1	2316.9243	ABCA1	2896.358
ABCA2	904.1164	ABCA2	754.4867
ABCA3	1654.8764	ABCA3	535.2955
removed	removed	ABCA4	12.4432
ABCA5	344.4798	ABCA5	515.6736
ABCA6	473.2306	ABCA6	1145.4894
ABCA7	171.0955	ABCA7	165.8291
ABCA8	521.2975	ABCA8	3856.6643
ABCA9	255.2126	ABCA9	1489.3515
ABCB10	628.3037	ABCB10	526.2024
ABCB1	86.9783	ABCB1	172.5293
ABCB4	62.9448	ABCB4	39.9617
removed	removed	ABCB5	167.2649
ABCB6	84.821	ABCB6	621.3472
ABCB7	528.7365	ABCB7	500.5982
ABCB8	570.5089	ABCB8	430.4858
ABCB9	54.4358	ABCB9	53.0342
ABCC10	344.4798	ABCC10	235.2237
ABCC11	26.8946	removed	removed
ABCC1	1495.2255	ABCC1	1050.7298
removed	removed	ABCC2	12.6825
ABCC3	680.3762	ABCC3	205.5516
ABCC4	268.3738	ABCC4	181.8617
ABCC5	1124.9955	ABCC5	434.793
ABCC6P1	6.2945	ABCC6P1	6.7002
ABCC6P2	21.7446	ABCC6P2	29.4329
ABCC6	92.7005	ABCC6	221.3448
ABCC8	6.2945	removed	removed
ABCC9	716.9987	ABCC9	2148.1216
ABCD1	207.7179	ABCD1	397.2242
ABCD2	18.3112	ABCD2	480.9763
ABCD3	1930.6892	ABCD3	1022.4934
ABCD4	417.1525	ABCD4	964.1062
ABCE1	2072.0289	ABCE1	1471.1654
ABCF1	1558.7425	ABCF1	1461.5937
ABCF2	1605.665	ABCF2	1174.4436
ABCF3	695.8263	ABCF3	861.9287
ABCG1	1084.9397	ABCG1	809.5238
ABCG2	156.2176	ABCG2	209.3802
removed	removed	ABCG4	5.9823
removed	removed	ABCG8	6.9395
ABHD10	482.9584	ABHD10	659.7272
ABHD11	578.5201	ABHD11	209.6195
ABHD12	1270.3408	ABHD12	1220.8662
ABHD13	636.3149	ABHD13	683.8957
ABHD14A	191.1234	ABHD14A	495.1113
ABHD14B	1340.7246	ABHD14B	2579.0859
ABHD15	294.124	ABHD15	961.9526
ABHD1	6.2945	ABHD1	42.3546
ABHD2	7056.1139	ABHD2	2055.9943
ABHD3	219.7346	ABHD3	399.1385
ABHD4	1057.4729	ABHD4	1095.2381
ABHD5	824.0049	ABHD5	1239.531
ABHD6	158.5065	ABHD6	659.4879
ABHD8	203.1401	ABHD8	173.4865
ABI1	1725.0256	ABI1	1560.469
ABI2	1805.3718	ABI2	766.4513
ABI3BP	1261.7574	ABI3BP	3497.0089
ABI3	192.84	ABI3	286.6715
ABL1	2390.7586	ABL1	2736.5398
ABL2	1722.3991	ABL2	1123.7138
ABLIM1	1660.5987	ABLIM1	7058.6265
ABLIM2	85.8338	ABLIM2	120.1244
ABLIM3	1732.6991	ABLIM3	3121.0816
