gene_id	TCGA-BH-A1ET-01A-11R-A137-07	gene_id	TCGA-BH-A1ET-11B-23R-A137-07
?|100133144	6.0858	?|100133144	15.553
removed	removed	?|100134869	5.344
?|10357	66.8468	?|10357	89.7757
?|10431	1077.66	?|10431	528.7971
?|155060	116.6783	?|155060	268.8583
removed	removed	?|390284	5.0968
?|57714	772.1866	?|57714	810.6524
?|645851	9.6873	?|645851	22.9358
?|653553	107.4216	?|653553	99.1335
?|729884	39.1798	removed	removed
?|8225	461.3315	?|8225	347.6045
?|90288	144.2334	?|90288	12.9969
A1BG	123.0397	A1BG	74.1259
A2LD1	39.3606	A2LD1	64.6432
removed	removed	A2ML1	5.6065
A2M	13017.5168	A2M	38074.2737
A4GALT	86.9706	A4GALT	332.8236
AAAS	745.4927	AAAS	497.4516
AACS	1208.5464	AACS	671.5087
removed	removed	AADAC	49.4393
AADAT	12.4859	AADAT	60.1427
AAGAB	2633.8733	AAGAB	969.1641
AAK1	1052.2577	AAK1	1408.2569
AAMP	1882.1377	AAMP	1621.8145
AARS2	275.9787	AARS2	392.4465
AARSD1	384.4788	AARSD1	383.2824
AARS	1507.3462	AARS	2125.3823
AASDHPPT	1379.2584	AASDHPPT	913.3537
AASDH	569.1836	AASDH	478.3384
AASS	259.62	AASS	910.0408
AATF	796.5126	AATF	778.0326
AATK	18.083	AATK	70.3364
ABAT	9179.2691	ABAT	416.4118
ABCA10	53.3879	ABCA10	574.159
ABCA11P	196.3769	ABCA11P	181.0245
ABCA12	420.6447	ABCA12	17.3293
ABCA13	7.5346	ABCA13	35.9327
ABCA17P	8.8262	ABCA17P	5.6065
ABCA1	816.9334	ABCA1	1924.0036
ABCA2	633.1199	ABCA2	995.4128
ABCA3	4836.1229	ABCA3	887.105
ABCA4	99.4564	ABCA4	160.5505
ABCA5	463.0537	ABCA5	1321.1009
ABCA6	211.614	ABCA6	1035.1682
ABCA7	232.065	ABCA7	197.2477
ABCA8	144.2334	ABCA8	1418.4506
ABCA9	173.08	ABCA9	1702.5994
ABCB10	565.3086	ABCB10	499.7452
removed	removed	ABCB11	9.9388
ABCB1	172.4342	ABCB1	568.5525
ABCB4	35.7354	ABCB4	15.8002
ABCB5	9.472	ABCB5	321.1009
ABCB6	195.4427	ABCB6	298.8201
ABCB7	687.3688	ABCB7	476.0449
ABCB8	830.9564	ABCB8	298.9297
ABCB9	304.4379	ABCB9	98.8252
ABCC10	314.5148	ABCC10	421.5087
ABCC11	255.7451	ABCC11	54.5362
ABCC13	17.0066	removed	removed
ABCC1	952.1554	ABCC1	920.999
ABCC2	9.0415	ABCC2	28.0326
ABCC3	550.2395	ABCC3	471.4577
ABCC4	190.9477	ABCC4	216.3609
ABCC5	1845.7564	ABCC5	762.7421
ABCC6P1	6.0277	ABCC6P1	7.1356
ABCC6P2	38.3187	ABCC6P2	18.0938
ABCC6	215.2737	ABCC6	173.2926
ABCC8	274.4739	ABCC8	241.3354
ABCC9	336.4727	ABCC9	930.683
ABCD1	240.8912	ABCD1	191.1315
ABCD2	22.1732	ABCD2	152.9052
ABCD3	3351.1652	ABCD3	2161.0601
ABCD4	387.0621	ABCD4	719.6738
ABCE1	1993.2189	ABCE1	1525.4842
ABCF1	1434.799	ABCF1	1263.7615
ABCF2	1047.0911	ABCF2	974.261
ABCF3	915.5589	ABCF3	790.265
ABCG1	1441.0419	ABCG1	493.8838
ABCG2	178.0313	ABCG2	252.5484
ABHD10	762.0688	ABHD10	698.7768
ABHD11	559.4963	ABHD11	339.1947
removed	removed	ABHD12B	7.1356
ABHD12	2556.5901	ABHD12	638.634
ABHD13	677.4662	ABHD13	775.9939
ABHD14A	196.491	ABHD14A	201.3252
ABHD14B	1777.2994	ABHD14B	1752.5484
ABHD15	561.2184	ABHD15	401.3761
ABHD1	18.7288	ABHD1	21.9164
ABHD2	12789.4085	ABHD2	3797.4006
ABHD3	1289.0587	ABHD3	311.1621
ABHD4	1009.8488	ABHD4	851.4271
ABHD5	1048.3828	ABHD5	1214.8318
ABHD6	250.3633	ABHD6	422.528
ABHD8	211.8293	ABHD8	142.9664
ABI1	1569.1039	ABI1	1702.9995
ABI2	1496.3673	ABI2	1997.1967
ABI3BP	576.2876	ABI3BP	2164.8828
ABI3	158.0109	ABI3	200.8155
ABL1	1971.9068	ABL1	2345.0561
ABL2	1140.5199	ABL2	1172.2732
ABLIM1	3292.1802	ABLIM1	9319.317
