gene_id	TCGA-BH-A1EU-01A-11R-A137-07	gene_id	TCGA-BH-A1EU-11A-23R-A137-07
?|100133144	22.2339	?|100133144	31.3161
?|100134869	14.5164	?|100134869	11.7343
?|10357	75.6313	?|10357	83.1242
?|10431	548.9832	?|10431	530.7503
?|155060	119.9546	?|155060	300.738
?|57714	1495.6127	?|57714	805.6581
?|645851	24.9819	?|645851	23.9852
?|652919	118.307	?|652919	161.5252
?|653553	132.5488	?|653553	170.9717
removed	removed	?|729884	32.5953
?|8225	166.4086	?|8225	238.0074
?|90288	76.391	?|90288	11.6851
A1BG	67.0135	A1BG	59.1574
A2BP1	5.9874	removed	removed
A2LD1	77.3242	A2LD1	61.5621
removed	removed	A2ML1	8.6101
A2M	24327.7279	A2M	24218.1673
A4GALT	152.7821	A4GALT	191.2669
removed	removed	A4GNT	7.9951
AAAS	814.0807	AAAS	553.5055
AACS	753.5873	AACS	678.9668
removed	removed	AADACL2	12.3001
AADAC	48.1057	AADAC	143.2964
AADAT	45.0088	AADAT	71.3407
AAGAB	1952.3072	AAGAB	1254.6125
AAK1	1403.1176	AAK1	1272.4477
AAMP	1500.5678	AAMP	1361.0086
AARS2	275.623	AARS2	307.4416
AARSD1	253.5357	AARSD1	300.738
AARS	1942.397	AARS	2123.6162
AASDHPPT	1335.398	AASDHPPT	1024.6002
AASDH	426.551	AASDH	419.4342
AASS	427.1704	AASS	972.9397
AATF	640.2395	AATF	678.9668
AATK	16.3291	AATK	20.9102
ABAT	2098.4825	ABAT	835.1784
ABCA10	209.5592	ABCA10	667.2817
ABCA11P	132.9328	ABCA11P	182.3862
ABCA12	39.4343	ABCA12	127.3063
removed	removed	ABCA13	13.5301
ABCA17P	7.8456	ABCA17P	7.3801
ABCA1	3589.2619	ABCA1	2450.6704
ABCA2	1496.4385	ABCA2	940.3444
ABCA3	1163.8278	ABCA3	820.4182
ABCA4	28.9047	ABCA4	38.1304
ABCA5	550.6349	ABCA5	1461.8696
ABCA6	670.5894	ABCA6	1146.3715
ABCA7	245.6901	ABCA7	159.9016
ABCA8	1218.3338	ABCA8	2535.0554
ABCA9	555.3835	ABCA9	1992.0049
ABCB10	711.469	ABCB10	543.6654
ABCB11	13.0071	removed	removed
ABCB1	232.0636	ABCB1	551.6605
ABCB4	62.7645	ABCB4	12.3001
ABCB5	66.2744	ABCB5	95.941
ABCB6	204.9076	ABCB6	275.3567
ABCB7	652.8337	ABCB7	544.8954
ABCB8	437.9065	ABCB8	273.0627
ABCB9	79.6511	ABCB9	75.0308
ABCC10	245.0707	ABCC10	318.5732
