gene_id	TCGA-BH-A1EV-01A-11R-A137-07	gene_id	TCGA-BH-A1EV-11A-24R-A137-07
?|100133144	10.3425	?|100133144	14.0364
?|100134869	7.8975	?|100134869	7.8686
?|10357	252.0074	?|10357	118.7103
?|10431	905.4041	?|10431	704.6517
?|155060	64.8103	?|155060	165.8873
removed	removed	?|340602	5.4147
?|390284	7.3736	?|390284	5.4147
?|57714	759.0958	?|57714	868.8161
?|645851	74.5125	?|645851	23.6279
?|652919	25.2178	?|652919	122.8009
?|653553	93.1406	?|653553	89.589
?|8225	332.2014	?|8225	188.7768
?|90288	109.4402	?|90288	25.843
A1BG	151.9472	A1BG	49.2346
A2LD1	46.2482	A2LD1	59.7391
A2ML1	145.1441	A2ML1	105.587
A2M	7304.5348	A2M	33165.7199
A4GALT	234.0157	A4GALT	202.0674
AAAS	818.0848	AAAS	474.5262
AACS	578.2478	AACS	1009.5988
removed	removed	AADAC	9.5988
AADAT	20.5685	AADAT	174.7477
AAGAB	1529.0579	AAGAB	1161.2109
AAK1	1645.4837	AAK1	1516.6133
AAMP	1817.0176	AAMP	1130.4455
AARS2	536.3306	AARS2	284.2432
AARSD1	611.6232	AARSD1	345.3113
AARS	2845.8329	AARS	1984.7403
AASDHPPT	999.7089	AASDHPPT	1022.6434
AASDH	404.7735	AASDH	551.5629
AASS	115.6496	AASS	1095.9882
AATF	761.8124	AATF	644.8437
AATK	35.3158	AATK	17.7209
ABAT	1715.3391	ABAT	643.6131
removed	removed	ABCA10	462.5917
ABCA11P	154.4931	ABCA11P	170.9303
ABCA12	1923.7411	ABCA12	533.1036
ABCA13	359.3674	ABCA13	74.3293
ABCA17P	11.2545	removed	removed
ABCA1	713.29	ABCA1	2876.4017
ABCA2	2333.5597	ABCA2	1156.7807
ABCA3	1623.7508	ABCA3	715.9734
ABCA4	69.8554	ABCA4	153.0889
ABCA5	51.2273	ABCA5	824.3884
ABCA6	42.6894	ABCA6	731.7253
ABCA7	879.0143	ABCA7	219.2961
ABCA8	7.7617	ABCA8	2005.6608
ABCA9	10.4783	ABCA9	1754.3687
ABCB10	518.8707	ABCB10	580.3593
ABCB11	14.3592	ABCB11	5.1686
ABCB1	8.5379	ABCB1	374.3539
ABCB4	19.0162	ABCB4	24.3662
removed	removed	ABCB5	306.6699
ABCB6	377.914	ABCB6	294.4278
ABCB7	481.2264	ABCB7	578.8826
ABCB8	377.2194	ABCB8	242.9239
ABCB9	244.5833	ABCB9	106.254
ABCC10	544.8724	ABCC10	288.9491
ABCC11	1782.866	ABCC11	21.1666
ABCC12	22.509	removed	removed
ABCC13	20.5685	removed	removed
ABCC1	1199.185	ABCC1	1190.9919
ABCC2	61.3176	ABCC2	17.7209
ABCC3	317.4542	ABCC3	418.1639
