gene_id	TCGA-BH-A1EW-01A-11R-A137-07	gene_id	TCGA-BH-A1EW-11B-33R-A137-07
?|100133144	9.353	?|100133144	14.4239
removed	removed	?|100134869	10.401
?|10357	108.3393	?|10357	81.1946
?|10431	948.5981	?|10431	770.2101
?|155060	106.7577	?|155060	257.3732
?|57714	3485.2624	?|57714	1468.2792
?|645851	15.0971	?|645851	25.8858
?|652919	90.8986	?|652919	93.1042
?|653553	447.1603	?|653553	114.1523
removed	removed	?|729884	11.6698
?|8225	296.9087	?|8225	205.6015
?|90288	8.6269	?|90288	25.8858
A1BG	94.3889	A1BG	79.0431
A2LD1	118.7383	A2LD1	91.9096
removed	removed	A2ML1	12.0942
A2M	14461.1467	A2M	17859.5502
A4GALT	1024.4428	A4GALT	176.9574
AAAS	525.5212	AAAS	556.3335
AACS	564.3422	AACS	578.8245
removed	removed	AADACL3	6.1532
removed	removed	AADAC	9.3359
AADAT	23.3645	AADAT	70.8678
AAGAB	1899.7124	AAGAB	1476.1299
AAK1	1946.8009	AAK1	1495.8625
AAMP	1943.5658	AAMP	1264.3751
AARS2	384.2344	AARS2	343.9041
AARSD1	569.0151	AARSD1	400.3819
AARS	2599.2092	AARS	1758.7524
AASDHPPT	896.8368	AASDHPPT	1020.1379
AASDH	475.5572	AASDH	632.5058
AASS	224.2991	AASS	597.7085
AATF	1716.0316	AATF	742.2024
AATK	28.3968	AATK	32.4634
ABAT	1787.9224	ABAT	1684.7019
ABCA10	16.8943	ABCA10	615.7437
ABCA11P	124.6873	ABCA11P	233.7789
ABCA12	141.2653	ABCA12	219.3932
removed	removed	ABCA13	61.1076
ABCA1	1524.0726	ABCA1	1633.0469
ABCA2	1544.2128	ABCA2	1050.4986
ABCA3	1305.5356	ABCA3	1384.0441
ABCA4	51.4019	ABCA4	79.9915
ABCA5	303.3789	ABCA5	1043.7089
ABCA6	230.4098	ABCA6	1046.6794
ABCA7	160.3163	ABCA7	192.4464
ABCA8	480.2301	ABCA8	1992.3616
ABCA9	179.7268	ABCA9	1279.8642
ABCB10	697.6995	ABCB10	609.3783
ABCB1	123.2926	ABCB1	206.6624
ABCB4	8.6269	ABCB4	16.55
ABCB5	5.7513	ABCB5	19.0961
ABCB6	534.9712	ABCB6	312.3913
ABCB7	345.4349	ABCB7	528.9624
ABCB8	550.683	ABCB8	380.2249
ABCB9	71.1071	ABCB9	57.4411
ABCC10	411.215	ABCC10	304.477
ABCC11	704.5291	ABCC11	431.5722
removed	removed	ABCC12	5.941
ABCC13	33.7886	ABCC13	15.4891
ABCC1	1666.0676	ABCC1	1005.5167
ABCC2	17.6132	ABCC2	37.3435
ABCC3	559.6693	ABCC3	371.5256
ABCC4	143.7815	ABCC4	128.3683
ABCC5	2825.665	ABCC5	1574.5809
removed	removed	ABCC6P1	5.7288
ABCC6P2	9.3458	ABCC6P2	18.2474
ABCC6	40.6183	ABCC6	104.1799
ABCC8	48.1668	ABCC8	76.8088
ABCC9	419.8418	ABCC9	563.972
ABCD1	202.7318	ABCD1	140.6747
ABCD2	12.2214	ABCD2	164.651
ABCD3	2197.6995	ABCD3	2645.4488
ABCD4	343.2782	ABCD4	424.3582
ABCE1	2792.5953	ABCE1	2396.7749
ABCF1	1612.8684	ABCF1	1240.3989
ABCF2	1323.1488	ABCF2	1016.9743
ABCF3	2232.207	ABCF3	767.6639
ABCG1	663.1919	ABCG1	678.9731
ABCG2	48.1668	ABCG2	117.335
ABHD10	312.3652	ABHD10	868.8733
ABHD11	1006.4702	ABHD11	604.7104
ABHD12	1441.4091	ABHD12	654.9968
ABHD13	626.5277	ABHD13	919.7963
ABHD14A	110.3523	ABHD14A	111.795
ABHD14B	541.6966	ABHD14B	1085.7203
ABHD15	433.8605	ABHD15	363.8871
ABHD1	16.8943	ABHD1	25.6737
ABHD2	16370.5967	ABHD2	8091.4492
ABHD3	415.1689	ABHD3	793.3376
ABHD4	632.9978	ABHD4	659.4526
ABHD5	868.44	ABHD5	990.6641
ABHD6	93.0985	ABHD6	131.551
ABHD8	138.0302	ABHD8	113.728
ABI1	1967.9044	ABI1	1936.5097
ABI2	1221.7829	ABI2	1987.9058
ABI3BP	1032.3508	ABI3BP	1033.0999
ABI3	121.4953	ABI3	77.8697
ABL1	3229.3314	ABL1	2269.4674
ABL2	2745.8663	ABL2	1645.8731
ABLIM1	2565.78	ABLIM1	4664.9692
ABLIM2	101.7254	ABLIM2	51.1352
ABLIM3	501.0784	ABLIM3	1186.0811
ABO	18.3321	ABO	12.0942
ABP1	43.1344	removed	removed
ABR	1505.7513	ABR	1673.8808
ABT1	536.6643	ABT1	439.8472
ABTB1	138.3896	ABTB1	245.7034
ABTB2	175.0539	ABTB2	64.2903
ACAA1	529.8347	ACAA1	637.5981
ACAA2	782.5306	ACAA2	1332.909
ACACA	3131.9195	ACACA	2745.5973
ACACB	291.8763	ACACB	1766.8152
ACAD10	314.5219	ACAD10	378.3153
ACAD11	169.6082	ACAD11	565.4424
ACAD8	319.5543	ACAD8	479.3125
ACAD9	328.5406	ACAD9	526.4036
removed	removed	ACADL	62.805
ACADM	961.179	ACADM	1400.8063
ACADSB	2856.578	ACADSB	4950.9866
ACADS	152.7678	ACADS	216.6348
ACADVL	4093.6233	ACADVL	4928.2071
ACAN	15.0971	removed	removed
ACAP1	104.2416	ACAP1	77.4454
ACAP2	4286.844	ACAP2	2663.0596
ACAP3	454.734	ACAP3	345.9071
ACAT1	578.7203	ACAT1	966.4757
ACAT2	621.1754	ACAT2	385.5888
ACBD3	4268.1524	ACBD3	2427.1165
ACBD4	65.78	ACBD4	174.8356
ACBD5	1103.1632	ACBD5	1394.0165
ACBD6	491.7326	ACBD6	386.5903
ACBD7	33.4292	ACBD7	94.844
ACCN1	652.4083	ACCN1	94.844
ACCN2	40.6183	ACCN2	147.0401
ACCN3	10.0647	ACCN3	39.4653
ACCS	67.5773	ACCS	435.6036
ACD	202.7318	ACD	199.024
removed	removed	ACE2	21.6423
ACER2	130.8411	ACER2	279.652
ACER3	434.5794	ACER3	459.7921
ACE	610.7117	ACE	298.1116
ACHE	26.959	ACHE	7.0019
ACIN1	2221.7829	ACIN1	2571.3983
ACLY	5526.2401	ACLY	4293.868
ACN9	81.2365	ACN9	153.4055
ACO1	840.4026	ACO1	1564.6085
ACO2	2361.8296	ACO2	1479.3571
ACOT11	38.1021	ACOT11	19.9003
ACOT13	537.3293	ACOT13	552.0115
ACOT1	175.0539	ACOT1	586.8873
ACOT2	87.3472	ACOT2	323.7853
ACOT4	121.1359	ACOT4	169.7433
ACOT7	495.6866	ACOT7	151.0715
ACOT8	224.6693	ACOT8	184.443
ACOT9	305.895	ACOT9	431.7844
ACOX1	1918.6161	ACOX1	2349.3783
ACOX2	583.7527	ACOX2	303.2039
ACOX3	901.8692	ACOX3	794.1863
ACP1	1479.5111	ACP1	1437.9376
ACP2	1354.4213	ACP2	824.7401
ACP5	637.6707	ACP5	571.6104
ACP6	145.9382	ACP6	312.1154
ACPL2	462.2574	ACPL2	497.9843
ACPP	17.6132	ACPP	14.0038
