gene_id	TCGA-BH-A1F0-01A-11R-A137-07	gene_id	TCGA-BH-A1F0-11B-23R-A137-07
?|100133144	6.6244	?|100133144	5.9731
?|10357	109.059	?|10357	112.8029
?|10431	909.9903	?|10431	747.552
?|155060	118.5074	?|155060	190.0245
?|340602	7.7428	removed	removed
removed	removed	?|390284	5.508
?|553137	163.0283	removed	removed
?|57714	1695.4511	?|57714	295.5936
?|645851	7.7428	?|645851	7.3439
?|652919	25.1489	removed	removed
?|653553	69.4698	?|653553	145.9608
removed	removed	?|729884	6.7319
?|8225	297.2363	?|8225	444.6144
removed	removed	?|90288	9.7919
A1BG	43.3487	A1BG	58.5343
A2LD1	77.5567	A2LD1	94.2411
A2M	22390.7216	A2M	31718.0202
A4GALT	303.0433	A4GALT	402.6928
AAAS	400.6882	AAAS	494.186
AACS	769.9753	AACS	712.3623
AADAT	31.4012	AADAT	78.6414
AAGAB	977.5245	AAGAB	1074.6634
AAK1	1277.7718	AAK1	1056.3035
AAMP	1795.0317	AAMP	1975.8262
AARS2	452.0895	AARS2	369.6144
AARSD1	748.6827	AARSD1	424.4186
AARS	2726.7448	AARS	2389.8409
AASDHPPT	986.7728	AASDHPPT	911.8727
AASDH	366.0609	AASDH	430.5386
AASS	196.7954	AASS	748.164
AATF	1495.6447	AATF	1062.7295
AATK	24.5188	AATK	39.4737
ABAT	153.3498	ABAT	538.2497
ABCA10	53.124	ABCA10	257.3439
ABCA11P	80.1979	ABCA11P	153.2864
ABCA12	12.0443	ABCA12	24.4798
ABCA13	555.5436	removed	removed
removed	removed	ABCA17P	8.5679
ABCA1	1482.7186	ABCA1	2312.3256
ABCA2	708.8934	ABCA2	843.6353
ABCA3	1052.8014	ABCA3	826.1934
ABCA4	30.3258	ABCA4	182.0685
ABCA5	313.152	ABCA5	896.8788
ABCA6	290.999	ABCA6	454.7124
ABCA7	258.5224	ABCA7	230.7222
ABCA8	475.1048	ABCA8	1742.9621
ABCA9	195.5049	ABCA9	906.3647
ABCB10	994.0854	ABCB10	437.8825
ABCB11	10.1086	ABCB11	9.4859
removed	removed	ABCB1	365.9731
ABCB4	31.4012	ABCB4	22.9498
ABCB5	71.1905	ABCB5	210.5263
ABCB6	346.5857	ABCB6	406.784
ABCB7	454.2424	ABCB7	563.9535
ABCB8	485.2135	ABCB8	297.4296
ABCB9	135.3909	ABCB9	128.8127
ABCC10	541.3485	ABCC10	318.2375
removed	removed	ABCC11	63.3415
ABCC1	1990.7517	ABCC1	992.3501
ABCC2	91.8378	ABCC2	23.2558
ABCC3	192.4938	ABCC3	339.3513
ABCC4	308.2052	ABCC4	188.4945
ABCC5	944.4026	ABCC5	507.9559
removed	removed	ABCC6P1	10.0979
removed	removed	ABCC6P2	18.3599
ABCC6	6.4523	ABCC6	116.2791
removed	removed	ABCC8	140.1469
ABCC9	546.2953	ABCC9	895.3488
ABCD1	475.1048	ABCD1	354.9572
ABCD2	70.3301	ABCD2	199.5104
ABCD3	1408.1084	ABCD3	1878.519
ABCD4	419.1849	ABCD4	676.5606
ABCE1	2640.7141	ABCE1	1584.4553
ABCF1	2214.2166	ABCF1	1358.0171
ABCF2	1429.401	ABCF2	1063.6475
ABCF3	1124.2069	ABCF3	777.8458
ABCG1	672.1153	ABCG1	559.9755
ABCG2	135.0683	ABCG2	184.5165
removed	removed	ABCG8	6.7319
ABHD10	756.6405	ABHD10	720.9302
ABHD11	1326.3792	ABHD11	306.6095
removed	removed	ABHD12B	5.202
ABHD12	1130.6592	ABHD12	653.6108
ABHD13	599.8494	ABHD13	743.88
ABHD14A	155.1328	ABHD14A	279.3758
ABHD14B	1139.4774	ABHD14B	2363.2191
ABHD15	381.7615	ABHD15	617.1971
removed	removed	ABHD1	32.4357
ABHD2	2987.418	ABHD2	2534.2717
ABHD3	463.2756	ABHD3	291.6157
ABHD4	554.4682	ABHD4	878.519
ABHD5	979.8903	ABHD5	2098.2252
ABHD6	177.4384	ABHD6	302.3256
ABHD8	107.1083	ABHD8	187.8825
ABI1	2679.7355	ABI1	1608.7362
ABI2	985.0522	ABI2	1617.1971
ABI3BP	1405.5275	ABI3BP	1377.907
ABI3	419.3999	ABI3	177.1726
ABL1	1630.713	ABL1	2128.519
ABL2	1780.8366	ABL2	889.2289
ABLIM1	3062.4798	ABLIM1	6432.6805
ABLIM2	135.2834	ABLIM2	95.7772
ABLIM3	615.9802	ABLIM3	2775.0918
ABO	34.4123	ABO	54.7736
ABP1	23.4434	ABP1	6.12
ABR	1652.8659	ABR	2019.2778
ABT1	509.9473	ABT1	562.1175
ABTB1	356.5975	ABTB1	634.3329
ABTB2	493.3864	ABTB2	99.7552
ACAA1	689.7516	ACAA1	1138.3109
ACAA2	936.0146	ACAA2	2012.5459
ACACA	1791.1603	ACACA	1492.0441
