gene_id	TCGA-BH-A1F2-01A-31R-A13Q-07	gene_id	TCGA-BH-A1F2-11A-32R-A13Q-07
?|100133144	5.1391	?|100133144	15.2268
removed	removed	?|100134869	5.608
?|10357	132.1104	?|10357	88.5162
?|10431	1179.1582	?|10431	582.5074
?|155060	95.69	?|155060	221.0808
removed	removed	?|553137	7.5237
?|57714	443.2926	?|57714	757.8673
?|645851	43.7178	?|645851	12.7324
?|652919	61.4434	?|652919	48.9532
?|653553	308.7762	?|653553	84.7862
?|729884	9.783	removed	removed
?|8225	155.611	?|8225	504.9555
removed	removed	?|90288	26.9117
A1BG	30.8776	A1BG	49.9718
A2LD1	82.4555	A2LD1	79.1926
A2ML1	450.9355	A2ML1	6.9449
A2M	12046.1697	A2M	37087.5497
A4GALT	121.3704	A4GALT	341.4599
AAAS	402.9377	AAAS	526.0797
AACS	586.0633	AACS	2087.2459
AADAC	28.1261	AADAC	166.1
AADAT	70.3154	AADAT	81.8925
AAGAB	1786.9276	AAGAB	668.7405
AAK1	1073.9909	AAK1	1548.4338
AAMP	729.1398	AAMP	2176.3727
AARS2	108.5302	AARS2	404.8181
AARSD1	146.4394	AARSD1	458.0771
AARS	1389.1872	AARS	2521.0157
AASDHPPT	2186.5024	AASDHPPT	818.0569
AASDH	417.0007	AASDH	402.8069
AASS	202.6917	AASS	1385.8063
AATF	435.3439	AATF	1040.0058
AATK	9.4773	AATK	48.3253
ABAT	1659.4428	ABAT	470.8095
ABCA10	22.0118	ABCA10	568.9069
ABCA11P	85.8459	ABCA11P	141.0085
ABCA12	1334.7692	ABCA12	29.516
removed	removed	ABCA13	15.3368
ABCA17P	6.7258	removed	removed
ABCA1	1453.3882	ABCA1	5252.009
ABCA2	890.5595	ABCA2	2091.2971
ABCA3	446.044	ABCA3	990.8124
ABCA4	683.5877	ABCA4	55.8489
ABCA5	231.1236	ABCA5	1084.5692
ABCA6	232.6522	ABCA6	1194.5309
ABCA7	81.627	ABCA7	375.6059
ABCA8	520.9452	ABCA8	3102.0762
ABCA9	131.7649	ABCA9	1970.6287
ABCB10	788.4493	ABCB10	447.6597
removed	removed	ABCB11	21.703
ABCB1	34.2405	ABCB1	443.6085
ABCB4	64.201	ABCB4	37.0397
ABCB5	15.5917	ABCB5	288.2153
ABCB6	432.1522	ABCB6	583.2771
ABCB7	539.2883	ABCB7	590.8992
ABCB8	212.7804	ABCB8	412.6456
ABCB9	97.3226	ABCB9	117.9946
ABCC10	269.6442	ABCC10	363.4522
ABCC11	1732.8153	ABCC11	324.6763
ABCC12	47.0807	removed	removed
ABCC13	30.8776	removed	removed
ABCC1	963.6263	ABCC1	1064.8918
ABCC2	11.3116	ABCC2	17.3624
ABCC3	1522.7864	ABCC3	278.3766
ABCC4	184.96	ABCC4	136.0052
ABCC5	2014.994	ABCC5	706.0696
removed	removed	ABCC6P1	19.388
ABCC6P2	40.6606	ABCC6P2	37.3291
ABCC6	138.4907	ABCC6	508.428
ABCC8	8.5601	ABCC8	54.1127
ABCC9	630.0869	ABCC9	1998.9872
ABCD1	227.1492	ABCD1	609.9978
ABCD2	206.9718	ABCD2	1384.3594
ABCD3	7387.0884	ABCD3	1330.2467
ABCD4	235.7094	ABCD4	730.9557
ABCE1	2792.7431	ABCE1	1319.5399
ABCF1	1424.0391	ABCF1	1271.504
ABCF2	948.3404	ABCF2	872.1696
ABCF3	456.1328	ABCF3	871.5908
ABCG1	686.3392	ABCG1	773.7828
ABCG2	63.2838	ABCG2	434.9273
removed	removed	ABCG8	8.6812
ABHD10	918.6856	ABHD10	577.5881
ABHD11	664.0217	ABHD11	287.0578
ABHD12	1955.6845	ABHD12	767.4166
ABHD13	926.6343	ABHD13	630.5433
ABHD14A	170.8969	ABHD14A	271.5011
ABHD14B	1819.3338	ABHD14B	2918.0352
ABHD15	2611.1461	ABHD15	1283.6577
ABHD1	9.783	ABHD1	54.4021
ABHD2	4617.5799	ABHD2	3048.2529
ABHD3	618.1638	ABHD3	422.7736
ABHD4	1520.6464	ABHD4	955.5089
ABHD5	1501.6918	ABHD5	2459.3793
ABHD6	220.4234	ABHD6	402.5175
ABHD8	69.3982	ABHD8	188.0923
ABI1	2473.5633	ABI1	1371.3868
ABI2	1666.1686	ABI2	1646.5311
ABI3BP	1104.2571	ABI3BP	2128.0475
ABI3	75.8183	ABI3	167.8362
ABL1	1727.0067	ABL1	2953.9174
ABL2	1169.9866	ABL2	963.0326
ABLIM1	2284.3324	ABLIM1	8359.1116
ABLIM2	24.7632	ABLIM2	61.9258
ABLIM3	317.0306	ABLIM3	3611.9511
removed	removed	ABO	45.4315
ABR	969.7407	ABR	2390.7979
ABT1	597.6807	ABT1	468.2052
ABTB1	131.7649	ABTB1	796.3539
ABTB2	68.7868	ABTB2	63.9514
ACAA1	230.5121	ACAA1	1421.9779
ACAA2	1189.8584	ACAA2	3324.8933
ACACA	1895.7636	ACACA	6698.1118
