gene_id	TCGA-BH-A1F8-01A-11R-A13Q-07	gene_id	TCGA-BH-A1F8-11B-21R-A13Q-07
?|100133144	14.6094	?|100133144	6.1331
?|10357	114.2361	?|10357	70.9352
?|10431	1910.3009	?|10431	746.988
?|155060	56.713	?|155060	154.3316
?|388795	9.5486	removed	removed
?|390284	13.3102	removed	removed
?|57714	3500.2894	?|57714	346.529
?|645851	26.331	?|645851	7.4584
?|652919	42.419	?|652919	24.3947
?|653553	836.8056	?|653553	181.2966
?|729884	40.7986	removed	removed
?|8225	165.7986	?|8225	339.0706
?|90288	12.1528	?|90288	9.7533
A1BG	101.5336	A1BG	62.9948
A2LD1	100.5527	A2LD1	61.5605
A2ML1	128.1829	A2ML1	24.0964
A2M	5933.1395	A2M	32892.5129
A4GALT	114.294	A4GALT	367.183
AAAS	658.5648	AAAS	508.8927
AACS	1006.3657	AACS	780.2639
removed	removed	AADACL3	6.311
removed	removed	AADAC	61.9621
AADAT	91.1458	AADAT	118.187
AAGAB	5026.6204	AAGAB	1122.7768
AAK1	1653.6458	AAK1	1033.276
AAMP	1647.8588	AAMP	1578.887
AARS2	194.4155	AARS2	322.9317
AARSD1	237.2685	AARSD1	434.8824
AARS	4318.8657	AARS	2115.3184
AASDHPPT	1483.5069	AASDHPPT	983.362
AASDH	329.5718	AASDH	398.1641
AASS	107.9282	AASS	576.5921
AATF	1412.037	AATF	724.6127
AATK	11.2847	AATK	48.1928
ABAT	1649.5949	ABAT	472.7481
ABCA10	8.1019	ABCA10	483.0752
ABCA11P	95.1591	ABCA11P	106.747
ABCA12	2186.9213	ABCA12	30.4073
removed	removed	ABCA13	10.9007
removed	removed	ABCA17P	5.7372
ABCA1	517.3611	ABCA1	1601.7785
ABCA2	289.0625	ABCA2	962.1343
ABCA3	810.7639	ABCA3	772.2318
removed	removed	ABCA4	36.1446
ABCA5	688.9468	ABCA5	788.296
ABCA6	54.9769	ABCA6	569.7074
ABCA7	125.2894	ABCA7	187.0338
ABCA8	14.4676	ABCA8	2020.654
ABCA9	28.6458	ABCA9	807.8026
ABCB10	925.3472	ABCB10	486.5175
ABCB1	46.875	ABCB1	341.9392
ABCB4	20.544	ABCB4	10.9007
removed	removed	ABCB5	236.9478
ABCB6	701.794	ABCB6	423.6431
ABCB7	785.8796	ABCB7	520.9409
ABCB8	451.6782	ABCB8	292.599
ABCB9	335.3646	ABCB9	155.9208
ABCC10	323.7847	ABCC10	329.3173
ABCC11	2055.8449	ABCC11	27.5387
ABCC12	96.3542	removed	removed
ABCC13	12.1528	removed	removed
ABCC1	1899.5949	ABCC1	1063.1096
ABCC2	285.3009	ABCC2	16.0643
ABCC3	459.7801	ABCC3	472.1744
ABCC4	92.0139	ABCC4	204.2456
ABCC5	6233.5069	ABCC5	771.6581
ABCC6P1	23.7269	ABCC6P1	12.0482
ABCC6P2	28.9352	ABCC6P2	10.9007
ABCC6	176.794	ABCC6	94.0906
removed	removed	ABCC8	61.9621
ABCC9	175.6366	ABCC9	749.8566
ABCD1	164.3519	ABCD1	181.8703
ABCD2	7.5231	ABCD2	201.3769
ABCD3	1942.7083	ABCD3	1792.8858
ABCD4	173.9005	ABCD4	833.0465
ABCE1	2423.3218	ABCE1	1851.9793
ABCF1	1278.0671	ABCF1	1119.3345
ABCF2	1394.9653	ABCF2	1061.3884
ABCF3	577.5463	ABCF3	674.6988
ABCG1	736.9792	ABCG1	728.0551
